"","W1","C1","W2","C2","C3","W4","C4","W6","C6","W7","C7","C8","W9","W10","C10","C29","C30","W33","C38","C39","W42","C42","W43","C43","C46","C48","C51","W52","C52","W54","C55","W57","C59","W60","C61","W63","C65","W68","C68","W73","C74","C75","C77","C82","W83","W84","W85","C86","W87","C87","C88","C89","C90","C91","C92","W93","W94","W95","C95","W96","W97","C99","W100","W101","C103","W104","C105","C106","W107","C107","W108","C108","W109","W111","C111","W112","C113","W114","C114","C116","C117","C118","C119","W120","C120","W121","C121","W122","W123","C123","C125","W126","W127","C128","C129","C137","W139","W140","C141","C142","C143","W144","C144","W150","C151","W152","C152","W153","W154","C154","C156","C157","C159","W164","W170","C174","C177","C178","W181","W185","W187","W188","W189","W197","C200","C201","W221","W227","W228","W247","W251","W262","W265","W269","W280","W282","W318","C416"
"W1",0,0.506802755481248,0.607722722944875,0.457014730397629,0.569614003176311,0.503298744291092,0.639361841971728,0.591631103755209,0.615510895424446,0.654699045899752,0.596064366615378,0.634998618917414,0.599407905341362,0.616723346750341,0.72546291751682,0.475236290633438,0.557514775557164,0.691058705922065,0.451512584089802,0.656299421615474,0.526957303166679,0.512241530316028,0.592855084837973,0.5639342610339,0.581186383771296,0.644279309651417,0.561301085218326,0.552220193014642,0.59662105332859,0.460411409527046,0.466599215026313,0.619393484037773,0.560197362272053,0.615863124334481,0.668323146769774,0.525569041771166,0.570356990245996,0.565793209078617,0.738671090934791,0.710268386134254,0.690461858258136,0.836637781063422,0.637693893982093,0.589866121357063,0.441970849576839,0.754911239063008,0.651744325746428,0.498262764510052,0.581035994913458,0.580025961254146,0.547649735331078,0.461786677190096,0.490320943770456,0.36203383271773,0.536147376949108,0.67324723070668,0.483280325047954,0.685904831295344,0.544805094656003,0.453958231825087,0.504893166983702,0.677829380592337,0.459089580759698,0.476396835436885,0.6225813312849,0.459487156361634,0.5884037055469,0.434373014090061,0.729410390597055,0.508260066619691,0.530377030273667,0.542246846191547,0.496623289080904,0.459759807736212,0.510202177664794,0.522937001103004,0.66972823405592,0.554880719847953,0.728956193297761,0.463197139953828,0.518856969016026,0.589193124165213,0.464956859746669,0.608148155455513,0.598033727081895,0.574954195793978,0.494165255833543,0.553630362574299,0.618534777774786,0.565322288551056,0.560989923456037,0.574073112782034,0.746091574191851,0.513816609656243,0.499873468799575,0.731391486984847,0.496529591704762,0.593654077272978,0.618657059223148,0.476126978305789,0.637158067649064,0.574189858334488,0.69242369426373,0.511937817213812,0.712307398369576,0.457908902053426,0.753937364330031,0.523364422878447,0.55037479809276,0.778627697171078,0.790916685231146,0.677725335378529,0.713218666338632,0.498900953053058,0.754716093924745,0.847127504936963,0.744742486450865,0.914456463764223,0.517923024524544,0.454685096200876,0.56978486481603,0.43456685096986,0.666209138071359,0.592533511025291,0.792045236084851,0.493813202688629,0.637950648581792,0.406447814123675,0.453048948560415,0.902562706894587,0.776959275062884,0.409334454667758,0.531639698649935,0.617856508332107,0.603711960360134,0.509755760865983,0.423889580142773,0.698326844842062
"C1",0.506802755481248,0,0.408059053691388,0.449747279144215,0.361578027332468,0.599819339663917,0.432262564190242,0.772617112711939,0.599384880464664,0.616272881171739,0.35043886330259,0.529105334668044,0.538493630232658,0.609312466024076,0.615535432734538,0.56764675765877,0.427823879663011,0.534423880131882,0.407915901988507,0.520984781459385,0.29419689584234,0.355118653756031,0.415648337535467,0.401925893932786,0.477787968143495,0.54973960253515,0.367598696855292,0.502309131818605,0.466997250319646,0.618589991179119,0.388195624177938,0.631494365313344,0.573861833570814,0.633060776128456,0.604791613909448,0.52520402910568,0.375851997134545,0.633355787327808,0.668850274740569,0.556473049556575,0.613796377662994,0.753715105673135,0.632324011522122,0.474189708005704,0.490755150232623,0.67930733166075,0.321965887972701,0.383697035003913,0.34622229144389,0.695857391206294,0.435295118941398,0.496355574718672,0.42325160192222,0.503173055965375,0.346762115009681,0.466535639272719,0.470195000448019,0.603798153576514,0.36931847498776,0.50132031001869,0.377751978227796,0.628039937920888,0.362912850712831,0.548247840302073,0.474943652530257,0.489825256869593,0.584839481156105,0.583691346671018,0.66025905895329,0.364179495187216,0.577170940476061,0.534443209642073,0.509314703627855,0.564756873667024,0.403169375178358,0.562851736771846,0.45088749745871,0.485156420506281,0.643199592567712,0.404139372636279,0.430353033364708,0.463662390234568,0.469550273405646,0.568396214706605,0.442526575766435,0.630017409109527,0.370866566455609,0.572536819970559,0.625602925932295,0.651328272578113,0.702543548850521,0.590696428951382,0.73201260689757,0.496094708825177,0.409537206356641,0.799941840918222,0.471594751252567,0.60424724141961,0.370918810847686,0.615068555529294,0.665942875505008,0.550944684381706,0.598744320081941,0.509137661464902,0.550321133012902,0.525528521795203,0.670234266883478,0.597176629103222,0.467745196498466,0.707167640011909,0.698225433364182,0.571525096559775,0.597414528231899,0.552867907407801,0.760312872716597,0.825457535980115,0.790043820519921,0.886440040176344,0.572512549493359,0.576738903164443,0.645074020756116,0.649241713970234,0.594731715812046,0.418854759246069,0.707238284894279,0.53437717321005,0.640523458971662,0.524667411833824,0.46170089022031,0.867036847635364,0.809424202458683,0.608415176372809,0.616610936959915,0.650980301107775,0.486718474804648,0.503023983990003,0.572612359042094,0.537292639459349
"W2",0.607722722944875,0.408059053691388,0,0.648894438562486,0.356410846743484,0.550024204180753,0.54946925947347,0.836151080275678,0.753491187867048,0.63855647082685,0.526441355927324,0.689189136036379,0.564534063438131,0.620520845652287,0.672591204211438,0.703048661358103,0.539065422832744,0.61596401774196,0.587384868466266,0.706634489739725,0.561611294205794,0.604250074600256,0.509759101509143,0.634284198611435,0.709462226173273,0.677394349746909,0.38486395037464,0.655822412105099,0.654167107540855,0.701587131374806,0.545383765005924,0.711747341785771,0.656256084243566,0.527398749415459,0.728346686286424,0.697254616609347,0.56880501812978,0.595442387852487,0.750026728430107,0.652862517322714,0.744353701741397,0.803468364648141,0.726595643565445,0.681995354077603,0.646256276675091,0.745863412341468,0.325508140857989,0.533851261998008,0.449696654465467,0.817731061618207,0.473091879562365,0.62182203468412,0.507734228145993,0.656685540297921,0.462768246468062,0.474294147861062,0.544368504401099,0.80016328750223,0.420481737328841,0.627078456381698,0.516789364097498,0.696733630917158,0.575894057541955,0.595696629495949,0.632510103953184,0.652246746782695,0.723456995672745,0.66913314541058,0.715597827242873,0.591465757888246,0.648577015599324,0.641111844871721,0.640472327709747,0.634394636290431,0.532816703650699,0.665237796049679,0.425229361615535,0.63851520126183,0.568456113902223,0.49089717282995,0.579957100533788,0.441027479949473,0.537765372009488,0.738919519255262,0.452409963105262,0.542804572270118,0.562714107977789,0.698446291745598,0.709249617671267,0.787616246782634,0.786991316865052,0.647957941352918,0.65304575246755,0.653179100060982,0.493935277193958,0.832115216207421,0.687993795010073,0.649374417986259,0.369933212100448,0.659156736113284,0.576509187700406,0.668757711217778,0.719107435038055,0.615860994451443,0.428099182196892,0.590616414993933,0.569309082046185,0.676827428562507,0.475087006790965,0.745921813324389,0.80299445363151,0.687587088601048,0.693633740153336,0.670667650379019,0.697459722051141,0.81025277887724,0.855302561487411,0.900493446703977,0.630287393006048,0.605526993423582,0.698594792089654,0.601715333750315,0.684954891955759,0.401820484187721,0.82333509830309,0.460549992650087,0.719109101562732,0.540100094263757,0.47599041516792,0.775770302385445,0.773707659963708,0.647413508580125,0.555713257650746,0.757940877565869,0.697039999930786,0.553371879209029,0.611522094642195,0.474390812562043
"C2",0.457014730397629,0.449747279144215,0.648894438562486,0,0.55419438038967,0.625526586568416,0.364521707608226,0.625453532904727,0.358808474189241,0.588807085898038,0.433195126521129,0.435624695171261,0.60053351184511,0.674987472121858,0.654845021594264,0.529994710913812,0.419948186397811,0.584113478739638,0.389469167255929,0.571670228698547,0.400170394605962,0.346397476622744,0.510806534281218,0.392019890200333,0.336702883160949,0.496666819588789,0.525408732712053,0.37996530784423,0.379663804468666,0.514170204649879,0.373389058539046,0.378172099854611,0.433549643793367,0.598049467935105,0.510311816184424,0.35487870039327,0.415871081050739,0.571090574504135,0.588343427352936,0.595346692368178,0.461912361465439,0.659428953488027,0.650573794800923,0.358388501424141,0.414616635059875,0.57575637564354,0.618466980034698,0.387645799158662,0.459590435280652,0.545899793630122,0.659533965821364,0.328694941595661,0.58267301939346,0.40958525009762,0.493546665073497,0.689548906918263,0.435377300466694,0.531900140060712,0.562971645569692,0.373374898537429,0.399615070243411,0.564840941863879,0.321786335094463,0.391175047786004,0.4889292810616,0.329388313195351,0.328842266137618,0.598896072169764,0.611897741409945,0.39207534396872,0.468182649362638,0.485143565481023,0.353121582068486,0.505030358706047,0.347017946418603,0.396644179703461,0.662263253206381,0.409463850894869,0.761946721755531,0.48729489475144,0.348320978697829,0.682869592062399,0.408598231669735,0.432033968713205,0.590753080046592,0.772243281635368,0.288489433039937,0.402837990673609,0.594843715846504,0.599447226278447,0.545652461191272,0.598974671260171,0.787310552738766,0.326024757853205,0.426867167131305,0.554370753266932,0.281684424213463,0.62610913177523,0.508426060926448,0.53445768997821,0.699998320241339,0.517562565178462,0.546399440186342,0.439596774724588,0.747865470141676,0.514202077240833,0.735254356124705,0.435918125209145,0.575726397923919,0.605053875821402,0.624685765209215,0.464801820618755,0.636961281720983,0.46279852832586,0.787652425875102,0.735937208473076,0.548720615538296,0.846494441053315,0.527027051125897,0.508266559585764,0.551515321785559,0.59841811633006,0.633795196352891,0.592032380188025,0.69751157411486,0.728653718726886,0.554256893875235,0.5668205533612,0.584450250765973,0.903690482536064,0.844831345837576,0.485960425655565,0.739860761655685,0.417983286070904,0.44832676370351,0.530663004295564,0.458388356139708,0.709893614579005
"C3",0.569614003176311,0.361578027332468,0.356410846743484,0.55419438038967,0,0.586759121575906,0.365234723804831,0.803477692614045,0.688193640901444,0.655499499922892,0.450919311337961,0.638856676476409,0.543512683587373,0.656837386138222,0.684283181574127,0.66895322368811,0.484926270126053,0.650338125375857,0.535662335694456,0.692512080951683,0.443335175947567,0.514376177517032,0.405562200919016,0.587954557990824,0.667507849620244,0.612086614702559,0.451679967934622,0.622747875720994,0.605161378463945,0.71059142021638,0.509379122203876,0.666751076347347,0.633965630550933,0.537467399087014,0.697901774406138,0.660731933598667,0.490348804759818,0.606090404862988,0.71287394833303,0.673725910978091,0.686378822037756,0.786372774645364,0.671666862968687,0.644339695555017,0.554398543078339,0.744325724895728,0.475476382778271,0.38810467351133,0.360484557061421,0.792057491425788,0.402045154187466,0.558255258321685,0.378059394497216,0.580993840652538,0.336897684393344,0.402186322169437,0.477482526358354,0.807816870047725,0.268420877616978,0.55406515940118,0.396051768369995,0.681616284709949,0.451657609239943,0.56569621456343,0.56720189437481,0.600481920241317,0.701794698543116,0.626964263911387,0.696038667239406,0.456462117931892,0.637855661630008,0.597651173881897,0.564298845218434,0.549543672410622,0.4478404735462,0.627916204325107,0.393685672298417,0.602984567997907,0.587906248473433,0.458652453642894,0.517602013405862,0.416825528705433,0.368768594145335,0.706431790345493,0.440512666366706,0.57933000129292,0.51976549177682,0.634854068761714,0.67000238081614,0.724645133459582,0.761809573487085,0.667257626330867,0.727258683081971,0.595707880231233,0.585703497347778,0.771480030661713,0.63661564872413,0.603275087322587,0.367504696668315,0.623603280735515,0.645968926742138,0.664611010914085,0.726858732471689,0.621961592795456,0.551704788602282,0.534974558986483,0.571797949725792,0.585562717299366,0.491612525237164,0.743182748294121,0.796686502861825,0.662261795405897,0.678428337110924,0.620584754710556,0.746998658367693,0.816041545026123,0.792348229404051,0.882725452292819,0.597475732094853,0.604008807263058,0.685341985471765,0.510858203068436,0.712273339260674,0.452790456421795,0.844846784975896,0.439600560408936,0.673946165412764,0.555193806135071,0.520352293558989,0.803509633385164,0.79496058909615,0.629937480492236,0.516056408576913,0.676834009327868,0.614890661014819,0.56428536646924,0.574831691091712,0.494157924421331
"W4",0.503298744291092,0.599819339663917,0.550024204180753,0.625526586568416,0.586759121575906,0,0.644079281212724,0.662529037966937,0.671074131297372,0.656942393450401,0.54700892994834,0.679916659031581,0.548689669647316,0.644013389542201,0.7447174948341,0.654789943371268,0.671031381220861,0.709610114178896,0.612455039751561,0.620518761234013,0.560059508471769,0.567062715698359,0.653582244734519,0.644688347701789,0.612181422963021,0.623095564987093,0.567753984072933,0.524291190270057,0.701277796851345,0.504383758470716,0.621661487873739,0.591278780139226,0.544889878699014,0.579196333896542,0.653340264024786,0.617282398880481,0.644272127612288,0.474152869327141,0.672576529153455,0.70322617825726,0.622318332184966,0.800950853555097,0.740284928172763,0.681908532495873,0.436371285407127,0.67948005264021,0.660890295607878,0.53790255072945,0.560765638977526,0.470149970500559,0.474787634929764,0.593153801468147,0.453847875490902,0.573076242100343,0.601582602338607,0.693674039774326,0.650055381649506,0.701449155823454,0.669267536175,0.626657853057323,0.573179604932358,0.6471010820906,0.522786397355411,0.528575265983279,0.672120446862183,0.476684308424461,0.601160608235329,0.468581465049522,0.734809513004526,0.670607291596513,0.614371192671015,0.589800212020452,0.597490387856955,0.576541790321607,0.588171726680175,0.652031493031118,0.636024714921915,0.66289680203981,0.76903305949863,0.620175131258044,0.614275725258826,0.700523597753732,0.576430043245156,0.617607925563884,0.665016471555929,0.672264823433462,0.598420456992706,0.614092688362598,0.614291146873574,0.687762558932706,0.609668793351458,0.693609632900892,0.77697996357405,0.591286729896083,0.590508478810802,0.734049513619745,0.657770911269055,0.67060741248298,0.657958534924876,0.656903104083388,0.571077896206314,0.520615748327383,0.614864132840394,0.635993911349888,0.695033036800692,0.523532051144821,0.750859773586868,0.632220995656519,0.62352834069671,0.737547109179634,0.812653016886697,0.746216360829803,0.707963767335908,0.672139504054164,0.727625003533001,0.78422893845453,0.782785243380939,0.875642347125806,0.468679929725179,0.578421961114135,0.612032376079611,0.613190851617935,0.689726891710438,0.524066660626184,0.798453937085396,0.551344085392606,0.670753299745751,0.525915311494883,0.551102554621227,0.863177094909932,0.843365636106997,0.638844278378739,0.624200293909417,0.57809641785956,0.687299860779815,0.58999982113358,0.596714343889228,0.722065544691163
"C4",0.639361841971728,0.432262564190242,0.54946925947347,0.364521707608226,0.365234723804831,0.644079281212724,0,0.64459397599807,0.574315355956358,0.622948203288374,0.457754499415851,0.52856492918436,0.649514682853774,0.73358219690961,0.734691521533324,0.664960139660293,0.466533300199528,0.65465293931938,0.483273048949364,0.673408684167483,0.368425088011735,0.397596705037183,0.423398729403838,0.520106648819933,0.569535665472328,0.555612121209378,0.526597008766439,0.500442269171794,0.52952222628316,0.576281002552681,0.514404471645224,0.440474155593411,0.57973534865388,0.542998492296246,0.632023711383819,0.518586422030118,0.405295212634686,0.664561471696631,0.602159189071902,0.630434841334803,0.557497477906464,0.68567885511321,0.658545268342312,0.586143061906027,0.467026551245088,0.617350261463417,0.571714633960237,0.399491195370564,0.293786241097562,0.665995732316244,0.527211159131936,0.503193078430959,0.469277115828589,0.535257076144835,0.38057441449279,0.579680949671837,0.491156568707611,0.68805638215231,0.454798424760399,0.567083102698535,0.367939456068746,0.651427906853756,0.407590898341205,0.496517989236076,0.460534288857171,0.504496734570752,0.578835486706515,0.578986154729708,0.637735033019483,0.283441528152657,0.640350170309435,0.516416431867469,0.563630303768177,0.397457108776348,0.371195427411445,0.543014768709053,0.520523303661735,0.541004866214196,0.750373020384024,0.548242475667387,0.346538256999262,0.639456315000669,0.511959772917933,0.557266843782275,0.499592691581497,0.759160908936387,0.397448274794512,0.506142622482043,0.645940540445291,0.561455964345495,0.652841347791176,0.669345504991787,0.808204053650747,0.467290478630842,0.567195425828572,0.644598017796245,0.532163419959444,0.646972076043311,0.422622199962881,0.637960502415747,0.760850571975376,0.648594428125708,0.69771276422544,0.589275075510371,0.714547527204244,0.581717683556405,0.701585114981894,0.609074376637413,0.511416978901876,0.649281444949703,0.688583518434495,0.518049273785751,0.699418541099054,0.642410046369099,0.801242845735203,0.727096849985433,0.654665705798034,0.817428378603552,0.637221889042258,0.685229333761967,0.690929699493739,0.61141785862536,0.70133003610712,0.489704172174056,0.710309218480066,0.624375564334094,0.677679670131175,0.631363439151267,0.536557549473874,0.825130258367331,0.863498219285812,0.647074252614549,0.71237538386878,0.505822754654601,0.522417355511697,0.635418236378972,0.585935008319492,0.714517213612206
"W6",0.591631103755209,0.772617112711939,0.836151080275678,0.625453532904727,0.803477692614045,0.662529037966937,0.64459397599807,0,0.666856721498762,0.740222392193424,0.743454999658929,0.720923838152334,0.782724040907348,0.791215847998428,0.853437683517883,0.597295843330554,0.68822949338288,0.733513623532765,0.677044543120758,0.756657077348089,0.727037991202307,0.698546502821233,0.724165704562468,0.752656085165907,0.661516157629694,0.685080900091002,0.767208249910415,0.674955806925333,0.736931559588571,0.382799571888764,0.725873943046182,0.564486832355546,0.664226250962492,0.701942777997424,0.68563220272594,0.596225492097023,0.645649346254642,0.779393824849077,0.725667534658381,0.705471467188463,0.704055900336784,0.684071867271102,0.804904448015198,0.74060278488464,0.580315428890934,0.644959187886727,0.811073825311816,0.712548185324515,0.65933822386241,0.439125353121782,0.692026872981835,0.705047914612349,0.72004521732529,0.55757446137552,0.773293404838358,0.842226527823691,0.721345952893898,0.709172468366324,0.823462767154369,0.693462262841345,0.691343780938591,0.64232976372981,0.676494379209918,0.619156104713185,0.623941163618527,0.633060140271281,0.680895586796629,0.555573984073865,0.744084690994076,0.711483698907243,0.718837077936629,0.702180616366877,0.697848528395232,0.535655520673609,0.633380722326226,0.750682947409513,0.845659485092852,0.699570130465365,0.916984920577101,0.768994836443777,0.60363993776263,0.895239123463226,0.754712629304818,0.661749098363514,0.817780429333135,0.806380379880973,0.632188750544146,0.635040093961123,0.767493549437259,0.409027913407898,0.363449974249549,0.859105754773399,0.902551821640964,0.604231885945239,0.703042978084168,0.65390275111161,0.673937451684765,0.718416548820006,0.766048578857042,0.713916980743881,0.841884533322936,0.752316451167587,0.772990771181425,0.713422841518702,0.91478808842727,0.739338381276005,0.911357048340116,0.730100008124546,0.789243008046858,0.711438700010905,0.643966878277761,0.632411044072931,0.845658328577299,0.759801937483986,0.856697388892748,0.680666086964076,0.652696031472324,0.851263827565637,0.726248009386889,0.741563460619041,0.758678640536812,0.724672987333929,0.720471575044706,0.705121679788995,0.636947355235993,0.68539825917695,0.765474117254906,0.722108532404622,0.644593519821319,0.884638543094242,0.883619907323455,0.71090266312501,0.753619215370695,0.59080061227879,0.676951770558341,0.721002752929922,0.695344034332518,0.91625318225439
"C6",0.615510895424446,0.599384880464664,0.753491187867048,0.358808474189241,0.688193640901444,0.671074131297372,0.574315355956358,0.666856721498762,0,0.671657228143393,0.416604952664876,0.557663906236044,0.624828612487052,0.758122646495851,0.692943595510409,0.597593817871312,0.487905168900523,0.68696032068481,0.568119763770817,0.623899944657048,0.48565813034504,0.45051001894022,0.659966980115974,0.465243669626752,0.357968577580802,0.424013411012723,0.712660787946539,0.533887786365354,0.398297614056271,0.642164333145872,0.396022221534192,0.456835945996541,0.606490402773306,0.751581860342907,0.500211213611261,0.47460376608459,0.538753787648066,0.631231340606256,0.598950002458678,0.708619203505132,0.521147787809525,0.638737901381724,0.700668977402216,0.483423009223495,0.571192060942165,0.637424038549512,0.720051450164471,0.508868930818036,0.568706189471077,0.516843774681448,0.782439259048205,0.544617037611296,0.700231135070636,0.528713104788933,0.637693404933051,0.778233828977684,0.635472683013949,0.591203570398345,0.652151391740528,0.54014605418474,0.596214246003071,0.672183553464555,0.4893137564069,0.481331098593229,0.518143985766775,0.528323586907456,0.259171756403445,0.706100107156467,0.64811045625117,0.536090519653674,0.487957480273791,0.541056723247328,0.403171335623494,0.598692150253592,0.530520865111824,0.457624488922092,0.703146137143739,0.483942299365758,0.833612445868544,0.632324691853213,0.46813015107124,0.77479732520714,0.580372568879412,0.494185200008427,0.697401612321158,0.845925053958241,0.432024107810654,0.506004252670784,0.696641973355836,0.665145576362921,0.579725620075935,0.709068934234292,0.85392740289946,0.447093534255049,0.603366770447446,0.364875108394779,0.427082328634683,0.68308153409608,0.58363731845665,0.599520592427402,0.758924551247875,0.51171895254937,0.592734915049658,0.468532294724042,0.761788103282064,0.545175454572903,0.824120230769341,0.541254880192429,0.66020388585659,0.626957995127553,0.603136220675063,0.542115817793042,0.656752130104366,0.481286524683124,0.782837303880659,0.674128689652766,0.401785768346855,0.788119723328385,0.607169772095699,0.620021176654065,0.556297029636753,0.693285164772414,0.685270483462538,0.63013264669291,0.723298668642304,0.787766745601131,0.561340595513782,0.680124420401496,0.721244752238465,0.914705743266963,0.896006657405586,0.540426869575515,0.814501829584826,0.431187100817288,0.403196045477192,0.614510613517113,0.566493495012319,0.79352605393059
"W7",0.654699045899752,0.616272881171739,0.63855647082685,0.588807085898038,0.655499499922892,0.656942393450401,0.622948203288374,0.740222392193424,0.671657228143393,0,0.638932059621001,0.448098155396685,0.499194367627593,0.375149032854082,0.624197274027637,0.575917734562248,0.624516597525365,0.579115663917729,0.610361350180925,0.533634879526198,0.533944855941656,0.587235882712161,0.62474878843296,0.60795808752051,0.581186131491719,0.621928541948931,0.561130870796064,0.500027806462097,0.616230472145463,0.698070597283334,0.573532018280509,0.620953720551231,0.481092100950315,0.396020508572484,0.609863261850275,0.578621640356359,0.642953060033168,0.452494070222829,0.497615113922473,0.519783220262094,0.641305090574609,0.731758320090685,0.729758200302957,0.581250445572155,0.608401670629363,0.616085332310639,0.6153894503569,0.655163742200258,0.620195464036107,0.780496068836207,0.676070411468715,0.479763056938509,0.641642030865291,0.680496227758285,0.607827622733719,0.76103755893784,0.573726244832146,0.668135774522933,0.638157866164977,0.514926748096853,0.600667252931889,0.601252540338107,0.613332853446945,0.516882253718554,0.688449637142272,0.564350985592309,0.617692279303993,0.595643803108436,0.531048945203036,0.623672389227458,0.597285414830379,0.464897011569769,0.583789145628141,0.708836747696993,0.629187563895536,0.562843116945559,0.611243176583965,0.584729105211057,0.754054444409598,0.580913181452213,0.639677809248902,0.745399169212472,0.572497984173018,0.627095456151714,0.616504622297303,0.774432314173852,0.65749700754471,0.576045888932719,0.55416357709685,0.7144475898003,0.661041282780049,0.704908968320874,0.792498341671122,0.558368904180592,0.558615185809541,0.729923276634515,0.611946431845817,0.40843965778761,0.585973648532977,0.572135359056393,0.575823441063094,0.531675810065981,0.632076993294845,0.594545273432737,0.691078776243512,0.663566441446042,0.77220263161013,0.552020369986225,0.614322331330572,0.662444836493617,0.735517726848846,0.635868203183261,0.528390847071099,0.647494470358931,0.562831201930277,0.78646446654046,0.751363050776815,0.82093865219672,0.480364397526817,0.485372900691997,0.424473696658173,0.704635940649701,0.586039327670665,0.560553696711389,0.745104688977022,0.731377076466517,0.531112903915378,0.678847310120204,0.636172352322994,0.896875773161694,0.864579178608416,0.572997081540794,0.720238065154574,0.595958428423127,0.638331700308953,0.563386620952194,0.626313428081114,0.693501931496292
