"","warble_1","warble_2","warble_3","warble_4","warble_6","warble_7","warble_9","warble_10","warble_12","warble_14","warble_15","warble_20","warble_33","warble_42","warble_43","warble_45","warble_49","warble_50","warble_52","warble_53","warble_54","warble_57","warble_58","warble_60","warble_63","warble_68","warble_69","warble_73","warble_80","warble_83","warble_84","warble_85","warble_87","warble_88","warble_89","warble_90","warble_93","warble_94","warble_95","warble_96","warble_97","warble_100","warble_101","warble_103","warble_104","warble_106","warble_107","warble_108","warble_109","warble_110","warble_111","warble_112","warble_114","warble_117","warble_118","warble_119","warble_120","warble_121","warble_122","warble_123","warble_125","warble_126","warble_127","warble_135","warble_136","warble_137","warble_139","warble_140","warble_141","warble_144","warble_145","warble_147","warble_148","warble_149","warble_150","warble_151","warble_152","warble_153","warble_154","warble_157","warble_158","warble_159","warble_161","warble_162","warble_164","warble_170","warble_173","warble_178","warble_180","warble_181","warble_185","warble_187","warble_188","warble_189","warble_191","warble_192","warble_197","warble_200","warble_202","warble_221","warble_222","warble_224","warble_225","warble_227","warble_228","warble_229","warble_230","warble_232","warble_234","warble_236","warble_240","warble_243","warble_245","warble_247","warble_250","warble_251","warble_257","warble_262","warble_263","warble_265","warble_269","warble_272","warble_280","warble_282","warble_283","warble_286","warble_292","warble_293","warble_296","warble_307","warble_308","warble_310","warble_315","warble_318","warble_319","warble_324","warble_325","warble_326"
"warble_1",0,1.73589276339621,0.855600685925232,0.926155608582668,2.8512216111634,1.25783087406796,1.7290208540438,0.736399980448372,1.3841766598062,1.59168605526517,2.69075148642796,1.9851712859119,1.58593627567769,1.46716642380822,1.11783371749679,1.2781080887114,0.646994878441676,0.735567005159833,1.36922710919846,0.803049176682435,1.80681380487881,2.05218452346043,0.874618039804057,1.19217376826449,1.59062834520508,0.72015345615866,1.00748131833682,1.62415223558284,0.997486007471555,1.37735505297518,1.97809274471491,2.20697553333047,1.41452123927637,1.77178174075452,1.1052075182747,1.96033688473787,2.83889505182831,1.31040354330172,2.44494295712161,0.79409802983967,1.12139509560039,1.1191075944774,0.991050850955786,3.47771766273492,1.01803671570051,1.52078144437927,1.09266443716315,0.783701737932129,0.824493962065346,1.43456885200476,2.02182523795903,1.27771718747433,1.74034248912677,0.923607276761333,1.06694317286661,0.970351241843095,1.7674870558404,4.09248205976103,1.63671888614418,1.02277747846405,2.15266687682231,4.70206326484145,5.77431343419342,2.37522111073835,2.3908202813347,2.2309581564484,1.96070431398276,1.35957707333897,1.03772019336698,1.18595525672155,0.950833065136273,2.32267330224364,3.0669629363754,0.976607889287698,1.25752199632889,0.87092835189816,1.62398448047561,2.24856780512556,2.96680695959863,1.36812505700279,0.62307083414856,0.50789958010555,1.31412363583465,3.94790480542093,1.40782674290025,3.63732363570915,1.66044645419055,2.07702748530426,1.50179678918917,1.20372025361423,1.16352146723985,1.18193365634137,3.35882129418849,1.38315974877292,1.53472020096387,6.96231307696899,1.70282407792899,1.69198360029055,1.62822703263435,1.02708071665391,1.05551716352418,1.00739222034062,7.24855997427497,0.818830535342782,1.52185940244204,1.59025012937922,1.092608831928,1.39782100149332,1.24273034929977,0.981223728729245,7.82221155918197,2.4746016507516,2.93438841499855,6.60669934145294,0.687096357178655,8.48798961183512,4.84596884266374,0.763216716921829,0.917143072161404,3.55031149729875,1.92116432314267,0.980652679166722,1.4475750778144,0.979014747541354,0.792349972015042,1.01260247003285,1.58004801909023,1.87479287631028,3.05542338072935,2.92387557540465,0.42799478138075,1.78140518578455,0.853444675787703,0.893724130537408,2.19045321655601,1.59798864107203,2.86377079731312,0.8920878058068
"warble_2",1.73589276339621,0,1.99206664854367,1.59875589697091,3.62816783954233,2.22200017592313,2.46852115509665,1.90278081046761,2.42027160611024,2.72626684847455,3.54653830941812,3.01498059506894,2.65485780673512,2.20900228609592,1.7442747659136,2.10061059838118,1.8562415757626,2.04787167193551,2.48080429603114,2.17893885497099,2.71312242016522,2.96805560154221,2.27613941318599,1.53941912794424,2.61254120222456,1.92545286011402,2.00603067166844,2.5330315733112,2.17170912939388,2.2573100677451,2.96989398190632,2.09879542571344,2.08139584250716,2.89216602742825,2.30822208640085,2.93467137924142,2.47226560248515,1.90548616239108,3.35145367023844,1.98956085019305,1.85679904443285,1.92477359092867,2.0613947747484,3.42277021085538,2.20633524712638,2.65189188622676,2.36725370890403,2.16201579056892,2.06700908871743,2.43014524758215,2.51959638777868,2.41098229075158,2.6512832326933,2.25935875816284,2.30397152857954,2.22952874274937,2.74700131249063,3.20204399551156,2.62836340808111,2.11967901939716,2.976637211102,4.73498828238043,4.67397087572953,2.97260478480777,3.14235159831824,2.35852008722122,2.79574339120453,2.18217120858153,1.9213545789135,2.42576725003162,1.87763145830002,2.78546866201754,3.81738939688726,1.79362420694355,2.30463318536022,2.1894651445163,2.31811186079746,2.85914404630216,3.25942181617001,2.16240518450562,1.78636520216847,1.7340316981777,2.56798665529928,2.65589214171488,2.34442757495351,3.70472204686465,2.04041355697954,2.48651422531602,2.11457822131528,2.17677843264105,2.0830335992864,2.30031702666456,3.03917333820523,2.56321042822689,2.46896971453217,5.59973703128723,1.81773110774585,1.64303071034256,1.8199508858375,2.32979928299037,1.88002228138448,2.18139680923296,6.81415727677782,1.86291043838937,1.70885966269957,2.06161871200997,1.64987133265336,2.19314267505208,1.91881639548184,2.07267229238173,7.02756918181509,1.63714705734321,3.18945049346014,6.01898162844849,1.96763104399213,7.20753362757702,4.08457545276798,2.18320994958128,2.01610355872647,2.59974112901339,2.90667419987532,2.21903666848984,2.40463914625565,1.79891769096731,1.55542247968108,2.07630194712376,2.66715555450093,2.67377800622966,3.86149026622938,2.10273391120293,1.90265723301777,2.36083839368178,1.99121475925334,1.80965232222918,3.1497447030002,2.39996994921757,2.59571873990148,1.93642160720319
"warble_3",0.855600685925232,1.99206664854367,0,1.1490130869194,2.70112098022177,0.772676462231267,1.91252294395806,0.810310283062074,1.48707368918484,1.58366239441322,2.56791992903753,1.78402745092165,1.60171208333704,1.39107155963207,1.46608599781638,0.978704366734483,0.790848035177414,0.842675823250088,1.29554012716439,0.966780116533079,1.63738951258752,1.98450560253654,0.863131131223884,1.50210973241283,1.50085635212533,1.1711306372679,1.25503527728749,1.82427719337912,1.06663349640809,1.35895717650904,1.92193425497516,2.22898097603928,1.52626857031349,1.70874790184688,1.10199857939058,1.82416278033262,3.16936528637187,1.54669957052787,2.41428934084386,1.14314697923045,1.62101849635656,1.31786019911434,1.09999591689541,3.7867933761976,1.13548575876511,1.51650863894838,1.35529039047637,1.29495220574654,1.10484713102696,1.53468339546641,1.91173387697872,1.37136213956746,1.59574702836097,1.18463281537158,1.35357101583558,1.23853403400589,1.92890682311689,4.22913477218203,1.64622109648075,1.23089482335392,1.95646506218627,5.02289053295429,6.1475962203902,1.9705209023651,2.03668299301135,1.81707110321494,1.8163795786225,1.45991508069777,1.21029658934437,1.06567230457101,0.994926459326899,2.26636303555514,2.96857432496931,1.05324285960202,1.17741871606291,0.56975197833503,1.7242119113484,1.87875740058218,2.84703357215466,1.5632220641572,1.05162307223147,1.14853164857749,1.33028826758094,4.27153734723736,1.68124483398786,3.19664378944389,1.48115433399957,1.62641104581133,1.59898053561255,0.853290386601847,1.22356011844149,0.899573995310656,3.50956484182632,1.41989385872074,1.41193401429146,7.15172328521936,1.79789444433401,1.73831147483548,1.91189988813184,1.07596205684258,0.982150031703866,1.15011533573981,7.56134942700875,1.40209228592676,1.66110258083489,1.74472500494668,1.34838477143793,1.51349841195541,1.59360758878327,0.88361903981965,8.18696703593013,2.71148661915447,3.09643156838631,7.14481117810237,0.789650153680375,8.8223543423996,4.96070309696977,0.885044011908874,0.945939680891043,3.80982480528071,1.82601922991682,1.14484740701413,1.57221400922904,1.2870026412225,1.26661150404831,1.42457052407658,1.42282021851539,1.86063024908963,2.90201510757464,3.40753765200967,0.700563893553725,2.25703541550214,1.337477953688,1.39026014724893,2.18556446997292,1.81214368956499,3.02456069095805,0.872364656810296
"warble_4",0.926155608582668,1.59875589697091,1.1490130869194,0,3.24056800913456,1.5562944526815,1.67508184002021,1.15141773762595,1.57809734781506,2.0685335791319,3.08671380996055,2.32505232994305,2.10379485052114,1.75584605374634,1.40132822325734,1.5261269587384,0.916027983940869,1.14591621581199,1.83879407605028,1.33967532565368,2.1744644366273,2.46755309565045,1.31191310042062,1.21659511831377,2.02916499283369,1.01707650947878,1.46417865917746,2.22292990392274,1.45924064902706,1.71308334673452,2.42378348746672,2.27360139198068,1.7142936939129,2.26027328557386,1.57350481909644,2.33582255491689,2.73904306616255,1.67102901673232,2.84970870817778,1.37219790913408,1.58477188063188,1.5308552669781,1.43392486970436,3.47800486859734,1.54493466478573,1.94563157844874,1.64311659005501,1.39208121559906,1.30980605620983,1.85778051260089,2.28980553768982,1.65571338777201,2.05202760919792,1.44883094372271,1.5562635421242,1.48731183175385,2.19647689931218,3.92279732570225,1.95903192736493,1.50694551858644,2.50891787201297,4.82120781274104,5.65561175277661,2.28711240961698,2.46104032711519,2.18492449476395,2.34316154347406,1.74133511522905,1.36722318585192,1.68541414729741,1.47262001596157,2.12192951245208,3.45178583351422,1.04477246415292,1.65830730797191,1.2352782905766,1.6392397125986,2.25350642627496,3.1448290165175,1.5525489301176,0.867117054944303,1.04193513924317,1.7985741819868,3.65525643047645,1.85986545726205,3.47136784756013,1.7172909698201,2.15427084731563,1.67605418814997,1.31362332073951,1.36134606508922,1.4455230403137,3.54395843852879,1.95425443165936,1.93546284549466,6.74490903158534,1.76239046782154,1.73261971684915,1.6718096431335,1.55221538395496,1.45634225796986,1.52042556609667,7.22580927529405,1.33260887446336,1.49280472920676,1.23617218989931,1.24713655570046,1.36929942784652,1.66067036822384,1.35602753972303,7.48850605897281,2.58143883492516,2.92500834141249,6.55714620909382,1.19337400336851,8.19578701683705,4.70039555421335,1.28221339314127,1.44550646201417,3.4539486560884,2.40291073384225,1.51102003357796,1.93180398734419,1.488077756042,0.84707249370596,1.36817709563047,2.0255147078418,2.30769188315541,3.50872928136178,2.92550290974692,0.879793807407524,2.17669504841986,1.29274248718366,1.4176373442423,2.68604583440463,2.0718847574463,3.02153639963115,1.31309816805963
"warble_6",2.8512216111634,3.62816783954233,2.70112098022177,3.24056800913456,0,2.74581381574135,3.61525756578908,3.1577423322168,3.16526837117969,1.4800801969303,1.13662030670447,2.05310916645151,1.96723877891211,2.29593666578003,2.23054909399218,2.44064469137724,3.04769227994818,2.7384685842653,1.68790685553386,2.30751239560574,1.26757346407902,0.905542663529605,2.49503628031239,3.62566031089884,1.36440451248847,3.4196554848915,2.27657828302939,1.84089975377314,2.26838127202415,2.34425491237182,1.10734394629529,2.83015906975045,1.93809046850402,1.30124622315833,2.07152635696625,1.9021052954907,5.16431759454236,2.16067517775063,0.777773541705776,2.3166397617218,2.57087845211916,1.94273558887686,2.23352636688905,3.64207736896394,1.89754272694782,1.88280257583632,2.02148408402667,2.437296078083,2.37693566641081,1.63357559767239,1.86201450757321,1.92692163782644,2.37458167094328,2.21257468715989,2.03816654488063,2.17203312226603,1.59947937035585,5.38219451841377,1.48643602876782,2.41313022187685,1.81896896589125,4.9284334754832,6.82759912390556,4.21822937859713,3.77429290325834,4.15501022413595,1.94523708085468,2.91155246709285,3.20999894068958,2.29828586245552,2.93411995045755,4.81935749472023,1.11503055285273,3.24806769943111,2.02812497632373,2.51352471624809,3.56996724908844,3.76314415104249,2.05110201457375,3.83035089859715,3.30510042649473,2.9104391382565,1.82301994805888,5.24514076065967,2.58463018825232,5.35253628410976,3.82809371075411,3.86187008222181,2.57674077897684,3.06105602313886,3.48918141074549,2.90396539102202,4.35965241118752,1.9902987892836,2.86110243047073,8.19412296621328,2.57224141331737,2.66494109870956,3.92046525020819,2.18218308888861,2.68720977584814,1.91697082525345,7.73415723778748,2.80398940213327,2.64586892358177,4.11856966764175,3.34717460173486,3.98927735975863,2.81879893988952,2.58943949082413,8.4988523330158,4.02108518057899,5.08449175997551,8.06718870704975,2.62558466573444,9.48364613081446,6.24952681139895,2.70544412875166,2.29422417605722,4.2871721055701,1.25938100044068,2.04682556258838,1.67329850435372,2.5845101641454,3.04777681025169,3.52184462903773,1.57579157105816,1.41887203926301,0.609146020544091,4.3046276192314,2.71287113865976,3.17606953304469,3.15526444919385,2.86288630980685,1.04597957704833,1.61412248683549,3.98953519995035,2.23406566965533
"warble_7",1.25783087406796,2.22200017592313,0.772676462231267,1.5562944526815,2.74581381574135,0,2.06106472980438,1.01905198480948,1.42011151084895,1.72697005341946,2.5994336235609,1.6445504632221,1.45330623501193,1.29465800547166,1.62747549680341,0.82287435405581,1.23120825530941,1.08539303246685,1.43343297505793,1.07539099955533,1.60159311069909,2.0620717041409,0.942790660837324,1.85470215417913,1.6483207923631,1.47960612920756,1.66855721226009,1.92398456852457,1.21797197152237,1.20213496462056,2.13272245396079,2.04317318523181,1.71140898508135,1.73849705327675,1.26653013500567,1.64755192742064,3.27608124347591,1.80837264121324,2.59855104027864,1.47308437019114,1.83314414497261,1.56470028108166,1.50815674045454,3.85207682714358,1.336583962082,1.52531392554629,1.66007384933235,1.65080031451551,1.31044979559681,1.7878578411869,1.92426545539812,1.66352259464458,1.3516038266351,1.54929365766027,1.71589199092637,1.57063098916181,2.22618115464584,4.21161936461411,1.79606961022795,1.59170142885067,1.68121454959505,4.94223241780803,6.19459600196732,2.00744942481543,1.74126064650363,1.90166719356148,1.49293304468637,1.64564735967584,1.35901985847338,0.793543883634753,0.834673396153398,2.46945102776653,2.96271787152577,1.2228302497294,1.02265653564273,0.692819394949903,1.81293197873515,1.6316901744402,2.81593577881195,1.62821940009501,1.31069968024859,1.45137660371922,1.50188405821988,4.24075707183358,1.59364442418157,3.22229335064991,1.7702185213713,1.44497353227674,1.33235475167338,0.942209514631653,1.16533102366644,0.719036975666487,3.5328058251704,1.26044397985369,0.907181414801865,7.16224942539764,1.71911979293651,1.65146664759412,1.98826854974353,1.01738812541506,0.850645695218268,1.32855894602231,7.5949174923693,1.63676296748346,1.67326247097801,1.82912199132334,1.50184714283179,1.71061752053111,1.45285997536721,0.970519231362861,8.26036181161996,2.58142395419743,3.07724452594608,7.2919440127447,0.946776588611911,8.78404031816941,5.03647323022764,0.870935269692112,0.889190604852234,3.78761512267382,1.73905316230966,1.27849023639417,1.58486435853732,1.31260562477206,1.42887262052993,1.53878197355908,1.47413469995894,2.03086398793418,2.84615237640369,3.4421940739794,1.13824789963572,2.25180387037122,1.48532691632579,1.45770967758907,2.20449205343479,2.08685474335056,3.10354501034635,1.12127312322485
"warble_9",1.7290208540438,2.46852115509665,1.91252294395806,1.67508184002021,3.61525756578908,2.06106472980438,0,1.74415990867121,0.88620417830812,2.53016065312956,3.48955664273448,2.76748237857155,2.5854286854127,2.28683284878209,1.96850726971627,1.80001515088082,1.49451187453117,1.25252705576919,2.36861161858718,1.87949330791358,2.68666733593509,2.91215468391123,1.8533586096575,1.82721973207344,2.49090166068386,1.63233475839663,2.07245882415547,2.70997841301353,1.91632055721557,2.1514025026242,2.84506702312011,2.95769486439894,2.36987794136636,2.69422741896528,2.05315962529918,2.78755073718427,2.75647937923169,2.33337431000767,3.22515191029049,1.96330701408498,2.16018744818096,2.20547324438417,1.97562179944151,4.11507950444271,2.10620782846416,2.43370691260733,2.13201287809228,1.95849666126813,1.91442302303196,2.37300981426183,2.86725438179984,2.18497209930581,2.49086830236613,1.95027279208351,2.01457090790634,2.01595826257569,2.64926825215236,4.11629575815598,2.3335294663688,2.04513456878206,2.97818984563303,5.28317655828873,6.16099977414687,2.62507479768974,2.67215182075776,2.53712203305408,2.81988670848078,2.35207579274923,2.04843365026484,2.16813585064373,2.08705939926483,2.61289724038557,3.82213163994929,1.62380956141614,2.2380327651063,1.76135497824638,0.586298079723607,2.45917465684087,3.67042968258021,2.13385202258085,1.66550962782658,1.80802293313972,2.30868107349486,4.19949404216221,2.39697396377515,3.96513481203678,2.40673908367729,2.66459370018339,2.31683347451017,2.03237934929559,1.9993082297765,2.08634006545892,4.10837247711106,2.42089138246599,2.43731820428589,7.143729613205,2.18812962713052,2.5282596184969,2.32266005369113,2.07643865049944,2.02869371029239,2.09532581742485,7.66261262874282,2.02568784856894,2.17122020661287,1.51392881493202,1.58700976199173,1.9611846701589,2.1901918145075,2.04390996801506,8.03206795934893,3.01052137370055,1.82927830442376,6.96211618424984,1.82987285885481,8.60237311768436,5.09126877917739,1.85813752429507,1.98038271215796,4.06626922457747,2.80793208536367,2.12893111065959,2.46984800854087,2.1677907497316,1.63242541495055,1.97843967022695,2.53954714932057,2.86274862509921,3.84449802229075,3.53157113076032,1.6494656654454,2.67264038160341,1.90758760586345,2.00524073199702,2.91379620665759,2.60751495019875,3.52220820061728,1.9813729072067
"warble_10",0.736399980448372,1.90278081046761,0.810310283062074,1.15141773762595,3.1577423322168,1.01905198480948,1.74415990867121,0,1.32366102433578,1.96833864928543,3.00603308311762,2.20556183760589,1.73800045071557,1.70942649062034,1.56258451077942,1.31854268654792,0.833305116596549,0.889390465003333,1.73515880853754,1.17975032497587,2.10004843929762,2.40439032470749,1.123829250946,1.28050145544269,1.90384866431181,0.907116822329053,1.46308155487004,1.92169300027766,1.29033912943031,1.62184617927323,2.37346957127636,2.41277968620933,1.8434047753551,2.07090247570974,1.44840681292874,2.18323906959454,2.60304350907624,1.73410175133587,2.82390635571136,1.2744174678418,1.51358238651076,1.60920420696083,1.43743427042521,3.87689241114902,1.38863371807861,1.82623904748872,1.5669792191305,1.28329591084264,1.29419909163529,1.87882646561805,2.33014302488062,1.71057888587568,1.8765819050809,1.42731287609314,1.59522535353351,1.49195554877341,2.25624577700634,4.04904427955107,2.01520707533567,1.39993523549818,2.32560096266972,4.96162352620849,5.91873254318077,1.90233271032495,1.91579711033952,1.704733176954,2.12323001299519,1.36250380035348,0.90764696736947,1.28163468266707,0.80250723218852,1.94984949385566,3.37885177474281,0.865481335412238,1.44099597383657,0.9080369919543,1.50623941278681,1.79649601477693,3.18749424298661,0.973447894124133,0.714600492326186,0.900878965549203,1.70064187016702,4.11648661225144,1.62173008847551,3.10956590151408,1.25653158748629,1.52435311737271,1.58487235596358,0.867424704922377,0.653792650876764,0.945787604391297,3.36831761014015,1.52115987647831,1.22130490949201,7.01842777020067,1.8651431208316,1.82898573526133,1.43399550328861,1.27631593257945,1.06350884608557,1.42559310888311,7.50287683773416,1.31683494825947,1.82174096415397,1.38293756188811,1.01366317512173,1.10085555986823,1.39751261197674,1.06847778109118,8.09543314266963,2.42905335268621,2.62412756032098,6.84804511232734,0.966529975475849,8.60156972696767,4.84217644413894,0.844153049940384,1.08068800790321,3.69974452854401,2.13672113548212,1.38062607962593,1.78740040118789,1.30000583753001,1.1001887553229,0.92196735333459,1.77455981697233,2.16809404850962,3.27829804690162,3.13171025121698,0.806257085566468,2.00866848063596,0.970126755485906,1.09351454139293,2.47310365571037,2.07318120054811,2.92652440546678,1.11441479221013
"warble_12",1.3841766598062,2.42027160611024,1.48707368918484,1.57809734781506,3.16526837117969,1.42011151084895,0.88620417830812,1.32366102433578,0,2.0910022055129,3.08667752780573,2.25820453117768,2.00459050126546,1.85828088535616,1.63893087591148,1.30538770288335,1.23729674528974,0.858889663011506,1.91141952866994,1.33316516677441,2.15106761571599,2.44997697927021,1.29132576226491,1.79682639686103,2.03015856444609,1.39221052520783,1.84110583183081,2.30183415166564,1.52020801359471,1.65428829921218,2.48026432250191,2.60320143164043,2.04948756239629,2.17402728086549,1.6362952994161,2.25912423904341,2.92927994044776,2.05235859501444,2.86610434592502,1.65717177951829,1.91445104618319,1.85420367867323,1.73846308956511,3.98801220583343,1.59556807642195,1.95470242751801,1.78715166998295,1.63986955837951,1.51705665037553,2.04281752891552,2.49300420529958,1.87276318282241,1.96276826810496,1.63114939858147,1.73294465506951,1.70796108406833,2.38580363779748,4.15262014906058,1.96736869959103,1.76957986825935,2.39237177376565,5.07044440336543,6.19111291008063,2.34224402358003,2.13017161847158,2.38749186327265,2.19760035922531,2.02369044702032,1.69215218443608,1.48106753061862,1.52846154668442,2.5161986379563,3.41984879449217,1.25732189131939,1.58143049102487,1.17209910042416,0.743626078635886,1.99102591245559,3.30868138094558,1.80580516726267,1.34131890366943,1.48585117588787,1.85724038446667,4.18599021264212,1.92766032027282,3.77963615061677,2.2285008883668,2.20582149825388,1.68329507352375,1.5181032539233,1.49374864605725,1.44201368568512,3.90271931832485,1.76992307373608,1.69383485976399,7.22754675579748,1.83227140513293,2.11175245722107,2.10429559003111,1.41348694077338,1.44203841093397,1.60585860688766,7.63541298055008,1.7107349123105,1.8157672301899,1.48353527194776,1.36006359858316,1.75803881212643,1.7088756983157,1.54369371759508,8.15217853332368,2.82557916265663,2.1730428626178,7.08857642168508,1.32493609460791,8.67421876460195,5.11512779690685,1.18414271489413,1.33731162209519,3.90685380031069,2.17998623650463,1.63667203067244,1.94032828781256,1.7137417142549,1.36563057751158,1.64336789896491,2.00263391267235,2.49309516379851,3.32314755768698,3.39532390729514,1.25981739709092,2.3063608071414,1.53179782851487,1.60855119867643,2.4594532123973,2.3108594904829,3.33489401974034,1.49475238220401
"warble_14",1.59168605526517,2.72626684847455,1.58366239441322,2.0685335791319,1.4800801969303,1.72697005341946,2.53016065312956,1.96833864928543,2.0910022055129,0,1.17047979742927,1.04746910469503,0.917490854368591,1.141953498732,1.27112810905435,1.48831201588316,1.76646611349687,1.50244042699765,0.373689344723505,0.997048107476128,0.705486767669867,0.663313042344157,1.16962719966826,2.46532004471051,0.549707356208145,2.07323891179336,1.11307772477883,1.01525635927966,0.917171677405001,1.16047133518029,0.583322513449407,2.06339986468207,0.88359306107321,0.367673316433564,0.678253376102897,0.97371034028603,4.08316074955756,1.24267656620795,1.0483592641114,1.01218444494788,1.42940177629821,0.849234470123374,0.9959724591973,3.44526930863744,0.852874977691517,0.593852590186862,0.674974269692904,1.14428828919959,0.996673242568537,0.473758192586703,1.32521290716353,0.565671921936642,1.27126289941569,0.841863912526512,0.788724266754231,0.795660631686189,0.666206346230213,4.78941678189428,0.549044873619144,1.21963307584698,1.18075986078385,4.77082533293349,6.41247477766116,3.2667607259335,2.98443522337208,3.27808144825489,1.19202239785039,1.85992733060797,1.99330236920067,1.13285604631713,1.83280104512489,3.64561494922767,1.57274235431534,2.09288731719784,1.02029163269398,1.33666361509316,2.52000423806219,2.90763357226743,2.06658759677915,2.59844161586454,1.9968344375584,1.65587079828314,0.370408178132326,4.61003709848536,1.38361022678967,4.57732516078022,2.8132867596605,3.01954272634531,1.74896385926666,2.03112495363941,2.33205531061492,1.81569883262866,3.83765638212967,0.963151124083546,1.96028212876443,7.71911040723789,1.82330984815407,1.92608348395225,2.77635974135185,1.02200374108388,1.70203259833789,0.725819703550859,7.58597252429225,1.60970281125327,1.77220712977444,2.88342480605232,2.25071976418874,2.7033927753067,1.72315984475706,1.38731267045689,8.29400051829427,3.23460295101521,4.03822793193816,7.41586265264312,1.35796467611686,9.06762156167497,5.65337455541262,1.52110150070916,1.27425960942696,3.91721206491822,1.02471697146692,0.727963790326985,0.78324994347727,1.41310413317376,1.85809618145988,2.20156844500392,0.731004805371434,0.861104782379034,1.72867418446651,3.65870486379636,1.44097261090496,2.35004834324703,1.87589257182154,1.64633399856797,0.887537791098187,0.831826535416497,3.42957435830947,1.25588061498692
