"","W1","W2","W4","W6","W7","W9","W10","W33","W42","W43","W52","W54","W57","W60","W63","W68","W73","W83","W84","W85","W87","W93","W94","W95","W96","W97","W100","W101","W104","W107","W108","W109","W111","W112","W114","W120","W121","W122","W123","W126","W127","W139","W140","W144","W150","W152","W153","W154","W164","W170","W181","W185","W187","W188","W189","W197","W221","W227","W228","W247","W251","W262","W265","W269","W280","W282","W318"
"W1",0,0.155366027771192,0.125708431274926,0.169572580211366,0.118734107256566,0.117584806748614,0.143077018578945,0.149478595531653,0.149473657322165,0.135830293716413,0.156652907467167,0.084989818117765,0.186228400000993,0.124558375334972,0.113550613719461,0.200027258334046,0.12916499031424,0.128559795479365,0.141823271162652,0.157795132210788,0.16174449898349,0.226339202535846,0.157512586424288,0.195775436026206,0.119160563887924,0.155704515969113,0.149114887678576,0.123771036565056,0.116652231174555,0.237105701850762,0.154345886994721,0.142502885262554,0.125995859599121,0.160894593909546,0.152317121024769,0.206899599834221,0.197691507198388,0.110817499670843,0.224069080994645,0.29410018385957,0.308852045368752,0.155424326740342,0.165906075672145,0.123318275096397,0.109744904589272,0.163423214818692,0.256961272955764,0.170384544974873,0.115051161643471,0.301555127524941,0.184612687613466,0.158107450321975,0.213563832880918,0.222216169162076,0.161812314268556,0.103683917572802,0.143397858638658,0.127859718686091,0.106991354409999,0.373413651332468,0.354266329814857,0.10226829652682,0.227751454649924,0.155180952311285,0.122176017263319,0.15931336038319,0.180857143261495
"W2",0.155366027771192,0,0.165002760311728,0.218565396987602,0.148645002327509,0.162416802050695,0.159341383405095,0.209778983768285,0.213484180274858,0.164482328973157,0.21132186325332,0.171854336604082,0.203881149416019,0.162742252298096,0.191055108770382,0.250216998147733,0.189709033777357,0.189990501340299,0.215359369886135,0.122068465563046,0.15107604025092,0.173496527475847,0.104081291217725,0.209377815932813,0.155255779008584,0.168764578255558,0.14099081517819,0.198940437148791,0.168853960642498,0.283113833561634,0.216042925293991,0.216233225569549,0.192691736626486,0.22290341024555,0.226557891241817,0.260582084823834,0.162562897115609,0.197523740899997,0.272930217431701,0.287605360257551,0.25788716037199,0.164107516236263,0.146272155270885,0.167736119442062,0.182548122805897,0.178792162725851,0.246177499813043,0.14533783528556,0.168918118993981,0.303455069857842,0.188561583917565,0.172677849745783,0.199952542781809,0.203533218582221,0.160555545031395,0.116307386431907,0.190618036268514,0.131169512938835,0.147965511129074,0.339562650209219,0.308222124841766,0.157230097152203,0.188927811040984,0.204936716916855,0.133659572510477,0.14721219412082,0.136445593004546
"W4",0.125708431274926,0.165002760311728,0,0.210172185631325,0.127913335793773,0.141926415010947,0.155102448051491,0.16406322498281,0.160948805225904,0.17284071465804,0.191656459396658,0.144747935240468,0.208773552215879,0.138614652284915,0.170604014623234,0.185917078452684,0.152809540825681,0.135309004703768,0.16136287381538,0.180072562619756,0.204983898139011,0.229016545354907,0.1732906972543,0.231147523613149,0.152920962985757,0.160820899848889,0.176510940182505,0.166003151738241,0.148758169969546,0.225339592666998,0.175191218946658,0.148956754922601,0.157201165494203,0.149451327733899,0.181721307620346,0.21221129327542,0.227310654526973,0.149191057088205,0.221103571446346,0.300837702088123,0.301823685717374,0.183529685213171,0.194421748133246,0.179671063867411,0.143544127046108,0.153552825372647,0.231083664797615,0.175496286672917,0.130073367039282,0.292463211887761,0.192349672850238,0.155369009072043,0.22570009093824,0.212190130816899,0.203481809399871,0.132450655023388,0.160255801151728,0.140480374501627,0.179177705893588,0.362109813652273,0.385004831514927,0.13612505353576,0.266797452116193,0.194060914184132,0.171605043133461,0.174763909346655,0.225975142105458
"W6",0.169572580211366,0.218565396987602,0.210172185631325,0,0.191555951697225,0.195113686374487,0.215235695388039,0.172639534356833,0.203304043379103,0.148383133520539,0.16493693305338,0.115023671967158,0.145274899208654,0.192921612131512,0.163095282158564,0.242089288275433,0.148009827895197,0.175933537953045,0.177978115222473,0.193750310962832,0.174592050467636,0.283930842798241,0.21140329877578,0.154775567967631,0.185099867916366,0.210984641607111,0.188558546599448,0.161094004292276,0.184628965959041,0.248859721435641,0.146020305620417,0.200371327854972,0.147789583520693,0.198728040749153,0.215164152444287,0.181983993579244,0.247256019578168,0.150377014619009,0.246770097131023,0.312681774474421,0.320852596806859,0.159497232019212,0.225780338692433,0.183560722104419,0.189740058210429,0.22723022291268,0.305643418429613,0.203409845304142,0.183145591335826,0.359472557746541,0.245510615933258,0.22443351291311,0.283703332893184,0.280706287702189,0.219922008798899,0.204598678787633,0.166026952030311,0.206750345184975,0.195344654777031,0.400134685567035,0.366000176379397,0.200449972685641,0.279948355087299,0.153258204499727,0.197066856341559,0.241400859345705,0.220970608691502
"W7",0.118734107256566,0.148645002327509,0.127913335793773,0.191555951697225,0,0.0794816527240329,0.0989543141886972,0.169776338874728,0.208103032575224,0.164872219528868,0.197178426965102,0.137708416680181,0.184617155181072,0.17736482287806,0.155307111831423,0.235575729817392,0.148497399777812,0.177022831079121,0.186196127591968,0.148477032986627,0.153581957986691,0.200981496877907,0.144916536928996,0.178107505122936,0.11677025900421,0.16578572873732,0.140878285689326,0.147651835697543,0.162797117508098,0.262284373548355,0.162150375821708,0.189038188873759,0.178907907106919,0.211534673718604,0.205131623139829,0.245607444930047,0.2449923482733,0.121201109567483,0.27306825993663,0.307294582020774,0.315374307834817,0.180750853528038,0.147400996332678,0.126607005966019,0.109457966902851,0.15921439267252,0.225017391300425,0.186587659956102,0.140343752955212,0.294529866877017,0.140355021630368,0.109646088157893,0.199836907364622,0.241773316433309,0.154284382512619,0.137960996159903,0.169745228849865,0.127038849205561,0.144308430558607,0.373491963721251,0.370139961580311,0.151204852817746,0.2560803455194,0.152773509169179,0.14188279338663,0.167927441203053,0.171601727421931
"W9",0.117584806748614,0.162416802050695,0.141926415010947,0.195113686374487,0.0794816527240329,0,0.0961088949860733,0.166436364748387,0.192746592433693,0.161469079728105,0.17733125717834,0.137478979594967,0.172264967928175,0.151561297779365,0.117895453181407,0.208789211577523,0.136293698003662,0.185172417828366,0.157322085365317,0.133438541161728,0.132407385727379,0.193979126392706,0.131017323839209,0.157471927242975,0.0970456790025422,0.167448028843195,0.125885029529977,0.13191955171483,0.134441309338649,0.250559282491955,0.150747050463009,0.155991227041389,0.180236679411288,0.189419602558718,0.188207947617928,0.229482215166991,0.236758601983606,0.0964604892346279,0.257934559974442,0.314818340969348,0.321123375306434,0.166703662019702,0.108947874464386,0.08381996008313,0.0908532541055321,0.141584343668755,0.20246926671494,0.161431425456017,0.13617680654054,0.294929569485224,0.124203817940572,0.0937331231616275,0.175572333322995,0.258146855541217,0.141865150286335,0.115027580223002,0.158683015053867,0.141788801502392,0.130227009115941,0.382430858087423,0.378408642030386,0.120541317883697,0.259925644519636,0.140475499130984,0.140917802293982,0.16297042271318,0.156684476838573
"W10",0.143077018578945,0.159341383405095,0.155102448051491,0.215235695388039,0.0989543141886972,0.0961088949860733,0,0.200656536447638,0.235426036295854,0.185362885176674,0.227570299218258,0.172438811652808,0.204009615908692,0.183771539326704,0.171594582064735,0.258434142562487,0.180746757689167,0.214511798726716,0.210449774223465,0.155491157679309,0.163933118873873,0.175933181958849,0.152028318795315,0.177424269737051,0.135419668418677,0.191542410071264,0.153202960639505,0.176570837690085,0.16547547507393,0.300643110208353,0.202778561541777,0.207684021191622,0.207175480436598,0.233117674440544,0.227422591218162,0.269601243274418,0.234826857756671,0.155536903937742,0.300958636972739,0.306491049578258,0.311641224929313,0.16635885318138,0.111885180195543,0.0987615851139013,0.116547703418473,0.116794033970216,0.175282119630428,0.183047934874616,0.17858771805956,0.266729620356539,0.110170175117459,0.0687887805005782,0.156571165503373,0.24943442531309,0.130840618169238,0.135320061315305,0.206855393703854,0.129880577491426,0.139371394810787,0.367351055112049,0.372564516213906,0.141483285281831,0.257746728361083,0.175324587616961,0.146851082352894,0.130795649829103,0.163727117382769
"W33",0.149478595531653,0.209778983768285,0.16406322498281,0.172639534356833,0.169776338874728,0.166436364748387,0.200656536447638,0,0.118193817981662,0.156062685501,0.144403228680766,0.119729026701485,0.199589919289537,0.162369051501101,0.128039056335642,0.161763045655825,0.116448848297739,0.110879332533727,0.124547516858862,0.186501466962661,0.182207515421827,0.286037120443325,0.20487946928812,0.194231583265196,0.16498629947944,0.194122345201646,0.194061696244724,0.116825512148198,0.183603499371572,0.186313350207293,0.126737218793305,0.112103166769182,0.124928959274212,0.121874458268715,0.117957658108002,0.148404184993923,0.259263522033552,0.132281735559825,0.174704605357162,0.314267246935204,0.33881660396229,0.191712370926603,0.222671247521251,0.1836122656887,0.152286136229772,0.210625077956545,0.289143773067821,0.197857661206037,0.147958133137589,0.334181722673408,0.235919491986028,0.201283587098184,0.284387277448724,0.295341720449765,0.212588128297101,0.184123565210979,0.145774099443892,0.19499477214618,0.196531006194827,0.394425740072713,0.385658514875682,0.181186371925331,0.279784606896763,0.145624111074357,0.203643901440062,0.250555197553572,0.223572208175261
"W42",0.149473657322165,0.213484180274858,0.160948805225904,0.203304043379103,0.208103032575224,0.192746592433693,0.235426036295854,0.118193817981662,0,0.140137082617295,0.129516309982225,0.145362417392767,0.176463704944398,0.153458633743414,0.132207860523812,0.117739382424347,0.144850829928482,0.082681403300509,0.122794605426439,0.176936953678147,0.209365653273683,0.298375178734917,0.198902153352934,0.212376124250203,0.167829502056879,0.185281225146499,0.191178241620217,0.132127216223425,0.147718551763549,0.156312135181892,0.147149465797144,0.0963306077896479,0.144539690258596,0.0784118234033716,0.0943347297961944,0.132830166000997,0.233004800974113,0.151215218801804,0.131398058942118,0.306862368433931,0.331433727305198,0.204818701076095,0.246754677842627,0.201346052863054,0.173689196444996,0.203693269925907,0.296388487257793,0.162992477828838,0.147678801694489,0.343283991077352,0.255980815632757,0.228379311932158,0.280023427245718,0.262282576601266,0.257991743971404,0.180144367302408,0.138461470159025,0.221521804997439,0.193086879862883,0.411271873503123,0.392662084608872,0.13542728960619,0.280915537487428,0.189909463351978,0.193941815125697,0.243151270040659,0.2441688636535
"W43",0.135830293716413,0.164482328973157,0.17284071465804,0.148383133520539,0.164872219528868,0.161469079728105,0.185362885176674,0.156062685501,0.140137082617295,0,0.164215581711692,0.106524082383408,0.103001942939057,0.159918016980332,0.117909507683973,0.20635895132534,0.134071724216853,0.149424483162389,0.169794263949045,0.131891471096936,0.144677081263809,0.238349736946957,0.13875920291126,0.161257996793682,0.124844470776549,0.150427647225247,0.13077037321642,0.139751593850889,0.122498405778679,0.23721175519911,0.149875830113103,0.17843706855284,0.145009898336172,0.158344963487989,0.199151359132886,0.21212362210424,0.199813545285456,0.136319285240355,0.224633992380588,0.29339491749899,0.292697656064069,0.127882024445204,0.188275413052179,0.15680137263536,0.156376250266804,0.194963986771576,0.264113450862648,0.136607743651888,0.149223422964061,0.348300388161446,0.223984098642838,0.196987469003458,0.260499450030332,0.238490164474597,0.185511868620808,0.127222334386959,0.165484597367026,0.166336810375274,0.16419607088178,0.35773628830364,0.344118575755811,0.144355799138167,0.237022399871086,0.1575371365296,0.155571756464044,0.186752286585636,0.185692235705929
"W52",0.156652907467167,0.21132186325332,0.191656459396658,0.16493693305338,0.197178426965102,0.17733125717834,0.227570299218258,0.144403228680766,0.129516309982225,0.164215581711692,0,0.12300252374317,0.161004134057373,0.140364995420451,0.114422755741818,0.148309963385294,0.0990320391094467,0.133076308636597,0.0805910618295654,0.201406466332922,0.168826484923814,0.302164835130833,0.208330280899569,0.162395638478983,0.17484466413489,0.19384219839855,0.194401081504851,0.115123413919302,0.145884263881625,0.165335329082065,0.0811373610846233,0.0993715605873391,0.134032570380894,0.123129813777293,0.113454169653962,0.105907305755313,0.24466595421922,0.121261473928137,0.155532218168714,0.313133046601888,0.326537823521541,0.202887875040336,0.231104596338918,0.170217238654036,0.174121548186971,0.232240145336558,0.319628503752985,0.207519134891439,0.147077865808764,0.324741592547546,0.238386060215977,0.210524232804915,0.251390572334444,0.280811925912844,0.244427519658672,0.204388601611522,0.0725798625874431,0.224555749575918,0.192496371282095,0.417005585544278,0.38569768247898,0.159300448228431,0.288904332559465,0.135496334032846,0.187929064365899,0.254206753083541,0.22653205589269
