"","warble_1","warble_2","warble_3","warble_4","warble_6","warble_7","warble_9","warble_10","warble_12","warble_14","warble_15","warble_20","warble_33","warble_42","warble_43","warble_45","warble_49","warble_50","warble_52","warble_53","warble_54","warble_57","warble_58","warble_60","warble_63","warble_68","warble_69","warble_73","warble_80","warble_83","warble_84","warble_85","warble_87","warble_88","warble_89","warble_90","warble_93","warble_94","warble_95","warble_96","warble_97","warble_100","warble_101","warble_103","warble_104","warble_106","warble_107","warble_108","warble_109","warble_110","warble_111","warble_112","warble_114","warble_117","warble_118","warble_119","warble_120","warble_121","warble_122","warble_123","warble_125","warble_126","warble_127","warble_135","warble_136","warble_137","warble_139","warble_140","warble_141","warble_144","warble_145","warble_147","warble_148","warble_149","warble_150","warble_151","warble_152","warble_153","warble_154","warble_157","warble_158","warble_159","warble_161","warble_162","warble_164","warble_170","warble_173","warble_178","warble_180","warble_181","warble_185","warble_187","warble_188","warble_189","warble_191","warble_192","warble_197","warble_200","warble_202","warble_221","warble_222","warble_224","warble_225","warble_227","warble_228","warble_229","warble_230","warble_232","warble_234","warble_236","warble_240","warble_243","warble_245","warble_247","warble_250","warble_251","warble_257","warble_262","warble_263","warble_265","warble_269","warble_272","warble_280","warble_282","warble_283","warble_286","warble_292","warble_293","warble_296","warble_307","warble_308","warble_310","warble_315","warble_318","warble_319","warble_324","warble_325","warble_326"
"warble_1",0,3.48513077695332,3.3697182828586,1.94035091106746,5.16069275596538,2.31678304409238,1.15117506870348,2.66076574594298,3.04769024482457,3.58828904274102,4.38583856998153,3.37435053116189,3.57922178590271,2.4823659130601,2.45719679458368,3.14866804006003,2.93294775909028,1.00758970933735,2.82182062614464,2.27894491601783,3.36172831562525,3.50500261557954,2.34076128557422,2.09193103471022,2.48521249156308,1.29703215624161,1.68237764384707,2.78627330561003,2.93072940071009,2.94456815049581,3.53993164676145,3.27823347390936,2.77929238295061,3.5599420841827,2.16182315338998,3.84828322220102,4.72212778623822,3.47160011265653,5.48637695649693,2.196261656937,2.38438668163523,2.34994267052447,2.31670072268343,2.70921294245837,2.88284130559014,3.49537952935438,3.24361119344898,2.94780774544087,2.71742311339838,2.8579957639928,4.06616557284047,2.0471753425623,2.93062835471142,2.18566409795939,2.88570062075436,1.99694864170899,3.73195144504366,4.54709520071163,3.28130623369179,2.33777289097753,3.86693520298712,3.04021917333087,4.90922245816923,8.72086460645151,7.15052399621515,9.67860845268808,4.01139377573826,1.70444372689233,2.20638064372586,3.61938180767349,3.70593415448998,7.23129614766606,4.6610657602329,4.0720535576707,2.4966968835981,2.45326480383909,4.72179365116396,6.139170200853,3.80389450202042,3.05556563965362,1.71472598791784,2.39337610228377,3.34355905146165,5.06946439830735,3.08959836323858,10.4980244071545,4.63599663046197,6.95288381129808,2.47633842712838,2.84797575120693,3.88574134523936,2.34287530592163,3.2975006112563,3.41415069455521,5.55221069126619,11.5205763178678,2.62051479911101,2.29297570585707,3.05317369346615,2.11136664911587,5.32694499841947,2.11858331792847,5.97315176876686,2.12443814933106,2.45902776181839,3.92652770828486,4.8126772430058,5.02135961556095,1.94099888876354,2.46188982070847,11.9034083785642,4.48688080999608,6.43953423667857,7.59064562380896,2.74989649044824,10.3957659688203,7.2495263399349,2.04070974298509,2.28177299698124,4.69896411139744,6.46292627864294,2.64240746353781,2.66248054293955,3.00548563357986,2.98817350285076,3.29591503208069,2.60853890298454,3.09746167115326,5.27436024031978,2.85892452957915,1.68622240659237,3.1699883918324,1.65114949998411,2.63772565054951,4.25658349357216,4.29736721419979,3.08077008605409,1.58212179085313
"warble_2",3.48513077695332,0,3.88393115837875,4.41647981098342,6.65106224289929,3.27923717864985,3.43086325120584,3.14899443374357,3.92843317996976,5.39733141961812,5.14723611866553,4.70829554848461,5.25196484588946,3.97021499431536,3.95562724060981,4.16084250826741,4.34642415289626,3.62686271328818,4.70340221833275,4.20703787733549,4.92827375006816,5.10248643334903,3.58703978363283,3.66950986411346,4.13963860224642,3.69127750643584,3.70022944495457,4.69145045717455,4.78653080247731,4.11270757973599,5.28356037002488,3.94520577837646,4.486010160108,5.29597560638656,4.14898520455756,5.40906325007972,5.62594693063219,5.10027474099688,7.17083196059462,4.09642976615959,4.20624310524941,4.30140586948021,4.38585727854525,4.38065974505608,5.02121114014429,5.30409316143255,5.15064255375124,4.94657931498283,4.64750726029105,4.57571712703926,4.7812510535289,4.37930390778779,4.24535343309463,4.33871779429567,5.02490436860464,4.08834683427337,5.55049243311977,4.56290214299272,5.05573863734349,4.30377975897474,4.98170121053428,3.9741187956546,4.7692344137112,8.43107727513739,7.02946713826274,8.5937066388836,5.31141774218781,3.41544372184449,3.70192140451402,4.06900899319342,3.47099446500492,7.73413763206909,5.41602662203119,4.94870021625021,4.01764681797584,3.82792208396495,5.29338573984841,6.28032424461901,4.99663572813306,4.61361143983506,3.63373402002697,4.34527998469779,5.24892569933782,5.30275865326009,4.8363308701735,10.0933098425963,4.7759586667428,6.14930355675025,3.84219341754018,4.24278910930323,4.20406759547405,4.05609388058375,4.44075333021027,5.27261174377154,5.50728987138063,10.4334421467821,3.64334904743894,3.67863330643137,4.58935089353473,3.95064718794734,4.69776784352334,3.64136269821633,5.94150494156468,4.09342429434043,3.11673758892632,5.4637078663055,5.09518232670871,6.29072900075094,3.68043655978871,4.38702301067409,11.2626951600101,3.91475264988835,6.8387541329231,7.41215581890672,3.12087251146258,9.49189130655159,7.01408655507019,3.58343342708801,3.52253530296773,4.76740579230612,6.15858719163598,3.8369090161785,4.25729660784885,3.49291603199424,3.34612717774647,4.09912585245223,4.39273840735531,4.83072732266128,6.77639136516301,4.08208303019384,3.85283263600611,3.95679887544663,3.80833426629304,3.85735076582432,4.84791625423917,5.57804612608759,4.62749271478919,3.98014648424404
"warble_3",3.3697182828586,3.88393115837875,0,4.04189528866816,7.15981959798866,2.42138512686139,2.69870547834196,1.57064054790673,2.60585046228888,6.16805859011392,4.63338198102895,4.95642930772663,5.97865340807796,4.16830394143763,4.22084372020708,3.14681291298353,2.20181967257905,3.64241827034032,5.30753959667446,4.78380941030364,5.2377372951369,5.56520596180791,3.17657346349015,2.9496542918233,3.91729335231266,3.83712773043458,3.80522565808908,5.19182090453831,5.62583944505781,4.45831148898749,5.69636654412071,4.46374859441679,5.22114116453344,5.97814838876638,4.33080326691301,6.03518434174667,4.20237206239652,6.22741826130504,8.04985898063416,4.77326736305751,5.0924999787474,4.9277553093053,5.06703886626332,5.20470640523999,5.56862932019758,6.01110944239763,6.04487031744763,5.93493089897164,5.45488918461667,5.26307295017706,4.51789881465658,3.95137846418766,4.24833077575059,4.95121193534627,5.71505980789541,4.19540088364141,6.28584986481038,4.63645181088027,5.48759349544041,4.91516900500746,5.04075766569446,3.98315629775904,5.45262869155347,6.4904132471559,5.53421922480967,6.6791955120693,5.74543688437739,3.48259368256034,3.98827553327196,3.16637880377107,3.27662258602252,6.42337310974066,4.81501596785068,4.27555085181356,3.65115891175047,2.21235702348531,3.30632810477434,4.84911686544902,4.92764933998034,3.34272012961993,4.21070940061024,5.31488527279242,5.98085498501129,6.73856395719571,5.6508622101558,8.49313903625753,3.53571111369321,4.39397732236029,3.77813547034875,3.81352226501014,3.17070084751099,4.19974646707293,4.36344363587786,5.98520573010695,3.35320372354637,10.993008588401,3.4716920855439,3.05351065252342,5.48709190557418,4.23591382581542,4.0759621676921,3.50842684395355,4.66676590435023,4.82950326721826,3.81279201023646,3.72236121546993,3.49979497663046,4.50211940643595,4.43653820719676,4.98477785121289,9.73368113736524,4.03257289519772,4.06028178056702,5.84201444149907,3.96179319079488,8.4908636770516,6.24454345987257,2.76002301404958,3.61007853370223,3.71170268855395,4.85882979517228,3.7059345080178,4.23948011144105,3.50240756469881,3.10653116271519,2.87837706403959,4.27736238334377,5.15966758525428,7.31683334230628,4.0407209956691,2.50820706934284,3.4941581463579,3.66548936501086,4.95760230535701,3.92700979598286,6.94048959338873,5.2931766949955,3.2091199065349
"warble_4",1.94035091106746,4.41647981098342,4.04189528866816,0,5.85830061890245,3.23662209302952,2.62681456555826,3.65463724244825,4.63119162520106,4.34712292836823,5.82448372557083,4.57154760330515,4.34543379617325,3.86488056678978,3.96580530926533,4.80823309696816,3.38875591024891,2.48293434757332,3.90983149622715,3.57121354960079,4.52353262807012,4.65070421717697,3.89091587440997,2.90932323502905,4.01133005411051,2.55134782656118,3.2003409027756,3.92950185571542,3.58485485674248,4.26169721940531,4.58256274535267,4.64347062716618,3.97542260165783,4.4501576463849,3.36656205755459,4.57661226092684,4.33780455501166,4.09608893057883,5.81140102193417,3.40728488413857,3.47622713558849,3.50556334618339,3.21669783921945,3.8682659326577,3.5567154480039,4.20746990239849,3.93660556526919,3.64006243831757,3.547113615346,3.92685802593088,5.48093159657064,3.15207922219668,4.27999618410193,3.30675442581243,3.49823003251482,3.50018082579605,4.50541349548429,5.53084041426763,4.2111434668849,3.59301052653318,5.11723772936957,4.64909352222736,6.10838035759018,9.36380370648672,8.20098826351137,10.0475178090856,4.92180831329566,3.30311910274283,3.21300491641895,5.28754585783568,5.20946357448949,6.87994664252713,6.0835055161424,4.61747069158561,4.1103766157553,3.74039326184625,5.73750276084978,7.06129618592618,5.07337889109687,2.88339950795414,2.38812350581647,2.86513932359166,4.11117506558132,5.81161812222754,3.6441512493468,10.4663620933008,4.55976241735955,7.44885373473455,4.10498431697966,3.37341300666817,4.69523723033685,3.57884651511836,4.14260109776746,4.1896320301107,6.75288466736104,12.557177483358,4.32058116093306,3.68551335633353,3.09529330500759,3.69821090066031,6.82101179691987,3.85409828298204,7.4211278227916,3.21738938156159,4.20776304035336,3.43094280844895,5.93390201549054,4.56328103670881,3.39662269900619,3.17871700735372,13.211936221253,5.84787536286217,7.06917358307254,9.10253067391469,4.47564659050749,11.8355911228182,8.33568177238249,3.64211493739034,3.99588052337658,6.24512427697385,8.04004535559013,4.38880466270833,4.24867263985176,4.49150563595147,4.58178892582382,4.26286874313734,3.87916180946421,4.17579639652105,5.98294196742225,4.2689684123589,2.80583390969757,4.84777440163864,2.7450022071572,3.76776134425935,5.94958211986544,5.00424463976709,4.15381315567113,2.72092668558336
"warble_6",5.16069275596538,6.65106224289929,7.15981959798866,5.85830061890245,0,5.3213971644058,5.04510648068113,6.93125615221636,6.53242358750893,2.20685412829018,4.36394111796375,3.08501672290285,2.38822824984014,4.19687353971617,3.76244416140257,5.6398476672649,7.31050550060741,4.61956710587935,2.835529390878,3.8485991133208,2.37669561544616,2.43471057896533,5.61156121988358,6.79699532102179,3.79558060857885,5.65938276754592,4.41800710818057,3.0101957446629,3.32867620928956,3.84326780034376,2.05128922897556,4.36859658463099,3.31744713313747,2.12763053383209,3.47629611356368,2.14856823778938,9.16973253288841,2.88861509665649,2.12514711962817,3.9499996758934,4.04661349364903,3.50570732052596,3.54344991378024,3.40087941391414,2.74840046738649,2.56092864354247,3.02598340678364,3.68015405982496,3.55506332476952,2.90155249407867,4.19870461399479,3.69017150032277,3.92126324140072,3.60578654873824,2.95380927887776,3.80320212941304,2.19301194892028,6.70223129525706,2.4567057962939,3.7487396666423,2.96673706464878,4.45896960761542,5.59268781525947,12.050184718518,10.1091469259644,12.8060210375633,2.28786374235242,5.16707627343372,5.94223628987259,6.47780448047399,7.21083187466482,11.2911313919201,4.25716314619326,7.4132898733131,4.44560040589051,5.98657352792722,8.10960342187257,9.28733312644045,3.10658410337407,7.51377629349243,5.62641410514541,4.42978524043319,2.37249713267712,3.68823538020637,3.83336908298912,13.7524132410599,8.16930786927519,10.201215429371,4.71317447347727,6.0023053317099,7.92823086432873,4.83471701274772,5.5723072709008,2.2649132244156,8.85984209238644,11.6139185593058,4.64659745225434,4.86813438825607,6.31897242578239,4.03160602548574,8.29186315802739,4.72910584625192,8.03063341882021,4.55434586320261,5.14943356231121,8.42967192896263,8.57331509348769,9.30769105316559,4.11093718035727,3.92263960403383,13.8460717381586,7.10870478520886,10.2527557005966,9.33902336081144,5.46577109992319,12.0381608777214,9.16513649852308,5.82065687930349,4.79842296825964,7.11169380296677,8.915171447356,4.78984673788269,3.75444539989115,5.48234856027651,6.50432906640516,7.79810386971424,3.53411950846956,2.69550984975598,0.81575340094446,4.00922684789139,6.06750005469695,5.67044769824251,5.61479373954184,4.40810442138254,5.73514504410755,2.63326619640779,3.41943680945283,4.67162937876055
"warble_7",2.31678304409238,3.27923717864985,2.42138512686139,3.23662209302952,5.3213971644058,0,1.49131689863846,2.27775398293481,2.79764078409133,4.13095517609995,3.63690055160138,3.28900723059775,4.00560911685204,2.633361837585,2.60250128800006,2.65363701097072,3.44352072482497,2.26361778367369,3.35224959310581,2.93295334541536,3.5016939726185,3.64206536276008,2.33388989306045,3.05700763540549,2.40719320054726,2.75282059303667,2.25487553897317,3.22149739876219,3.62596205427197,2.94759901487676,3.76395386454784,3.09496159202538,3.27359045723141,3.9459783345928,2.39267265941561,4.16458366644446,5.37872876132836,4.28006619065135,6.01955584333055,2.94236976667578,3.18098887801063,3.0615500648293,3.18917115217522,3.21222101109101,3.65749351350452,3.9739034359346,4.00352994684983,3.97118081941219,3.43476294452948,3.28055254970786,3.55420747841283,2.45622497983402,2.78860364952858,3.0814084995537,3.75895901304469,2.44350310777199,4.24136376632693,4.5226806672404,3.51263841762337,3.01301370099619,3.566812844229,2.60696234417236,4.78919413511742,8.05170596134911,6.56808505559656,8.16007120316018,4.00000578854946,2.24351620150427,2.92284188629706,3.0958034805626,3.70772362569111,7.61327409297058,3.92813787100938,4.42302825112527,2.44151875539696,2.16826744514988,4.33055011231318,5.73609643735186,3.45209880851685,3.74140604558407,2.83731088808195,3.41081060882767,3.97269079807369,5.26011322430697,3.86078889738792,9.73928331761914,3.8388736567348,5.5938857514983,2.5610872944111,3.17792061371844,3.82220516644537,2.86481407248216,3.65364558422236,4.01446453324584,4.79232771541355,11.0560504898326,2.50259639570642,2.15677156648352,4.27275577897373,2.52789013419088,5.02127136948811,2.21634434638624,5.29446050139249,3.12854958108145,2.78825367621493,4.81055085339172,4.5707271918484,5.64372942563236,2.74459649282445,3.18462534097539,11.0073698222389,4.3520601527008,6.20196835266288,6.6441406426143,3.10032378178355,9.46642811944731,6.79860397384147,2.27724296219383,2.37331657460467,4.10534580588437,5.72662868480643,2.58971317818437,2.64715362515492,2.84103017346884,3.14209257634193,3.56654038876835,2.67730280832628,3.32771303686526,5.4667185507173,2.90082102523205,2.5505747714129,2.80635919937681,2.84554369353263,3.4848801639954,3.52519657256147,4.99710919056304,3.66909842010535,2.41301712968228
"warble_9",1.15117506870348,3.43086325120584,2.69870547834196,2.62681456555826,5.04510648068113,1.49131689863846,0,2.15725838659336,2.35589625106429,3.69223618887702,3.6451924745625,3.02009956210382,3.61717086606811,2.1701027288793,2.08037953420099,2.31452217225414,2.84578363060746,1.16101361259732,2.82830954277624,2.25903172209946,3.10269522321109,3.30369461253866,1.76783197051183,2.25504921401932,1.88698284088284,1.74992717941108,1.50613775858429,2.72153006399784,3.169085097645,2.57328540796949,3.37067697167806,2.87224130897576,2.75998111516635,3.55934486381567,1.93942812096187,3.82350842858709,4.9151276478327,3.75774760013851,5.66957871926258,2.29337067161227,2.58983913915879,2.40850918604273,2.57319742264093,2.73372393541188,3.08428614194044,3.58753578353996,3.49279549825992,3.32929129252599,2.93394556439734,2.83484303884968,3.44015670225497,1.79007416506495,2.44324568867113,2.34857740710737,3.17192425006704,1.71636996433019,3.80570763832826,4.28953328649655,3.16555739012701,2.36926604706066,3.35803622569826,2.37382529615694,4.57648598614126,8.17475115851198,6.55343993154152,8.98340727582553,3.77655647453136,1.38069649280277,2.3034430386127,2.84829779145856,3.28804531374484,7.27121508696285,3.89750228669616,3.87343622797774,1.79687446130186,1.67617236098812,4.13455070664551,5.61108806240494,3.26767686058353,3.2079316543997,2.19729824325027,2.85447039204886,3.45170877263211,5.0223029075769,3.34991608720761,10.1150091777085,4.27629438549517,6.25264603380287,1.89668905655244,2.68186183443816,3.54098614590141,2.17165610471272,3.21075373029307,3.49319969767133,4.81357885665387,11.1414321424992,1.97123807631172,1.57764334755964,3.6685038797805,1.80178379091335,4.82417945470097,1.52029892333105,5.27815149543395,2.39459412173232,2.1818945552452,4.25624378434782,4.27956693958327,5.17073270015749,2.02909154362579,2.62046534913609,11.1861349366776,4.10323137155551,6.03043562409857,6.76077559396757,2.54909893628643,9.64308230575067,6.81232978852916,1.47913624565857,1.70541309397768,4.0097514509055,5.6954485980655,1.9991607230022,2.10880866046885,2.44503917710742,2.5769778149121,3.09202247367229,2.13875967606736,2.89261362742199,5.17803454649091,2.3635208058132,1.56888209279695,2.43314701001572,1.87751007112833,2.84847824651855,3.39612060672958,4.5413191736373,3.1290530404584,1.42863797804395
"warble_10",2.66076574594298,3.14899443374357,1.57064054790673,3.65463724244825,6.93125615221636,2.27775398293481,2.15725838659336,0,2.16297785790934,5.70389715561772,4.67640162114653,4.6499819795779,5.51000786611201,3.53885674814541,3.83455863621512,2.82466896150027,2.28386897989461,2.96701177422641,4.8353644854219,4.09297162460298,4.90493156920219,5.21109413636669,2.45252490612663,2.06850016693219,3.58965999425181,2.90467843534699,3.1774968683339,4.70735128546515,4.98488373401786,3.96307454383303,5.35923485568565,4.03295899202111,4.63501654537171,5.53220254284875,3.91948457722077,5.61764189893669,3.96156763310766,5.61436398827573,7.66693595757092,4.09282477330231,4.34771731274213,4.32909070652228,4.49924844481494,4.61895573147483,5.12436791398596,5.55214432895485,5.458061683198,5.22056793281328,4.7776737088036,4.74252020283457,4.3969804688147,3.75367574491561,3.83794267781348,4.33206893105752,5.19767906537653,3.67206779771722,5.82994352540481,4.17379426157119,5.12204089849094,4.28325640862635,4.83659521218194,3.52516557194471,5.24737907349975,6.51510378260706,5.2082790055275,7.24686614096768,5.45789774482213,2.52517915931386,2.86771079817136,2.62738724605684,2.29530506247903,6.03244739049144,4.88990850517489,3.5485788781865,3.0927984463917,1.65089130772473,3.07760039026561,4.3519828174321,4.76456598636904,2.72444355064678,3.1900617532201,4.48198039468232,5.46723278805621,6.36744616461497,4.94605396725683,8.56108265505462,3.19920059687212,4.54690663483006,3.02362337040441,2.88334116376734,2.04592356610195,3.23414763830366,3.63538615100192,5.46707111583587,3.35137310738424,11.057937198632,2.95798784793736,2.50626960028739,4.34910746070517,3.60082334099359,3.72698616183574,2.93322546192047,4.71438194936434,3.99751901365014,2.94816851083265,3.73082222302558,2.94646822897356,4.38533345938726,3.71456107183052,4.25703797319493,10.0928761962604,3.69050185271495,4.61235174478741,6.1592848543643,3.05339027917581,8.82317712174306,6.18629617649274,1.96711365199159,2.9158567482608,3.55183445598379,4.8967925414473,3.12404763316553,3.80895823127824,2.97592724081803,2.25244725933806,1.91659505044072,3.81735875853596,4.70532382212893,7.06972972652146,3.80120059711471,2.06398268038926,2.99056536531189,2.8318440941251,4.15483436623257,3.87040059640226,6.37372505086872,4.7165219405728,2.89572000000032
"warble_12",3.04769024482457,3.92843317996976,2.60585046228888,4.63119162520106,6.53242358750893,2.79764078409133,2.35589625106429,2.16297785790934,0,5.38395869019352,3.58521717846638,4.05145707380445,5.26039353087641,3.20930180581886,3.13463644813343,1.36419995011824,3.08440209357826,3.00197857939024,4.41365359807935,3.65228170235087,4.47140963835377,4.61503810944629,1.73901973963537,2.69488356637089,2.91172476152356,2.95714130359315,2.83704179675607,4.21079971027643,4.97030566664964,3.47261758858602,4.82733908151348,3.36929872924954,4.17949976412165,5.17581093515377,3.58054952428499,5.39498167362264,5.36511206851908,5.56661152751229,7.45416535748167,3.77562154405585,4.07638407689302,4.0263111227604,4.32937797835689,4.16516411243291,4.97904719159792,5.27538014069558,5.23062359599651,5.04145117473324,4.64582433957856,4.41545812779989,3.61915993272977,3.49922693737962,3.25410499985593,4.00824178358774,5.0435994898679,3.11476187723158,5.45305109371289,4.25724358591202,4.7517101137343,3.8033415424941,4.16359485847763,2.7254927647921,4.75761119091511,7.14072066786794,5.41804081241646,8.15471579459264,5.05018739339725,2.37952121955954,3.27681457445774,1.15276126962078,2.23214915645246,7.50931728834827,3.86205184788506,4.27115419825946,2.47569601485656,1.86898727477651,3.26177053954785,4.8566888214107,4.0041690198398,4.06954048255978,3.74501269605472,4.74516952417364,5.18549594683544,6.20134098975396,5.00710837025492,9.89270704646354,4.93863874854079,5.68186924391847,2.43647593081325,3.93304020134339,3.26859169599874,3.48780928892427,4.25930271322344,5.23460997463718,3.15481804721722,10.6052484856291,2.33057172632131,2.57636717728537,5.18327472820817,2.95199692293122,3.26245518432423,2.00297482689941,3.83105299360333,3.81325203958247,2.43847994324938,4.84548336131404,2.88260771209585,5.59780909974855,3.36568637198185,4.51143970106274,9.34987390376971,3.40091637857583,4.89035473960412,4.8883312782285,2.60048181832487,7.80590737721552,5.93358593023814,1.36770037312341,2.18534897427786,2.50556635401834,3.57193413108679,2.16067939223743,2.94128142578387,2.46977686548737,1.85645014446609,2.29719467078682,3.58584641914956,4.44152601671678,6.68031461625043,3.20919426473778,2.30649083689772,1.61051622483081,3.05393250834137,4.21848795777939,2.23907959670885,6.15887699657901,4.55457385145032,3.12816835395994
"warble_14",3.58828904274102,5.39733141961812,6.16805859011392,4.34712292836823,2.20685412829018,4.13095517609995,3.69223618887702,5.70389715561772,5.38395869019352,0,4.19313667987448,2.39799018644253,1.08325427187378,2.99141741902927,2.62445189782751,4.67248919703399,6.17046239974063,3.0375493849901,1.15225311504797,2.1219249073945,1.83522177870941,1.41016598925398,4.25812541414857,5.33975882946741,2.78848789105495,3.90543336279131,2.96271848614228,1.31740862257817,1.5735194258748,2.94619996922662,1.13078023564671,3.47557095255629,1.5650885150036,0.615715218170306,1.95667306676008,1.5995698077653,7.93101238376934,1.27543764199271,2.17765500988834,2.1200289368838,2.08197277557487,1.79099969687376,1.62305695881038,1.57063372837762,1.08292367695264,0.808307818314298,0.93567235546068,1.62607870561492,1.59103321427886,1.26757938055199,4.08493897055758,2.54164006785289,3.01653512601084,1.7357689746885,1.00233360225231,2.32884640634961,0.39501406764148,6.10958181683275,1.18701032182495,1.90379353612144,2.92661877640008,3.5089080710635,5.380372041861,11.3363859020322,9.37493585542964,12.1189713018644,2.24040074246096,3.67372565274106,4.27544054062666,5.46623077894176,6.11327640199239,10.1678879381938,4.38352503856623,6.31944189791918,3.4763607182512,4.93196935439353,7.2073105709847,8.45549247532902,2.9053388516974,6.1420950132105,3.80278937315862,2.4668929191602,0.527290102111478,3.7545643955637,2.35425298671961,13.0119477029599,7.10270602066991,9.38196688586195,3.64726036525425,4.90994708370232,6.74450991745506,3.60351658642457,4.73333941460345,0.757236337868298,8.04740741143785,11.9515775172174,3.75960608281511,3.9748371853849,4.58369205969853,2.54825574551193,7.48844044066355,3.43905181081148,7.58907189358623,2.68380415758459,3.87957309561485,7.16878263358503,7.48327013750053,8.09483753482934,2.44776705916838,2.39073760795997,13.6398848920531,6.3477338859124,9.44355237743512,9.00755335126512,4.19644504131053,11.8552285889964,8.8616440983839,4.51585997135019,3.59751674726464,6.46994146155114,8.2496460934318,3.68975450727038,2.69764818180336,4.49103938709414,5.32214132330125,6.39610130193596,2.64502569991319,1.8336483023692,2.29101648867636,3.40550925463415,4.77006845865227,4.61082957078414,4.10932994232524,2.94725440873216,5.1573801986054,1.73843333199108,2.59316478233021,3.64555486912644
