"","hdz-095","hdz-005","hdz-004","hdz-019","hdz-025","hdz-002","hdz-023","hdz-001","hdz-030","hdz-050","hdz-036","hdz-067","hdz-186","hdz-183","hdz-195","hdz-157","hdz-173","hdz-161","hdz-162","hdz-170","hdz-099","hdz-103","hdz-101","hdz-096","hdz-106","hdz-107","hdz-193","hdz-259","hdz-251","hdz-323","hdz-246","hdz-247","hdz-248","hdz-267","hdz-265","hdz-209","hdz-207","hdz-260","hdz-205","hdz-208","hdz-194","hdz-200","hdz-239","hdz-199","hdz-237","hdz-307","hdz-315","hdz-306","hdz-331","hdz-303","hdz-312","hdz-313","hdz-333","hdz-335","hdz-332","hdz-325","hdz-242","hdz-334","hdz-302","hdz-232","hdz-309","hdz-337","hdz-344","hdz-338","hdz-409","hdz-346","hdz-210","hdz-393","hdz-340","hdz-349","hdz-218","hdz-406","hdz-391","hdz-316","hdz-223","hdz-217","hdz-228","hdz-403","hdz-402","hdz-387","hdz-376","hdz-378","hdz-379","hdz-359","hdz-355","hdz-360","hdz-380","hdz-451","hdz-453","hdz-449","hdz-448","hdz-439","hdz-432","hdz-440","hdz-443","hdz-165","hdz-214","hdz-446","hdz-447","hdz-189","hdz-475","hdz-441","hdz-160","hdz-464","hdz-164","hdz-474","hdz-423","hdz-416","hdz-415","hdz-414","hdz-171","hdz-412","hdz-159","hdz-473","hdz-463","hdz-158","hdz-461","hdz-466","hdz-488","hdz-483","hdz-489","hdz-477","hdz-484","hdz-509","hdz-479","hdz-480","hdz-517","hdz-487","hdz-481","hdz-525","hdz-522"
"hdz-095",0,0.536781267523264,0.328558665844698,0.452045925361877,0.755937049638026,0.480583289879371,0.320730109886775,0.285278486165815,0.330422690654027,0.680247698709701,0.72372455593242,0.734474757483135,0.60117539642884,0.514708684411857,0.595282892438975,0.485480691821492,0.301532971112154,0.600762944457672,0.645576857577738,0.521973806001106,0.728621448940352,0.599649936804221,0.383480668169755,0.489935937562228,0.424462507709538,0.516194950431496,0.680285945755518,0.648214206930198,0.646372321187543,0.731728780210585,0.641086130261385,0.683225961010882,0.713965209456126,0.442352685951601,0.69834753699239,0.504342715884191,0.570015453339969,0.750243524278518,0.496457366100693,0.64669595050232,0.498553645491265,0.495630717290725,0.657635607554018,0.495363796341294,0.661646405804023,0.707437030008566,0.620552963364254,0.646263230689497,0.583281309126388,0.659972681637127,0.424499368757284,0.572527268680217,0.595658420332084,0.585312016399619,0.577907505808518,0.780926078214073,0.577183482069701,0.56836550204431,0.636479589430098,0.648808718394122,0.550348084187688,0.575217470159256,0.482654809446577,0.628781000362535,0.702842368426114,0.456103317604125,0.519134912760918,0.630337127090122,0.57536118448664,0.50734222538329,0.716732176239705,0.582047309489525,0.511110677951993,0.378589001796593,0.416188680001285,0.594215447570963,0.666273120909356,0.476081080879861,0.355592768893683,0.542248165674984,0.638059279913036,0.624453950920349,0.601863793349126,0.519538721472886,0.634018023588865,0.567245294197154,0.464641737216994,0.465352220015517,0.528767694075625,0.526866877823124,0.641838241072019,0.475206470725742,0.808282017030798,0.521440074984642,0.457811691713242,0.519571805501761,0.659761151619731,0.551887262847249,0.585506487813707,0.714692347768358,0.57478484307792,0.565947519225195,0.497915459355723,0.53147300224471,0.58939228532911,0.485686482184879,0.58652939547047,0.800512584124855,0.440025644761136,0.536165867419607,0.886610309761902,0.519784865544734,0.864901317962241,0.531187541336586,0.412178355183118,0.617069385933738,0.717288667297152,0.514020644046039,0.591218117913727,0.467302160151231,0.451993910027873,0.418671068557194,0.558003796862378,0.467135289884686,0.330806793650748,0.590479791474258,0.435411420687013,0.522766149722449,0.705415535214647,0.545223096727181,0.272909066725047
"hdz-005",0.536781267523264,0,0.524628012173265,0.555511458746451,0.841435143321227,0.460549098952159,0.563940325409023,0.48782991837391,0.615224803081118,0.745368344610984,0.814420661137213,0.772626082938197,0.707799457037372,0.535481555733426,0.664563761060394,0.614760975840957,0.588023404721943,0.62875932334799,0.730302502863412,0.657433737410793,0.806320680429654,0.687091929261935,0.582177054377064,0.588527337070187,0.569024281938042,0.594754279699198,0.721226748106532,0.663208917381268,0.692654941763096,0.752985161166828,0.670265471596693,0.753879149886867,0.799259950861171,0.620271422801002,0.791192467900323,0.545714516869377,0.598512557328103,0.849503167621618,0.666577909500881,0.718193410623023,0.552111612491985,0.58046322424542,0.751751298777386,0.615879380372224,0.772969740681701,0.739884993438841,0.720516376331148,0.771396523426709,0.672661001742909,0.746122100935685,0.616090859459296,0.725863219575511,0.598928833450702,0.618155823123556,0.611769593643826,0.825246637366041,0.586442934225514,0.680198608984404,0.717081904574877,0.713231488583937,0.4924806526443,0.593165962185741,0.704151785859551,0.634061626331152,0.762600638570881,0.614288146799895,0.583902366839303,0.737582878961181,0.502846427988773,0.678879412102022,0.814130336136978,0.571797228206919,0.625520027112952,0.590456997021282,0.605968946219604,0.663659230850712,0.790244318309175,0.568015722258684,0.521494702453443,0.619418780137233,0.765555826156723,0.748155588613453,0.675783720242235,0.524826156001704,0.620901710280182,0.680412682528401,0.558357820702267,0.631410418701969,0.68581177804824,0.569004372709153,0.675023235615,0.60757976095726,0.742179354828828,0.524664241303284,0.525613995600677,0.663284156396505,0.702362455655726,0.512619775082381,0.606532992314071,0.709627871986272,0.664769995804926,0.553219858715584,0.571643719050027,0.604963225666305,0.625387271068028,0.529163717043813,0.658778997327567,0.895051078948514,0.377370375885905,0.636942332345743,0.907745741243447,0.603177763826547,0.779033698097857,0.73713079559826,0.591923929247227,0.62400937646995,0.816897469340256,0.668624381982425,0.711882172856194,0.448285174170195,0.504802388102347,0.622498401073141,0.649096687491314,0.50439432669963,0.585769679716395,0.589375762778859,0.544904665397819,0.505542547137086,0.844806801679342,0.620951949403251,0.57880994634757
"hdz-004",0.328558665844698,0.524628012173265,0,0.379886577991723,0.78635353936695,0.419115421163911,0.381013404325856,0.182092660582102,0.47955105250162,0.745743343312354,0.700941924596873,0.779709815758217,0.6036548170958,0.630483505335008,0.61247131217689,0.5871537662467,0.351622508566465,0.699204019922114,0.714943173660052,0.577203896261935,0.763841740288153,0.618765553990174,0.404599002968583,0.602953682632157,0.581097870001983,0.581681784408429,0.750596586204877,0.737786085796557,0.668828324762154,0.791543479180987,0.674465234268307,0.743313293215894,0.769157792956663,0.552153393670594,0.702819011985173,0.472179301061934,0.663846898582228,0.805903998230874,0.566399316742264,0.718224444155269,0.607773637241825,0.597564392130336,0.735092221015541,0.631878734148307,0.732134582538472,0.77961803788034,0.714847209699486,0.702348599219235,0.679245489524945,0.668841812638641,0.558075904524865,0.627532242596617,0.703975949026126,0.697620285905458,0.65979575808936,0.836459852499053,0.617241163198453,0.655026301339559,0.718149850631282,0.683696488944308,0.625755950159014,0.463734105173303,0.540916280717233,0.535409747191795,0.754785626389192,0.477791442464011,0.537469568368349,0.599121314149564,0.534700718695934,0.485302543444203,0.704658834423151,0.546301446890693,0.517490981632562,0.383250939727006,0.38469792052263,0.569503920090616,0.724413012347038,0.417282419346132,0.440918665436828,0.618450806388332,0.73031019500009,0.689301041873388,0.509670324085261,0.442200179695186,0.531890070520855,0.599616725960853,0.495289039736404,0.414599337062467,0.551156054096989,0.599196264243917,0.676670184117332,0.450380590860081,0.795177314001129,0.545864059993152,0.528577047283934,0.582087509083166,0.718730352996503,0.532211907807708,0.640508895271698,0.727573279582531,0.629258896249894,0.609296888967765,0.478039585495645,0.518654409218145,0.550532696738505,0.602139335660593,0.608215477988634,0.799915196697915,0.464900301596343,0.399862379079062,0.868011721724391,0.518079538349356,0.84277462035083,0.628014556176125,0.487406404492337,0.628975660253554,0.715001836856112,0.496777506051513,0.637772969305717,0.480695453697279,0.489710154193205,0.44034846254062,0.617144981842332,0.578904743857824,0.348251568602048,0.663445374037582,0.466530076310915,0.616987547287659,0.657864643336874,0.622808295331579,0.316985563758281
"hdz-019",0.452045925361877,0.555511458746451,0.379886577991723,0,0.777386258790072,0.374596227859007,0.354376145785964,0.424807590794172,0.616610888396763,0.723726800484948,0.816135637813663,0.713788345950027,0.64071626331897,0.675677634932966,0.745496552073033,0.529606574636916,0.589231779322182,0.693184907194073,0.734185624328138,0.647355166807738,0.758332755020149,0.649187118418286,0.429739961021244,0.62417200214107,0.485568243436896,0.523953163116613,0.698881571472114,0.662973566418316,0.686788882560111,0.7103689989567,0.726591037901495,0.731928486795811,0.745711829916892,0.481112888668785,0.685800257790165,0.560114442244439,0.713062309262114,0.796305390204072,0.661356063011431,0.702440966991788,0.672943450371268,0.628798842646726,0.744318617045166,0.61147874842013,0.708531781613207,0.681452995718809,0.673042623261279,0.66490102248733,0.721006983758352,0.788204791247626,0.48465677654374,0.725748273913135,0.645311448680987,0.625215412323242,0.596554395556423,0.749268087615168,0.697302231511914,0.673722637030565,0.715798050587947,0.767299429605734,0.678601877742594,0.521865564750884,0.709916567275879,0.621480358580167,0.762935855056463,0.645028671352455,0.582537612605264,0.698304432088652,0.67000267321077,0.49776425541118,0.80962709643743,0.615070030499156,0.655878509001303,0.441324985296572,0.550169668465679,0.703948958240859,0.747815002477176,0.202751436771584,0.489444559610761,0.552708099685978,0.702483300865038,0.644447967043766,0.565971145498451,0.436475171663401,0.60034976835552,0.635524447940612,0.387969553870067,0.532521753428689,0.654929675131131,0.544251809960784,0.542962803128441,0.526481526944869,0.873333893205162,0.659785405185964,0.539120953670608,0.560487911014722,0.704494305583047,0.682762345555676,0.711641636210057,0.750794939413684,0.632537134114864,0.73549132851805,0.544575366749558,0.63084592558947,0.543439250389544,0.668281678379139,0.62149316147413,0.914652394087382,0.63626974006531,0.580620985993129,0.916965300274709,0.656321561938854,0.914370352483149,0.749351500242907,0.619441385197292,0.772011166350429,0.865749090974066,0.702170878482871,0.745216118210983,0.64859425382164,0.604151543961402,0.412682185683726,0.557907980008177,0.633627848926761,0.473030400137167,0.72392041978232,0.465275969639033,0.631328733580937,0.829323076469113,0.691951597164586,0.452442672998881
"hdz-025",0.755937049638026,0.841435143321227,0.78635353936695,0.777386258790072,0,0.809393538997499,0.778062089522056,0.819197089344899,0.700311853874114,0.517184048970565,0.489395934286285,0.585339453870238,0.551146558876025,0.672815168672668,0.741798713869692,0.646789066665328,0.773988330136871,0.614303159760095,0.696868141779653,0.667060546563866,0.28804161615342,0.749143381434634,0.681867489243952,0.602729375709931,0.773084765711474,0.69629663926743,0.692800020897774,0.744863627319391,0.636190507274146,0.664174095862349,0.668426309776408,0.496187877496156,0.291453133699312,0.747016618908024,0.358517989962268,0.792256848534859,0.731410903516438,0.617486756936466,0.637972305759777,0.568869458694531,0.667294583349824,0.692257492321734,0.670202952012839,0.728188474739952,0.635477295140221,0.678774222323965,0.685671051215188,0.610389186178691,0.646115957411155,0.638837968632025,0.748851192646732,0.505789656553177,0.737584220242025,0.724998940331862,0.732013635253185,0.62717156441501,0.81192905838336,0.543748519286558,0.72914955620316,0.750519083241339,0.809015307793909,0.786116070662886,0.818927420331269,0.901597219733312,0.648366002772218,0.701326695130202,0.682559531115329,0.688302314980629,0.864737301384807,0.856824048453488,0.442880767248834,0.755214335954753,0.663715234829246,0.827189424334678,0.783684375761855,0.790090283218386,0.30562611668735,0.82323820668068,0.689046827918621,0.774537592275796,0.635144712866447,0.651748558699634,0.890995315356935,0.853518534025416,0.877149033914973,0.781235544842278,0.809767177941888,0.730937320132168,0.639499914336226,0.778819740698412,0.688595938483689,0.872258123395951,0.754974955574485,0.796311479010778,0.816422338083611,0.568390131387366,0.719035812538538,0.883268384561811,0.673019824666964,0.812834675131139,0.623002071287612,0.815181249033127,0.806914776598375,0.851138565779566,0.825742770763314,0.74738455649949,0.742671226468252,0.782071949360796,0.850040941451645,0.864840235164741,0.734124020928438,0.769221545694009,0.82283250814122,0.757993378985553,0.665717580740176,0.767020032323334,0.729110890796101,0.74579857687757,0.581471668145381,0.798947536430741,0.84229677135816,0.837470884805824,0.740075533687387,0.798494494344488,0.685724244654374,0.722358379847536,0.700870731659333,0.781112273777458,0.444047212646589,0.642526887526434,0.758636843545128
"hdz-002",0.480583289879371,0.460549098952159,0.419115421163911,0.374596227859007,0.809393538997499,0,0.261817903526358,0.35653653912978,0.465450504347723,0.710470777122832,0.788544244205146,0.696471614411647,0.57837664375742,0.537140854492234,0.58785359128128,0.472379450106139,0.495039808406238,0.635880259331821,0.691328212957635,0.584595522644114,0.76269138709528,0.532128110493782,0.455090568713625,0.480306337473518,0.387716968578978,0.412764154937126,0.635682780103079,0.61337477460916,0.639848727296886,0.658287345309127,0.668767967362847,0.735765643370443,0.742048449009288,0.366273582401297,0.678969498454606,0.654590884972571,0.655729020946677,0.794402256506349,0.605980259580563,0.701175798245617,0.579228720265651,0.548021591194988,0.734515614956996,0.517933473214843,0.692670806851107,0.670263771430767,0.668073309141092,0.695056907296605,0.676648218950082,0.728738679314563,0.426913517289261,0.643093687598552,0.553321126713518,0.523781595146425,0.437336479530683,0.757206154447756,0.628695797025724,0.627815719388753,0.650916200055441,0.660252354750295,0.525056775028624,0.460659211342364,0.665029125058355,0.521391697107287,0.738608360016347,0.50278391722324,0.496645328722825,0.584551037596479,0.570516720426781,0.555890960482599,0.751000649983211,0.618752949451242,0.49009910732264,0.341925892807593,0.558360132538036,0.664243851872983,0.737837406723721,0.389427284611436,0.423411446359349,0.523054177420409,0.686905344626574,0.67342405687644,0.610344822915633,0.391779641564252,0.577371475607749,0.472373962432959,0.396090467153659,0.552052355791492,0.564852675662146,0.479059245086796,0.474743345383069,0.382195943427193,0.825832640189481,0.501876181802299,0.429319427149204,0.60314428138888,0.611671598936792,0.544544628843334,0.57950254143837,0.640398323184755,0.598892478166023,0.634521481788027,0.642597058981281,0.572310815760304,0.652009531583705,0.573210393958842,0.562553233568058,0.886548952699298,0.580545624286203,0.644741981182025,0.877027140759476,0.570873512899101,0.894359572848471,0.676755476932138,0.466619504849872,0.641056697879758,0.807889257465187,0.574513290130334,0.647432024124,0.528799195527231,0.495540255999151,0.390209958438865,0.415223523359825,0.515870192677253,0.527395117347339,0.644670509132067,0.560705179413251,0.571242477583539,0.794694679616066,0.619619663479137,0.477649287973224
"hdz-023",0.320730109886775,0.563940325409023,0.381013404325856,0.354376145785964,0.778062089522056,0.261817903526358,0,0.313855961387802,0.394733803720877,0.694540627721867,0.728048006408028,0.70784510199553,0.560178768985666,0.546317174029415,0.546707677300538,0.480057458581374,0.400559370663187,0.629982705240372,0.62513786510991,0.583069941383202,0.74938288827835,0.520110824710703,0.400794019904715,0.493011056694855,0.354987883936641,0.409431457660203,0.644851612374489,0.63651459750122,0.635739232679898,0.696061343268436,0.63649528153534,0.713824868418175,0.733721263418497,0.284500198728765,0.663659317933991,0.615957494743949,0.66616274082135,0.730177722627487,0.548925477539768,0.675682100029577,0.533888937192466,0.553182126106021,0.674627857973412,0.461039533624954,0.633591025701339,0.694120801857493,0.601740714559828,0.608011498845468,0.636185141424053,0.715803973485909,0.380778120178638,0.581102377890812,0.557831488784523,0.544970614585503,0.49226522159862,0.771835417167381,0.547857240930097,0.593755341622063,0.602064524322173,0.620986641735079,0.49419211182004,0.529884308796684,0.612314135320248,0.547621181057361,0.693979621551694,0.445013673874481,0.507909033393096,0.606624752980021,0.573915591214539,0.461570854535299,0.746012818246266,0.577853799109237,0.466022650948121,0.214708135259028,0.435450262548897,0.622939291476927,0.704832837864005,0.345957486885916,0.33471190195725,0.44078335044308,0.620673803648935,0.595072941643276,0.58756360795269,0.441032115181768,0.585784027899144,0.438481315603238,0.325121546766943,0.443264885625507,0.515623155367174,0.46419035478811,0.492249290574087,0.296435974182903,0.836638686713157,0.4989777765778,0.392255160404775,0.536773387668087,0.610646423623904,0.523479266806105,0.588661553986838,0.665211429789197,0.58828711587296,0.608569632450313,0.640080183283366,0.500319568359757,0.604155568321787,0.564825187192572,0.519285390540751,0.890451095797112,0.495103167791886,0.622814411836106,0.868088091250878,0.497974678599713,0.85849485157203,0.666998778426015,0.415132241445005,0.6602659570048,0.797955823788625,0.518550089845138,0.585812335048534,0.483371912976993,0.472574297340214,0.292362682524695,0.432193217715079,0.434333416793284,0.422507581773907,0.636951130437711,0.521828960043987,0.593074307079024,0.724603483484593,0.594494250514254,0.369895896330885
"hdz-001",0.285278486165815,0.48782991837391,0.182092660582102,0.424807590794172,0.819197089344899,0.35653653912978,0.313855961387802,0,0.43871855731498,0.757451099860117,0.730109808939381,0.788333556349791,0.61294643071787,0.593220872456086,0.596982540733305,0.53627883151722,0.317405379624358,0.691616819571969,0.713872312602157,0.549842804347924,0.78833100832643,0.62554235368817,0.37191153005273,0.591683472166245,0.520558280314178,0.553927581027733,0.750904701382818,0.718196181593444,0.669866651537955,0.789343800570119,0.669013774281768,0.761311581384209,0.779157832694491,0.512150718211152,0.70383566667,0.505290553652094,0.624500571583626,0.811092927310844,0.591964603079754,0.732158947814363,0.580549667218871,0.589282995171809,0.745153243865824,0.601424356173317,0.743721920065048,0.781500728683994,0.711898629158033,0.726438454630774,0.671447700994392,0.692760965670865,0.527711838348623,0.646599911989938,0.677647088661766,0.662957364758569,0.644971825739894,0.837851165867703,0.598640702761542,0.655839851974414,0.71032449199268,0.679329451377141,0.592429374049323,0.423776665431415,0.521795239708655,0.505843240412833,0.752346170826272,0.458115565816217,0.514516904300756,0.602409794752856,0.49004038662823,0.466351697467566,0.729461955158013,0.529274208954688,0.493835795092943,0.311593031304631,0.366670779037104,0.551965771196911,0.759136920012474,0.424309704213226,0.384803748658502,0.570443501100546,0.738729517947528,0.699128322536145,0.538549765445875,0.415833652682526,0.54264782321821,0.565354366967857,0.406666518055146,0.369165320314046,0.518609695523332,0.548332464637381,0.668447195494542,0.374777532622952,0.801379644774887,0.485123767849476,0.477596706144115,0.549795771983624,0.726003095504973,0.471983667626955,0.638249415632593,0.71893047591445,0.63071340073876,0.574331503162402,0.516714968629843,0.482784978552416,0.58522967011296,0.559338496703791,0.595404865259746,0.821077610430222,0.418449090552892,0.444863996775261,0.879194275780993,0.498331304828647,0.850905485485422,0.646980286798433,0.438603772217164,0.622480244941229,0.737425240448639,0.4843868034357,0.650022807006236,0.443521895012046,0.410829863157346,0.361318370608982,0.590986339856031,0.523778766092486,0.379438419221311,0.65453813865882,0.487406811136417,0.574536328120201,0.715504322862787,0.609165499244691,0.308814233176071
"hdz-030",0.330422690654027,0.615224803081118,0.47955105250162,0.616610888396763,0.700311853874114,0.465450504347723,0.394733803720877,0.43871855731498,0,0.583290535907717,0.64072223204883,0.747744944912051,0.536810048233569,0.40689651860313,0.434492435766192,0.395551629137812,0.361935844683882,0.504114322349336,0.643180394584759,0.576012101188495,0.672460834130172,0.523024599245829,0.407809287512286,0.316503780316956,0.393414292206914,0.4056973380215,0.676555855833804,0.628926555768027,0.605725453501222,0.7233176083218,0.57826188654881,0.647651661206803,0.645693889710685,0.383436987470326,0.652366612446952,0.618199831849222,0.616927473244539,0.782251211917489,0.47478105826134,0.596973733815345,0.420172362463616,0.464056181839209,0.699694977457136,0.430616287030965,0.681844577146615,0.714414176712669,0.639149386376844,0.681626486216473,0.531838817722525,0.672795695727962,0.498400031993681,0.473126421670581,0.528159809925747,0.500294936193372,0.499175019563828,0.811113114614152,0.594692707511038,0.420174888040392,0.652109083899879,0.640558661944522,0.504589124139562,0.494010336143463,0.462408667376793,0.594988279529949,0.731170702681752,0.384385512965564,0.459057234864183,0.483217307836215,0.55516358444585,0.580513247302268,0.669006716684558,0.562640698022455,0.354026904748346,0.404967267193754,0.410801771656524,0.521250984238604,0.5963445737138,0.612867430065326,0.300544028228427,0.519460783867461,0.650555904273705,0.654371749431673,0.672523856154505,0.608528412820676,0.617303984205272,0.528942752380235,0.517321833429522,0.395748384542163,0.493305531577057,0.518009032398963,0.605418186588263,0.425952384899244,0.741536913142827,0.502903601944114,0.470318908987691,0.501355238033792,0.646274181557958,0.468079144512251,0.441756171794966,0.581719591492672,0.534806320734371,0.568044563860322,0.672277368451333,0.498852174930814,0.646067560152169,0.512023134497349,0.610921872513775,0.835465484070225,0.523333992289362,0.607973986542747,0.845263879684712,0.556021478247755,0.859682301618797,0.447436281408354,0.199663171328556,0.502204783200677,0.730116532372967,0.49629644642499,0.474580371339415,0.47193662068452,0.416297742730663,0.428183562330327,0.533284891171723,0.488836655867216,0.395576474895849,0.600951300200501,0.515562368697791,0.562723522524884,0.589402413416921,0.452781039789958,0.479755528298708
"hdz-050",0.680247698709701,0.745368344610984,0.745743343312354,0.723726800484948,0.517184048970565,0.710470777122832,0.694540627721867,0.757451099860117,0.583290535907717,0,0.644740594842197,0.495438762783927,0.43886016099343,0.526592481608665,0.538383203138186,0.536091190101237,0.686133413957967,0.393864041494841,0.576545951632563,0.474962055968992,0.447037118592762,0.692645294620645,0.631849739649181,0.415926249649336,0.678985401221565,0.554624950307126,0.342746163842719,0.467878101968658,0.499183116263797,0.290556940932763,0.533266156210654,0.505281100502027,0.393240056595449,0.61631051433637,0.515304785904168,0.758681971795522,0.475099263222451,0.581086690448393,0.377213869125854,0.418799930596297,0.508336194706982,0.53926442100673,0.635600717645307,0.596124806229407,0.550861389220523,0.305084785356367,0.382296003827168,0.63662249176095,0.352224750300962,0.561998907786159,0.645317194499615,0.46606681248771,0.557776965077023,0.569131001670702,0.548641705815246,0.629486654409481,0.75696858851301,0.321544783377688,0.412548892679982,0.610056397338034,0.702827864492221,0.701208385804841,0.754716551392326,0.830909307112276,0.668967103932741,0.509835857923235,0.447301812420459,0.566576970056095,0.666322917552248,0.83778376648618,0.609888561540038,0.577961692408634,0.493940800049635,0.758810947209805,0.726839915419308,0.613998817120438,0.483452320582667,0.770700050597721,0.59097749814694,0.582347793217031,0.552837626134543,0.56095703778755,0.856209046704889,0.802179397528299,0.834735819764809,0.544325013234861,0.697890830506904,0.69329263083655,0.581042825300717,0.671641670667614,0.43896097445822,0.797718067624397,0.505112596091827,0.644208307249921,0.72072678645762,0.588512027751663,0.354552199484374,0.788229153024974,0.467614501498062,0.596668635738573,0.379344398855826,0.549371309912463,0.758409437809836,0.759927419058036,0.78761436952943,0.584815823141433,0.670872203856741,0.724072446864773,0.774285036829808,0.813841086000732,0.860853484087874,0.685726712638523,0.886061796694551,0.514288717230777,0.544395654684408,0.572855775644448,0.744574988134249,0.490174232540833,0.246466239789817,0.694789750194042,0.760780254897676,0.768811384193832,0.52134026543815,0.70068454006518,0.632911916412323,0.456354507711701,0.643744208759082,0.580714629012686,0.606130375878634,0.414766564386976,0.675585307200099
