"","W1","W2","W4","W6","W7","W9","W10","W33","W42","W43","W52","W54","W57","W60","W63","W68","W73","W83","W84","W85","W87","W93","W94","W95","W96","W97","W100","W101","W104","W107","W108","W109","W111","W112","W114","W120","W121","W122","W123","W126","W127","W139","W140","W144","W150","W152","W153","W154","W164","W170","W181","W185","W187","W188","W189","W197","W221","W227","W228","W247","W251","W262","W265","W269","W280","W282","W318"
"W1",0,0.499552699203312,0.500537375509228,0.730037268020041,0.583648711752655,0.531992704848803,0.510846425308301,0.664786867441726,0.598038056620312,0.609661705721712,0.585078567117909,0.554077197908944,0.645248271331633,0.5540761800046,0.542348080334677,0.567669505501218,0.5692779672607,0.571204555143301,0.591736618905341,0.635584092664745,0.59612029266084,0.605938790783193,0.599422556966097,0.702718763325972,0.57317620307441,0.609093469237518,0.582105708096761,0.570341370175556,0.527989898372624,0.583617266589464,0.649268631888727,0.595376212509798,0.670429809395684,0.568247524948784,0.584902405250199,0.646648974020884,0.631764245856628,0.546554573102032,0.611086615815784,0.585603956423984,0.639696283474223,0.646780772230954,0.602749022486875,0.558405445805955,0.560015248557735,0.615446645240262,0.664635568900465,0.541023530140972,0.669907963797958,0.699674861368766,0.602660874615437,0.598076569119917,0.554050155206161,0.593429321687492,0.548793107869571,0.54302263767125,0.624506822810805,0.546726940153468,0.518441942990618,0.845800271438021,0.877204595342016,0.51542874559478,0.565011378781018,0.654587946223836,0.576955223843722,0.572865604422985,0.620121541761627
"W2",0.499552699203312,0,0.510166129006641,0.722203670652498,0.606968441839056,0.53377385739993,0.595919987906218,0.639549988509922,0.608421986227518,0.567809502346855,0.559430489525415,0.594535960487534,0.560441716582397,0.586444571765473,0.60424638363062,0.587688384800044,0.609671133708651,0.60099663487029,0.626101935131783,0.624138808957986,0.54368251256584,0.580529577221201,0.540018860167003,0.689185153717372,0.55842378347969,0.595053763531546,0.557184589588348,0.547986055650682,0.582047976389235,0.541514525133482,0.573812520421136,0.593881583581867,0.666742814576467,0.573788604885795,0.624184369662244,0.616527936474047,0.679309792678072,0.583005788599189,0.639902578620443,0.613970936697476,0.646359122473773,0.612973252835832,0.665277832422675,0.627935350045722,0.632024618205886,0.658845780252811,0.748692056096624,0.564910895629904,0.678408503869937,0.760748306847024,0.686126380670196,0.678074243558193,0.624919296207196,0.598879813113177,0.574190764963723,0.560768106451983,0.567658340737329,0.550270006944217,0.554584632374854,0.775976896582445,0.816941342937127,0.548808795150793,0.587810670900286,0.643801846149128,0.555718069223141,0.533678184991142,0.53846861202948
"W4",0.500537375509228,0.510166129006641,0,0.718634274323653,0.533729366015081,0.446609559012605,0.534869051844341,0.594485489608181,0.643569205446052,0.616379943533468,0.628095740527515,0.577083014780613,0.640116375401621,0.543255589696825,0.549123970119618,0.522806147105296,0.581101539410859,0.609339847782981,0.559683179489142,0.665151483852138,0.613812518219381,0.622654941869694,0.621053189975729,0.701702695485239,0.579038278657517,0.63915807793336,0.586926818865885,0.589731368151195,0.56361546960384,0.541689258579871,0.612963436720215,0.505197027498829,0.671694442068085,0.538687130722393,0.624119343312847,0.654653145386385,0.674036902792936,0.557123313971795,0.54355103709958,0.617134459024419,0.672387073409249,0.631493789825967,0.624340738211732,0.515306108914438,0.585885973859485,0.57346239350139,0.640484402419459,0.561572653007209,0.625246409444768,0.683731228785626,0.604162405505159,0.588679118313359,0.575505114393518,0.592932670507519,0.516733333135432,0.577846320651375,0.561922869159191,0.573304257680838,0.573032899501529,0.846403148712514,0.888689360513022,0.547940580471139,0.654838098233297,0.689485542218383,0.633728745922228,0.621729569069364,0.634124099101859
"W6",0.730037268020041,0.722203670652498,0.718634274323653,0,0.72166425624702,0.733794754627999,0.75607095097073,0.631658784828786,0.759729710828909,0.708665025528881,0.709979435820134,0.633109438047502,0.618515866667726,0.733176488283904,0.700768082652767,0.766100849669938,0.693705908253497,0.742065785099509,0.693749955583772,0.737188371289822,0.694538084378289,0.796766061559199,0.693054987527335,0.615145378352177,0.710592362130922,0.696514250329193,0.707859698164023,0.703591902490982,0.745777912157131,0.653968412122042,0.653047138449019,0.72439857377558,0.61148685662849,0.703132270029594,0.777663701525393,0.663386028260802,0.801329662476788,0.704478983114252,0.747145923522821,0.753729797682889,0.735082840954989,0.623704811358116,0.776524917899062,0.754778098960848,0.759360337162979,0.787864006128216,0.826014396163289,0.736009115006126,0.723493212741542,0.83920909629749,0.764718806721541,0.805585451707597,0.763651910732139,0.764372214747323,0.72904104276629,0.741163198215069,0.674373659826627,0.726344995973657,0.756268077871488,0.772045445421802,0.814778538305747,0.751138359146595,0.734626761290084,0.683812458263989,0.703280667926846,0.732532037097843,0.70845666535289
"W7",0.583648711752655,0.606968441839056,0.533729366015081,0.72166425624702,0,0.506246478934768,0.534844881492175,0.638799532749495,0.634503241627988,0.665409972999633,0.647039626980538,0.635036761930628,0.664004655090425,0.536002327424163,0.559808392821036,0.541250068852383,0.622852798343792,0.655458761465756,0.605100853696193,0.708843498442173,0.642908447077718,0.65075352211155,0.61259427265436,0.671020707320884,0.568838736566721,0.638535602240155,0.614417297439687,0.594680424193563,0.56608164158553,0.582995061640314,0.627473920558243,0.563450668322189,0.705162775505227,0.652099548416072,0.701711816327179,0.650207963296421,0.710099783927625,0.555595001407996,0.630950932762758,0.608713177700687,0.676035055256557,0.711352412209873,0.629608958775499,0.597589040253366,0.596733816763366,0.654844776340018,0.649868927648036,0.62110885304264,0.716868365094611,0.686072351887095,0.617457166843102,0.611703416100211,0.635074056218968,0.670197223324309,0.53400554211545,0.625623013362024,0.604970554474204,0.63227035310125,0.601311204273189,0.845383431578897,0.852969170255184,0.571201649185035,0.616344938832232,0.719814103464501,0.638121364212744,0.626037123535847,0.667057005079135
"W9",0.531992704848803,0.53377385739993,0.446609559012605,0.733794754627999,0.506246478934768,0,0.504177752858949,0.665565880393669,0.615245327984852,0.571640477571366,0.601445805363438,0.58919541783912,0.652627304000673,0.552513114937148,0.565432302349515,0.502899824985189,0.600375105976539,0.62689679889248,0.564944514765112,0.679378761991892,0.629402037218599,0.610206992977734,0.607008430242931,0.66570837720265,0.55571765969914,0.620418752589326,0.568186715932493,0.568814484301286,0.504201526802724,0.575517196196618,0.611349044456548,0.523770303154761,0.662084506702429,0.525648370451607,0.601134249320734,0.690196677595776,0.660551052318993,0.496885901519943,0.566543470958274,0.600630097501551,0.647531134352377,0.63986967584721,0.574491659857502,0.483531343341493,0.514702631133607,0.565185922669769,0.632969911357431,0.554714128056647,0.674000340004381,0.684261662873054,0.608472255490105,0.54878413279148,0.496273372217395,0.602177860172089,0.486875704088389,0.549222551884344,0.583797090797928,0.578942818532375,0.539290185594756,0.840996282309478,0.861664885190404,0.495053818136306,0.596157641195193,0.67905593471871,0.580822927893707,0.542829338052358,0.651233469953231
"W10",0.510846425308301,0.595919987906218,0.534869051844341,0.75607095097073,0.534844881492175,0.504177752858949,0,0.686909603025565,0.623426707979497,0.677367013016275,0.679247375762268,0.595718309437633,0.699433774140186,0.547893623559735,0.593464692575514,0.584429038468244,0.659301598700265,0.634349481296373,0.632371599099489,0.68222426222624,0.684451250840829,0.597472925393585,0.645015931802155,0.727443540964888,0.592518676328353,0.684690500567226,0.641342380186975,0.643729959788831,0.577256146216553,0.632939000408126,0.689751305842595,0.625350816677154,0.701906330671173,0.630973218874941,0.629443343304864,0.701026125466373,0.65669257385518,0.598075477766289,0.639373445976735,0.630597210796711,0.706261771745009,0.720559351868149,0.556609416928972,0.528310352108795,0.502518213465025,0.497695681107736,0.542240111533908,0.571945320241649,0.706944454725088,0.581539932858757,0.502014966910302,0.479590792796925,0.48661010972677,0.60656796803396,0.547984567583491,0.484785804291412,0.637270615035067,0.616655061959835,0.54412086692327,0.867428587416017,0.882899309761941,0.503452084129033,0.599887160484843,0.722244413074938,0.647860155504409,0.560916203165688,0.679815971820578
"W33",0.664786867441726,0.639549988509922,0.594485489608181,0.631658784828786,0.638799532749495,0.665565880393669,0.686909603025565,0,0.562799738318125,0.676350850582939,0.614857549350157,0.593624933230258,0.633513685932873,0.626968176538794,0.601622306081422,0.639300867092883,0.581325424844302,0.537271547310135,0.639880149244644,0.537116863719427,0.673894566679253,0.71724964192607,0.663264488909006,0.684756977494139,0.63878867289521,0.662779829681605,0.6566684230335,0.64194153644055,0.666264783986071,0.588349059194468,0.608588632002866,0.605546667355629,0.503353703211239,0.632084894377126,0.561809773239464,0.676720223620404,0.644757939938125,0.633740786488365,0.66357454396565,0.682200010778991,0.76056234832307,0.574341016218034,0.642645886938384,0.68974748780348,0.690163776759934,0.725722751943491,0.747035377076171,0.60943450660402,0.492586150913578,0.7629912700606,0.691851684713666,0.69742255730106,0.681554460946223,0.685815863165243,0.598918840039079,0.662300987580076,0.61381224198032,0.659553914202057,0.668033992302117,0.816318235870176,0.873944067749416,0.660957241630482,0.686633496102171,0.677639625766888,0.659221675237343,0.666931729083151,0.655150451967104
"W42",0.598038056620312,0.608421986227518,0.643569205446052,0.759729710828909,0.634503241627988,0.615245327984852,0.623426707979497,0.562799738318125,0,0.661774753699961,0.613116994880166,0.639542966669797,0.664952946005426,0.551084761167997,0.592147252480602,0.581142197387017,0.625996460108947,0.443456337548099,0.662915548973925,0.533971765939086,0.606986918511118,0.658950670551423,0.628130736527354,0.727877584426044,0.603677906292556,0.60507232266431,0.573424112699696,0.593466389795732,0.622674089939731,0.638333696786399,0.653249406599959,0.605936331453708,0.594053079038522,0.621379084236387,0.532832151727963,0.636780462278531,0.549292924035883,0.627296687614545,0.603823133363766,0.64370167009816,0.679229908944301,0.619217268406873,0.571768560849747,0.606862046357692,0.629429542203529,0.64696179679548,0.672524977966919,0.511359092085605,0.581991550780081,0.725842245867078,0.616285759609777,0.619826178600272,0.584711189819475,0.619492863280454,0.615311772435433,0.586142757080125,0.639525376248758,0.647590821093691,0.628895332056864,0.85202952309542,0.865625737155975,0.564656537129601,0.63935247384088,0.735868109413541,0.61662675737271,0.565511468580174,0.634910051825176
"W43",0.609661705721712,0.567809502346855,0.616379943533468,0.708665025528881,0.665409972999633,0.571640477571366,0.677367013016275,0.676350850582939,0.661774753699961,0,0.527577002089237,0.582878573593353,0.537329735977604,0.616181206773861,0.606786072367266,0.622558157462691,0.605204100462578,0.624060990477852,0.596729782649878,0.673254950107708,0.637821507484726,0.668398783519854,0.608981581579888,0.682022515228228,0.607807605899646,0.603361764754071,0.592357507332329,0.590023830538323,0.564176204654257,0.565788226732469,0.600831997998628,0.643751759534592,0.665745899362008,0.556556784973088,0.694297053782575,0.606483139060735,0.707406198435654,0.612991250772219,0.636995693384644,0.624110455197745,0.626648771635094,0.655536380788257,0.692990905708077,0.658567457666336,0.636587034561373,0.671338351985148,0.735626777829202,0.632779672572775,0.69411227959112,0.787531263247873,0.700492497857811,0.696755196658415,0.648704137210152,0.648449666384256,0.624504481250284,0.664189688501146,0.63697157345556,0.628451293155596,0.635278088610194,0.786114378293725,0.831762655868456,0.644078926562642,0.670586988144819,0.704183923743534,0.595589046468074,0.676819080704928,0.651344657153417
