"ID"	"Function"
"fpt1"	"methanotrophy"
"fpt2"	"methylotrophy"
"fpt3"	"sulfate_respiration"
"fpt4"	"respiration_of_sulfur_compounds"
"fpt5"	"nitrate_denitrification"
"fpt6"	"nitrite_denitrification"
"fpt7"	"denitrification"
"fpt8"	"chitinolysis"
"fpt9"	"nitrate_ammonification"
"fpt10"	"nitrite_ammonification"
"fpt11"	"nitrite_respiration"
"fpt12"	"cellulolysis"
"fpt13"	"xylanolysis"
"fpt14"	"dark_thiosulfate_oxidation"
"fpt15"	"dark_oxidation_of_sulfur_compounds"
"fpt16"	"manganese_oxidation"
"fpt17"	"ligninolysis"
"fpt18"	"fermentation"
"fpt19"	"aerobic_chemoheterotrophy"
"fpt20"	"invertebrate_parasites"
"fpt21"	"human_pathogens_septicemia"
"fpt22"	"human_pathogens_pneumonia"
"fpt23"	"human_pathogens_nosocomia"
"fpt24"	"human_pathogens_meningitis"
"fpt25"	"human_pathogens_gastroenteritis"
"fpt26"	"human_pathogens_diarrhea"
"fpt27"	"human_pathogens_all"
"fpt28"	"human_gut"
"fpt29"	"human_associated"
"fpt30"	"mammal_gut"
"fpt31"	"animal_parasites_or_symbionts"
"fpt32"	"plant_pathogen"
"fpt33"	"aromatic_compound_degradation"
"fpt34"	"aliphatic_non_methane_hydrocarbon_degradation"
"fpt35"	"hydrocarbon_degradation"
"fpt36"	"iron_respiration"
"fpt37"	"nitrate_respiration"
"fpt38"	"nitrate_reduction"
"fpt39"	"nitrogen_respiration"
"fpt40"	"fumarate_respiration"
"fpt41"	"plastic_degradation"
"fpt42"	"ureolysis"
"fpt43"	"reductive_acetogenesis"
"fpt44"	"chemoheterotrophy"
"fpt45"	"anaerobic_chemoheterotrophy"
