"ID"	"C1"	"C2"	"C3"	"C4"	"C6"	"C7"	"C8"	"C10"	"C29"	"C30"	"C38"	"C39"	"C42"	"C43"	"C46"	"C48"	"C51"	"C52"	"C55"	"C59"	"C61"	"C65"	"C68"	"C74"	"C75"	"C77"	"C82"	"C86"	"C87"	"C88"	"C89"	"C90"	"C91"	"C92"	"C95"	"C99"	"C103"	"C105"	"C106"	"C107"	"C108"	"C111"	"C113"	"C114"	"C116"	"C117"	"C118"	"C119"	"C120"	"C121"	"C123"	"C125"	"C128"	"C129"	"C137"	"C141"	"C142"	"C143"	"C144"	"C151"	"C152"	"C154"	"C156"	"C157"	"C159"	"C174"	"C177"	"C178"	"C200"	"C201"	"C416"
"fpt1"	0.03	0.2	2.64	0.17	0	0	0.25	0.01	0.01	0	0.03	0	0.09	0.07	0	0	0.29	0.06	0.01	0.06	0	0	0.14	0	0	0.6	0.22	0	0	0.41	0.72	0.63	0.71	0.16	2.44	0	0	0	0.04	0.27	0.17	0.01	5.65	7.24	0.03	0.01	5.34	0.96	0.04	0.01	0	0	0	0.01	0	0.01	0	0	0	0	3.14	0	0	0	0	0	0	0	0.04	2.35	1.53
"fpt2"	0.39	0.07	0.26	0.23	0.09	0.34	0	0	0	0.07	0.04	0	0.19	0.1	0.06	0.09	0.74	0.12	0.09	0.01	0.01	0.2	0	0.01	0	13.12	0.07	0.19	0.01	0.34	0.03	0.32	0.06	0.26	0.23	0	0.2	0.01	0.01	0.22	0.03	0.12	0.48	2.04	0.04	0.09	0.61	0.04	1.18	0.13	0	0	0.03	0.03	0.06	0.22	0.06	0.02	0.01	1	1.44	0	0	0	0	0	0.07	0	0	0.42	2.12
"fpt3"	0.39	0.07	0.26	0.23	0.09	0.34	0	0	0	0.07	0.04	0	0.19	0.1	0.06	0.09	0.74	0.12	0.09	0.01	0.01	0.2	0	0.01	0	13.12	0.07	0.19	0.01	0.34	0.03	0.32	0.06	0.26	0.23	0	0.2	0.01	0.01	0.22	0.03	0.12	0.48	2.04	0.04	0.09	0.61	0.04	1.18	0.13	0	0	0.03	0.03	0.06	0.22	0.06	0.02	0.01	1	1.44	0	0	0	0	0	0.07	0	0	0.42	2.12
"fpt4"	0.39	0.07	0.26	0.23	0.09	0.34	0	0	0	0.07	0.04	0	0.19	0.1	0.06	0.09	0.74	0.12	0.09	0.01	0.01	0.2	0	0.01	0	13.12	0.07	0.19	0.01	0.34	0.03	0.32	0.06	0.26	0.23	0	0.2	0.01	0.01	0.22	0.03	0.12	0.48	2.04	0.04	0.09	0.61	0.04	1.18	0.13	0	0	0.03	0.03	0.06	0.22	0.06	0.02	0.01	1	1.44	0	0	0	0	0	0.07	0	0	0.42	2.12
"fpt5"	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0	0.03	0.01	0.01	0.01	0.01	0	0.01	0.01	0.03	0	0	0.03	0	0.03	0	0.01	0.03	0.01	0.01	0	0.03	0.03	0.03	0.01	0.01	0	0.07	0.01	0	0	0	0	0.06	0.03	0.06	0	0.03	0.01	0.01	0.01	0	0	0	0.01	0	0	0.03	0.05	0.03	0.03	0.01	0	0.01	0.01	0.01	0	0	0	0	0	0.03
"fpt6"	0.04	0.01	0	0	0.01	0.01	0.06	0.01	0.07	0.01	0.09	0.07	0.07	0.07	0.03	0.04	0.15	0.03	0.17	0.03	0	0.06	0	0.04	0.01	0.03	0.03	0.03	0.03	0.04	0.09	0.1	0.04	0.12	0.12	0	0.07	0.01	0.12	0.01	0.12	0	0.06	0.51	0.07	0.03	0.04	0.06	0.12	0.01	0.01	0.03	0.04	0.12	0	0.01	0.66	2.34	0.03	0.04	0.09	0	0.01	0.01	0.1	0	0	0	0.04	0.67	0.04
"fpt7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.03	0	0	0.15	1.25	0	0	0	0	0	0	0	0	0	0
"fpt8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.03	0	0	0.15	1.25	0	0	0	0	0	0	0	0	0	0
"fpt9"	17.24	10.9	17.23	7.91	11.6	17.91	21.38	17.2	11.46	18.8	15.44	17.48	17.49	20.4	22.04	20.48	22.69	19.82	16.45	10.87	11.2	13.79	15.26	10.44	6.66	34.45	17.06	11.73	7.91	22.49	19.8	21.73	14.69	22.56	26.63	14.14	25.91	11.95	17.68	13.69	22.36	17.31	29.38	54.79	22.5	12.43	40.15	18.49	30.77	16.39	8.12	10.2	15.58	19.64	4.36	20.78	23.3	30.31	17.88	30.79	50.98	12.54	7.97	8.47	19.02	3.57	2.62	2.09	3.05	15.64	39.73
"fpt10"	0.86	0.44	1.21	0.55	0.29	1.02	0.48	0.76	0.56	1.51	0.88	0.6	0.59	0.56	0.29	0.77	0.96	0.47	0.91	0.33	0.62	0.57	0.49	0.33	0.29	0.57	1.47	0.6	0.29	1.81	0.56	1.43	0.52	1.3	1.25	0.37	2.25	0.37	0.57	0.6	0.62	0.49	3.6	4.18	0.68	0.57	1.19	0.84	0.53	0.75	0.22	0.27	0.39	0.92	0.19	2.51	0.97	6.32	0.2	4.07	3.61	0.42	0.06	0.49	0.72	0.21	0.26	0.37	0.53	0.61	1.99
