"ID"	"culi.1"	"culi.2"	"culi.3"	"culi.4"	"culi.6"	"culi.7"	"culi.8"	"culi.10"	"culi.11"	"culi.12"	"culi.15"	"culi.21"	"culi.25"	"culi.27"	"culi.28"	"culi.29"	"culi.30"	"culi.32"	"culi.36"	"culi.38"	"culi.39"	"culi.42"	"culi.43"	"culi.46"	"culi.48"	"culi.50"	"culi.51"	"culi.52"	"culi.54"	"culi.55"	"culi.58"	"culi.59"	"culi.61"	"culi.62"	"culi.64"	"culi.65"	"culi.68"	"culi.74"	"culi.75"	"culi.77"	"culi.81"	"culi.82"	"culi.83"	"culi.84"	"culi.85"	"culi.86"	"culi.87"	"culi.88"	"culi.89"	"culi.90"	"culi.91"	"culi.92"	"culi.93"	"culi.95"	"culi.96"	"culi.99"	"culi.100"	"culi.103"	"culi.105"	"culi.106"	"culi.107"	"culi.108"	"culi.109"	"culi.111"	"culi.113"	"culi.114"	"culi.115"	"culi.116"	"culi.117"	"culi.118"	"culi.119"	"culi.120"	"culi.121"	"culi.122"	"culi.123"	"culi.125"	"culi.126"	"culi.127"	"culi.128"	"culi.129"	"culi.133"	"culi.134"	"culi.135"	"culi.136"	"culi.137"	"culi.138"	"culi.139"	"culi.140"	"culi.141"	"culi.142"	"culi.143"	"culi.144"	"culi.145"	"culi.146"	"culi.147"	"culi.148"	"culi.150"	"culi.151"	"culi.152"	"culi.153"	"culi.154"	"culi.156"	"culi.157"	"culi.159"	"culi.161"	"culi.172"	"culi.174"	"culi.177"	"culi.178"	"culi.183"	"culi.187"	"culi.192"	"culi.196"	"culi.199"	"culi.200"	"culi.201"	"culi.202"	"culi.416"
"njc1"	0.11	0.02	0.09	0.02	0	0.02	0.01	0	0	0	0	0	0.02	0	0	0	0.07	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.09	0	0.09	0	0	0.11	0.02	0.12	0.05	0.11	0	0.09	0.02	0.07	0	0	0.13	0.05	0.02	0.02	0.07	0.02	0.02	0.07	0	0.09	0	0.34	0.04	0.13	0.11	0.07	0.02	0	0.02	0	0.02	0	0.02	0.45	0	0.02	0	0	0	0.01	9.17	0.02	0.34	0	0	0	0.29	0	0	0.07	0.02	0.77	0.14	0	0	0	0.04	0	0	0	0	0	0	0	0.02	0	0.09	0.07	0	0	0	0.23
"njc2"	0.11	0.02	0.09	0.02	0	0.02	0.01	0	0	0	0	0	0.02	0	0	0	0.07	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.09	0	0.09	0	0	0.11	0.02	0.12	0.05	0.11	0	0.09	0.02	0.07	0	0	0.13	0.05	0.02	0.02	0.07	0.02	0.02	0.07	0	0.09	0	0.34	0.04	0.13	0.11	0.07	0.02	0	0.02	0	0.02	0	0.02	0.45	0	0.02	0	0	0	0.01	9.17	0.02	0.34	0	0	0	0.29	0	0	0.07	0.02	0.77	0.14	0	0	0	0.04	0	0	0	0	0	0	0	0.02	0	0.09	0.07	0	0	0	0.23
"njc3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.02	0	0.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.2	0.53	0.02	0.58	0.07	0
"njc4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.02	0	0.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.2	0.53	0.02	0.58	0.07	0
"njc5"	0.11	0.02	0.09	0.02	0	0.02	0.01	0	0	0	0	0	0.02	0	0	0	0.07	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.09	0	0.09	0	0	0.11	0.02	0.12	0.05	0.11	0	0.09	0.02	0.07	0	0	0.13	0.05	0.02	0.02	0.07	0.02	0.02	0.07	0	0.09	0	0.34	0.04	0.13	0.11	0.07	0.02	0	0.02	0	0.02	0	0.02	0.45	0	0.02	0	0	0	0.01	9.17	0.02	0.34	0	0	0	0.29	0	0	0.07	0.02	0.77	0.14	0	0	0	0.04	0	0	0	0	0	0	0	0.02	0	0.09	0.07	0	0	0	0.23
"njc6"	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.04	0.09	0.02	0.02	0.02	0	0.04	0.02	0	0.02	0.02	0.02	0	0.04	0.02	0	0.02	0.02	0.02	0	0.02	0.02	0.02	0	0.02	0	0	0	0.02	0	0.04	0	0	0	0.02	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.21	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0.02	0	0	0	0	0
"njc7"	0.22	0.07	0.09	0.02	0.07	0.13	0.22	0.02	0.09	0.09	0.11	0.04	0.02	0.07	0.04	0	0.11	0.02	0	0.11	0.04	0.09	0.05	0.02	0.02	0.02	0.02	0.02	0.09	0.07	0.04	0.02	0	0.07	0.09	0.02	0.02	0.07	0	0.05	0.11	0.04	0.09	0.09	0	0.13	0.02	0.15	0.09	0.16	0.09	0.11	0.07	0.09	0.04	0.07	0.13	0.11	0.09	0.13	0.09	0.07	0.13	0.11	0.04	0.11	0.07	0.43	0.11	0.16	0.18	0.11	0.02	0	0.11	0.04	0.09	0.09	0.02	0.52	0.02	0.09	0.02	0.18	0.02	0.09	9.19	0.16	0.34	0.02	0.05	0.04	0.41	0.09	0.02	0.09	0.09	0.83	0.18	0.05	0	0.02	0.09	0.05	0.02	0.31	0.09	0.07	0.04	0.04	0.02	0	0.14	0.07	0	0	0	0.29
"njc8"	10.73	14.96	14.35	16.13	24.83	21.99	14.84	17.87	11.09	13.07	29.86	13.98	29.37	18.88	29.83	20.74	37.87	36.37	18.22	27.21	25.5	20.11	22.41	27.84	21.77	25.24	30.3	25.3	25.77	26.51	24.85	21.74	30.94	25.6	27.29	24.88	26.12	15.26	39.07	17.06	20.29	24.83	30.27	17.72	24.99	41.74	16.46	39.63	35.51	37.35	35.17	31.28	26.86	27.85	26.09	18.11	19.81	27.85	16.09	14.94	18.97	24.35	20.79	26.82	17.65	25.48	22.53	23.36	14.81	23.35	21.34	27.1	26.9	20.67	15.07	10.93	12.84	16.83	19.29	16.91	24.27	18.26	29.5	23.63	28.77	21.11	36.49	20.35	28.01	11.22	20.78	20.93	28.61	9.77	44.83	33.15	22.3	32.16	31.41	37.78	30.44	27.08	19.76	27.63	26.3	21.83	24	23.31	9.7	18.84	11.53	11.52	27.91	21.02	19.78	18.2	9.35	22.55
"njc9"	0.02	0.02	0	0	0.02	0.04	0.01	0	0.04	0	0.02	0.09	0	0.02	0	0	0.07	0.02	0	0.04	0	0	0	0	0.02	0	0.02	0	0	0.02	0.02	0	0	0.04	0	0.04	0	0.04	0	0	0.05	0.04	0	0	0.02	0.02	0	0.02	0.02	0.04	0.02	0	0	0.04	0	0.02	0	0	0.02	0	0.04	0	0	0	0	0.09	0.04	0.02	0.02	0	0	0.04	0	0.04	0.02	0	0	0.09	0.02	0.02	0	0	0	0	0	0.01	0.16	0	0	0.07	0.05	0	0.05	0.02	0.02	0.05	0	0	0.02	0.07	0	0.07	0.04	0	0	0.02	0	0.02	0	0	0.25	0	0	4.9	0.09	0.36	0.56	0
"njc10"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0.07	0.02	0	1.62	0
