"ID"	"hdz.013"	"hdz.014"	"hdz.021"	"hdz.011"	"hdz.010"	"hdz.016"	"hdz.026"	"hdz.024"	"hdz.020"	"hdz.035"	"hdz.040"	"hdz.047"	"hdz.054"	"hdz.069"	"hdz.064"	"hdz.063"	"hdz.057"	"hdz.071"	"hdz.065"	"hdz.187"	"hdz.184"	"hdz.181"	"hdz.180"	"hdz.167"	"hdz.060"	"hdz.174"	"hdz.163"	"hdz.098"	"hdz.102"	"hdz.097"	"hdz.087"	"hdz.085"	"hdz.192"	"hdz.264"	"hdz.258"	"hdz.274"	"hdz.252"	"hdz.249"	"hdz.240"	"hdz.272"	"hdz.250"	"hdz.270"	"hdz.273"	"hdz.262"	"hdz.271"	"hdz.203"	"hdz.266"	"hdz.394"	"hdz.196"	"hdz.235"	"hdz.198"	"hdz.326"	"hdz.330"	"hdz.318"	"hdz.317"	"hdz.308"	"hdz.314"	"hdz.319"	"hdz.324"	"hdz.305"	"hdz.310"	"hdz.320"	"hdz.301"	"hdz.241"	"hdz.327"	"hdz.236"	"hdz.230"	"hdz.222"	"hdz.398"	"hdz.339"	"hdz.321"	"hdz.221"	"hdz.408"	"hdz.219"	"hdz.220"	"hdz.392"	"hdz.229"	"hdz.405"	"hdz.350"	"hdz.224"	"hdz.215"	"hdz.227"	"hdz.226"	"hdz.388"	"hdz.352"	"hdz.354"	"hdz.361"	"hdz.452"	"hdz.426"	"hdz.442"	"hdz.445"	"hdz.311"
"txid604330"	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	2	0	1	1	1	1	1	1	2	4	0	1	0	3	2	1	0	1	0	1	1	0	0	0	1	1	0	0	2	0	0	1	0	1	1	2	0	0	1	1	1	0	0	1	2	37	0	1	0	2	1	0	0	3	2	3	0	1	0	0	2	1	0	0
"txid2003188"	1	2	0	1	2	2	4	1	4	6	2	3	5	2	0	2	10	2	0	2	1	3	6	1	1	2	2	2	0	4	3	0	1	1	2	4	1	0	1	2	8	14	2	7	7	1	1	16	8	1	3	6	3	4	10	0	6	2	2	7	2	2	2	5	0	0	4	1	0	9	2	2	2	9	1	14	3	5	10	0	3	6	1	20	3	0	5	2	2	4	0	3
"txid1871031"	1	2	0	0	0	1	1	1	4	2	0	0	2	4	0	11	16	2	0	1	0	0	1	0	0	1	0	0	0	2	3	0	1	0	0	2	1	0	1	0	1	3	2	2	3	1	3	0	2	0	0	1	0	0	0	0	0	0	0	5	0	2	0	1	1	1	1	0	3	2	1	1	0	2	0	0	0	1	0	0	0	1	0	6	0	0	0	0	1	2	0	1
"txid147207"	10	7	0	1	4	34	5	1	42	10	11	6	26	4	1	19	25	6	22	1	2	1	4	13	6	6	14	19	1	18	7	5	5	4	6	14	0	1	16	2	12	28	3	22	77	4	5	6	8	6	3	10	20	8	10	1	10	10	4	14	8	7	4	46	7	4	25	5	14	9	1	2	6	32	1	16	12	15	9	1	2	33	3	42	5	3	2	0	5	0	1	4
"txid742742"	7	3	0	1	1	11	3	0	10	4	4	3	7	1	0	1	3	4	10	2	2	1	1	4	2	1	5	2	1	2	2	2	1	0	7	0	0	0	2	1	9	7	3	10	21	0	2	6	4	1	1	2	4	1	1	2	8	1	1	4	5	2	2	7	2	2	3	1	1	2	0	3	0	3	1	6	5	4	11	1	0	2	3	13	3	0	0	0	0	0	1	4
"txid1870987"	4	3	0	0	2	16	3	2	11	6	2	1	8	1	2	3	3	5	10	1	1	0	3	5	3	1	6	1	3	10	3	0	4	1	6	5	8	2	8	1	8	14	3	11	19	1	4	4	5	1	1	6	7	3	2	1	5	4	0	7	2	3	0	12	1	4	5	4	7	5	1	3	5	105	1	14	5	3	3	2	0	16	1	20	5	5	2	0	9	0	1	2
"txid1411144"	3	1	1	0	0	19	6	11	37	26	8	21	21	15	3	12	9	3	11	11	8	3	7	8	33	6	21	18	8	6	18	11	4	5	17	10	2	0	0	58	58	42	34	13	34	6	17	4	1	2	25	7	19	4	6	16	76	5	12	16	25	18	41	11	10	6	10	4	35	3	0	15	8	15	13	2	12	21	15	7	12	4	5	21	0	0	0	0	6	0	0	8
"txid246787"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	23	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	1	0	0
"txid1912896"	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	1	1	0	1	3	0	1	0	0	0	0	1	1	0	0	0	0	0	0	2	0	3	1	1	2	0	1	0	0	0	1	0	3	4	0	0	18	1	2	1	3	4	8	0	2	0	0	6	0	0	0	1	2	7	0	0	0	1	0	0	0	0	0	4	0	0	0	0	7	0	1	2
"txid1903262"	12	9	3	1	3	39	40	13	95	59	34	37	49	71	15	46	38	44	72	67	47	32	61	33	134	33	112	53	20	16	58	44	15	11	42	39	9	18	24	155	151	132	76	46	141	39	52	19	16	20	62	25	59	37	38	52	43	31	46	40	59	44	120	42	26	22	42	52	67	13	3	57	11	33	29	8	34	112	81	52	52	46	31	112	0	0	0	0	5	0	0	29
