"ID"	"hdz.013"	"hdz.014"	"hdz.021"	"hdz.011"	"hdz.010"	"hdz.016"	"hdz.026"	"hdz.024"	"hdz.020"	"hdz.028"	"hdz.035"	"hdz.040"	"hdz.047"	"hdz.054"	"hdz.069"	"hdz.064"	"hdz.063"	"hdz.057"	"hdz.071"	"hdz.065"	"hdz.187"	"hdz.184"	"hdz.181"	"hdz.180"	"hdz.167"	"hdz.060"	"hdz.174"	"hdz.169"	"hdz.163"	"hdz.098"	"hdz.102"	"hdz.097"	"hdz.088"	"hdz.091"	"hdz.087"	"hdz.085"	"hdz.192"	"hdz.264"	"hdz.258"	"hdz.269"	"hdz.274"	"hdz.245"	"hdz.253"	"hdz.252"	"hdz.249"	"hdz.240"	"hdz.272"	"hdz.250"	"hdz.270"	"hdz.273"	"hdz.262"	"hdz.271"	"hdz.203"	"hdz.266"	"hdz.204"	"hdz.394"	"hdz.254"	"hdz.196"	"hdz.235"	"hdz.198"	"hdz.326"	"hdz.330"	"hdz.318"	"hdz.317"	"hdz.308"	"hdz.314"	"hdz.319"	"hdz.324"	"hdz.305"	"hdz.310"	"hdz.320"	"hdz.301"	"hdz.241"	"hdz.327"	"hdz.236"	"hdz.233"	"hdz.230"	"hdz.222"	"hdz.400"	"hdz.398"	"hdz.339"	"hdz.321"	"hdz.384"	"hdz.347"	"hdz.396"	"hdz.345"	"hdz.221"	"hdz.408"	"hdz.219"	"hdz.220"	"hdz.348"	"hdz.392"	"hdz.341"	"hdz.229"	"hdz.405"	"hdz.350"	"hdz.224"	"hdz.390"	"hdz.215"	"hdz.227"	"hdz.226"	"hdz.388"	"hdz.377"	"hdz.357"	"hdz.352"	"hdz.354"	"hdz.361"	"hdz.362"	"hdz.452"	"hdz.437"	"hdz.426"	"hdz.442"	"hdz.445"	"hdz.311"	"hdz.029"	"hdz.206"	"hdz.397"	"hdz.213"	"hdz.421"	"hdz.095"	"hdz.005"	"hdz.004"	"hdz.019"	"hdz.025"	"hdz.002"	"hdz.023"	"hdz.001"	"hdz.030"	"hdz.050"	"hdz.036"	"hdz.067"	"hdz.186"	"hdz.183"	"hdz.195"	"hdz.157"	"hdz.173"	"hdz.161"	"hdz.162"	"hdz.170"	"hdz.099"	"hdz.103"	"hdz.101"	"hdz.096"	"hdz.106"	"hdz.107"	"hdz.193"	"hdz.259"	"hdz.251"	"hdz.323"	"hdz.246"	"hdz.247"	"hdz.248"	"hdz.267"	"hdz.265"	"hdz.209"	"hdz.207"	"hdz.260"	"hdz.205"	"hdz.208"	"hdz.194"	"hdz.200"	"hdz.239"	"hdz.199"	"hdz.237"	"hdz.307"	"hdz.315"	"hdz.306"	"hdz.331"	"hdz.303"	"hdz.312"	"hdz.313"	"hdz.333"	"hdz.335"	"hdz.332"	"hdz.325"	"hdz.242"	"hdz.334"	"hdz.302"	"hdz.232"	"hdz.309"	"hdz.337"	"hdz.344"	"hdz.338"	"hdz.409"	"hdz.346"	"hdz.210"	"hdz.393"	"hdz.340"	"hdz.349"	"hdz.218"	"hdz.406"	"hdz.391"	"hdz.316"	"hdz.223"	"hdz.217"	"hdz.228"	"hdz.403"	"hdz.402"	"hdz.387"	"hdz.376"	"hdz.378"	"hdz.379"	"hdz.359"	"hdz.355"	"hdz.360"	"hdz.380"	"hdz.451"	"hdz.453"	"hdz.449"	"hdz.448"	"hdz.439"	"hdz.432"	"hdz.440"	"hdz.443"	"hdz.165"	"hdz.214"	"hdz.446"	"hdz.447"	"hdz.189"	"hdz.475"	"hdz.441"	"hdz.160"	"hdz.464"	"hdz.164"	"hdz.474"	"hdz.423"	"hdz.416"	"hdz.415"	"hdz.414"	"hdz.171"	"hdz.412"	"hdz.159"	"hdz.473"	"hdz.463"	"hdz.158"	"hdz.461"	"hdz.466"	"hdz.488"	"hdz.483"	"hdz.489"	"hdz.477"	"hdz.484"	"hdz.509"	"hdz.479"	"hdz.480"	"hdz.517"	"hdz.487"	"hdz.481"	"hdz.525"	"hdz.522"
"fpt1"	0.04	0.2	2.64	0.18	0	0	0	0.32	0.02	0	0	0.52	0	0	0	0.02	0	0	0.02	0	0.08	0.08	0	0	0.02	0	0.06	0	0.02	0	0.06	0	0.16	0.04	0	0.14	0	0	0.59	0.16	0.2	0.02	0	0.02	0	0	0.86	0.04	0.73	0.64	0.7	0.16	0.12	2.44	0.04	0	0.16	0	0	0.04	0.26	0.18	1.05	0.02	5.65	7.17	0.02	0.02	0.02	5.32	0.95	0.06	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0.02	0	0	0	0.04	0	0	0	0	0	3.13	0	0	0	0	0	0	0	0	0	0	0.08	0	0.25	0	0.04	2.35	1.53	0.64	0.06	0.06	0	0.16	0.02	0.02	0.02	0	0	0.16	3.95	0.16	2.07	0.02	0	0	0.14	0.28	0.62	0.06	1.57	0	0.1	0.02	0	0.08	0.18	0.08	0.06	0.1	0	0.3	0.28	0.02	0	0.02	0	0.16	0.04	1.88	0.02	0.02	0.08	0.12	0	0.16	0	0.04	0.06	0.08	0.02	0.08	0.08	0.02	0.14	0.16	0.1	0.18	0.12	0.04	1.71	0.36	0.12	0.15	0.19	0.46	0.68	0.53	0	0	0.02	0	0.02	0	0	0.41	0.02	0.22	3.46	0.84	0	0.04	0.02	0	0	0	0	0	0.02	0.02	0.04	0.04	0	0	0.04	0	0.31	0.63	0	0	0	0.08	0.04	0.09	0.02	0.18	0.79	0.71	0.1	0.02	0.02	0.04	0.56	9.68	0	0	0.38	0.02	0.02	0	0	0	0	0	0.22	0.02	0	0.02	0.06	0.02	0.04	0	0	0	0.08
"fpt2"	0.4	0.08	0.32	0.24	0.08	0.34	0	0	0	0.02	0.04	0	0.04	0	0.02	0	0.1	0	0.04	0	0.2	0.1	0.06	0.08	0.14	0.48	0.1	0	0.1	0	0.02	0	0.1	0.08	0.2	0	0.02	0	13.13	2.24	0.06	0.04	0.04	0.04	0.24	0.02	0.33	0.48	0.02	0.32	0.08	0.28	0.04	0.24	0	0	0.2	0.22	0.02	0.02	0.24	0.04	0.1	0.12	0.49	2.07	0.08	0.04	0.08	0.63	0.04	1.18	0.18	0	0	0.02	0.04	0.04	0	0.02	0.02	0.06	0.52	0.08	0.35	0	0.24	0.04	0	0	0.1	0	0.04	0.14	0	0.99	1.42	0.33	0	0	0	0	0	0.02	0	0.08	0	0.04	0.06	0	0.24	0	0.43	2.14	0	0.06	1	0	0	0.04	0.74	0	0.02	0	0	0	0	0	0	0	0	0.26	0.16	0.06	0	0.02	0.02	0.02	0.02	0.02	0	0	0.06	0	0	0	0.02	0.08	0	0.95	0.34	0	0.02	0	0.35	0.04	0.02	0.04	0.2	0.14	0.04	0.06	0.02	0	0	0.04	0.08	0.02	0.06	0.04	0.12	0.02	0	0	0.06	1.38	0.04	0.02	0.02	6.53	0.02	0	0	0.04	0	0.08	0	0	0	0.02	0.1	0.1	0	0.1	0.06	0.76	0	0.02	0	0	0.04	0	0	0.02	0.37	0.02	0.04	0.04	0.04	0	0.02	4.15	0.9	0.95	0.39	0.02	0.02	0.08	0.06	0.04	0.79	0.06	0.06	0.02	0.02	0.1	0.59	0.73	0.02	1.96	0.02	41.97	0.12	0.02	2.88	0.02	0.02	0.14	0.02	0	0	0.04	1.31	0	0	0	0.06	0.02	0.04	0
"fpt3"	0.4	0.08	0.32	0.24	0.08	0.34	0	0	0	0.02	0.04	0	0.04	0	0.02	0	0.1	0	0.04	0	0.2	0.1	0.06	0.08	0.14	0.48	0.1	0	0.1	0	0.02	0	0.1	0.08	0.2	0	0.02	0	13.13	2.24	0.06	0.04	0.04	0.04	0.24	0.02	0.33	0.48	0.02	0.32	0.08	0.28	0.04	0.24	0	0	0.2	0.22	0.02	0.02	0.24	0.04	0.1	0.12	0.49	2.07	0.08	0.04	0.08	0.63	0.04	1.18	0.18	0	0	0.02	0.04	0.04	0	0.02	0.02	0.06	0.52	0.08	0.35	0	0.24	0.04	0	0	0.1	0	0.04	0.14	0	0.99	1.42	0.33	0	0	0	0	0	0.02	0	0.08	0	0.04	0.06	0	0.24	0	0.43	2.14	0	0.06	1	0	0	0.04	0.74	0	0.02	0	0	0	0	0	0	0	0	0.26	0.16	0.06	0	0.02	0.02	0.02	0.02	0.02	0	0	0.06	0	0	0	0.02	0.08	0	0.95	0.34	0	0.02	0	0.35	0.04	0.02	0.04	0.2	0.14	0.04	0.06	0.02	0	0	0.04	0.08	0.02	0.06	0.04	0.12	0.02	0	0	0.06	1.38	0.04	0.02	0.02	6.53	0.02	0	0	0.04	0	0.08	0	0	0	0.02	0.1	0.1	0	0.1	0.06	0.76	0	0.02	0	0	0.04	0	0	0.02	0.37	0.02	0.04	0.04	0.04	0	0.02	4.15	0.9	0.95	0.39	0.02	0.02	0.08	0.06	0.04	0.79	0.06	0.06	0.02	0.02	0.1	0.59	0.73	0.02	1.96	0.02	41.97	0.12	0.02	2.88	0.02	0.02	0.14	0.02	0	0	0.04	1.31	0	0	0	0.06	0.02	0.04	0
"fpt4"	0.4	0.08	0.32	0.24	0.08	0.34	0	0	0	0.02	0.04	0	0.04	0	0.02	0	0.1	0	0.04	0	0.2	0.1	0.06	0.08	0.14	0.48	0.1	0	0.1	0	0.02	0	0.1	0.08	0.2	0	0.02	0	13.13	2.24	0.06	0.04	0.04	0.04	0.24	0.02	0.33	0.48	0.02	0.32	0.08	0.28	0.04	0.24	0	0	0.2	0.22	0.02	0.02	0.24	0.04	0.1	0.12	0.49	2.07	0.08	0.04	0.08	0.63	0.04	1.18	0.18	0	0	0.02	0.04	0.04	0	0.02	0.02	0.06	0.52	0.08	0.35	0	0.24	0.04	0	0	0.1	0	0.04	0.14	0	0.99	1.42	0.33	0	0	0	0	0	0.02	0	0.08	0	0.04	0.06	0	0.24	0	0.43	2.14	0	0.06	1	0	0	0.04	0.74	0	0.02	0	0	0	0	0	0	0	0	0.26	0.16	0.06	0	0.02	0.02	0.02	0.02	0.02	0	0	0.06	0	0	0	0.02	0.08	0	0.95	0.34	0	0.02	0	0.35	0.04	0.02	0.04	0.2	0.14	0.04	0.06	0.02	0	0	0.04	0.08	0.02	0.06	0.04	0.12	0.02	0	0	0.06	1.38	0.04	0.02	0.02	6.53	0.02	0	0	0.04	0	0.08	0	0	0	0.02	0.1	0.1	0	0.1	0.06	0.76	0	0.02	0	0	0.04	0	0	0.02	0.37	0.02	0.04	0.04	0.04	0	0.02	4.15	0.9	0.95	0.39	0.02	0.02	0.08	0.06	0.04	0.79	0.06	0.06	0.02	0.02	0.1	0.59	0.73	0.02	1.96	0.02	41.97	0.12	0.02	2.88	0.02	0.02	0.14	0.02	0	0	0.04	1.31	0	0	0	0.06	0.02	0.04	0
"fpt5"	0.02	0.02	0	0	0.02	0.02	0.02	0.02	0.02	0.02	0	0.02	0.02	0	0	0	0	0.02	0.02	0	0.02	0.02	0.02	0	0.02	0	0.02	0.06	0.02	0	0	0	0.02	0.02	0.02	0	0.04	0	0.02	0	0.04	0	0	0	0	0.02	0	0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0.06	0	0	0	0	0.02	0	0.06	0.02	0	0.06	0	0.02	0.02	0.02	0.02	0	0	0	0	0	0	0	0.02	0	0.02	0	0.02	0	0	0.02	0.04	0.02	0.06	0	0	0	0.04	0.02	0	0	0	0.02	0.02	0.02	0	0	0	0	0	0	0	0	0.02	0	0	0.04	0.02	0	0.06	0.02	0	0.02	0	0.02	0	0	0	0	0.02	0.04	0	0.02	0	0	0	0.02	0	0.02	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0.04	0	0	0.02	0	0.02	0	0.02	0.02	0	0.02	0	0.02	0.02	0.02	0	0.02	0.02	0.02	0	0	0.02	0	0	0	0	0.02	0.04	0.02	0.02	0.02	0	0.14	0.08	0.02	0.02	0	0	0	0.04	0	0.04	0.06	0.06	0.02	0.1	0	0	0.02	0.04	0.02	0.02	0.02	0	0.15	0.02	0.06	0.04	0.02	0	0	0.02	0	0	0	0.02	0	0.02	0	0	0	0.06	0	0.02	0.04	0	0.02	0	0.02	0.04	0	0.02	0.02	0	0.08	0	0	0.02	0.02	0.02	0	0.04	0	0.02	0.02	0	0	0	0.02	0.04	0.02
"fpt6"	0.06	0.02	0	0	0.02	0.02	0.04	0.02	0.02	0.02	0	0.06	0.04	0	0.02	0.02	0.04	0.08	0.08	0.06	0.08	0.08	0.04	0.04	0.06	0.12	0.04	0.06	0.16	0.02	0.02	0	0.06	0.08	0.06	0	0.06	0.02	0.04	0.02	0.04	0.02	0.02	0	0.02	0.06	0.08	0.02	0.08	0.1	0.06	0.14	0.04	0.14	0.06	0	0.04	0.06	0	0.14	0.02	0.12	0.14	0	0.06	0.69	0.02	0.1	0.02	0.06	0.08	0.22	0.02	0.04	0.02	0.04	0.04	0.12	0	0	0.02	0	0.02	0.02	0.02	0	0.02	0.67	2.28	0.02	0.06	0	0	0.02	0.16	0.04	0.08	0	0	0.02	0.02	0.1	0.08	0	0	0	0	0	0	1.39	3.98	0.04	0.69	0.04	0.6	0	4.25	0.02	0.08	0.46	0.94	1.15	1.02	0	0.75	0.5	0.97	0.34	0.02	0.02	0.02	0.02	0.12	0.16	0.2	0.54	0.08	0.06	0.06	0.02	0.24	0.66	0.16	0.3	0.24	0.04	0.32	0.02	0.02	0.06	0	0.02	0.2	0	2.57	0.08	0.04	0.1	0.1	0.18	0.12	0.02	0.22	0.08	0.02	0.06	0.02	0.12	0	0.36	0.12	0.12	0.14	0.12	0	0.39	0.14	0.08	0.06	0.19	6.66	5.05	3.66	0.02	0.41	0.61	0.12	0.43	5.54	0	1.79	0.24	0.71	1.08	5.37	0	1.64	0.45	0.34	0.1	0.04	27.5	3.92	2.74	0.27	2.42	1.28	1.4	2.72	0.12	0.59	0.02	0.24	0.56	0.61	0.02	0.2	0.08	0.11	0.08	0.08	1.52	0.93	2.14	0.08	0.51	0.02	0.46	1.38	0	0.12	0.04	0.08	0.28	0.06	0	0.1	0.04	0.3	0.24	0.76	0.73	0.29	0.56	0.06	0.71	0.14	0.02	0.1	0.54
"fpt7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.48	0	0.1	0	0	0.02	0	0	0	0	0	0	0	0.14	1.24	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.24	0.02	0	0	0	0.02	0	0	0	0	0.04	0	0	0	0	0.02	0	0	0
"fpt8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.48	0	0.1	0	0	0.02	0	0	0	0	0	0	0	0.14	1.24	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.24	0.02	0	0	0	0.02	0	0	0	0	0.04	0	0	0	0	0.02	0	0	0
"fpt9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.02	0	0	0.02	0.04	0	0	0	0	0	0	0	0	0.02	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0.04	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0.04	0	0	0	0	0	0	0.02	0	0	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.02	0	0	0	0	0	0	0	1.16	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0.04	0	0	1.29	0.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.02	0	0	0	0	0	0.02	10.93	0.32	0.06	0.04	0	0	0.04	0	5.02	0	0	3.84	0	0.11	0	0	0.04	0	0.02	0	0	0	0	0	0.1	0	0	0	0	0	0	0
"fpt10"	17.43	10.94	17.33	7.9	11.65	17.92	15.07	30.88	17.2	18.18	13.6	20.81	18.63	16.04	15.83	11.01	18.9	16.52	15.4	17.47	17.61	20.44	22.1	20.48	14.8	23.21	19.8	15.39	16.55	12.8	10.94	11.21	18.51	18.64	13.8	15.27	10.45	6.61	34.23	23.75	16.97	9.6	11.17	12.2	11.85	7.93	23.64	21.12	19.83	21.7	14.71	22.58	16.33	26.63	18.88	14.13	12.16	25.89	11.91	17.66	13.77	22.26	21.78	17.27	29.14	54.91	13.4	22.47	12.42	40.1	18.53	30.74	16.4	8.31	10.17	11.56	15.54	19.58	22.09	17.55	7.38	4.38	9.93	11.59	40.97	11.96	20.98	22.87	29.4	17.81	18.14	15.02	10.7	14.86	16.41	31	51.03	34.02	12.51	7.92	8.54	19.19	24.47	2.08	3.45	2.74	2.09	9.84	70.06	37.64	18.67	3.04	15.89	39.78	17.11	14.24	32.36	12.93	11.63	15.09	19.2	16.98	16.78	5.85	23.87	17.69	19.68	21	9.2	7.3	14.58	17	12.36	18.3	11.49	20.35	10.99	14.74	11.33	7.83	16.74	18.64	9.58	18.56	10.02	9.08	13.6	18.3	6.62	22.8	10.48	9.66	12.5	14.98	36.06	10.47	5.06	11.04	10.8	10.6	10.45	10	11.14	12.51	9.45	10.33	13.54	8.53	12.57	9.92	20	10.26	8.99	10.45	6.52	41.59	9.23	11.61	15.21	39.3	35.64	38.72	30.6	17.87	16.65	21.11	18.33	21.73	34.94	6.06	21.71	15.97	17.54	20.46	37.22	11.48	25.81	19.49	14.45	10.7	15.53	52.34	21.43	36.16	20.82	22.2	26.91	23.27	17.61	14.51	26.42	71.5	17.27	19.69	27.68	14.99	19.93	11.45	20.99	14.36	17.75	31.37	21.09	26.55	17.62	18.74	33.5	29.8	35.99	67.24	16.55	88.34	37.12	18.72	22.91	10.43	12.31	10.93	16.56	17.97	20.85	11.14	24.05	14.66	9.24	25.13	15.71	6.49	20.49	13.48
