"ID"	"Function"
"fpt1"	"chitinolysis"
"fpt2"	"nitrate_ammonification"
"fpt3"	"nitrite_ammonification"
"fpt4"	"nitrite_respiration"
"fpt5"	"cellulolysis"
"fpt6"	"xylanolysis"
"fpt7"	"dark_thiosulfate_oxidation"
"fpt8"	"dark_oxidation_of_sulfur_compounds"
"fpt9"	"manganese_oxidation"
"fpt10"	"fermentation"
"fpt11"	"aerobic_chemoheterotrophy"
"fpt12"	"human_pathogens_septicemia"
"fpt13"	"human_pathogens_pneumonia"
"fpt14"	"human_pathogens_nosocomia"
"fpt15"	"human_pathogens_gastroenteritis"
"fpt16"	"human_pathogens_diarrhea"
"fpt17"	"human_pathogens_all"
"fpt18"	"human_gut"
"fpt19"	"human_associated"
"fpt20"	"mammal_gut"
"fpt21"	"animal_parasites_or_symbionts"
"fpt22"	"aromatic_compound_degradation"
"fpt23"	"aliphatic_non_methane_hydrocarbon_degradation"
"fpt24"	"hydrocarbon_degradation"
"fpt25"	"nitrate_respiration"
"fpt26"	"nitrate_reduction"
"fpt27"	"nitrogen_respiration"
"fpt28"	"plastic_degradation"
"fpt29"	"ureolysis"
"fpt30"	"reductive_acetogenesis"
"fpt31"	"chemoheterotrophy"
"fpt32"	"anaerobic_chemoheterotrophy"
