"ID"	"Function"
"njc1"	"[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol) -- Consumption"
"njc2"	"[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol) -- Production"
"njc3"	"1,2-Ethanediol (Ethylene glycol) -- Production"
"njc4"	"1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol) -- Production"
"njc5"	"1,3-Propanediol -- Production"
"njc6"	"2-Oxobutyrate (Alpha-ketobutyrate, 2-Oxobutanoate) -- Consumption"
"njc7"	"Acetate -- Consumption"
"njc8"	"Acetate -- Production"
"njc9"	"Acetoin (3-hydroxybutanone, acetyl methyl carbinol, [R]-Acetoin) -- Production"
"njc10"	"Acetone -- Production"
"njc11"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Consumption"
"njc12"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Production"
"njc13"	"alpha-Linolenic acid (Omega-3 fatty acid, eicosapentaenoic acid) -- Consumption"
"njc14"	"Arabinan -- Macromolecule"
"njc15"	"Arabinogalactan -- Macromolecule"
"njc16"	"Benzoate -- Consumption"
"njc17"	"Bicarbonate (HCO3-, H2CO3, Carbonic acid, Carbonate) -- Consumption"
"njc18"	"Biotin (Vitamin B7) -- Consumption"
"njc19"	"Butylamine -- Production"
"njc20"	"Butyrate -- Production"
"njc21"	"Cadaverine -- Production"
"njc22"	"Cellobiose -- Consumption"
"njc23"	"Cellulose (Beta-D-glucan) -- Macromolecule"
"njc24"	"Chenodeoxycholic acid (Chenodeoxycholate) -- Consumption"
"njc25"	"Chenodeoxycholic acid (Chenodeoxycholate) -- Production"
"njc26"	"Cholic acid (Cholate) -- Consumption"
"njc27"	"Cholic acid (Cholate) -- Production"
"njc28"	"Chondroitin 4-sulfate (Chondroitin 6-sulfate) -- Macromolecule"
"njc29"	"Citrate -- Consumption"
"njc30"	"CO2 -- Consumption"
"njc31"	"CO2 -- Production"
"njc32"	"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"
"njc33"	"D-Fructose (Fructose) -- Consumption"
"njc34"	"D-Galactose -- Consumption"
"njc35"	"D-Galacturonate -- Consumption"
"njc36"	"D-Gluconate (D-Gluconic acid, Gluconate) -- Consumption"
"njc37"	"D-Glucosamine (Glucosamine) -- Consumption"
"njc38"	"D-Glucose (Glucose) -- Consumption"
"njc39"	"D-Glucuronic acid (D-Glucuronate) -- Consumption"
"njc40"	"D-Lyxose (L-Lyxose) -- Consumption"
"njc41"	"D-Mannitol (Mannitol) -- Consumption"
"njc42"	"D-Mannose (Mannose) -- Consumption"
"njc43"	"D-Psicose -- Consumption"
"njc44"	"D-Ribose (Ribose) -- Consumption"
"njc45"	"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol) -- Consumption"
"njc46"	"D-Tagatose -- Consumption"
"njc47"	"D-Turanose -- Consumption"
"njc48"	"D-Xylose (Xylose) -- Consumption"
"njc49"	"Deoxycholic acid -- Production"
"njc50"	"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide) -- Consumption"
"njc51"	"Dimethylamine -- Production"
"njc52"	"Ethanol -- Production"
"njc53"	"Ethanolamine (Phosphatidylethanolamine) -- Consumption"
"njc54"	"Folic acid (Folate, Vitamin B9) -- Consumption"
"njc55"	"Folic acid (Folate, Vitamin B9) -- Production"
"njc56"	"Formaldehyde -- Production"
"njc57"	"Formate -- Consumption"
"njc58"	"Formate -- Production"
"njc59"	"FOS (Fructooligosaccharide) -- Consumption"
"njc60"	"Fructan (Inulin, Levan) -- Macromolecule"
"njc61"	"Fumarate -- Consumption"
"njc62"	"Galactan -- Macromolecule"
"njc63"	"Glycerol -- Consumption"
"njc64"	"Glycochenodeoxycholate -- Consumption"
"njc65"	"Glycocholate -- Consumption"
"njc66"	"Glycodeoxycholate -- Consumption"
"njc67"	"H2 (Hydrogen) -- Consumption"
"njc68"	"H2 (Hydrogen) -- Production"
"njc69"	"H2S (HS-) -- Production"
"njc70"	"Hemicellulose, not specified -- Macromolecule"
"njc71"	"Hippurate -- Consumption"
"njc72"	"Hyaluronan (Hyaluronate, Hyaluronic acid) -- Macromolecule"
"njc73"	"Indole -- Production"
"njc74"	"Inosine -- Consumption"
"njc75"	"Inositol (myo-Inositol, Inositol 1-phosphate, Myo-inositol phosphate) -- Consumption"
"njc76"	"Isobutyrate (2-Methylpropanoic acid) -- Consumption"
"njc77"	"Isobutyrate (2-Methylpropanoic acid) -- Production"
"njc78"	"Isovalerate (3-Methylbutanoic acid) -- Consumption"
"njc79"	"Isovalerate (3-Methylbutanoic acid) -- Production"
"njc80"	"L-Arabitol (L-Arabinitol, D-Arabitol) -- Consumption"
"njc81"	"L-Arginine (Arginine) -- Consumption"
"njc82"	"L-Cysteine (Cysteine, D-Cysteine) -- Consumption"
"njc83"	"L-Fucose -- Consumption"
"njc84"	"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate) -- Consumption"
