"ID"	"W1"	"C1"	"W2"	"C2"	"C3"	"W4"	"C4"	"W6"	"C6"	"W7"	"C7"	"C8"	"W9"	"W10"	"C10"	"C29"	"C30"	"W33"	"C38"	"C39"	"W42"	"C42"	"W43"	"C43"	"C46"	"C48"	"C51"	"W52"	"C52"	"W54"	"C55"	"W57"	"C59"	"W60"	"C61"	"W63"	"C65"	"W68"	"C68"	"W73"	"C74"	"C75"	"C77"	"C82"	"W83"	"W84"	"W85"	"C86"	"W87"	"C87"	"C88"	"C89"	"C90"	"C91"	"C92"	"W93"	"W94"	"W95"	"C95"	"W96"	"W97"	"C99"	"W100"	"W101"	"C103"	"W104"	"C105"	"C106"	"W107"	"C107"	"W108"	"C108"	"W109"	"W111"	"C111"	"W112"	"C113"	"W114"	"C114"	"C116"	"C117"	"C118"	"C119"	"W120"	"C120"	"W121"	"C121"	"W122"	"W123"	"C123"	"C125"	"W126"	"W127"	"C128"	"C129"	"C137"	"W139"	"W140"	"C141"	"C142"	"C143"	"W144"	"C144"	"W150"	"C151"	"W152"	"C152"	"W153"	"W154"	"C154"	"C156"	"C157"	"C159"	"W164"	"W170"	"C174"	"C177"	"C178"	"W181"	"W185"	"W187"	"W188"	"W189"	"W197"	"C200"	"C201"	"W221"	"W227"	"W228"	"W247"	"W251"	"W262"	"W265"	"W269"	"W280"	"W282"	"W318"	"C416"
"txid604330"	7	0	1	0	0	7	0	0	1	14	0	0	12	8	2	1	0	0	0	1	3	0	18	1	0	0	0	3	0	6	2	16	3	3	1	10	1	0	1	11	0	1	1	1	1	6	0	5	5	0	1	4	3	1	0	40	6	4	0	11	8	2	15	16	1	2	0	0	2	0	7	1	5	0	0	2	0	1	2	0	1	0	1	5	1	0	2	9	3	1	0	8	4	1	1	0	1	5	1	3	43	8	0	41	2	7	0	24	4	0	3	2	3	3	3	0	1	0	13	24	2	2	5	1	1	0	2	1	1	0	0	3	7	1	6	3	2	0
"txid2003188"	2	2	1	2	0	1	1	6	2	2	3	3	0	9	5	1	2	2	3	0	3	3	1	2	3	6	2	0	2	1	2	1	0	1	5	4	4	0	0	1	1	1	2	4	3	1	10	0	1	2	6	16	2	9	8	0	2	2	1	2	0	19	1	1	9	1	1	4	1	7	1	4	1	4	11	1	0	1	7	2	8	2	2	0	2	4	6	2	1	0	0	4	0	4	1	2	7	5	2	2	10	1	1	10	11	1	1	3	5	4	7	2	23	2	2	4	0	6	14	12	0	3	1	4	5	0	1	1	0	0	1	0	2	0	0	0	1	4
"txid1871031"	1	1	0	2	0	0	0	1	0	1	1	1	1	3	4	1	12	2	3	0	0	1	0	0	0	2	0	0	1	0	1	1	0	0	2	0	4	0	0	2	1	0	0	2	2	1	0	0	0	1	2	4	2	3	3	1	0	0	3	1	0	0	4	1	2	1	0	0	1	1	0	0	2	0	0	0	0	0	1	0	6	0	2	0	0	2	1	2	0	1	1	1	0	1	0	1	1	1	1	0	3	0	0	0	0	0	0	1	1	0	2	0	7	2	0	0	0	0	1	1	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1
"txid147207"	0	12	0	8	0	4	1	4	5	5	40	4	4	12	49	4	22	8	6	25	34	1	1	2	1	5	10	1	7	0	16	1	1	1	20	5	8	1	5	2	6	4	8	17	18	1	5	1	0	19	8	33	4	26	90	3	0	4	5	1	1	7	3	1	10	2	6	4	1	11	4	24	2	11	12	0	1	8	12	5	17	9	8	1	4	18	53	6	0	8	5	2	5	29	6	1	6	8	2	7	38	3	1	14	10	3	1	2	7	2	39	3	49	11	9	6	4	2	16	80	3	1	5	2	0	2	3	0	1	0	0	2	1	0	0	0	3	5
"txid1871016"	1	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	2	0	0	0	1	0	3	1	0	0	0	2	0	0	0	5	1	1	1	1	0	0	0	1	0	0	0	0	2	0	0	1	1	1	0	2	0	2	1	2	0	6	0	1	1	2	2	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	2	0	1	1	1	1	1	0	2	3	1	0	1	0	0	1	1	5	1	0	2	2	2	0	1	2	0	1	0	0	0	0	0	0	1	2	8	0	0	1	0	0	0	3	3	2	0	0	0	0	0	2	0	2	0
"txid742742"	1	8	0	3	0	0	1	0	1	1	13	4	0	0	12	1	2	1	5	12	16	2	0	2	1	2	3	1	1	0	6	1	1	1	2	1	3	1	3	2	2	0	8	0	1	0	2	0	0	3	6	9	4	12	24	0	0	0	2	0	1	6	0	1	5	0	1	1	1	2	0	4	0	2	1	0	2	2	9	1	4	5	2	0	3	13	8	1	0	3	3	0	0	3	1	0	3	4	4	0	3	0	1	3	13	0	1	0	1	0	2	4	15	5	2	4	0	0	4	12	1	0	1	0	0	1	3	1	0	0	0	0	1	2	0	1	1	5
"txid1870987"	7	4	4	4	1	7	0	4	2	18	18	3	1	21	12	3	3	1	6	12	20	1	6	1	0	4	4	4	1	1	7	6	4	8	11	21	3	1	0	8	4	1	7	6	5	6	5	3	6	10	5	16	4	13	22	16	3	8	5	6	3	5	7	6	6	2	1	1	6	7	18	8	3	3	3	1	1	1	5	0	8	2	3	10	0	5	14	30	4	1	5	9	8	6	4	1	4	13	3	6	122	10	1	43	3	10	2	11	6	0	19	1	24	2	11	6	6	2	29	82	5	2	10	2	0	2	5	1	1	1	1	2	22	3	5	3	13	3
"txid1411144"	14	4	7	1	1	7	0	1	0	1	22	9	1	13	43	4	14	14	4	12	17	13	0	9	3	8	31	0	7	4	25	0	9	2	6	3	21	4	13	2	5	5	20	12	33	0	16	0	0	0	66	49	40	15	40	0	0	0	20	0	0	5	0	0	1	0	3	29	0	9	0	22	0	2	6	0	19	32	89	14	19	29	21	0	48	42	13	1	0	12	7	0	0	12	4	0	8	6	18	9	18	7	15	5	17	8	8	12	8	14	5	5	24	13	68	0	0	0	10	9	10	10	1	8	0	0	5	10	8	0	0	8	4	2	0	2	7	9
"txid246787"	0	0	3	0	0	3	0	0	0	1	0	0	3	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	1	0	5	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	2	1	0	0	0	0	0	14	0	27	27	2	0	6	0	19	0	324	9	0	0	0	0	0	1595	0	0	0	111	44	86	153	3	4	1	0	0	0	0	0	1	0	0	0	0	1	0	0
"txid272559"	2	0	47	0	0	14	0	0	0	37	0	0	9	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	5	0	0	24	0	0	0	0	0	123	0	0	0	11	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
