"ID"	"W1"	"W2"	"W4"	"W6"	"W7"	"W9"	"W10"	"W33"	"W42"	"W43"	"W52"	"W54"	"W57"	"W60"	"W63"	"W68"	"W73"	"W83"	"W84"	"W85"	"W87"	"W93"	"W94"	"W95"	"W96"	"W97"	"W100"	"W101"	"W104"	"W107"	"W108"	"W109"	"W111"	"W112"	"W114"	"W120"	"W121"	"W122"	"W123"	"W126"	"W127"	"W139"	"W140"	"W144"	"W150"	"W152"	"W153"	"W154"	"W164"	"W170"	"W181"	"W185"	"W187"	"W188"	"W189"	"W197"	"W221"	"W227"	"W228"	"W247"	"W251"	"W262"	"W265"	"W269"	"W280"	"W282"	"W318"
"fpt1"	0.03	0.01	0	0	0.16	3.94	0.16	0	0.14	0.29	0.01	0.01	0	0.19	0.09	0.06	0	0.27	0.01	0	0.01	1.87	0.01	0.03	0.09	0.11	0	0.16	0.04	0.07	0.01	0.07	0.01	0.13	0.16	0.03	1.7	0.36	0.11	0.15	0.17	0	0	0.01	0.01	3.47	0.84	0.64	0	0	0.04	0.03	0	0	0.03	0.64	0	0.03	0.19	0	0.35	0.01	0	0	0	0	0
"fpt2"	0.03	0.73	0.01	0	0	0	0	0	0.26	0.19	0.01	0.01	0.03	0	0.06	0.01	0.01	0.09	0	0.95	0.33	0.36	0.04	0.01	0.04	0.19	0.14	0.04	0.01	0	0.03	0.07	0.06	0.04	0.1	0.06	1.41	0.03	0.01	0.03	6.39	0.04	0	0.01	0.1	0.07	0.06	1.2	0.01	0	0.01	0.04	0.03	0.06	0	0.9	0.03	0.03	0.79	1.91	40.59	0.04	2.89	0.03	0.14	0.03	0.04
"fpt3"	0.03	0.73	0.01	0	0	0	0	0	0.26	0.19	0.01	0.01	0.03	0	0.06	0.01	0.01	0.09	0	0.95	0.33	0.36	0.04	0.01	0.04	0.19	0.14	0.04	0.01	0	0.03	0.07	0.06	0.04	0.1	0.06	1.41	0.03	0.01	0.03	6.39	0.04	0	0.01	0.1	0.07	0.06	1.2	0.01	0	0.01	0.04	0.03	0.06	0	0.9	0.03	0.03	0.79	1.91	40.59	0.04	2.89	0.03	0.14	0.03	0.04
"fpt4"	0.03	0.73	0.01	0	0	0	0	0	0.26	0.19	0.01	0.01	0.03	0	0.06	0.01	0.01	0.09	0	0.95	0.33	0.36	0.04	0.01	0.04	0.19	0.14	0.04	0.01	0	0.03	0.07	0.06	0.04	0.1	0.06	1.41	0.03	0.01	0.03	6.39	0.04	0	0.01	0.1	0.07	0.06	1.2	0.01	0	0.01	0.04	0.03	0.06	0	0.9	0.03	0.03	0.79	1.91	40.59	0.04	2.89	0.03	0.14	0.03	0.04
"fpt5"	0.01	0	0	0	0	0.01	0.03	0	0.01	0	0	0	0	0	0.01	0	0.01	0	0	0.04	0	0.01	0	0.01	0.03	0	0.01	0	0.01	0	0.01	0.03	0	0	0.03	0	0.03	0.04	0.03	0.01	0.01	0.01	0.01	0.01	0.06	0.03	0.1	0.01	0.01	0.01	0.07	0.03	0.01	0	0	0	0	0	0.06	0	0.02	0.07	0	0	0.01	0.03	0
"fpt6"	0.46	0.92	1.03	0	0.72	0.5	0.98	0.01	0.04	0.13	0.09	0.06	0.01	0.66	0.14	0.29	0.07	0.03	0.01	0.06	0	2.55	0.09	0.03	0.1	0.1	0.16	0.13	0.22	0.01	0.04	0.04	0.01	0.34	0.12	0.01	0.39	0.13	0.09	0.07	0.16	0.01	0.4	0.12	0.25	1.07	5.37	0.81	0.03	27.26	2.42	1.3	1.39	2.67	0.1	0.23	0.03	0.1	0.1	0	0.03	0.27	0.06	0	0.06	0.3	0.13
"fpt7"	0.03	0	0.01	0.03	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0.06	0	0	1.28	0.36	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0.33	0.06	3.76	0.11	0	0.06	0	0	0	0
"fpt8"	15.12	19.1	16.76	5.84	23.84	17.75	19.79	14.47	17.07	12.32	10.97	11.31	7.84	18.66	9.6	18.55	8.99	18.27	6.64	22.84	10.41	36.54	10.39	5.1	11	10.76	10.54	10.45	11.14	9.44	10.33	13.54	12.53	9.87	19.99	6.57	41.64	9.2	11.65	15.06	39.46	17.67	16.72	18.39	15.94	20.52	37.28	17.79	15.47	52.07	22	26.98	23.26	17.86	14.43	17.37	15.03	14.47	17.83	65.73	88.74	18.6	22.86	10.44	10.97	16.56	15.83
"fpt9"	0.59	1.52	0.34	0.13	0.3	0.29	0.82	1.49	0.66	1.18	0.26	0.14	0.26	1.09	0.13	0.52	1.49	0.5	0.16	1.24	0.53	7.07	0.7	0.19	0.73	2.53	0.58	0.33	0.37	0.56	0.72	0.5	0.52	0.43	0.6	0.47	1.97	0.32	0.33	20.89	24.95	0.52	0.78	0.39	0.46	0.52	0.79	0.39	2.01	0.73	0.51	1.21	0.55	15.57	0.98	1.25	0.43	1.06	0.36	75.4	50.14	0.33	5.41	0.29	1	1.59	2.4
"fpt10"	0.14	0.53	0	0	0	0	0	0	0.03	0.14	0.04	0	0.01	0	0	0	0	0.07	0	0.52	0.03	0.25	0.1	0	0	0.04	0.07	0.01	0.03	0	0	0.01	0.01	0.01	0	0	0.25	0	0	0.06	0.96	0.06	0	0.01	0	0.01	0.03	0.03	0	0	0	0	0	0.07	0	0.01	0	0	0.07	0	1.52	0.01	0.15	0.01	0	0.35	0.03
