"ID"	"Function"
"fpt1"	"methanotrophy"
"fpt2"	"methanol_oxidation"
"fpt3"	"methylotrophy"
"fpt4"	"sulfate_respiration"
"fpt5"	"respiration_of_sulfur_compounds"
"fpt6"	"nitrate_denitrification"
"fpt7"	"nitrite_denitrification"
"fpt8"	"denitrification"
"fpt9"	"chitinolysis"
"fpt10"	"dark_hydrogen_oxidation"
"fpt11"	"nitrate_ammonification"
"fpt12"	"nitrite_ammonification"
"fpt13"	"nitrite_respiration"
"fpt14"	"cellulolysis"
"fpt15"	"xylanolysis"
"fpt16"	"dark_thiosulfate_oxidation"
"fpt17"	"dark_oxidation_of_sulfur_compounds"
"fpt18"	"manganese_oxidation"
"fpt19"	"ligninolysis"
"fpt20"	"fermentation"
"fpt21"	"aerobic_chemoheterotrophy"
"fpt22"	"human_pathogens_septicemia"
"fpt23"	"human_pathogens_pneumonia"
"fpt24"	"human_pathogens_nosocomia"
"fpt25"	"human_pathogens_meningitis"
"fpt26"	"human_pathogens_gastroenteritis"
"fpt27"	"human_pathogens_diarrhea"
"fpt28"	"human_pathogens_all"
"fpt29"	"human_gut"
"fpt30"	"human_associated"
"fpt31"	"mammal_gut"
"fpt32"	"animal_parasites_or_symbionts"
"fpt33"	"plant_pathogen"
"fpt34"	"aromatic_hydrocarbon_degradation"
"fpt35"	"aromatic_compound_degradation"
"fpt36"	"aliphatic_non_methane_hydrocarbon_degradation"
"fpt37"	"hydrocarbon_degradation"
"fpt38"	"nitrate_respiration"
"fpt39"	"nitrate_reduction"
"fpt40"	"nitrogen_respiration"
"fpt41"	"fumarate_respiration"
"fpt42"	"plastic_degradation"
"fpt43"	"ureolysis"
"fpt44"	"reductive_acetogenesis"
"fpt45"	"chemoheterotrophy"
"fpt46"	"anaerobic_chemoheterotrophy"
