"ID"	"warble.1"	"warble.2"	"warble.3"	"warble.4"	"warble.6"	"warble.7"	"warble.9"	"warble.10"	"warble.12"	"warble.14"	"warble.15"	"warble.20"	"warble.33"	"warble.42"	"warble.43"	"warble.45"	"warble.49"	"warble.50"	"warble.52"	"warble.53"	"warble.54"	"warble.57"	"warble.58"	"warble.60"	"warble.63"	"warble.68"	"warble.69"	"warble.73"	"warble.80"	"warble.83"	"warble.84"	"warble.85"	"warble.87"	"warble.88"	"warble.89"	"warble.90"	"warble.93"	"warble.94"	"warble.95"	"warble.96"	"warble.97"	"warble.100"	"warble.101"	"warble.103"	"warble.104"	"warble.106"	"warble.107"	"warble.108"	"warble.109"	"warble.110"	"warble.111"	"warble.112"	"warble.114"	"warble.117"	"warble.118"	"warble.119"	"warble.120"	"warble.121"	"warble.122"	"warble.123"	"warble.125"	"warble.126"	"warble.127"	"warble.135"	"warble.136"	"warble.137"	"warble.139"	"warble.140"	"warble.141"	"warble.144"	"warble.145"	"warble.147"	"warble.148"	"warble.149"	"warble.150"	"warble.151"	"warble.152"	"warble.153"	"warble.154"	"warble.157"	"warble.158"	"warble.159"	"warble.161"	"warble.162"	"warble.164"	"warble.170"	"warble.173"	"warble.178"	"warble.180"	"warble.181"	"warble.185"	"warble.187"	"warble.188"	"warble.189"	"warble.191"	"warble.192"	"warble.197"	"warble.200"	"warble.202"	"warble.221"	"warble.222"	"warble.224"	"warble.225"	"warble.227"	"warble.228"	"warble.229"	"warble.230"	"warble.232"	"warble.234"	"warble.236"	"warble.240"	"warble.243"	"warble.245"	"warble.247"	"warble.250"	"warble.251"	"warble.257"	"warble.262"	"warble.263"	"warble.265"	"warble.269"	"warble.272"	"warble.280"	"warble.282"	"warble.283"	"warble.286"	"warble.292"	"warble.293"	"warble.296"	"warble.307"	"warble.308"	"warble.310"	"warble.315"	"warble.318"	"warble.319"	"warble.324"	"warble.325"	"warble.326"
"txid604330"	4	0	19	4	0	9	8	5	4	3	0	1	0	2	11	2	4	9	2	2	4	11	2	2	6	0	4	8	1	0	4	0	3	8	5	2	25	4	2	7	5	10	11	6	1	3	2	4	3	3	0	1	1	0	1	0	3	0	6	2	0	5	2	8	7	9	0	3	4	5	11	25	0	1	26	12	5	15	0	73	5	10	1	3	2	2	3	7	2	8	15	1	1	3	26	0	1	4	9	1	11	4	2	1	1	5	1	2	0	1	0	0	1	0	1	0	1	2	2	5	1	2	4	2	10	7	1	3	0	1	0	0	3	1	0	0	6	2
"txid2003188"	1	1	1	1	4	1	0	6	0	0	1	1	1	2	0	0	1	1	0	0	0	0	0	1	3	0	2	1	0	2	1	6	0	0	1	1	0	1	1	2	0	1	0	0	0	1	1	1	1	0	2	1	1	0	0	0	0	2	2	1	2	3	0	4	3	5	5	3	0	1	1	6	3	2	7	7	1	2	3	12	1	3	0	3	1	1	3	7	2	9	8	0	2	1	33	1	2	1	8	1	1	1	1	1	0	7	0	0	1	1	0	1	3	0	0	1	0	0	0	1	0	0	0	0	0	2	0	2	4	2	1	0	2	1	0	0	2	2
"txid147207"	0	0	2	3	2	3	3	7	1	0	6	15	5	22	1	0	1	0	1	1	0	1	0	0	3	0	0	1	1	12	1	3	0	1	0	18	2	0	2	0	1	2	0	1	1	0	1	3	2	2	7	0	5	0	1	1	1	12	4	0	10	1	3	4	0	7	4	5	2	2	21	9	10	1	9	10	2	1	5	10	2	1	0	51	7	6	11	14	6	11	51	2	0	3	29	0	1	5	15	2	2	1	2	0	1	3	0	1	0	1	0	3	1	0	0	0	0	2	0	0	0	0	0	0	1	3	1	1	7	2	3	1	2	2	1	0	2	0
"txid1871016"	1	0	0	0	0	2	0	0	1	0	0	0	0	1	2	1	5	4	1	1	0	3	0	1	0	0	0	1	0	1	0	0	1	0	1	2	1	0	4	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	2	2	0	2	0	0	1	0	1	1	1	1	1	1	1	1	0	10	0	1	1	2	0	0	1	0	1	1	5	0	0	1	3	12	0	2	2	2	1	0	1	2	1	5	0	2	1	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	4	0	2	1	1	1	1	0	0	2	0
"txid742742"	1	0	0	0	0	1	0	0	1	0	3	6	1	11	0	1	0	1	1	0	0	1	0	1	0	0	0	1	0	1	0	1	0	0	1	6	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	9	0	0	0	0	0	0	1	2	2	2	1	0	1	2	1	0	2	1	0	0	0	6	1	0	0	13	3	1	4	2	1	2	8	0	0	1	10	1	0	1	6	2	0	0	0	1	0	15	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	4	1	1	1	7	0	1	0	0	1	1	1	0	0
"txid1870987"	5	3	20	4	2	11	0	13	1	3	5	0	1	13	4	1	1	6	3	4	1	4	3	5	14	1	0	5	0	3	4	3	4	5	1	9	10	2	5	4	2	5	4	2	1	1	4	11	2	2	2	1	1	1	6	1	7	3	19	2	2	6	5	8	7	5	3	8	7	6	33	39	4	2	27	28	6	7	4	73	6	7	1	8	1	7	22	21	11	19	53	3	2	6	39	0	1	6	13	3	5	5	3	1	0	7	4	3	1	0	2	3	3	1	0	0	5	2	8	14	2	0	3	2	24	25	2	10	4	5	5	0	8	8	1	1	13	14
"txid1411144"	9	4	1	4	1	1	1	8	1	2	1	8	9	11	0	1	1	2	0	2	2	1	3	1	2	3	3	1	0	21	0	10	0	1	0	8	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	20	0	0	0	0	27	1	0	7	0	0	0	5	0	5	4	18	4	7	25	1	12	3	3	5	8	4	8	6	6	1	8	8	44	8	15	3	6	6	6	7	1	4	0	5	3	27	3	3	1	6	7	5	17	5	22	1	18	0	1	3	0	4	0	1	5	5	3	1	1	0	1	2	5	6	2	1	2	3	0	1	4	0	0	0	1
"txid246787"	0	2	1	2	0	1	2	6	2	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	2	4	0	11	0	0	0	0	1	0	0	25	0	0	0	4	0	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	1	1	0	1	0	219	199	14	0	9	18	1	4	73	0	4	4	7	12	208	0	21	6	5	0	0	0	1025	100	31	8	71	28	55	99	2	8	0	2	7	15	0	0	0	0	0	0	0	19	0	0	8	0	0	2	0	1	1	0	0	3	0	0	0	0	0	0	13	23	17	0	0	0	0	0	0	0	0	0	0
"txid1871006"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	1	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	1	0	1	3	10	1	0	0	114	160	0	0	0	0	2	0	1	0	0	6	26	0	6	0	0	0	1	14	2	36	6	0	0	2	2
"txid817"	1	30	23	9	0	24	6	15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	122	0	0	0	0	0	3	0	0	0	5	3	0	0	6	4	4	0	0	0	79	53	65	0	7	7	0	0	0	7	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"txid1912896"	2	2	0	4	0	1	0	9	0	0	0	0	1	0	0	2	1	2	0	0	0	0	2	2	1	0	0	0	2	1	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	7	2	0	3	1	0	19	12	1	0	1	3	2	6	65	0	36	0	2	5	9	0	5	3	2	2	0	0	15	2	4	1	5	9	2	3	1	1	0	5	1	6	0	1	1	0	0	0	2	42	16	0	8	0	1	3	0	9	0	2	2	15	2	0	3	0	1	1	8	12	3	0	0	0	7	4	2	0	0	0	0
"txid1903262"	7	12	4	5	1	3	4	6	5	3	7	42	46	60	3	14	17	22	8	17	7	3	13	22	5	20	7	5	6	76	2	48	3	1	5	47	32	6	2	8	14	7	7	10	10	15	12	11	7	9	17	11	49	12	11	9	7	91	9	9	30	8	4	1	5	2	18	5	19	6	14	15	2	15	7	10	9	6	21	27	23	16	5	27	49	17	13	9	14	11	12	13	3	8	9	0	26	7	82	11	10	10	3	30	16	98	13	40	13	30	0	7	5	0	3	1	2	13	7	5	4	4	3	12	3	8	11	7	0	3	11	5	23	24	0	4	4	5
"txid28116"	2	5	3	6	0	0	4	7	2	0	0	1	1	1	0	2	3	16	0	2	1	0	10	15	2	2	1	1	2	1	0	1	0	0	0	0	46	3	1	3	1	2	0	0	1	3	0	0	0	1	1	2	3	1	0	0	0	13	2	1	0	0	0	40	14	12	0	8	7	2	10	124	0	56	2	6	13	20	0	23	5	4	3	0	1	42	4	13	2	17	18	4	10	1	4	0	5	10	9	0	1	1	2	3	1	6	16	52	0	9	1	7	5	0	2	0	1	1	7	0	0	3	1	7	2	6	9	5	0	2	0	2	11	3	0	0	0	4
"txid1236512"	2	1	1	1	0	0	1	1	1	1	0	0	1	2	1	1	2	2	1	1	2	0	2	0	1	1	1	0	2	1	1	0	0	1	0	2	7	1	0	1	1	2	0	0	1	0	1	1	3	1	0	1	0	0	0	1	1	0	2	1	0	3	0	4	7	2	0	2	2	1	0	27	0	5	1	3	12	4	0	12	2	1	0	0	2	2	4	2	1	2	5	1	1	0	1	0	3	1	15	0	0	1	1	1	1	1	2	4	0	11	0	1	0	0	1	0	2	1	2	1	0	0	0	2	0	0	1	1	0	0	0	0	1	0	0	0	0	2
"txid818"	16	4	23	28	0	7	11	11	7	1	0	0	0	0	5	3	40	17	3	0	2	0	0	13	4	9	5	1	1	0	1	0	0	0	5	0	42	1	0	1	0	3	6	0	7	0	1	1	0	1	0	13	0	4	6	4	0	0	2	1	0	0	7	4	0	5	0	1	1	0	1	14	0	1	2	10	14	1	0	20	4	1	0	0	0	16	10	0	0	2	0	1	5	1	7	1	2	4	0	1	7	3	2	1	1	61	4	40	3	0	0	13	53	0	0	0	1	8	0	2	0	1	1	4	7	11	1	0	0	9	24	1	23	2	0	0	2	19
"txid820"	16	10	8	16	0	4	10	23	5	2	0	1	3	14	1	2	8	13	3	3	4	2	9	7	3	8	4	1	12	8	2	3	3	7	3	9	71	12	0	8	9	5	6	6	7	5	8	7	20	5	0	4	7	3	3	7	4	12	3	4	4	18	4	24	31	13	3	9	23	12	19	189	0	23	8	16	20	32	1	29	25	19	2	3	16	47	24	27	5	13	54	21	32	4	17	0	12	11	79	6	7	3	5	11	12	16	14	37	5	40	0	2	8	2	5	1	3	9	2	5	0	3	2	14	2	17	8	4	0	1	3	1	18	9	0	1	1	6
"txid657309"	1	2	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	5	3	3	0	0	1	1	4	30	0	17	0	1	5	4	0	3	1	0	0	0	0	7	4	3	1	6	3	1	1	0	0	0	1	0	3	1	0	0	0	0	0	0	1	1	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0
