"ID"	"SampleID"
"warble:1"	"warble:1"
"warble:2"	"warble:2"
"warble:3"	"warble:3"
"warble:4"	"warble:4"
"warble:6"	"warble:6"
"warble:7"	"warble:7"
"warble:9"	"warble:9"
"warble:10"	"warble:10"
"warble:12"	"warble:12"
"warble:14"	"warble:14"
"warble:15"	"warble:15"
"warble:20"	"warble:20"
"warble:33"	"warble:33"
"warble:42"	"warble:42"
"warble:43"	"warble:43"
"warble:45"	"warble:45"
"warble:49"	"warble:49"
"warble:50"	"warble:50"
"warble:52"	"warble:52"
"warble:53"	"warble:53"
"warble:54"	"warble:54"
"warble:57"	"warble:57"
"warble:58"	"warble:58"
"warble:60"	"warble:60"
"warble:63"	"warble:63"
"warble:68"	"warble:68"
"warble:69"	"warble:69"
"warble:73"	"warble:73"
"warble:80"	"warble:80"
"warble:83"	"warble:83"
"warble:84"	"warble:84"
"warble:85"	"warble:85"
"warble:87"	"warble:87"
"warble:88"	"warble:88"
"warble:89"	"warble:89"
"warble:90"	"warble:90"
"warble:93"	"warble:93"
"warble:94"	"warble:94"
"warble:95"	"warble:95"
"warble:96"	"warble:96"
"warble:97"	"warble:97"
"warble:100"	"warble:100"
"warble:101"	"warble:101"
"warble:103"	"warble:103"
"warble:104"	"warble:104"
"warble:106"	"warble:106"
"warble:107"	"warble:107"
"warble:108"	"warble:108"
"warble:109"	"warble:109"
"warble:110"	"warble:110"
"warble:111"	"warble:111"
"warble:112"	"warble:112"
"warble:114"	"warble:114"
"warble:117"	"warble:117"
"warble:118"	"warble:118"
"warble:119"	"warble:119"
"warble:120"	"warble:120"
"warble:121"	"warble:121"
"warble:122"	"warble:122"
"warble:123"	"warble:123"
"warble:125"	"warble:125"
"warble:126"	"warble:126"
"warble:127"	"warble:127"
"warble:135"	"warble:135"
"warble:136"	"warble:136"
"warble:137"	"warble:137"
"warble:139"	"warble:139"
"warble:140"	"warble:140"
"warble:141"	"warble:141"
"warble:144"	"warble:144"
"warble:145"	"warble:145"
"warble:147"	"warble:147"
"warble:148"	"warble:148"
"warble:149"	"warble:149"
"warble:150"	"warble:150"
"warble:151"	"warble:151"
"warble:152"	"warble:152"
"warble:153"	"warble:153"
"warble:154"	"warble:154"
"warble:157"	"warble:157"
"warble:158"	"warble:158"
"warble:159"	"warble:159"
"warble:161"	"warble:161"
"warble:162"	"warble:162"
"warble:164"	"warble:164"
"warble:170"	"warble:170"
"warble:173"	"warble:173"
"warble:178"	"warble:178"
"warble:180"	"warble:180"
"warble:181"	"warble:181"
"warble:185"	"warble:185"
"warble:187"	"warble:187"
"warble:188"	"warble:188"
"warble:189"	"warble:189"
"warble:191"	"warble:191"
"warble:192"	"warble:192"
"warble:197"	"warble:197"
"warble:200"	"warble:200"
"warble:202"	"warble:202"
"warble:221"	"warble:221"
"warble:222"	"warble:222"
"warble:224"	"warble:224"
"warble:225"	"warble:225"
"warble:227"	"warble:227"
"warble:228"	"warble:228"
"warble:229"	"warble:229"
"warble:230"	"warble:230"
"warble:232"	"warble:232"
"warble:234"	"warble:234"
"warble:236"	"warble:236"
"warble:240"	"warble:240"
"warble:243"	"warble:243"
"warble:245"	"warble:245"
"warble:247"	"warble:247"
"warble:250"	"warble:250"
"warble:251"	"warble:251"
"warble:257"	"warble:257"
"warble:262"	"warble:262"
"warble:263"	"warble:263"
"warble:265"	"warble:265"
"warble:269"	"warble:269"
"warble:272"	"warble:272"
"warble:280"	"warble:280"
"warble:282"	"warble:282"
"warble:283"	"warble:283"
"warble:286"	"warble:286"
"warble:292"	"warble:292"
"warble:293"	"warble:293"
"warble:296"	"warble:296"
"warble:307"	"warble:307"
"warble:308"	"warble:308"
"warble:310"	"warble:310"
"warble:315"	"warble:315"
"warble:318"	"warble:318"
"warble:319"	"warble:319"
"warble:324"	"warble:324"
"warble:325"	"warble:325"
"warble:326"	"warble:326"
