"ID"	"warble.1"	"warble.2"	"warble.3"	"warble.4"	"warble.6"	"warble.7"	"warble.9"	"warble.10"	"warble.12"	"warble.14"	"warble.15"	"warble.20"	"warble.33"	"warble.42"	"warble.43"	"warble.45"	"warble.49"	"warble.50"	"warble.52"	"warble.53"	"warble.54"	"warble.57"	"warble.58"	"warble.60"	"warble.63"	"warble.68"	"warble.69"	"warble.73"	"warble.80"	"warble.83"	"warble.84"	"warble.85"	"warble.87"	"warble.88"	"warble.89"	"warble.90"	"warble.93"	"warble.94"	"warble.95"	"warble.96"	"warble.97"	"warble.100"	"warble.101"	"warble.103"	"warble.104"	"warble.106"	"warble.107"	"warble.108"	"warble.109"	"warble.110"	"warble.111"	"warble.112"	"warble.114"	"warble.117"	"warble.118"	"warble.119"	"warble.120"	"warble.121"	"warble.122"	"warble.123"	"warble.125"	"warble.126"	"warble.127"	"warble.135"	"warble.136"	"warble.137"	"warble.139"	"warble.140"	"warble.141"	"warble.144"	"warble.145"	"warble.147"	"warble.148"	"warble.149"	"warble.150"	"warble.151"	"warble.152"	"warble.153"	"warble.154"	"warble.157"	"warble.158"	"warble.159"	"warble.161"	"warble.162"	"warble.164"	"warble.170"	"warble.173"	"warble.178"	"warble.180"	"warble.181"	"warble.185"	"warble.187"	"warble.188"	"warble.189"	"warble.191"	"warble.192"	"warble.197"	"warble.200"	"warble.202"	"warble.221"	"warble.222"	"warble.224"	"warble.225"	"warble.227"	"warble.228"	"warble.229"	"warble.230"	"warble.232"	"warble.234"	"warble.236"	"warble.240"	"warble.243"	"warble.245"	"warble.247"	"warble.250"	"warble.251"	"warble.257"	"warble.262"	"warble.263"	"warble.265"	"warble.269"	"warble.272"	"warble.280"	"warble.282"	"warble.283"	"warble.286"	"warble.292"	"warble.293"	"warble.296"	"warble.307"	"warble.308"	"warble.310"	"warble.315"	"warble.318"	"warble.319"	"warble.324"	"warble.325"	"warble.326"
"njc1"	0	0.49	0	0	0	0	0	0	0	0	0.02	0	0	0	0.13	0	0.11	0	0.04	0.02	0	0	0	0	0	0	0	0	0.04	0.07	0	0.18	0.02	0	0	0	0.16	0.09	0	0	0.02	0.07	0.02	0.07	0.04	0	0	0	0	0.04	0.02	0	0	0.02	0.02	0	0	0.25	0	0	0.07	0.07	0.9	0	0	0	0.07	0	0	0.02	0.07	0	0	0.16	0	0	0.02	0.02	0	0	0	0.02	0	0.47	0	0	0	0	0	0	0	0	0.02	0	0	2.54	0	0.02	0	0	0.05	0.02	0	0	0.07	0.02	0.02	0.02	0.02	0.04	0	0.46	0.02	0	0	0.74	0	0	0.09	0.05	0.02	0	0	0.34	0.02	0	0	0	0	0.25	0	0.02	0.02	0	0	0.13	0	0
"njc2"	0	0.94	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0.13	0	0.11	0	0.04	0.02	0	0	0	0	0	0	0	0	0.04	0.07	0	0.2	0.02	0	0	0	0.31	0.09	0	0	0.04	0.09	0.02	0.07	0.04	0	0	0	0	0.04	0.02	0.02	0	0.02	0.02	0	0	0.29	0	0.02	0.07	0.07	0.92	0	0	0	0.07	0	0	0.02	0.07	0	0	0.18	0	0	0.05	0.05	0	0	0	0.02	0	2.44	0	0	0	0	0	0	0	0	0.02	0	0	2.56	0	0.02	0	0	0.05	0.02	0	0	0.07	0.02	0.02	0.02	0.02	0.04	0.02	0.58	0.02	0.05	0	0.84	0	0	0.09	0.05	0.02	0	0	0.34	0.02	0	0	0	0	0.27	0	0.02	0.02	0	0	0.13	0	0
"njc3"	0.36	0.09	0.52	0.62	0	0.16	0.25	0.25	0.16	0.02	0	0	0	0	0.11	0.07	0.89	0.19	0.07	0	0.04	0	0	0.29	0.09	0.2	0.11	0.02	0.02	0	0.02	0	0	0	0.11	0	0.94	0.02	0	0.02	0	0.07	0.13	0	0.16	0	0.02	0.02	0	0.02	0	0.29	0	0.09	0.13	0.09	0	0	0.04	0.02	0	0	0.16	0.09	0	0.11	0	0.02	0.02	0	0.02	0.32	0	0.02	0.05	0.22	0.32	0.02	0	0.45	0.09	0.02	0	0	0	0.37	0.23	0	0	0.05	0	0.02	0.12	0.02	0.16	0.02	0.05	0.09	0	0.02	0.16	0.07	0.05	0.02	0.02	1.37	0.09	0.91	0.07	0	0	0.3	1.19	0	0	0	0.02	0.18	0	0.05	0	0.02	0.02	0.09	0.16	0.25	0.02	0	0	0.21	0.54	0.02	0.26	0.04	0	0	0.05	0.42
"njc4"	0.36	0.09	0.52	0.62	0	0.16	0.25	0.25	0.16	0.02	0	0	0	0	0.11	0.07	0.89	0.19	0.07	0	0.04	0	0	0.29	0.09	0.2	0.11	0.02	0.02	0	0.02	0	0	0	0.11	0	0.94	0.02	0	0.02	0	0.07	0.13	0	0.16	0	0.02	0.02	0	0.02	0	0.29	0	0.09	0.13	0.09	0	0	0.04	0.02	0	0	0.16	0.09	0	0.11	0	0.02	0.02	0	0.02	0.32	0	0.02	0.05	0.22	0.32	0.02	0	0.45	0.09	0.02	0	0	0	0.37	0.23	0	0	0.05	0	0.02	0.12	0.02	0.16	0.02	0.05	0.09	0	0.02	0.16	0.07	0.05	0.02	0.02	1.37	0.09	0.91	0.07	0	0	0.3	1.19	0	0	0	0.02	0.18	0	0.05	0	0.02	0.02	0.09	0.16	0.25	0.02	0	0	0.21	0.54	0.02	0.26	0.04	0	0	0.05	0.42
"njc5"	0	0.63	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0.13	0	0.13	0	0.04	0.09	0	0	0	0	0	0	0	0	0.04	0.07	0	0.2	0.02	0	0	0	0.52	0.11	0	0	0.02	0.07	0.02	0.07	0.04	0	0	0	0	0.04	0.02	0	0	0.02	0.02	0	0	0.27	0	0.02	0.07	0.07	1.13	0	0	0	0.07	0	0	0.02	0.07	0	0.02	0.16	0	0	0.02	0.02	0	0	0	0.02	0	0.5	0	0	0	0	0	0	0	0	0.02	0	0	2.56	0	0.02	0	0	0.05	0.02	0	0	0.07	0.02	0.02	0.02	0.02	0.04	0.07	0.53	0.04	0.02	0	0.91	0	0	0.09	0.07	0.04	0	0.04	0.34	0.09	0	0	0	0	0.55	0	0.05	0.04	0.02	0	0.13	0	0
"njc6"	0	0	0.11	0.04	0	0.07	0.07	0.09	0	0	0	0	0	0.04	0	0	0	0.01	0	0	0.02	0	0	0	0	0	0.04	0	0	0.04	0	0.02	0	0	0.02	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0.5	0.11	0	0.14	0.16	0.02	0.09	0.2	0	0.05	0.11	0.11	0.25	0.48	0	0.05	0.09	0.09	0	0	0	0.44	0.32	0.87	0.05	0.05	0.11	0.05	0.02	0.05	0.16	0	0.07	0.23	0.02	0	0.07	0	0	0.02	0	0	0.47	0	0	0.09	0	0	0.07	0	0.07	0	0	0	0.07	0	0	0.11	0	0.2	0.09	0.02	0.07	0.02	0	0	0	0	0	0	0	0	0	0.04
"njc7"	0.02	0.49	0.02	0	0.02	0	0.02	0.04	0.04	0	0.09	0.02	0.04	0.09	0.16	0.07	0.25	0.01	0.04	0.07	0.02	0	0.02	0.02	0	0.09	0.07	0.02	0.07	0.18	0	0.27	0.02	0	0.02	0.07	0.18	0.09	0.02	0.02	0.02	0.09	0.02	0.09	0.07	0.02	0	0.02	0.02	0.07	0.09	0	0.02	0.02	0.02	0	0	0.29	0.04	0.02	0.09	0.09	0.92	0	0.14	0.09	0.18	0.02	0	0.04	0.07	0.02	0	0.2	0.05	0.07	0.05	0.11	0.02	0	0.02	0.07	0.02	0.5	0.05	0.33	0.21	0.14	0.02	0.09	0.07	0.05	0.07	0	0.05	2.54	0.05	0.05	0.02	0.02	0.09	0.02	0	0.02	0.13	0.02	0.02	0.09	0.05	0.07	0	0.49	0.2	0.02	0.02	0.76	0.07	0.11	0.14	0.05	0.02	0.05	0	0.4	0.09	0.11	0.02	0.02	0	0.32	0.04	0.07	0.04	0	0.02	0.13	0.09	0.07
"njc8"	23.64	23.69	14.42	32.41	37.61	19.69	19.77	15.89	11.76	34.61	16.06	24.75	34.93	24.26	21.23	13.14	17.32	24.01	28.02	25.26	26.57	26.42	17.34	19.94	19.77	21.85	22.28	26.54	35.28	23.7	27.74	23.13	27.51	31.93	25.16	35.74	24.88	39.4	51.88	26.8	28.36	27.63	31	27.9	33.38	34.98	34.91	33.38	31.57	29.22	18.53	23.92	22.91	27.38	34.7	21.77	33.94	23.71	29.99	25.26	23.27	18.56	21.57	10.92	11.82	8.42	30.22	20.57	25.39	11.5	13.69	22.24	15.12	19.39	18.08	15.76	11.87	14.28	21.93	23.6	28.05	34.13	33.52	40.65	38.16	33.77	22.37	12.22	17.92	23.62	14.63	23.13	25.45	34.68	7.76	32.54	17.18	19.65	34.23	20.5	11.03	17.4	8.72	27.25	18.76	23.96	11.43	23.01	25.52	31.5	4.98	15.81	8.06	4.28	18.19	3.53	19.16	15.72	17.87	10.22	4.91	16.73	18.9	18.27	15.18	15.13	22.57	27.36	37.77	20.49	18.56	13.76	22.75	28.49	10.18	41.75	28.31	22.46
"njc9"	0.09	0.67	0.07	0	0.02	0	0	0.13	0.02	0.02	0.02	0.02	0	0.02	0	0	0.04	0.04	0.02	0	0.11	0.02	0	0.02	0.02	0	0	0	0	0.02	0	0.02	0.02	0.02	0	0.02	0.04	0.13	0	0.04	0.02	0.02	0.04	0	0	0	0	0	0	0.02	0.07	0	0.02	0	0	0	0	0	0	0	0	0	0	0.02	0.07	0	0	0.02	0.02	0.02	0.29	0	0.04	0.02	0.02	0	0.02	0.02	0.02	0	0.02	0	0	0.12	0	0	0	0	0	0	0	0.02	0	0	0	0.02	0.16	0	0.02	0	0.54	0.02	0	0.02	0.29	0.09	0	0	0.09	0	0.07	0.35	0.07	0	0.45	0	0.05	0.02	0	0.05	0.09	0.07	0.02	0.02	0.2	0	0	0	0.04	0	0.02	0	0.02	0.27	0.02	0.09	0.02	0.04
"njc10"	0.02	0	0.02	0	0	0.04	0.02	0.07	0.02	0	0	0	0	0	0.04	0	0.04	0	0	0	0.02	0	0.02	0.07	0.02	0	0	0	0.02	0	0.04	0	0	0	0.02	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.16	0.14	0.59	0	0.09	0.02	0.02	0.02	0.16	0	0	0.05	0.11	0.14	0.11	0	0.02	0.07	0.02	0	0	0	0.49	0.14	0.59	0.16	0.07	0.11	0.07	0.05	0.02	0.07	0	0.02	0.23	0	0	0.02	0.02	0	0	0	0.02	0.07	0	0	0	0.02	0.14	0.27	0	0.02	0.05	0.05	0	0.07	0	0.02	0.02	0	0.02	0.27	0.02	0.02	0	0	0	0.09	0	0.2	0.02	0.02	0.24	0.11	0.09
