"ID"	"seqrun"	"subject"	"collection"	"study_day"	"study_week"	"diet"	"location"	"estrus"	"pregnant"	"together"	"steroid_dose"	"diet_steroid"	"diet_week"	"diet.num"	"subj.num"	"loc.num"	"est.num"	"pre.num"	"acc.num"
"W1"	"hdz14"	"W"	2023-10-26	1	1	"Base"	"old"	"Y"	NA	"Y"	0	"Base.0"	"Base.1"	1	1	1	1	NA	1
"W2"	"hdz1"	"W"	2023-10-27	2	1	"Base"	"old"	"Y"	NA	"Y"	0	"Base.0"	"Base.1"	1	1	1	1	NA	1
"W4"	"hdz1"	"W"	2023-10-29	4	1	"Base"	"old"	"Y"	NA	"Y"	0	"Base.0"	"Base.1"	1	1	1	1	NA	1
"W6"	"hdz1"	"W"	2023-10-31	6	1	"Base"	"old"	NA	"N"	"N"	0	"Base.0"	"Base.1"	1	1	1	NA	2	2
"W7"	"hdz5"	"W"	2023-11-01	7	1	"Base"	"old"	NA	"N"	"N"	0	"Base.0"	"Base.1"	1	1	1	NA	2	2
"W9"	"hdz1"	"W"	2023-11-03	9	2	"Base"	"old"	NA	"N"	"N"	0	"Base.0"	"Base.2"	1	1	1	NA	2	2
"W10"	"hdz11"	"W"	2023-11-04	10	2	"Base"	"old"	NA	"N"	"N"	0	"Base.0"	"Base.2"	1	1	1	NA	2	2
"W33"	"hdz1"	"W"	2023-11-27	33	5	"Base"	"old"	NA	"N"	"N"	0	"Base.0"	"Base.5"	1	1	1	NA	2	2
"W42"	"hdz4"	"W"	2023-12-06	42	6	"Base"	"old"	NA	"N"	"N"	0	"Base.0"	"Base.6"	1	1	1	NA	2	2
"W43"	"hdz4"	"W"	2023-12-07	43	7	"Base"	"old"	NA	"N"	"N"	0	"Base.0"	"Base.7"	1	1	1	NA	2	2
"W52"	"hdz4"	"W"	2023-12-16	52	8	"Base"	"old"	NA	"N"	"N"	0	"Base.0"	"Base.8"	1	1	1	NA	2	2
"W54"	"hdz11"	"W"	2023-12-18	54	8	"Base"	"old"	NA	"N"	"N"	0	"Base.0"	"Base.8"	1	1	1	NA	2	2
"W57"	"hdz4"	"W"	2023-12-21	57	9	"Base"	"old"	NA	"N"	"N"	0	"Base.0"	"Base.9"	1	1	1	NA	2	2
"W60"	"hdz3"	"W"	2023-12-24	60	9	"Base"	"old"	NA	"N"	"N"	0	"Base.0"	"Base.9"	1	1	1	NA	2	2
"W63"	"hdz5"	"W"	2023-12-27	63	9	"Base"	"old"	NA	"N"	"N"	0	"Base.0"	"Base.9"	1	1	1	NA	2	2
"W68"	"hdz4"	"W"	2024-01-01	68	10	"Base"	"old"	NA	"N"	"N"	0	"Base.0"	"Base.10"	1	1	1	NA	2	2
"W73"	"hdz4"	"W"	2024-01-06	73	11	"Base"	"old"	NA	"N"	"N"	0	"Base.0"	"Base.11"	1	1	1	NA	2	2
"W83"	"hdz7"	"W"	2024-01-16	83	12	"Base"	"old"	NA	"N"	"N"	0	"Base.0"	"Base.12"	1	1	1	NA	2	2
"W84"	"hdz6"	"W"	2024-01-17	84	12	"Base"	"old"	NA	"N"	"N"	0	"Base.0"	"Base.12"	1	1	1	NA	2	2
"W85"	"hdz7"	"W"	2024-01-18	85	13	"Base"	"old"	NA	"N"	"N"	0	"Base.0"	"Base.13"	1	1	1	NA	2	2
"W87"	"hdz7"	"W"	2024-01-20	87	13	"Base"	"old"	NA	"N"	"N"	0	"Base.0"	"Base.13"	1	1	1	NA	2	2
"W93"	"hdz5"	"W"	2024-01-26	93	14	"Base"	"old"	NA	"N"	"N"	0	"Base.0"	"Base.14"	1	1	1	NA	2	2
"W94"	"hdz5"	"W"	2024-01-27	94	14	"Base"	"old"	NA	"N"	"N"	0	"Base.0"	"Base.14"	1	1	1	NA	2	2
"W95"	"hdz8"	"W"	2024-01-28	95	14	"Base"	"old"	NA	"N"	"N"	0	"Base.0"	"Base.14"	1	1	1	NA	2	2
"W96"	"hdz5"	"W"	2024-01-29	96	14	"Base"	"old"	NA	"N"	"N"	0	"Base.0"	"Base.14"	1	1	1	NA	2	2
"W97"	"hdz5"	"W"	2024-01-30	97	14	"Base"	"old"	NA	"N"	"N"	0	"Base.0"	"Base.14"	1	1	1	NA	2	2
"W100"	"hdz4"	"W"	2024-02-02	100	15	"Base"	"old"	NA	"N"	"N"	0	"Base.0"	"Base.15"	1	1	1	NA	2	2
"W101"	"hdz5"	"W"	2024-02-03	101	15	"Base"	"old"	NA	"N"	"N"	0	"Base.0"	"Base.15"	1	1	1	NA	2	2
"W104"	"hdz4"	"W"	2024-02-06	104	15	"Base"	"old"	NA	"N"	"N"	0	"Base.0"	"Base.15"	1	1	1	NA	2	2
"W107"	"hdz6"	"W"	2024-02-09	107	16	"Base"	"old"	NA	"N"	"N"	0	"Base.0"	"Base.16"	1	1	1	NA	2	2
"W108"	"hdz6"	"W"	2024-02-10	108	16	"Base"	"old"	NA	"N"	"N"	0	"Base.0"	"Base.16"	1	1	1	NA	2	2
"W109"	"hdz5"	"W"	2024-02-11	109	16	"Base"	"old"	NA	"N"	"N"	0	"Base.0"	"Base.16"	1	1	1	NA	2	2
"W111"	"hdz5"	"W"	2024-02-13	111	16	"Base"	"old"	NA	"N"	"N"	0	"Base.0"	"Base.16"	1	1	1	NA	2	2
"W112"	"hdz6"	"W"	2024-02-14	112	16	"Base"	"old"	NA	"N"	"N"	0	"Base.0"	"Base.16"	1	1	1	NA	2	2
