organism	Kingdom	Phylum	Class	Order	Family	Genus	Species
txid1960156	k__Bacteria	p__Abditibacteriota	c__Abditibacteria	o__Abditibacteriales	f__Abitibacteriaceae	g__Abditibacterium	s__Abditibacterium utsteinense
txid1615681	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__Acidicapsa	s__Acidicapsa acidisoli
txid2218256	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__Acidicapsa	s__Acidicapsa dinghuensis
txid542300	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__Acidicapsa	s__Acidicapsa ligni
txid2211140	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__Acidisarcina	s__Acidisarcina polymorpha
txid2763107	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__Alloacidobacterium	s__Alloacidobacterium dinghuense
txid2040573	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__Edaphobacter	s__Edaphobacter acidisoli
txid570835	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__Edaphobacter	s__Edaphobacter aggregans
txid1002689	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__Occallatibacter	s__Occallatibacter riparius
txid1002691	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__Occallatibacter	s__Occallatibacter savannae
txid2303751	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__Paracidobacterium	s__Paracidobacterium acidisoli
txid1382359	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__Pseudacidobacterium	s__Pseudacidobacterium ailaaui
txid940139	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__Terriglobus	s__Terriglobus aquaticus
txid1111115	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__Terriglobus	s__Terriglobus tenax
txid360054	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Bryobacterales	f__Bryobacteraceae	g__Bryobacter	s__Bryobacter aggregatus
txid1473598	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Bryobacterales	f__Bryobacteraceae	g__Paludibaculum	s__Paludibaculum fermentans
txid1384638	k__Bacteria	p__Acidobacteria	c__Blastocatellia	o__Blastocatellales	f__Blastocatellaceae	g__Aridibacter	s__Aridibacter famidurans
txid1384639	k__Bacteria	p__Acidobacteria	c__Blastocatellia	o__Blastocatellales	f__Blastocatellaceae	g__Aridibacter	s__Aridibacter kavangonensis
txid1911421	k__Bacteria	p__Acidobacteria	c__Blastocatellia	o__Blastocatellales	f__Blastocatellaceae	g__Aridibacter	s__Aridibacter nitratireducens
txid1235480	k__Bacteria	p__Acidobacteria	c__Blastocatellia	o__Blastocatellales	f__Blastocatellaceae	g__Blastocatella	s__Blastocatella fastidiosa
txid1603871	k__Bacteria	p__Acidobacteria	c__Blastocatellia	o__Blastocatellales	f__Blastocatellaceae	g__Stenotrophobacter	s__Stenotrophobacter namibiensis
txid1458337	k__Bacteria	p__Acidobacteria	c__Blastocatellia	o__Blastocatellales	f__Blastocatellaceae	g__Stenotrophobacter	s__Stenotrophobacter terrae
txid2818388	k__Bacteria	p__Acidobacteria	c__Holophagae	o__Acanthopleuribacterales	f__Acanthopleuribacteraceae	g__Sulfidibacter	s__Sulfidibacter corallicola
txid35839	k__Bacteria	p__Acidobacteria	c__Holophagae	o__Holophagales	f__Holophagaceae	g__Holophaga	s__Holophaga foetida
txid1855912	k__Bacteria	p__Acidobacteria	c__Vicinamibacteria	o__Vicinamibacterales	f__Vicinamibacteraceae	g__Luteitalea	s__Luteitalea pratensis
txid1612172	k__Bacteria	p__Acidobacteria	c__Vicinamibacteria	o__Vicinamibacterales	f__Vicinamibacteraceae	g__Vicinamibacter	s__Vicinamibacter silvestris
txid2664430	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__Acidimicrobiaceae	g__Acidiferrimicrobium	s__Acidiferrimicrobium australe
txid1294026	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__Acidimicrobiaceae	g__Aciditerrimonas	s__Aciditerrimonas ferrireducens
txid2789776	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__Iamiaceae	g__Actinomarinicola	s__Actinomarinicola tropica
txid1052257	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__Iamiaceae	g__Aquihabitans	s__Aquihabitans daechungensis
