"Taxa"	"hera11"	"hera14"	"hera17"	"hera24"	"hera44"	"hera45"	"hera58"	"hera67"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	0.0773188509361155	0.120211549456832	0.290497996565541	0.245285714285714	0.480978260869565	0.374482068866981	0.404002859185132	0.0231461637376768
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.437473202801201	0.454545454545455	0.0233257012020607	0.163857142857143	0.0537757437070938	0.102586083726247	0.0201572551822731	0.436205172167452
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.00557381735029298	0.0167238421955403	0.309530623926732	0.0397142857142857	0.163758581235698	0.0608658379768538	0.255611150822016	0.00614373481925989
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0.0724596255538088	0.151086335048599	0.0299084144247281	0.241142857142857	0.0356121281464531	0.139591370195742	0.0307362401715511	0.137305329332762
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae"	0.150207231670716	0.0897655803316181	0.0183171150543789	0.117714285714286	0.028604118993135	0.0951564509215602	0.0205861329521086	0.095585083583369
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.0391596398456481	0.0418810748999428	0.025186033199771	0.120285714285714	0.00943935926773455	0.0698671238748393	0.00986418870621873	0.243463351907415
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0.00600257253108475	0.0208690680388794	0.0991700057240985	0.012	0.0933924485125858	0.0151450207172453	0.0761972837741244	0.00385769395627947
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae"	0	0	0.142530051516886	0	0.051058352402746	0	0.0674767691208006	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae"	0.0851793625839646	0.0370211549456832	0.00300515168860904	0.000714285714285714	0.00328947368421053	0.00728675525075011	0.0395997140814868	0.000285755107872553
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae"	0.00557381735029298	0.002715837621498	0.0184602175157413	0.0221428571428571	0.0237414187643021	0.0650092870410059	0.0142959256611866	0.0214316330904415
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae"	0.0824639131056167	0.0370211549456832	0	0.002	0.0117276887871854	0.0154307758251179	0.00357398141529664	0.000714387769681383
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae"	0.00314420465913963	0.00371640937678674	0.0224670864338867	0.0135714285714286	0.0223112128146453	0.0194313473353336	0.0418870621872766	0.00357193884840692
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae"	0.0202944118908103	0.0101486563750715	0.00186033199771036	0.00671428571428571	0.0045766590389016	0.0130018574082012	0.00257326661901358	0.0200028575510787
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae"	0.00771759325425182	0.00943396226415094	0.00143102461362335	0.00728571428571429	0.00328947368421053	0.00500071438776968	0.00243030736240172	0.00342906129447064
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae"	0.00514506216950121	0.00343053173241852	0	0.002	0.00185926773455378	0.0111444492070296	0.000857755539671194	0.00328618374053436
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae"	0	0	0.0088723526044648	0.001	0.00386155606407323	0.00157165309329904	0.00385989992852037	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae"	0.000428755180791768	0.000571755288736421	0.00286204922724671	0.00242857142857143	0.00300343249427918	0.00100014287755394	0.00371694067190851	0.000285755107872553
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae"	0.000285836787194512	0.000142938822184105	0.0024327418431597	0	0.00371853546910755	0.00157165309329904	0.00200142959256612	0.00085726532361766
