"Taxa"	"iris16"	"iris17"	"iris22"	"iris36"	"iris44"	"iris46"	"iris59"	"iris60"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis"	0.238061195310266	0.224810633128484	0.394770681525932	0.0603633242740667	0.223970251716247	0.137403488704604	0.0952857142857143	0.0350500715307582
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium wakonense"	0.0799256505576208	0.219236815778191	0.114159165595085	0.0161636389643828	0.115846681922197	0.163711752931084	0.238571428571429	0.178826895565093
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella rara"	0.0360308836145267	0.0648849506931542	0.0554364909272753	0.00700901158632528	0.0534897025171625	0.0556191020875036	0.0998571428571429	0.0728183118741059
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera elsdenii"	0.0423219902773806	0.0783192796912963	0.0742963280468638	0.0168788442282935	0.0361842105263158	0.0338861881612811	0.0651428571428571	0.0267525035765379
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides distasonis"	0.0391764369459537	0.0222952694011719	0.0205743677668238	0.0494922042626234	0.0480549199084668	0.0660566199599657	0.0312857142857143	0.0937052932761087
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus|s__Duodenibacillus massiliensis"	0.00915070060051473	0.00328712305273689	0.000714387769681383	0.311257330853955	0.00314645308924485	0.00414641120960824	0.011	0.00915593705293276
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola sartorii"	0.0315985130111524	0.0338716592825497	0.0450064294899271	0.0296094979259047	0.0414759725400458	0.0464684014869888	0.0452857142857143	0.0472103004291846
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera paucivorans"	0.0215899342293394	0.0314420465913963	0.0478639805686527	0.000858246316692891	0.0361842105263158	0.037031741492708	0.0405714285714286	0.0277539341917024
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium parvum"	0.0188733199885616	0.0314420465913963	0.0167166738105444	0.00214561579173223	0.0241704805491991	0.0287389190734916	0.0577142857142857	0.0257510729613734
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas hypermegale"	0.0250214469545325	0.00600257253108475	0.0305757965423632	0.00629380632241453	0.0451945080091533	0.0416070917929654	0.00485714285714286	0.00772532188841202
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium sinus"	0.0152988275664856	0.0227240245819637	0.016002286040863	0.00529251895293949	0.0201659038901602	0.0231627108950529	0.0397142857142857	0.0200286123032904
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides merdae"	0.0121532742350586	0.00414463341432042	0.00842977568224032	0.0371906737233586	0.0243135011441648	0.0337432084643981	0.0145714285714286	0.0273247496423462
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola vulgatus"	0.0108664569631112	0.00757467486065457	0.00371481640234319	0.0230296094979259	0.0104405034324943	0.0191592793823277	0.0198571428571429	0.0406294706723891
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides stercoris"	0.0631970260223048	0.0252965556667143	0.00114302043149021	0.00171649263338578	0.00557780320366133	0.00700600514726909	0.00328571428571429	0.0151645207439199
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides uniformis"	0.0295967972547898	0.0152922681149064	0.00171453064723532	0.00772421685023602	0.00929633867276888	0.0104375178724621	0.00342857142857143	0.0336194563662375
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera massiliensis"	0.0105804975693452	0.0157210232956982	0.0255750821545935	0.00271778000286082	0.0108695652173913	0.010151558478696	0.0217142857142857	0.00815450643776824
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella oris"	0.0194452387760938	0.0071459196798628	0.00814402057436777	0.025032184236876	0.00901029748283753	0.010008578781813	0.0111428571428571	0.0125894134477825
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium varium"	0.0118673148412925	0.00257253108475061	0.011858836976711	0.0180231726505507	0.0280320366132723	0.0164426651415499	0.00442857142857143	0.00214592274678112
