"Taxa"	"jarjarbinks14"	"jarjarbinks15"	"jarjarbinks21"	"jarjarbinks29"	"jarjarbinks32"	"jarjarbinks44"	"jarjarbinks49"	"jarjarbinks68"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium wakonense"	0.212181870174435	0.143408635973692	0.168285714285714	0.163142857142857	0.163259471050751	0.0325075182586281	0.173173173173173	0.151294151294151
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis"	0.118673148412925	0.233342865313126	0.0894285714285714	0.205	0.0597569692637598	0.02133753401117	0.0471900471900472	0.0895180895180895
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera elsdenii"	0.0152988275664856	0.0213039748355733	0.140857142857143	0.0485714285714286	0.051036454610436	0.00429614778748389	0.0496210496210496	0.0481910481910482
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum|s__Anaerobiospirillum thomasii"	0	0	0.0754285714285714	0.122285714285714	0.0809149392423159	0.000286409852498926	0.0291720291720292	0.0614900614900615
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas hypermegale"	0.0245925078638833	0.0278810408921933	0.0351428571428571	0.0544285714285714	0.0494639027877055	0.00601460690247744	0.0429000429000429	0.0710710710710711
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium parvum"	0.020160137260509	0.0248784672576494	0.0288571428571429	0.0552857142857143	0.0428877769835597	0.00443935271373335	0.0888030888030888	0.0408980408980409
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola plebeius"	0.0820703460108665	0.0448956248212754	0.001	0.000285714285714286	0.00300214438884918	0.148503508520693	0.001001001001001	0.00228800228800229
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella copri"	0.000142979696883043	0	0.063	0.0311428571428571	0.053180843459614	0.000572819704997852	0.0642070642070642	0.0696410696410696
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium sinus"	0.020160137260509	0.0207320560480412	0.0217142857142857	0.037	0.0371694067190851	0.00458255763998282	0.0757900757900758	0.0304590304590305
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia glucerasea"	0.0660566199599657	0.131684300829282	0.00742857142857143	0.00642857142857143	0.00671908506075768	0.00329371330373765	0.00429000429000429	0.01001001001001
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia|s__Prevotellamassilia timonensis"	0.0227337718044038	0.0170145839290821	0.0191428571428571	0.0164285714285714	0.0185847033595425	0.102248317342117	0.0122980122980123	0.02002002002002
