"Taxa"	"joans14"	"joans21"	"joans29"	"joans41"	"joans44"	"joans49"	"joans51"	"joans56"	"joans57"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.0458794764849705	0.409142857142857	0.243923362882471	0.108011444921316	0.149735676525218	0.133876268038291	0.0856448384329425	0.336620926243568	0.123
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae"	0.0283330936286495	0.242714285714286	0.282527881040892	0.0593705293276109	0.22217459637091	0.129161308758394	0.113668859022019	0.0860491709548313	0.364857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0	0.121428571428571	0.236917357735202	0.236766809728183	0.223603371910273	0.249607086726675	0.179296539891335	0.207118353344768	0.0518571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.000575291241190853	0.118142857142857	0.0579067772376323	0.0648068669527897	0.213601943134734	0.265323617659666	0.397912496425508	0.161377930245855	0.037
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae"	0.862936861786279	0.000428571428571429	0	0.067238912732475	0.000142877553936277	0.000142877553936277	0	0	0.272571428571429
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.00273263339565655	0.000285714285714286	0.0534744066342579	0.171244635193133	0.0614373481925989	0.119874267752536	0.0567629396625679	0.0867638650657519	0.0705714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae"	0.000575291241190853	0.0441428571428571	0.0616242493565914	0.196280400572246	0.0558651235890842	0.0374339191313045	0.0340291678581641	0.0618925100057176	0.0431428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	0.000862936861786279	0.016	0.0253074063482985	0.0206008583690987	0.0394342048864123	0.024289184169167	0.0986559908492994	0.0248713550600343	0.0175714285714286
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0.0021573421544657	0.028	0.0128681727194738	0.0453505007153076	0.0218602657522503	0.0181454493499071	0.0110094366599943	0.0224413950829045	0.009
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae"	0.0299151445419244	0.00971428571428571	0.0121532742350586	0.0140200286123033	0	0	0	0	0.000428571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae"	0	0	0.00328853302830998	0.000429184549356223	0.00742963280468638	0.0152878982711816	0.0174435230197312	0.0055746140651801	0.00571428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae"	0.0033079246368474	0.006	0.00543322848155562	0.0135908440629471	0.00171453064723532	0.00214316330904415	0.00243065484701172	0.00300171526586621	0.00242857142857143
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae"	0.00949230547964907	0.00157142857142857	0.000142979696883043	0.000572246065808298	0.000714387769681383	0.00042863266180883	0.000142979696883043	0.000142938822184105	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae"	0.0107867107723285	0.000714285714285714	0.000142979696883043	0	0.000142877553936277	0	0	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae"	0	0	0.0010008578781813	0	0.000571510215745106	0.00214316330904415	0.00171575636259651	0.000857632933104631	0.000571428571428571
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae"	0	0.000428571428571429	0.000857878181298256	0.000572246065808298	0.00114302043149021	0	0.000428939090649128	0.000571755288736421	0.000142857142857143
