"Taxa"	"korra21"	"korra29"	"korra44"	"korra48"	"korra58"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella copri"	0.0694285714285714	0.00800114302043149	0.287634024303074	0.0908701243034719	0.252750392913273
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis"	0.115	0.218888412630376	0.0285918513223731	0.1197313901986	0.0948706958136877
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella flexneri"	0.086	0.180025717959709	0.00285918513223731	0.0820117159594228	0.22217459637091
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium wakonense"	0.171571428571429	0.0972996142306044	0.0904932094353109	0.132590370052865	0.0292898985569367
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia fergusonii"	0.0574285714285714	0.121445920845835	0.00171551107934239	0.0480068581225889	0.133876268038291
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia|s__Prevotellamassilia timonensis"	0.019	0.00785826546649521	0.164974982130093	0.0481497356765252	0.0122874696385198
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas hypermegale"	0.0475714285714286	0.0650092870410059	0.0158684774839171	0.0447206743820546	0.0128589798542649
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera elsdenii"	0.0527142857142857	0.0257179597085298	0.0151536812008578	0.0681525932276039	0.00814402057436777
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella sonnei"	0.0492857142857143	0.0964423489069867	0.000285918513223731	0.00114302043149021	0.00228604086298043
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia marmotae"	0.0258571428571429	0.0478639805686527	0.000571837026447462	0.00985855122160309	0.0250035719388484
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium parvum"	0.0382857142857143	0.0147163880554365	0.0182987848463188	0.0202886126589513	0.00285755107872553
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera massiliensis"	0.0304285714285714	0.0138591227318188	0.00657612580414582	0.0374339191313045	0.00342906129447064
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium sinus"	0.0318571428571429	0.0114302043149021	0.0207290922087205	0.018574082011716	0.0042863266180883
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola sartorii"	0.0284285714285714	0.0138591227318188	0.0221586847748392	0.0154307758251179	0.00371481640234319
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera indica"	0.026	0.0104300614373482	0.014867762687634	0.0262894699242749	0.00585797971138734
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia glucerasea"	0.008	0.00285755107872553	0.00972122944960686	0.0422917559651379	0.000571510215745106
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides merdae"	0.00742857142857143	0.00371481640234319	0.0235882773409578	0.0264323474782112	0.000571510215745106
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella seckii"	0.00557142857142857	0.00485783683383341	0.0105789849892781	0.0117159594227747	0.022717531075868
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides distasonis"	0.013	0.00371481640234319	0.0184417441029307	0.0151450207172453	0.00200028575510787
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola vulgatus"	0.00685714285714286	0.0024289184169167	0.00729092208720515	0.00500071438776968	0.0277182454636377
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella boydii"	0	0	0.000428877769835597	0.0127161023003286	0.0360051435919417
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus|s__Duodenibacillus massiliensis"	0.00385714285714286	0.00128589798542649	0.0323087919942816	0.00628661237319617	0.00400057151021575
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera stantonii"	0.013	0.00571510215745106	0.00428877769835597	0.0161451635947993	0.00300042863266181
