"Taxa"	"kubo14"	"kubo15"	"kubo21"	"kubo30"	"kubo48"	"kubo58"
"k__Bacteria|p__Firmicutes|c__Negativicutes"	0.242138364779874	0.561857142857143	0.584679148206374	0.350779350779351	0.519370979270908	0.308781464530892
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0.56789594053745	0.126714285714286	0.111619265399457	0.509223509223509	0.0211579699785561	0.0903890160183066
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.0797598627787307	0.0842857142857143	0.148778047734743	0.0431860431860432	0.314510364546104	0.392591533180778
"k__Bacteria|p__Firmicutes|c__Clostridia"	0.0551743853630646	0.17	0.141203372874089	0.0673530673530674	0.0990707648320229	0.0747997711670481
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia"	0.0458833619210978	0.0461428571428571	0.00100042875518079	0.00314600314600315	0.0281629735525375	0.00586384439359268
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0.00743281875357347	0.00757142857142857	0.00443047020151493	0.004004004004004	0.0151536812008578	0.0750858123569794
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	0.000714694110920526	0.00271428571428571	0.00771759325425182	0.0203060203060203	0.00171551107934239	0.0115846681922197
"k__Bacteria|p__Actinobacteria|c__Actinomycetia"	0	0	0.000142918393597256	0.000143000143000143	0	0.0389016018306636
"k__Bacteria|p__Firmicutes|c__Bacilli"	0.000571755288736421	0.000142857142857143	0.000428755180791768	0.00185900185900186	0.000142959256611866	0.00028604118993135
"k__Bacteria|p__Tenericutes|c__Mollicutes"	0.000428816466552316	0.000571428571428571	0	0	0.000714796283059328	0.0017162471395881
