"Taxa"	"lambchop17"	"lambchop18"	"lambchop25"	"lambchop37"	"lambchop44"	"lambchop46"	"lambchop48"	"lambchop50"	"lambchop55"	"lambchop70"
"k__Bacteria|p__Firmicutes|c__Negativicutes"	0.297436631820135	0.661426325568101	0.716061731923407	0.441601143674053	0.574431574431574	0.49078439777111	0.705857142857143	0.619694154637702	0.342571428571429	0.0688965122927387
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.000286409852498926	0	0.224349814232638	0.159971408148678	0.286715286715287	0.378482640377197	0.116714285714286	0.259111047591825	0.567857142857143	0.740851915380217
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0.688242875554919	0.290410175789624	0.039154044012575	0.215439599714081	0.0407550407550408	0.0302900414344906	0.0977142857142857	0.042446762898385	0.0267142857142857	0.0415951972555746
"k__Bacteria|p__Firmicutes|c__Clostridia"	0.00945152513246456	0.0204373302844076	0.000857387825092884	0.150250178699071	0.0569140569140569	0.0202886126589513	0.0594285714285714	0.0340145776761469	0.0214285714285714	0.0155803316180675
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0.00343691822998711	0.0260111476347006	0.0134324092597885	0.0284488920657613	0.0117260117260117	0.0468638376910987	0.0185714285714286	0.0255823924539088	0.0261428571428571	0.0596054888507719
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia"	0	0	0.000285795941697628	0.000714796283059328	0.0235950235950236	0.0287183883411916	0.000285714285714286	0.00528798056309847	0.00557142857142857	0.010863350485992
"k__Bacteria|p__Actinobacteria|c__Actinomycetia"	0	0	0	0.000142959256611866	0	0	0	0.000142918393597256	0.000142857142857143	0.0540308747855918
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	0.000286409852498926	0.000571673574389024	0.00571591883395256	0.00343102215868477	0.00457600457600458	0.00128589798542649	0.00142857142857143	0.00171502072316707	0.00828571428571429	0.00786163522012579
"k__Bacteria|p__Firmicutes|c__Bacilli"	0.000716024631247315	0.00114334714877805	0	0	0.00128700128700129	0.00314330618659809	0	0.0118622266685722	0.00128571428571429	0.000714694110920526
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria"	0.000143204926249463	0	0.000142897970848814	0	0	0.000142877553936277	0	0.000142918393597256	0	0
