"Taxa"	"franc19"	"franc22"	"franc44"	"franc45"	"franc47"	"franc48"	"franc49"	"franc56"	"franc68"
"k__Bacteria|p__Firmicutes|c__Negativicutes"	0.537857142857143	0.499285101515585	0.245785909811266	0.482921251965128	0.680382911844549	0.486915486915487	0.481354479211316	0.470537757437071	0.567567567567568
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.214428571428571	0.26737203317129	0.255150554675119	0.28283550092897	0.163737676810973	0.311454311454311	0.242320331475925	0.268735697940503	0.115687115687116
"k__Bacteria|p__Firmicutes|c__Clostridia"	0.139857142857143	0.179439519588218	0.108053594582913	0.134629126768615	0.115730818688384	0.142714142714143	0.203886269467067	0.213672768878719	0.115115115115115
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0.0867142857142857	0.0210180154418073	0.14205445901167	0.0533085608117765	0.0174310615802257	0.0243100243100243	0.0372910415773682	0.0121567505720824	0.173316173316173
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0.0127142857142857	0.0277380611953103	0.0903328050713154	0.0401600686008289	0.0184312044577797	0.0283140283140283	0.0308615516502357	0.0294622425629291	0.0254540254540255
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia"	0.00471428571428571	0.00271661424077781	0.109638380636796	0.000428755180791768	0.00042863266180883	0	0.000142877553936277	0.000429061784897025	0.000858000858000858
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	0.00342857142857143	0.00228767515012868	0.016136003457715	0.00528798056309847	0.00385769395627947	0.00529100529100529	0.0024289184169167	0.0045766590389016	0.00185900185900186
"k__Bacteria|p__Firmicutes|c__Bacilli"	0	0	0.0318397925370984	0	0	0	0.00114302043149021	0.00028604118993135	0
"k__Bacteria|p__Tenericutes|c__Mollicutes"	0	0	0.000720357297219421	0	0	0.000858000858000858	0.000285755107872553	0.000143020594965675	0.000143000143000143
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria"	0.000285714285714286	0.000142979696883043	0.000288142918887768	0.000428755180791768	0	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia"	0	0	0	0	0	0.000143000143000143	0.000285755107872553	0	0
