"Taxa"	"grogu22"	"grogu36"	"grogu37"	"grogu41"	"grogu45"	"grogu50"	"grogu56"	"grogu70"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum"	0.799428571428571	0.746857142857143	0.886571428571429	0.73231384879234	0.200371587823353	0.664428571428571	0.784714285714286	0.726818116873839
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"	0.101428571428571	0.052	0.0391428571428571	0.0507360297270259	0.0786051164784908	0.130428571428571	0.0761428571428571	0.109015573653379
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.0145714285714286	0.00685714285714286	0.00257142857142857	0.00914677719022438	0.308274974989281	0.058	0.0257142857142857	0.011858836976711
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"	0.0304285714285714	0.091	0.0107142857142857	0.0704587680434472	0.0127197370301558	0.00771428571428571	0.0355714285714286	0.0550078582654665
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0.0111428571428571	0.00828571428571429	0.009	0.0120051450621695	0.178505073602973	0.0612857142857143	0.0131428571428571	0.0107158165452207
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium"	0.00971428571428571	0.0101428571428571	0.0168571428571429	0.00900385879662713	0.0265828212090896	0.0298571428571429	0.0182857142857143	0.00814402057436777
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia"	0	0.0232857142857143	0.00414285714285714	0.0238673717307417	0.00743175646705731	0.00142857142857143	0.00614285714285714	0.0115730818688384
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides"	0.00228571428571429	0.00557142857142857	0.00328571428571429	0.00771759325425182	0.0328712305273689	0.00585714285714286	0.00671428571428571	0.00328618374053436
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"	0.00585714285714286	0.00442857142857143	0.00314285714285714	0.0108617979133915	0.0200085751036158	0.00628571428571429	0.00242857142857143	0.00171453064723532
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella"	0.00114285714285714	0.000428571428571429	0.000571428571428571	0.000428755180791768	0.0394454766328426	0.00442857142857143	0.00114285714285714	0.00042863266180883
