"Taxa"	"hamlet11"	"hamlet17"	"hamlet22"	"hamlet25"	"hamlet31"	"hamlet41"	"hamlet59"	"hamlet67"
"k__Bacteria|p__Firmicutes|c__Negativicutes"	0.344433328569387	0.49	0.155342583321413	0.584369195599371	0.607489994282447	0.492279096368316	0.443920560080011	0.107485329898383
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.146491353437187	0.302714285714286	0.0637963095408382	0.272038862694671	0.189108061749571	0.147841006577066	0.259751393056151	0.698296836982968
"k__Bacteria|p__Firmicutes|c__Clostridia"	0.108189223953123	0.122142857142857	0.0592189958518095	0.104872124589227	0.127501429388222	0.245639119245067	0.180882983283326	0.0518105052239874
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0.00914677719022438	0.0122857142857143	0.704620226004863	0.0215745106443778	0.0447398513436249	0.0754932799542465	0.0674382054579226	0.0125948189494776
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia"	0.38073460054309	0.000142857142857143	0.000715205263910742	0.00371481640234319	0.00128644939965695	0.0121532742350586	0.020145735105015	0.0011449835408616
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0.00700300128626554	0.0277142857142857	0.00457731368902875	0.0114302043149021	0.024442538593482	0.0231627108950529	0.0105729389912845	0.0704164877629884
"k__Bacteria|p__Actinobacteria|c__Actinomycetia"	0	0.0402857142857143	0	0	0.00028587764436821	0.000142979696883043	0	0.0339201373980249
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	0.0035729598399314	0.00471428571428571	0.011586325275354	0.00171453064723532	0.00457404230989137	0.00300257363454389	0.0171453064723532	0.0240446543580936
"k__Bacteria|p__Firmicutes|c__Bacilli"	0.000428755180791768	0	0.000143041052782148	0.000285755107872553	0.000571755288736421	0.000285959393766085	0.000142877553936277	0
"k__Bacteria|p__Tenericutes|c__Mollicutes"	0	0	0	0	0	0	0	0.0002862458852154
