"Taxa"	"kubo14"	"kubo15"	"kubo21"	"kubo30"	"kubo48"	"kubo58"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.10548885077187	0.378285714285714	0.229955695297985	0.132990132990133	0.18770550393138	0.104262013729977
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.0797598627787307	0.0842857142857143	0.148778047734743	0.0431860431860432	0.314510364546104	0.392591533180778
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0.115780445969125	0.124285714285714	0.254394740603116	0.148863148863149	0.258041458184417	0.10483409610984
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0.533018867924528	0.111	0.0570244390453051	0.0281710281710282	0.000142959256611866	0.078804347826087
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.0348770726129217	0.0157142857142857	0.0545948263541518	0.481052481052481	0.0210150107219442	0.0115846681922197
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.0551743853630646	0.17	0.141203372874089	0.0673530673530674	0.0990707648320229	0.0747997711670481
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.0208690680388794	0.0592857142857143	0.100328712305274	0.0689260689260689	0.0736240171551108	0.0996853546910755
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0.0458833619210978	0.0461428571428571	0.00100042875518079	0.00314600314600315	0.0281629735525375	0.00586384439359268
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.00743281875357347	0.00757142857142857	0.00443047020151493	0.00386100386100386	0.0151536812008578	0.0750858123569794
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0.000714694110920526	0.00271428571428571	0.00771759325425182	0.0203060203060203	0.00171551107934239	0.0115846681922197
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0	0	0	0	0	0.0389016018306636
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales"	0.000428816466552316	0.000571428571428571	0	0	0.000714796283059328	0.0017162471395881
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0.000571755288736421	0.000142857142857143	0.000428755180791768	0.00128700128700129	0.000142959256611866	0.000143020594965675
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales"	0	0	0	0.000572000572000572	0	0.000143020594965675
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales"	0	0	0.000142918393597256	0.000143000143000143	0	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales"	0	0	0	0.000143000143000143	0	0
