"Taxa"	"marshmallow24"	"marshmallow37"	"marshmallow41"	"marshmallow44"	"marshmallow49"	"marshmallow53"	"marshmallow60"	"marshmallow70"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae"	0.604744212632181	0.544115544115544	0.436410402972278	0.412142857142857	0.380482926132305	0.872285714285714	0.146798170383076	0.582392453908818
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0.20120034295513	0.049049049049049	0.0585881680480137	0.124857142857143	0.0922988998428347	0.0524285714285714	0.121497998856489	0.0463055595255109
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.00300085738782509	0.104676104676105	0.192197770791655	0.0538571428571429	0.0315759394199171	0.005	0.0921955403087479	0.0754609118193511
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.0262932266361818	0.0584870584870585	0.0432980851671906	0.142285714285714	0.137162451778826	0.0165714285714286	0.0843339050886221	0.00242961269115335
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.028436696198914	0.0388960388960389	0.0347242069162618	0.136571428571429	0.164594942134591	0.0161428571428571	0.0704688393367639	0.00242961269115335
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae"	0	0.00800800800800801	0.0272935124321235	0.00614285714285714	0.0425775110730104	0.000142857142857143	0.378644939965695	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae"	0.0780222920834524	0.0433290433290433	0.0390111460417262	0.0604285714285714	0.101585940848693	0.0168571428571429	0.072041166380789	0.00686008289266829
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	0.0457273506716205	0.00900900900900901	0.0248642469276936	0.0268571428571429	0.0177168166880983	0.0132857142857143	0.00686106346483705	0.224096041160497
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0.00071448985424407	0.0291720291720292	0.0615890254358388	0.011	0.00957279611373053	0.000857142857142857	0.00843339050886221	0.0274403315706731
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae"	0	0.0905190905190905	0.0405830237210632	0	0	0	0	0.00743175646705731
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae"	0.00242926550442984	0.0155870155870156	0.0282937982280652	0.0185714285714286	0.0091441634519217	0.00242857142857143	0.0105774728416238	0.0137201657853366
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae"	0.00457273506716205	0.002002002002002	0.00242926550442984	0.00228571428571429	0.0024289184169167	0.00314285714285714	0.0028587764436821	0.0012862655423753
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae"	0.0010002857959417	0.00314600314600315	0.00214346956273221	0.00228571428571429	0.00757251035862266	0.000428571428571429	0.00028587764436821	0.00171502072316707
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae"	0.00285795941697628	0.000572000572000572	0.00285795941697628	0.000428571428571429	0	0.000285714285714286	0.00028587764436821	0.00686008289266829
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae"	0	0.00214500214500214	0.00428693912546442	0.000571428571428571	0.00085726532361766	0	0.000857632933104631	0.000857510361583536
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae"	0	0	0	0	0	0	0.0028587764436821	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae"	0	0.000572000572000572	0.000571591883395256	0.000428571428571429	0.000714387769681383	0	0	0.000428755180791768
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae"	0	0.000429000429000429	0.000285795941697628	0.000142857142857143	0.000571510215745106	0	0.00028587764436821	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae"	0.000571591883395256	0.000286000286000286	0	0.000142857142857143	0.000285755107872553	0	0.000142938822184105	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae"	0.000142897970848814	0	0.000142897970848814	0.000571428571428571	0.000142877553936277	0.000142857142857143	0.00028587764436821	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae"	0	0	0	0	0.00042863266180883	0	0.000142938822184105	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__"	0	0	0	0.000285714285714286	0.000142877553936277	0	0.000142938822184105	0
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales|f__Anaeroplasmataceae"	0	0	0.000285795941697628	0	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae"	0	0	0	0.000142857142857143	0	0	0	0.000142918393597256
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae"	0	0	0	0	0	0	0	0.000142918393597256
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae"	0	0	0.000142897970848814	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__"	0.000142897970848814	0	0	0	0	0	0	0
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae"	0.000142897970848814	0	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae"	0	0	0	0	0.000142877553936277	0	0	0
