"Taxa"	"buddy11"	"buddy16"	"buddy44"	"buddy46"	"buddy48"	"buddy50"	"buddy56"	"buddy57"
"chemoheterotrophy"	0.181672210115839	0.189169139465875	0.310922804730422	0.287339194357522	0.324062229191598	0.219468881481886	0.190996988429228	0.317117031848942
"fermentation"	0.174637764269603	0.18131999617115	0.307384300214173	0.278001291412109	0.316634341600297	0.21646358122507	0.188064669519734	0.308835360371019
"anaerobic_chemoheterotrophy"	0.174523072217762	0.181224274911458	0.307384300214173	0.278001291412109	0.316634341600297	0.21646358122507	0.188011834944788	0.308835360371019
"animal_parasites_or_symbionts"	0.143288603433115	0.107901789987556	0.0475835738895614	0.122137783738141	0.0262452028225973	0.0926452106442271	0.109605325725155	0.0440584922625527
"human_associated"	0.0842221967350996	0.0914855939504164	0.00744948319210355	0.00779814235335022	0.0025172285726076	0.0808972187312169	0.101363132033603	0.00406984998343666
"human_pathogens_all"	0.072638299499178	0.0521441562170958	0	0	0.000949118969999587	0.078602262171466	0.100544196121942	0.000520562207183758
"nitrate_reduction"	0.0474060480942004	0.0352254235665741	0.000186237079802589	0.000149009089554463	0	0.0757608873832031	0.0945738891530618	4.73238370167053e-05
"human_gut"	0.0369690713766869	0.0564516129032258	0.00744948319210355	0.00779814235335022	0.00247596253043371	0.00508168952516256	0.00684207745548687	0.00392787847238654
"mammal_gut"	0.0369690713766869	0.0564516129032258	0.00744948319210355	0.00779814235335022	0.00247596253043371	0.00508168952516256	0.00684207745548687	0.00392787847238654
"human_pathogens_gastroenteritis"	0.0396069885690255	0.0327366708145879	0	0	0	0.00573739139937708	0.00969514450256248	0
"aerobic_chemoheterotrophy"	0.007149137898077	0.00794486455441754	0.00353850451624919	0.00938757264193116	0.00742788759130112	0.00300530025681657	0.00298515348444022	0.00832899531494014
"xylanolysis"	0.000267614787628551	0.00689193069780798	0.000465592699506472	0.000943724233844931	0.000288862295217266	0.000300530025681657	2.64172874729223e-05	4.73238370167053e-05
"cellulolysis"	3.82306839469358e-05	0	4.65592699506472e-05	0.000447027268663388	0.00016506416869558	0.000245888202830446	2.64172874729223e-05	4.73238370167053e-05
"reductive_acetogenesis"	3.82306839469358e-05	0	0.000139677809851942	0.000198678786072617	0.000123798126521685	8.19627342768155e-05	0.000105669149891689	4.73238370167053e-05
"fumarate_respiration"	0.000114692051840807	9.57212596917775e-05	0	0	0	2.73209114256052e-05	7.92518624187668e-05	0
"nitrate_respiration"	0.000114692051840807	9.57212596917775e-05	0	0	0	2.73209114256052e-05	7.92518624187668e-05	0
"nitrogen_respiration"	0.000114692051840807	9.57212596917775e-05	0	0	0	2.73209114256052e-05	7.92518624187668e-05	0
"human_pathogens_diarrhea"	3.82306839469358e-05	9.57212596917775e-05	0	0	0	2.73209114256052e-05	2.64172874729223e-05	4.73238370167053e-05
"nitrite_ammonification"	3.82306839469358e-05	9.57212596917775e-05	0	0	0	2.73209114256052e-05	2.64172874729223e-05	0
"nitrite_respiration"	3.82306839469358e-05	9.57212596917775e-05	0	0	0	2.73209114256052e-05	2.64172874729223e-05	0
"chitinolysis"	0	0.000167512204460611	0	0	0	0	0	0
"respiration_of_sulfur_compounds"	3.82306839469358e-05	9.57212596917775e-05	0	0	0	0	0	0
"sulfite_respiration"	3.82306839469358e-05	9.57212596917775e-05	0	0	0	0	0	0
"thiosulfate_respiration"	3.82306839469358e-05	9.57212596917775e-05	0	0	0	0	0	0
"human_pathogens_pneumonia"	0	0	0	0	0	0	0	4.73238370167053e-05
"human_pathogens_septicemia"	0	0	0	0	0	0	0	4.73238370167053e-05
"ureolysis"	0	0	0	0	0	0	0	4.73238370167053e-05
"dark_hydrogen_oxidation"	0	2.39303149229444e-05	0	0	0	0	0	0
