"Taxa"	"goose20"	"goose22"	"goose37"	"goose42"	"goose44"
"chemoheterotrophy"	0.316794965443614	0.214089136916138	0.278181818181818	0.301182260739314	0.303120356612184
"fermentation"	0.29898297465865	0.208049843284153	0.266433566433566	0.285347456267052	0.296891073265516
"anaerobic_chemoheterotrophy"	0.298870596167893	0.2079351731519	0.266433566433566	0.285293960305997	0.296719625100011
"animal_parasites_or_symbionts"	0.0566949485868405	0.110427337359529	0.0936596736596737	0.0737174343337078	0.0313178648988456
"human_associated"	0.00331516547732764	0.0658588792905741	0.022004662004662	0.00984325683410902	0.0163447251114413
"human_pathogens_all"	0.000224756981513738	0.0598578090360064	0.0176689976689977	0.0066334991708126	0.0140587495713796
"nitrate_reduction"	5.61892453784346e-05	0.0390260683433988	0.0117948717948718	0.00502862033916439	0.00994399359926849
"aerobic_chemoheterotrophy"	0.0179243692757206	0.00615396376423821	0.0117482517482517	0.0158883004333173	0.00640073151217282
"human_pathogens_gastroenteritis"	5.61892453784346e-05	0.0334072318630074	0.00881118881118881	0.00374471727384582	0.00742942050520059
"human_gut"	0.00320278698657077	0.0269092577020105	0.0105361305361305	0.00529610014443909	0.00645788090067436
"mammal_gut"	0.00320278698657077	0.0269092577020105	0.0105361305361305	0.00529610014443909	0.00645788090067436
"reductive_acetogenesis"	0.000224756981513738	0.000382233774176286	0.00027972027972028	0.000748943454769165	0.00291461881357869
"xylanolysis"	5.61892453784346e-05	0.000152893509670514	0.000885780885780886	0.000855935376879046	0.000800091439021603
"cellulolysis"	5.61892453784346e-05	0.000152893509670514	0.000745920745920746	0.000748943454769165	0.000800091439021603
"fumarate_respiration"	5.61892453784346e-05	0.000114670132252886	4.66200466200466e-05	5.34959610549404e-05	5.7149388501543e-05
"human_pathogens_diarrhea"	5.61892453784346e-05	0.000114670132252886	4.66200466200466e-05	5.34959610549404e-05	5.7149388501543e-05
"nitrate_respiration"	5.61892453784346e-05	0.000114670132252886	4.66200466200466e-05	5.34959610549404e-05	5.7149388501543e-05
"nitrite_ammonification"	5.61892453784346e-05	0.000114670132252886	4.66200466200466e-05	5.34959610549404e-05	5.7149388501543e-05
"nitrite_respiration"	5.61892453784346e-05	0.000114670132252886	4.66200466200466e-05	5.34959610549404e-05	5.7149388501543e-05
"nitrogen_respiration"	5.61892453784346e-05	0.000114670132252886	4.66200466200466e-05	5.34959610549404e-05	5.7149388501543e-05
"dark_hydrogen_oxidation"	0	0	0	5.34959610549404e-05	0
