"Taxa"	"grogu22"	"grogu36"	"grogu37"	"grogu41"	"grogu45"	"grogu50"	"grogu56"	"grogu70"
"chemoheterotrophy"	0.331030285673373	0.326049781493445	0.330904842090794	0.328386678365696	0.301687348171492	0.331253129935668	0.32967032967033	0.323169631580847
"fermentation"	0.330636500322188	0.322135664069922	0.330114436922231	0.319841300118262	0.296434902501477	0.330636773373397	0.329086196195831	0.316818821491719
"anaerobic_chemoheterotrophy"	0.330636500322188	0.322135664069922	0.330114436922231	0.319841300118262	0.296434902501477	0.330636773373397	0.329086196195831	0.316746653195251
"animal_parasites_or_symbionts"	0.00429584019474476	0.0154284628538856	0.00546410529571463	0.0168618624346698	0.0391307202416125	0.00466119650217651	0.00533021795480267	0.0124129469923862
"human_associated"	0.00096656404381757	0.00338210146304389	0.000721674284339668	0.00202189753175905	0.0196310156916814	0.000654878847413229	0.00208097550290241	0.00660339912676361
"human_gut"	0.00096656404381757	0.00338210146304389	0.000721674284339668	0.00202189753175905	0.0179896264198017	0.000654878847413229	0.00208097550290241	0.00555695882798687
"mammal_gut"	0.00096656404381757	0.00338210146304389	0.000721674284339668	0.00202189753175905	0.0179896264198017	0.000654878847413229	0.00208097550290241	0.00555695882798687
"aerobic_chemoheterotrophy"	0.000393785351184936	0.00391411742352271	0.000790405168562494	0.00854537824743448	0.0052524456700151	0.000616356562271274	0.000584133474498923	0.00638689423736153
"human_pathogens_all"	3.57986682895396e-05	0	0	0	0.00203532269713085	0	0	0.0045466026774438
"nitrate_reduction"	0	0	0	3.81490100331896e-05	0.00131311141750378	3.85222851419546e-05	0	0.00108252444701043
"human_pathogens_gastroenteritis"	0	0	0	0	0.000919177992252643	0	0	0.0007577671129073
"xylanolysis"	3.57986682895396e-05	0.000152004560136804	0.000206192652668477	0.000228894060199138	0.000590900137876699	3.85222851419546e-05	0	0
"cellulolysis"	0	0	0.000103096326334238	3.81490100331896e-05	0.000590900137876699	3.85222851419546e-05	0	0
"reductive_acetogenesis"	3.57986682895396e-05	3.8001140034201e-05	0.000137461768445651	0.000114447030099569	0	0.000115566855425864	0	3.60841482336809e-05
"dark_hydrogen_oxidation"	0	0	0	3.81490100331896e-05	0	0	0	0
"fumarate_respiration"	0	0	0	0	0	0	0	3.60841482336809e-05
"human_pathogens_diarrhea"	0	0	0	0	0	0	0	3.60841482336809e-05
"nitrate_respiration"	0	0	0	0	0	0	0	3.60841482336809e-05
"nitrite_ammonification"	0	0	0	0	0	0	0	3.60841482336809e-05
"nitrite_respiration"	0	0	0	0	0	0	0	3.60841482336809e-05
"nitrogen_respiration"	0	0	0	0	0	0	0	3.60841482336809e-05
"respiration_of_sulfur_compounds"	0	0	0	0	0	0	0	3.60841482336809e-05
"sulfite_respiration"	0	0	0	0	0	0	0	3.60841482336809e-05
"thiosulfate_respiration"	0	0	0	0	0	0	0	3.60841482336809e-05
