"Taxa"	"joans14"	"joans21"	"joans29"	"joans41"	"joans44"	"joans49"	"joans51"	"joans56"	"joans57"
"chemoheterotrophy"	0.13357293028013	0.304989816700611	0.319796421638071	0.27597672485453	0.294940621441354	0.27675115495068	0.242592350868033	0.290761320285288	0.219221886658376
"fermentation"	0.132962100119325	0.284332266511493	0.313080434440422	0.255010621594163	0.283010682717857	0.265388937445374	0.235413131444981	0.272184441864322	0.216557114940487
"anaerobic_chemoheterotrophy"	0.132834251946133	0.284332266511493	0.313080434440422	0.254964440749977	0.283119136706252	0.265388937445374	0.235413131444981	0.272184441864322	0.216557114940487
"animal_parasites_or_symbionts"	0.124424683220638	0.0914314809426826	0.0347867149378246	0.0634986607555186	0.118919798275582	0.170121113747035	0.263868946612714	0.137833803284127	0.0924971871854089
"human_associated"	0.122847889084607	0.0036368926389293	0.00404008604858597	0.0331578461254272	0.00238598774469931	0.0034960669247097	0.00482965670278032	0.00257090728147288	0.0814531888434891
"human_pathogens_all"	0.115929882379681	0.00240034914169334	0	0.0305255380068348	0.000162680982593135	0.000374578599076039	0	0.000248797478852214	0.080624148753479
"nitrate_reduction"	0.0782288766407182	0.000436427116671516	0	0.0193497737138635	0.000216907976790846	0.00018728929953802	6.52656311186529e-05	8.29324929507381e-05	0.0787588085509564
"aerobic_chemoheterotrophy"	0.00073867833399625	0.0206575501891184	0.00676845584763104	0.0210122841045534	0.0118757117292988	0.0114246472718192	0.00717921942305182	0.0185768784209653	0.0026647717178895
"human_pathogens_gastroenteritis"	0.0671344962781976	0.000218213558335758	0	0.0133000831255195	0	0	0	0	0.00624740924971872
"human_gut"	0.0452298426046934	0.00290951411114344	0.00404008604858597	0.0144546042301653	0.00222330676210618	0.00312148832563366	0.00482965670278032	0.0024050422955714	0.00269438029253272
"mammal_gut"	0.0452298426046934	0.00290951411114344	0.00404008604858597	0.0144546042301653	0.00222330676210618	0.00312148832563366	0.00482965670278032	0.0024050422955714	0.00269438029253272
"xylanolysis"	1.4205352576851e-05	0.000436427116671516	0.000209874599926544	0.00157014870231828	0.000488042947779405	0.000374578599076039	0.000587390680067876	0.000331729971802952	0
"cellulolysis"	0	0.000436427116671516	0	0.00152396785813245	0.000379588959383981	0.00018728929953802	0.000195796893355959	8.29324929507381e-05	0
"reductive_acetogenesis"	0	0	0.000157405949944908	0.000923616883716634	5.42269941977116e-05	6.24297665126732e-05	0.000195796893355959	0	2.96085746432167e-05
"human_pathogens_diarrhea"	0.000127848173191659	0.000218213558335758	0	4.61808441858317e-05	0	0	0	8.29324929507381e-05	0
"human_pathogens_pneumonia"	0	0.000218213558335758	0	0	0	0	0	8.29324929507381e-05	0
"human_pathogens_septicemia"	0	0.000218213558335758	0	0	0	0	0	8.29324929507381e-05	0
"ureolysis"	0	0.000218213558335758	0	0	0	0	0	8.29324929507381e-05	0
"fumarate_respiration"	0.00014205352576851	0	0	4.61808441858317e-05	0	0	0	0	0
"nitrate_respiration"	0.00014205352576851	0	0	4.61808441858317e-05	0	0	0	0	0
"nitrogen_respiration"	0.00014205352576851	0	0	4.61808441858317e-05	0	0	0	0	0
"nitrite_ammonification"	0.000127848173191659	0	0	4.61808441858317e-05	0	0	0	0	0
"nitrite_respiration"	0.000127848173191659	0	0	4.61808441858317e-05	0	0	0	0	0
"chitinolysis"	4.26160577305529e-05	0	0	0	0	0	0	0	0
