"Taxa"	"marshmallow24"	"marshmallow37"	"marshmallow41"	"marshmallow44"	"marshmallow49"	"marshmallow53"	"marshmallow60"	"marshmallow70"
"chemoheterotrophy"	0.329698621838558	0.31524066291333	0.288191610902562	0.317438367269086	0.296491307702782	0.331994130799329	0.180100082592431	0.317273376159886
"fermentation"	0.329433590792064	0.303663468400603	0.26309776399543	0.312193028467884	0.292088420861513	0.331679709334824	0.178059563717631	0.304960742326909
"anaerobic_chemoheterotrophy"	0.329433590792064	0.303663468400603	0.263016157989228	0.312193028467884	0.292088420861513	0.331679709334824	0.177986688043531	0.304960742326909
"animal_parasites_or_symbionts"	0.00495986672724519	0.0476171596225517	0.0970295413742452	0.0327118401602213	0.0358585629340475	0.00241056456120738	0.116260992080843	0.0427373304782298
"human_associated"	0.00166590943510526	0.00511458250733487	0.0177901093520483	0.00553144819035811	0.020879669556534	0.000593907210732253	0.0938638682407812	0.00584403997144897
"human_gut"	0.00162804785703468	0.00325112996590278	0.0113024318589848	0.00367173716084116	0.00903272661250057	0.000593907210732253	0.0701306903755527	0.00584403997144897
"mammal_gut"	0.00162804785703468	0.00325112996590278	0.0113024318589848	0.00367173716084116	0.00903272661250057	0.000593907210732253	0.0701306903755527	0.00584403997144897
"human_pathogens_all"	3.7861578070574e-05	0.00289429862818175	0.0102823567814591	0.00271803919698631	0.0178838908810313	3.49357182783678e-05	0.0695719768741194	0
"aerobic_chemoheterotrophy"	0.000265031046494018	0.011577194512727	0.0251754529133344	0.00524533880120166	0.00440288684126912	0.00031442146450531	0.00211339454889958	0.0123126338329764
"nitrate_reduction"	0.000113584734211722	0.00194274839425898	0.00656928349926555	0.00209813552048066	0.0118015523580409	0	0.0254821940436282	0
"human_pathogens_gastroenteritis"	0	0.00154626913012449	0.00546760241553778	0.00138286204758953	0.0100313195043348	0	0.0146237186027304	0
"xylanolysis"	0.000530062092988036	3.96479264134486e-05	0.000244818018606169	0.000429164083734681	0	0.000104807154835103	0.000218627022299956	0.000178443968593862
"reductive_acetogenesis"	0.000265031046494018	0.000158591705653794	0.000122409009303085	0.000286109389156454	0.000408515273932186	0	0.000170043239566633	4.46109921484654e-05
"cellulolysis"	0.000340754202635166	3.96479264134486e-05	4.08030031010282e-05	0.000429164083734681	0	0	0.000145751348199971	0
"plant_pathogen"	0	0	0	0	0	0	0.000704464849633192	0
"fumarate_respiration"	0	0	4.08030031010282e-05	0	0	0	7.28756740999854e-05	0
"human_pathogens_diarrhea"	0	0	4.08030031010282e-05	0	0	0	7.28756740999854e-05	0
"nitrate_respiration"	0	0	4.08030031010282e-05	0	0	0	7.28756740999854e-05	0
"nitrite_ammonification"	0	0	4.08030031010282e-05	0	0	0	7.28756740999854e-05	0
"nitrite_respiration"	0	0	4.08030031010282e-05	0	0	0	7.28756740999854e-05	0
"nitrogen_respiration"	0	0	4.08030031010282e-05	0	0	0	7.28756740999854e-05	0
"respiration_of_sulfur_compounds"	0	0	4.08030031010282e-05	0	0	0	0	0
"sulfite_respiration"	0	0	4.08030031010282e-05	0	0	0	0	0
"thiosulfate_respiration"	0	0	4.08030031010282e-05	0	0	0	0	0
