"Taxa"	"wolverine14"	"wolverine17"	"wolverine37"	"wolverine44"	"wolverine49"	"wolverine57"	"wolverine58"	"wolverine60"	"wolverine70"
"chemoheterotrophy"	0.234476427775228	0.309068476249229	0.302455897613283	0.243643759988377	0.258491164956089	0.16895608192145	0.199118329466357	0.264424272569013	0.275844479709816
"anaerobic_chemoheterotrophy"	0.231460232115927	0.300555212831585	0.296229678312003	0.217831371979273	0.235795153951963	0.166468588485669	0.195962877030162	0.23246704799801	0.244785762865563
"fermentation"	0.231263523703364	0.300555212831585	0.296229678312003	0.217831371979273	0.235795153951963	0.166468588485669	0.195962877030162	0.23246704799801	0.244785762865563
"animal_parasites_or_symbionts"	0.0825519638056521	0.0201110425663171	0.0406087858872363	0.0878492905225435	0.0767643635594117	0.123932450733811	0.102737819025522	0.0673961701069386	0.0681251416912265
"human_associated"	0.068192249688545	0.0198642813078347	0.0190937391905915	0.0668797520461039	0.0547561104645011	0.121085652690639	0.0992575406032483	0.0504227804028849	0.0427907503967354
"nitrate_reduction"	0.000458986295980592	0	0.00214458664821861	0.0506562061116761	0.0342820865516877	0.116469970426467	0.0927610208816705	0.037366326784382	0.00498753117206983
"human_pathogens_all"	0	0	0.00228294707713594	0.0515279190275558	0.0357634112792297	0.117271496089108	0.0932250580046404	0.0297811489679184	0.00181364769893448
"human_gut"	0.068192249688545	0.0198642813078347	0.0168107921134556	0.0162719744297545	0.0206327372764787	0.00467095989607805	0.00645011600928074	0.0239368316339219	0.0413171616413512
"mammal_gut"	0.068192249688545	0.0198642813078347	0.0168107921134556	0.0162719744297545	0.0206327372764787	0.00467095989607805	0.00645011600928074	0.0239368316339219	0.0413171616413512
"aerobic_chemoheterotrophy"	0.00301619565930103	0.00851326341764343	0.00622621930127983	0.0258608165044312	0.0226960110041265	0.00248749343578121	0.00320185614849188	0.0319572245710022	0.031058716844253
"human_pathogens_gastroenteritis"	0	0	0	0.00334156617753886	0.00269812718230875	0.00710317569995301	0.00459396751740139	0.00118129818453121	5.66764905917026e-05
"xylanolysis"	0.0100321290407186	0.000493522516964837	0.000760982359045313	0.0011622838878396	0.0010051846365464	0.00030402697548437	0.000139211136890951	0.00118129818453121	0.0022670596236681
"cellulolysis"	0.0013113894170874	0.000370141887723627	6.91802144586648e-05	0.000193713981306601	0.000476140090995662	2.76388159531246e-05	0	0.000994777418552599	0.000396735434141918
"reductive_acetogenesis"	0.000458986295980592	0.000740283775447255	0.000276720857834659	0.000629570439246453	0.000211617818220294	8.29164478593737e-05	0.000139211136890951	0.00024869435463815	0.000396735434141918
"plant_pathogen"	0	0	0	0	0	0	0	0.00124347177319075	0
"dark_hydrogen_oxidation"	0.000393416825126221	0	0	4.84284953266502e-05	0	0	0	6.21735886595374e-05	5.66764905917026e-05
"nitrate_ammonification"	0	0	0	0	0	0	0	0.000186520765978612	0
"nitrate_respiration"	0	0	0	0	0	0	0	0.000186520765978612	0
"nitrite_ammonification"	0	0	0	0	0	0	0	0.000186520765978612	0
"nitrite_respiration"	0	0	0	0	0	0	0	0.000186520765978612	0
"nitrogen_respiration"	0	0	0	0	0	0	0	0.000186520765978612	0
