"Taxa"	"charles41"	"charles46"	"charles49"	"charles50"	"charles51"	"charles55"	"charles57"
"k__Bacteria|p__Firmicutes|c__Negativicutes"	0.0552929379745022	0.450621695012148	0.203324258489755	0.700929235167977	0.535765379113019	0.542934704957851	0.0854077253218884
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.642887838418565	0.298556524224668	0.046281702249606	0.117369549678342	0.245207439198856	0.250607229604229	0.726466380543634
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0.0104569545910328	0.177504644847792	0.514113769881072	0.104074338813438	0.0547925608011445	0.0117159594227747	0.00586552217453505
"k__Bacteria|p__Firmicutes|c__Clostridia"	0.0584443489471422	0.0601686437044448	0.0692076228686058	0.0588992137240886	0.113304721030043	0.0785826546649521	0.0301859799713877
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0.0584443489471422	0.0100042875518079	0.00243587906576873	0.0150107219442459	0.0317596566523605	0.00957279611373053	0.0964234620886981
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia"	0.169459962756052	0.00100042875518079	0.00358217509671873	0.00114367405289492	0.00586552217453505	0.00700100014287755	0.00257510729613734
"k__Bacteria|p__Firmicutes|c__Bacilli"	0.000286491906603638	0.000142918393597256	0.16033815732913	0.00114367405289492	0.00429184549356223	0.00400057151021575	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	0.00200544334622547	0.00200085751036158	0.000573148015474996	0.00142959256611866	0.00901287553648069	0.095585083583369	0.00429184549356223
"k__Bacteria|p__Actinobacteria|c__Actinomycetia"	0.00272167311273457	0	0.000143287003868749	0	0	0	0.0453505007153076
"k__Bacteria|p__Tenericutes|c__Mollicutes"	0	0	0	0	0	0	0.00343347639484979
