"Taxa"	"ginger14"	"ginger27"	"ginger43"	"ginger46"	"ginger49"	"ginger50"	"ginger52"	"ginger55"	"ginger66"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.582332761578045	0.366857142857143	0.0423401516235159	0.217124070897656	0.402257787939411	0.375142857142857	0.281468781254465	0.346819156540386	0.0343102215868477
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0.0784734133790738	0.111428571428571	0.0530682305821771	0.289165237278445	0.363532437839383	0.275285714285714	0.227032433204744	0.203002144388849	0.0258756254467477
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"	0.0710405946255003	0.266714285714286	0.0308968674009441	0.116781017724414	0.0885967419262646	0.162285714285714	0.192741820260037	0.158541815582559	0.0408863473909936
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"	0.0354488279016581	0.0634285714285714	0.216707194964955	0.063893653516295	0.0412975135753072	0.0511428571428571	0.0915845120731533	0.0629020729092209	0.485918513223731
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium"	0.0546026300743282	0.0732857142857143	0.0207409526534115	0.0727558604917096	0.0504429837096313	0.0524285714285714	0.0948706958136877	0.0727662616154396	0.0215868477483917
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium"	0	0	0.293091117150622	0	0	0	0	0	0.0613295210864903
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides"	0.0120068610634648	0.022	0.124016592762123	0.0563178959405375	0.00971706201771935	0.0171428571428571	0.0230032861837405	0.0301644031451036	0.052180128663331
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"	0.0328759291023442	0.0321428571428571	0.022171363181233	0.072041166380789	0.00928836810517291	0.0141428571428571	0.0257179597085298	0.0324517512508935	0.0897784131522516
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella"	0.0277301315037164	0.0171428571428571	0.0649406379630954	0.0484562607204117	0.00528722492140612	0.0122857142857143	0.0231461637376768	0.0144388849177984	0.0285918513223731
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus"	0.000571755288736421	0.00571428571428571	0.0314690316120727	0.00686106346483705	0.000285795941697628	0.000857142857142857	0.00371481640234319	0.00171551107934239	0.086204431736955
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia"	0.0260148656375071	0.00642857142857143	0.00314690316120727	0.0152944539736993	0.00371534724206916	0.013	0.00542934704957851	0.0115796997855611	0.00285918513223731
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella"	0.00185820468839337	0.00128571428571429	0.0427692747818624	0.00257289879931389	0.00457273506716205	0.00314285714285714	0.0024289184169167	0.0118656182987848	0.00786275911365261
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides"	0.00157232704402516	0.00228571428571429	0.0148762694893434	0.0111492281303602	0.00285795941697628	0.00342857142857143	0.00385769395627947	0.00671908506075768	0.0181558255897069
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium"	0.0305889079473985	0.003	0	0.000142938822184105	0	0	0	0	0.0184417441029307
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Wansuia"	0.00528873642081189	0.008	0.00157345158060363	0.00614636935391652	0.00157187767933695	0.00328571428571429	0.00385769395627947	0.00686204431736955	0.00243030736240172
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas"	0.00871926815323042	0.00957142857142857	0.000572164211128594	0.00185820468839337	0.000571591883395256	0.00128571428571429	0.00257179597085298	0.00600428877769836	0.00171551107934239
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster"	0.0028587764436821	0.00242857142857143	0.000429123158346445	0.00743281875357347	0.00257216347527865	0.00342857142857143	0.00757251035862266	0.00443173695496783	0.000428877769835597
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella"	0	0.000142857142857143	0.0140180231726506	0.000571755288736421	0.000142897970848814	0.000428571428571429	0.00085726532361766	0.000571837026447462	0.00586132952108649
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Bilifractor"	0.00485991995425958	0.00142857142857143	0.000429123158346445	0.000428816466552316	0.00214346956273221	0.00171428571428571	0.00214316330904415	0.00385989992852037	0.000142959256611866
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum"	0	0.000571428571428571	0.0047203547418109	0.00185820468839337	0.000571591883395256	0.001	0.00214316330904415	0.00100071479628306	0.00185847033595425
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora"	0.00614636935391652	0.00142857142857143	0.000143041052782148	0.000857632933104631	0.000285795941697628	0.000428571428571429	0.00042863266180883	0.00185847033595425	0.000428877769835597
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium"	0.00457404230989137	0.001	0.000429123158346445	0.000571755288736421	0.000428693912546442	0.001	0.00042863266180883	0.00142959256611866	0.00114367405289492
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium"	0.00257289879931389	0.000714285714285714	0.000572164211128594	0.00142938822184105	0.00071448985424407	0.00128571428571429	0.00142877553936277	0.00185847033595425	0.000285918513223731
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Parolsenella"	0.000142938822184105	0.000142857142857143	0.00414819053068231	0.000428816466552316	0.00071448985424407	0.000428571428571429	0.00042863266180883	0.000714796283059328	0.00128663330950679
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus"	0	0.000142857142857143	0.00371906737233586	0.00028587764436821	0.0010002857959417	0.000428571428571429	0.000285755107872553	0.000714796283059328	0.00128663330950679
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Waltera"	0.00142938822184105	0.000571428571428571	0.000429123158346445	0.000857632933104631	0.000285795941697628	0.000857142857142857	0.000285755107872553	0.00100071479628306	0.000571837026447462
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Porcincola"	0.000857632933104631	0.000285714285714286	0.000143041052782148	0.000428816466552316	0.00114318376679051	0.000714285714285714	0.000142877553936277	0.00200142959256612	0.000285918513223731
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella"	0	0.000142857142857143	0.00200257473895008	0.000714694110920526	0.000428693912546442	0.000571428571428571	0.00042863266180883	0.000428877769835597	0.00114367405289492
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Butyrivibrio"	0.00114351057747284	0.000142857142857143	0.000572164211128594	0	0.00071448985424407	0	0.00042863266180883	0.00200142959256612	0.000571837026447462
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Thermophilibacter"	0	0.000142857142857143	0.00300386210842512	0.00028587764436821	0.000285795941697628	0.000142857142857143	0	0.000142959256611866	0.000714796283059328
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Colibacter"	0.000571755288736421	0	0.000286082105564297	0.000142938822184105	0.00128608173763933	0.000285714285714286	0.000285755107872553	0.00142959256611866	0.000142959256611866
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Marvinbryantia"	0.000571755288736421	0.000428571428571429	0.000429123158346445	0.000428816466552316	0.000285795941697628	0.000428571428571429	0	0.000428877769835597	0.000428877769835597
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus"	0.00028587764436821	0.000142857142857143	0	0.00028587764436821	0.000428693912546442	0.000142857142857143	0.000142877553936277	0.00142959256611866	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella"	0.000428816466552316	0	0.000286082105564297	0.000142938822184105	0.000142897970848814	0.000428571428571429	0.000142877553936277	0	0.000857755539671194
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Kineothrix"	0.000142938822184105	0.000285714285714286	0	0.000428816466552316	0.000142897970848814	0.000285714285714286	0.000285755107872553	0.000571837026447462	0.000142959256611866
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerocolumna"	0.00028587764436821	0.000142857142857143	0	0.000142938822184105	0.000571591883395256	0.000142857142857143	0	0.000714796283059328	0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Caecibacter"	0.00028587764436821	0	0	0.000428816466552316	0.000571591883395256	0	0.000142877553936277	0.000428877769835597	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter"	0	0.000142857142857143	0	0	0	0	0	0	0.00157255182273052
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia"	0.000142938822184105	0	0.000143041052782148	0	0.000142897970848814	0.000285714285714286	0.000285755107872553	0	0.000714796283059328
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Hungatella"	0.000428816466552316	0	0	0.000142938822184105	0	0.000285714285714286	0	0.000571837026447462	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Qiania"	0.00028587764436821	0	0	0.00028587764436821	0.000142897970848814	0	0	0.000571837026447462	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Hominisplanchenecus"	0.000428816466552316	0.000142857142857143	0.000143041052782148	0	0.000142897970848814	0	0	0.000285918513223731	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia"	0.00028587764436821	0	0	0	0	0	0	0.000714796283059328	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalicatena"	0.000142938822184105	0	0.000143041052782148	0.000142938822184105	0	0	0	0.000428877769835597	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella"	0	0	0	0	0	0	0	0.000857755539671194	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Gluceribacter"	0.000142938822184105	0	0	0.00028587764436821	0.000142897970848814	0	0	0.000285918513223731	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella"	0	0	0.000286082105564297	0	0	0	0	0	0.000428877769835597
