"Taxa"	"grogu22"	"grogu36"	"grogu37"	"grogu41"	"grogu45"	"grogu50"	"grogu56"	"grogu70"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae"	0.803285714285714	0.752428571428571	0.894714285714286	0.738316421323424	0.202372445333714	0.667285714285714	0.786285714285714	0.731961708815545
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0.101428571428571	0.052	0.0391428571428571	0.0507360297270259	0.0786051164784908	0.130428571428571	0.0761428571428571	0.109015573653379
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.0145714285714286	0.00685714285714286	0.00257142857142857	0.00914677719022438	0.308274974989281	0.058	0.0257142857142857	0.011858836976711
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	0.0335714285714286	0.104714285714286	0.0125714285714286	0.0790338716592826	0.0162926968700872	0.00928571428571429	0.0398571428571429	0.0582940420060009
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.0122857142857143	0.00871428571428571	0.00957142857142857	0.0124339002429613	0.218950978990996	0.0657142857142857	0.0142857142857143	0.0111444492070296
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae"	0.0221428571428571	0.0164285714285714	0.0248571428571429	0.0180077175932543	0.0587394597684722	0.047	0.032	0.0154307758251179
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.006	0.0287142857142857	0.00757142857142857	0.0350150064313277	0.0278690867514649	0.00785714285714286	0.009	0.0135733676239463
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae"	0.00228571428571429	0.00557142857142857	0.00328571428571429	0.00771759325425182	0.0328712305273689	0.00585714285714286	0.00671428571428571	0.00328618374053436
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0.00114285714285714	0.0102857142857143	0.00228571428571429	0.0224381877947692	0.00800343004144633	0.00157142857142857	0.00157142857142857	0.017573939134162
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae"	0.000142857142857143	0.00185714285714286	0.000285714285714286	0.00214377590395884	0.0331570673145634	0.000285714285714286	0.003	0.000571510215745106
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae"	0.00114285714285714	0.00142857142857143	0.00271428571428571	0.00371587823352866	0.00528798056309847	0.00571428571428571	0.00342857142857143	0.00885840834404915
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae"	0	0.008	0	0.017864799199657	0.000142918393597256	0.000142857142857143	0	0.00228604086298043
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae"	0.000142857142857143	0	0	0	0.0035729598399314	0	0	0.0148592656093728
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae"	0.00157142857142857	0.00228571428571429	0.000142857142857143	0.00257253108475061	0.000142918393597256	0.000285714285714286	0.001	0.00042863266180883
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae"	0	0.000142857142857143	0	0.000285836787194512	0.0022866942975561	0	0.000285714285714286	0.000142877553936277
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae"	0.000142857142857143	0.000571428571428571	0.000142857142857143	0.000428755180791768	0.00071459196798628	0.000428571428571429	0.000142857142857143	0.000142877553936277
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae"	0	0	0	0	0.00171502072316707	0	0	0.000285755107872553
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae"	0.000142857142857143	0	0.000142857142857143	0.000142918393597256	0.000571673574389024	0.000142857142857143	0.000571428571428571	0.000285755107872553
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae"	0	0	0	0	0.000285836787194512	0	0	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae"	0	0	0	0	0.000142918393597256	0	0	0
