"Taxa"	"hamlet11"	"hamlet17"	"hamlet22"	"hamlet25"	"hamlet31"	"hamlet41"	"hamlet59"	"hamlet67"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	0.134200371587823	0.196571428571429	0.0401945358317837	0.225746535219317	0.118639222412807	0.112525021446955	0.184454922131733	0.509231429798197
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.255252250964699	0.139571428571429	0.0839650979831212	0.163880554364909	0.352058319039451	0.24435230197312	0.204172024574939	0.0177472448833548
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0.0717450335858225	0.197571428571429	0.0450579316263768	0.344620660094299	0.141938250428816	0.199599656848727	0.163166166595228	0.0563904393874338
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae"	0.0854651993711591	0.108142857142857	0.0532112716349592	0.0947278182597514	0.113207547169811	0.2133257077495	0.15502214602086	0.0409331615858022
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae"	0.00471630698870945	0.000285714285714286	0.702617651265913	0.000142877553936277	0.0257289879931389	0.0427509293680297	0.0608658379768538	0.0034349506225848
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.0174360440188652	0.152857142857143	0.0263195537119153	0.0758679811401629	0.11349342481418	0.0483271375464684	0.0765823689098443	0.0333476456275941
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae"	0.38073460054309	0.000142857142857143	0.000715205263910742	0.00371481640234319	0.00128644939965695	0.0121532742350586	0.020145735105015	0.0011449835408616
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.00671716449907103	0.0847142857142857	0.0174510084394221	0.031004429204172	0.0450257289879931	0.0271661424077781	0.0532933276182312	0.142264204952054
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0.00700300128626554	0.0277142857142857	0.00457731368902875	0.0114302043149021	0.024442538593482	0.0231627108950529	0.0105729389912845	0.0704164877629884
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae"	0.00471630698870945	0.0145714285714286	0.00557860105850379	0.00971567366766681	0.021726700971984	0.00700600514726909	0.0165737962566081	0.0426506368970946
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae"	0.00443047020151493	0.0114285714285714	0.00200257473895008	0.0214316330904415	0.0157232704402516	0.0327423505862168	0.00542934704957851	0.0037211965078002
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae"	0.0165785336572817	0.0114285714285714	0.00171649263338578	0.00714387769681383	0.00943396226415094	0.0213039748355733	0.0130018574082012	0.0058680406469157
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae"	0	0.0402857142857143	0	0	0	0	0	0.0339201373980249
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae"	0.00343004144633414	0.00428571428571429	0.0114432842225719	0.00142877553936277	0.00428816466552316	0.0020017157563626	0.0164309187026718	0.0210390725633319
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae"	0.00585965413748749	0.00142857142857143	0.00228865684451438	0.00214316330904415	0.00414522584333905	0.00929368029739777	0.0105729389912845	0.0045799341634464
