"Taxa"	"hamlet11"	"hamlet17"	"hamlet22"	"hamlet25"	"hamlet31"	"hamlet41"	"hamlet59"	"hamlet67"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.255252250964699	0.139571428571429	0.0839650979831212	0.163880554364909	0.352058319039451	0.24435230197312	0.204172024574939	0.0177472448833548
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"	0.116621409175361	0.167857142857143	0.0334716063510227	0.2087441063009	0.101915380217267	0.0977981126680011	0.147878268324046	0.425504508372692
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"	0.0717450335858225	0.197571428571429	0.0450579316263768	0.344620660094299	0.141938250428816	0.199599656848727	0.163166166595228	0.0563904393874338
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella"	0.00242961269115335	0.000285714285714286	0.660134458589615	0.000142877553936277	0.00771869639794168	0.010008578781813	0.0267181025860837	0.0012881064834693
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0.0151493497213091	0.149714285714286	0.0248891431840938	0.073867695385055	0.108919382504288	0.0454675436088076	0.0747249607086727	0.0327751538571633
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium"	0.38073460054309	0.000142857142857143	0.000715205263910742	0.00371481640234319	0.00128644939965695	0.0121532742350586	0.020145735105015	0.0011449835408616
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium"	0.022866942975561	0.0478571428571429	0.0185953368616793	0.0557222460351479	0.0395940537449971	0.124106376894481	0.0701528789827118	0.0207528266781165
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia"	0.00500214377590396	0.0717142857142857	0.0120154484337005	0.0218602657522503	0.0303030303030303	0.0170145839290821	0.0452921845977997	0.121654501216545
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides"	0.0175789624124625	0.0272857142857143	0.00672292948076098	0.0170024289184169	0.0165809033733562	0.0145839290820703	0.0365766538076868	0.0825819378846429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia"	0.0148635129341146	0.0197142857142857	0.0151623515949077	0.00728675525075011	0.0227272727272727	0.0158707463540177	0.0262894699242749	0.0052955488764849
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides"	0.00471630698870945	0.0145714285714286	0.00557860105850379	0.00971567366766681	0.021726700971984	0.00700600514726909	0.0165737962566081	0.0426506368970946
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus"	0.00114334714877805	0.022	0.00214561579173223	0.00385769395627947	0.00714694110920526	0.00957963969116385	0.0024289184169167	0.0612566194360956
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia"	0.0022866942975561	0	0.0424831926762981	0	0.00142938822184105	0.0240205890763512	0.0332904700671525	0.0021468441391155
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas"	0.00443047020151493	0.0114285714285714	0.00200257473895008	0.0214316330904415	0.0157232704402516	0.0325993708893337	0.00528646949564223	0.0035780735651925
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter"	0.0214377590395884	0.00985714285714286	0.00686597053354313	0.0018574082011716	0.0234419668381933	0.00829282241921647	0.0170024289184169	0.0008587376556462
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium"	0	0.0402857142857143	0	0	0	0	0	0.0339201373980249
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella"	0.00585965413748749	0.00571428571428571	0.00243169789729652	0.00757251035862266	0.0172955974842767	0.013583071203889	0.00814402057436777	0.0091598683268928
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium"	0.0137201657853366	0.009	0.00128736947503934	0.00628661237319617	0.00743281875357347	0.0161567057477838	0.0104300614373482	0.0050093029912695
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella"	0.00343004144633414	0.00428571428571429	0.0114432842225719	0.00142877553936277	0.00428816466552316	0.0020017157563626	0.0164309187026718	0.0210390725633319
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"	0.0012862655423753	0.00957142857142857	0.00457731368902875	0.00257179597085298	0.0128644939965695	0.0087217615098656	0.00728675525075011	0.0161728925146701
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Wansuia"	0.00514506216950121	0.00542857142857143	0.00257473895007867	0.00828689812830404	0.00485991995425958	0.013440091507006	0.0121445920845835	0.0035780735651925
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora"	0.0104330427325997	0.00728571428571429	0.00185953368616793	0.00757251035862266	0.00343053173241852	0.00915070060051473	0.00700100014287755	0.0030055817947617
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster"	0.00571673574389024	0.00528571428571429	0.00185953368616793	0.00528646949564223	0.00686106346483705	0.0108664569631112	0.00471495927989713	0.0024330900243309
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Flavonifractor"	0.00500214377590396	0.00142857142857143	0.00171649263338578	0.00200028575510787	0.00214408233276158	0.00757792393480126	0.00985855122160309	0.0041505653356233
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Bilifractor"	0.00142918393597256	0.003	0.00257473895007867	0.00400057151021575	0.00328759291023442	0.00800686302545039	0.00628661237319617	0.0012881064834693
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter"	0	0	0	0	0.0165809033733562	0.0087217615098656	0.00085726532361766	0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella"	0.0022866942975561	0.00271428571428571	0.00128736947503934	0.0018574082011716	0.00400228702115495	0.00228767515012868	0.0018574082011716	0.0004293688278231
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalicatena"	0.00142918393597256	0.00228571428571429	0.000858246316692891	0.00042863266180883	0.00185820468839337	0.00285959393766085	0.00557222460351479	0.0004293688278231
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella"	0.000428755180791768	0.00271428571428571	0.000286082105564297	0.00642948992713245	0.000428816466552316	0.00057191878753217	0.000571510215745106	0.0030055817947617
