"Taxa"	"henry29"	"henry36"	"henry42"	"henry48"	"henry59"	"henry66"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.243606229461352	0.205403087478559	0.216378447906246	0.12201743106158	0.224714285714286	0.481783111873125
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.256179454207744	0.177958833619211	0.263398599399743	0.17345335047864	0.248285714285714	0.0727246749535648
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0.157736819545649	0.290594625500286	0.125625267971988	0.196885269324189	0.192	0.122874696385198
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.0710101443063295	0.111921097770154	0.201514934972131	0.254750678668381	0.253142857142857	0.0657236748106872
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.0921560222888984	0.141509433962264	0.101472059454052	0.18188312616088	0.0281428571428571	0.100728675525075
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.0325760822974711	0.0180102915951973	0.0498785193654423	0.00871553079011287	0.0334285714285714	0.0302900414344906
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0.0350050007143878	0.00328759291023442	0.0188652279548378	0.0494356336619517	0.000857142857142857	0.0618659808544078
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0.100728675525075	0.0154373927958834	0.00571673574389024	0.0018574082011716	0.00357142857142857	0.00171453064723532
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0.00471495927989713	0.0237278444825615	0.0135772473917393	0.00142877553936277	0.00785714285714286	0.0324332047435348
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.00457208172596085	0.0117209834190966	0.00200085751036158	0.0042863266180883	0.005	0.00457208172596085
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales"	0	0	0	0	0	0.0177168166880983
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0.00114302043149021	0.000428816466552316	0.00100042875518079	0.00442920417202458	0.00257142857142857	0.00585797971138734
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales"	0.00042863266180883	0	0	0.00085726532361766	0.000428571428571429	0.00142877553936277
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales"	0.000142877553936277	0	0.000142918393597256	0	0	0.000142877553936277
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0	0	0.000142918393597256	0	0	0.000142877553936277
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales"	0	0	0.000142918393597256	0	0	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales"	0	0	0.000142918393597256	0	0	0
