"Taxa"	"hera11"	"hera14"	"hera17"	"hera24"	"hera44"	"hera45"	"hera58"	"hera67"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola plebeius"	0.047448906674289	0.0820468839336764	0.153262736119061	0.149857142857143	0.311927917620137	0.178882697528218	0.283202287348106	0.0122874696385198
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis"	0.348292125196513	0.368782161234991	0.0115912993703492	0.136	0.0288901601830664	0.0555793684812116	0.0114367405289492	0.24674953564795
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium wakonense"	0.0724596255538088	0.151086335048599	0.0299084144247281	0.241142857142857	0.0356121281464531	0.139591370195742	0.0307362401715511	0.137305329332762
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia|s__Prevotellamassilia timonensis"	0.00400171502072317	0.0115780445969125	0.300944476244991	0.0312857142857143	0.159610983981693	0.0434347763966281	0.251036454610436	0.00442920417202458
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas hypermegale"	0.0618836644276118	0.0618925100057176	0.00872925014310246	0.0264285714285714	0.0205949656750572	0.0441491641663095	0.00743388134381701	0.175596513787684
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola vulgatus"	0.0141489209661283	0.0152944539736993	0.0184602175157413	0.0174285714285714	0.0655034324942792	0.0757251035862266	0.0520371694067191	0.00128589798542649
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera elsdenii"	0.0132914106045448	0.0170097198399085	0.0133085289066972	0.0622857142857143	0.00500572082379863	0.028432633233319	0.0050035739814153	0.0814402057436777
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus|s__Duodenibacillus massiliensis"	0.00171502072316707	0.00443110348770726	0.0794218660560962	0.00114285714285714	0.0655034324942792	0.00585797971138734	0.0328806290207291	0.00128589798542649
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola sartorii"	0.00443047020151493	0.0105774728416238	0.0396393817973669	0.0567142857142857	0.0154462242562929	0.0397199599942849	0.0151536812008578	0.00457208172596085
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium sinus"	0.0181506359868515	0.0187249857061178	0.00500858614768174	0.04	0.011012585812357	0.0265752250321474	0.00829163688348821	0.0182883269038434
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides mediterraneensis"	0.00142918393597256	0.00343053173241852	0.0548082427017745	0.0112857142857143	0.0203089244851259	0.0128589798542649	0.021300929235168	0.0018574082011716
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium parvum"	0.0242961269115335	0.0201543739279588	0.00143102461362335	0.0231428571428571	0.00386155606407323	0.0191455922274611	0.00371694067190851	0.01343049007001
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium mortiferum"	0.0538802343861655	0.0237278444825615	0	0.00157142857142857	0.00943935926773455	0.00985855122160309	0.00257326661901358	0.000285755107872553
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera paucivorans"	0.00771759325425182	0.00700400228702115	0.00228963938179737	0.0122857142857143	0.0005720823798627	0.0127161023003286	0.000857755539671194	0.0515787969709959
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium aesculapii"	0	0	0.0499427590154551	0	0.0102974828375286	0	0.0225875625446748	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides distasonis"	0.00214377590395884	0.0028587764436821	0.0107326846021752	0.00914285714285714	0.0151601830663616	0.0125732247463923	0.0288777698355969	0.000714387769681383
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas rupellensis"	0.0272974131770759	0.0238707833047456	0.00300515168860904	0.00142857142857143	0.00429061784897025	0.00285755107872553	0.00128663330950679	0.0138591227318188
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella tanakaei"	0.00271544947834786	0.00128644939965695	0.0103033772180882	0.012	0.00929633867276888	0.0260037148164023	0.00857755539671194	0.00742963280468638
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera indica"	0.00443047020151493	0.00643224699828473	0	0.0135714285714286	0	0.00814402057436777	0	0.0440062866123732
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus gnavus"	0.0325853937401744	0.00943396226415094	0.00343445907269605	0.011	0.00157322654462243	0.00342906129447064	0.00157255182273052	0.010858694099157
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia glucerasea"	0.0215806774331857	0.0100057175528874	0.00372066399542072	0.016	0.00314645308924485	0.00357193884840692	0.00114367405289492	0.0122874696385198
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella faecalis"	0.00071459196798628	0.00100057175528874	0.0145964510589582	0.00185714285714286	0.0154462242562929	0.00128589798542649	0.0324517512508935	0.00042863266180883
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella seckii"	0.0035729598399314	0.0152944539736993	0.0048654836863194	0.009	0.0121567505720824	0.00800114302043149	0.0101501072194425	0.00214316330904415
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera massiliensis"	0.00471630698870945	0.00443110348770726	0.00257584430452204	0.0215714285714286	0.00100114416475973	0.00800114302043149	0.00100071479628306	0.0204314902128876
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides salyersiae"	0.0022866942975561	0.00128644939965695	0.000143102461362335	0.000428571428571429	0.0250286041189931	0.0212887555365052	0.00514653323802716	0.00042863266180883
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella intestinalis"	0.00171502072316707	0.000571755288736421	0.00357756153405839	0.00328571428571429	0.00872425629290618	0.0234319188455494	0.00343102215868477	0.0112873267609659
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella flexneri"	0.0315849649849936	0.00185820468839337	0.000286204922724671	0.000428571428571429	0.0005720823798627	0.000714387769681383	0.014867762687634	0
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium perfoetens"	0.0270115763898814	0.0130074328187536	0	0.000428571428571429	0.0022883295194508	0.00514359194170596	0.000857755539671194	0.000285755107872553
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides uniformis"	0.00171502072316707	0.00128644939965695	0.00457927876359473	0.00257142857142857	0.0138729977116705	0.0121445920845835	0.0104360257326662	0.00085726532361766
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides merdae"	0.00100042875518079	0.000857632933104631	0.0113050944476245	0.00442857142857143	0.00715102974828375	0.00685812258894128	0.0125804145818442	0.00285755107872553
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia fergusonii"	0.0305845362298128	0.00142938822184105	0.000143102461362335	0	0.0011441647597254	0.00342906129447064	0.009578270192995	0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera stantonii"	0.00285836787194512	0.00214408233276158	0.00515168860904408	0.00828571428571429	0.00157322654462243	0.00457208172596085	0.00228734810578985	0.0174310615802257
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium porci"	0.0104330427325997	0.00443110348770726	0.00114481969089868	0.00528571428571429	0.00243135011441648	0.00700100014287755	0.00142959256611866	0.00971567366766681
