"Taxa"	"iris16"	"iris17"	"iris22"	"iris36"	"iris44"	"iris46"	"iris59"	"iris60"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.265799256505576	0.231099042446763	0.428775539362766	0.0695179516521242	0.275171624713959	0.184443808979125	0.100857142857143	0.0443490701001431
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"	0.0799256505576208	0.219236815778191	0.114159165595085	0.0161636389643828	0.115846681922197	0.163711752931084	0.238571428571429	0.178826895565093
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0.0956534172147555	0.14477633271402	0.173167595370767	0.0236017737090545	0.105692219679634	0.103660280240206	0.147428571428571	0.0792560801144492
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"	0.0767800972261939	0.0833214234672002	0.0768681240177168	0.0497782863681877	0.104977116704805	0.10995138690306	0.128571428571429	0.148783977110157
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"	0.053760366028024	0.0465913963127054	0.0551507358194028	0.100986983264197	0.0670766590389016	0.0826422647983986	0.072	0.106723891273247
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides"	0.0516156705747784	0.0264399028154924	0.0291470210030004	0.087684165355457	0.0729405034324943	0.10151558478696	0.0458571428571429	0.123032904148784
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides"	0.134257935373177	0.0580248678004859	0.0151450207172453	0.0493491632098412	0.0430491990846682	0.0464684014869888	0.0235714285714286	0.102288984263233
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium"	0.0361738633114098	0.0563098470773188	0.0352907558222603	0.00801029895580031	0.0489130434782609	0.0581927366313983	0.101	0.0525035765379113
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus"	0.00915070060051473	0.00328712305273689	0.000714387769681383	0.311257330853955	0.00314645308924485	0.00414641120960824	0.011	0.00915593705293276
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium"	0.0213039748355733	0	0	0.133457302245745	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella"	0.00543322848155562	0.000428755180791768	0.00214316330904415	0.0832498927192104	0.00614988558352403	0.00128681727194738	0.00357142857142857	0.00271816881258941
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella"	0.00843580211609951	0.00428755180791768	0.00442920417202458	0.0185953368616793	0.0200228832951945	0.0162996854446669	0.0192857142857143	0.0135908440629471
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium"	0.0130111524163569	0.00271544947834786	0.0122874696385198	0.0184522958088972	0.0284610983981693	0.0178724621103803	0.00471428571428571	0.00243204577968526
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia"	0.0271661424077781	0.0125768186365585	0.00885840834404915	0.00214561579173223	0.0201659038901602	0.00543322848155562	0.00528571428571429	0.00715307582260372
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Wansuia"	0.0107234772662282	0.0222952694011719	0.00842977568224032	0.000858246316692891	0.0121567505720824	0.00943665999428081	0.0124285714285714	0.011444921316166
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium"	0.0111524163568773	0.0101472059454052	0.00300042863266181	0.00300386210842512	0.00929633867276888	0.00686302545038605	0.0185714285714286	0.0200286123032904
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora"	0.0220188733199886	0.0188652279548378	0.00171453064723532	0.000286082105564297	0.00643592677345538	0.00343151272519302	0.00885714285714286	0.0120171673819742
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster"	0.00714898484415213	0.00757467486065457	0.00157165309329904	0.000429123158346445	0.00843821510297483	0.0057191878753217	0.012	0.0208869814020029
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas"	0.00557620817843866	0.00914677719022438	0.00471495927989713	0.00128736947503934	0.0062929061784897	0.00714898484415213	0.00742857142857143	0.00643776824034335
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella"	0.00457535030025736	0.00971845076461341	0.00357193884840692	0.00371906737233586	0.00300343249427918	0.00714898484415213	0.00514285714285714	0.00686695278969957
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalicatena"	0.0114383757506434	0.00514506216950121	0.0018574082011716	0	0.00600686498855835	0.0020017157563626	0.00171428571428571	0.00286123032904149
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella"	0	0.000142918393597256	0	0.000143041052782148	0	0.0287389190734916	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Flavonifractor"	0.00285959393766085	0.00200085751036158	0.00042863266180883	0.000858246316692891	0.00257437070938215	0.00185873605947955	0.00614285714285714	0.00972818311874106
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella"	0.0130111524163569	0.00471630698870945	0.00171453064723532	0.000429123158346445	0.0011441647597254	0.000714898484415213	0.000428571428571429	0.000858369098712446
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Colibacter"	0.00328853302830998	0.00185793911676433	0.00371481640234319	0.000143041052782148	0.00371853546910755	0.00314555333142694	0.00242857142857143	0.00314735336194564
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum"	0.00171575636259651	0.00100042875518079	0.00128589798542649	0.000858246316692891	0.0034324942791762	0.00300257363454389	0.00114285714285714	0.00443490701001431
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium"	0.00314555333142694	0.00214377590395884	0.00042863266180883	0.000143041052782148	0.00371853546910755	0.00128681727194738	0.00228571428571429	0.00357653791130186
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Bilifractor"	0.00114383757506434	0.00214377590395884	0.00200028575510787	0.000286082105564297	0.0011441647597254	0.00328853302830998	0.00328571428571429	0.00243204577968526
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Butyricicoccus"	0.00228767515012868	0.0022866942975561	0.00171453064723532	0	0.00143020594965675	0.00171575636259651	0.00314285714285714	0.00286123032904149
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Butyrivibrio"	0.00214469545324564	0.000857510361583536	0.00100014287755394	0.000429123158346445	0.00243135011441648	0.00128681727194738	0.00471428571428571	0.00214592274678112
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Waltera"	0.00114383757506434	0.00200085751036158	0.00142877553936277	0.000143041052782148	0.00157322654462243	0.0020017157563626	0.00185714285714286	0.00214592274678112
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter"	0.00328853302830998	0.00171502072316707	0.000285755107872553	0.000715205263910742	0.0005720823798627	0.0020017157563626	0.00157142857142857	0.00200286123032904
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales|f__Anaeroplasmataceae|g__Asteroleplasma"	0.000142979696883043	0.000142918393597256	0	0.00328994421398942	0.00314645308924485	0.00057191878753217	0.000571428571428571	0.000858369098712446
