"Taxa"	"jarjarbinks14"	"jarjarbinks15"	"jarjarbinks21"	"jarjarbinks29"	"jarjarbinks32"	"jarjarbinks44"	"jarjarbinks49"	"jarjarbinks68"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae"	0.211752931083786	0.29039176436946	0.0798571428571429	0.126428571428571	0.138813438170122	0.0273521409136474	0.27999427999428	0.128271128271128
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0.212181870174435	0.143408635973692	0.168285714285714	0.163142857142857	0.163259471050751	0.0325075182586281	0.173173173173173	0.151294151294151
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.144695453245639	0.262367743780383	0.126142857142857	0.262428571428571	0.114081486776269	0.0283545753973937	0.0932360932360932	0.165451165451165
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.0308836145267372	0.0397483557334858	0.319857142857143	0.108142857142857	0.146819156540386	0.00959473005871402	0.168740168740169	0.148863148863149
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	0.218329997140406	0.116385473262797	0.0692857142857143	0.0444285714285714	0.043602573266619	0.286409852498926	0.0469040469040469	0.0530530530530531
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae"	0.013297111810123	0.0230197311981699	0.0237142857142857	0.07	0.15096497498213	0.267936417012745	0.0407550407550408	0.0531960531960532
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.0308836145267372	0.0210180154418073	0.0854285714285714	0.0501428571428571	0.0824874910650465	0.108119719318345	0.0820820820820821	0.0965250965250965
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae"	0.006720045753503	0.00814984272233343	0.0768571428571429	0.125857142857143	0.0890636168691923	0.00329371330373765	0.0361790361790362	0.0679250679250679
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae"	0.0263082642264798	0.0148698884758364	0.0254285714285714	0.0215714285714286	0.0240171551107934	0.0336531576686238	0.0346060346060346	0.026026026026026
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0.00843580211609951	0.00729196454103517	0.013	0.0164285714285714	0.0240171551107934	0.0693111843047401	0.023023023023023	0.0286000286000286
