"Taxa"	"joans14"	"joans21"	"joans29"	"joans41"	"joans44"	"joans49"	"joans51"	"joans56"	"joans57"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.0458794764849705	0.409142857142857	0.243923362882471	0.108011444921316	0.149735676525218	0.133876268038291	0.0856448384329425	0.336620926243568	0.123
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"	0	0.121428571428571	0.236917357735202	0.236766809728183	0.223603371910273	0.249607086726675	0.179296539891335	0.207118353344768	0.0518571428571429
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum"	0.0283330936286495	0.236285714285714	0.276093794681155	0.0565092989985694	0.204600657236748	0.0585797971138734	0.0481841578495854	0.01357918810749	0.344571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"	0	0.117857142857143	0.0557620817843866	0.0600858369098712	0.198742677525361	0.252036005143592	0.359164998570203	0.142224128073185	0.0277142857142857
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella"	0.546382856321012	0.000285714285714286	0	0.0402002861230329	0	0.000142877553936277	0	0	0.266
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0	0	0.0494709751215327	0.153218884120172	0.0561508786969567	0.118016859551364	0.0554761223906205	0.082904516866781	0.0688571428571429
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia"	0.316554005465267	0.000142857142857143	0	0.02689556509299	0	0	0	0	0.00657142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium"	0	0.00642857142857143	0.0390334572490706	0.11931330472103	0.0381483069009859	0.0265752250321474	0.0215899342293394	0.0430245854774157	0.0211428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"	0.000287645620595426	0.0131428571428571	0.0187303402916786	0.0145922746781116	0.0307186740962995	0.0200028575510787	0.0754932799542465	0.0194396798170383	0.0147142857142857
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas"	0	0.00514285714285714	0.00557620817843866	0.00228898426323319	0.00928704100585798	0.0464352050292899	0.0314555333142694	0.0541738136077759	0.0148571428571429
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella"	0.0021573421544657	0.026	0.0118673148412925	0.0400572246065808	0.0181454493499071	0.0147163880554365	0.00857878181298256	0.0181532304173814	0.00742857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia"	0	0	0.00214469545324564	0.00457796852646638	0.0142877553936277	0.0131447349621374	0.0367457820989419	0.0191538021726701	0.00914285714285714
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinivibrio"	0	0.00128571428571429	0.000857878181298256	0.000572246065808298	0.00828689812830404	0.0241463066152307	0.0340291678581641	0.0182961692395655	0.00542857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia"	0	0.0227142857142857	0.0104375178724621	0.00972818311874106	0.0024289184169167	0.00285755107872553	0.00243065484701172	0.00657518582046884	0.0104285714285714
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium"	0.0299151445419244	0.00971428571428571	0.0121532742350586	0.0140200286123033	0	0	0	0	0.000428571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides"	0	0	0.00328853302830998	0.000429184549356223	0.00742963280468638	0.0152878982711816	0.0174435230197312	0.0055746140651801	0.00571428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides"	0.000575291241190853	0.00285714285714286	0.00600514726908779	0.00457796852646638	0.00785826546649521	0.00357193884840692	0.0215899342293394	0.00457404230989137	0.00271428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Wansuia"	0	0.00514285714285714	0.00271661424077781	0.0257510729613734	0.00414344906415202	0.00200028575510787	0.00157277666571347	0.00385934819897084	0.00528571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium"	0.00129440529267942	0.00328571428571429	0.00185873605947955	0.0121602288984263	0.00142877553936277	0.00214316330904415	0.00243065484701172	0.0028587764436821	0.00242857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella"	0	0	0.00400343151272519	0.0107296137339056	0.00514359194170596	0.00157165309329904	0.000857878181298256	0.00371640937678674	0.00171428571428571
