"Taxa"	"joans14"	"joans21"	"joans29"	"joans41"	"joans44"	"joans49"	"joans51"	"joans56"	"joans57"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.00143822810297713	0.134142857142857	0.0882184729768373	0.0858369098712446	0.261037291041577	0.307043863409058	0.515870746354018	0.192824471126358	0.0608571428571429
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.0458794764849705	0.409142857142857	0.243923362882471	0.108011444921316	0.149735676525218	0.133876268038291	0.0856448384329425	0.336620926243568	0.123
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.0283330936286495	0.242714285714286	0.282527881040892	0.0593705293276109	0.22217459637091	0.129161308758394	0.113668859022019	0.0860491709548313	0.364857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0	0.121428571428571	0.236917357735202	0.236766809728183	0.223603371910273	0.249607086726675	0.179296539891335	0.207118353344768	0.0518571428571429
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0.862936861786279	0.000714285714285714	0	0.067238912732475	0.000142877553936277	0.000142877553936277	0	0.000142938822184105	0.272571428571429
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.00273263339565655	0.000285714285714286	0.0534744066342579	0.171244635193133	0.0614373481925989	0.119874267752536	0.0567629396625679	0.0867638650657519	0.0705714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.00388321587803826	0.0502857142857143	0.0686302545038605	0.210729613733906	0.0577225317902558	0.0395770824403486	0.0364598227051759	0.0653230417381361	0.0462857142857143
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.0021573421544657	0.028	0.0128681727194738	0.0453505007153076	0.0218602657522503	0.0181454493499071	0.0110094366599943	0.0224413950829045	0.009
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0.0299151445419244	0.00971428571428571	0.0121532742350586	0.0140200286123033	0	0	0	0	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0.00963612828994679	0.00171428571428571	0.000142979696883043	0.000715307582260372	0.000714387769681383	0.00171453064723532	0.000428939090649128	0.00185820468839337	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales"	0.0107867107723285	0.000714285714285714	0.000142979696883043	0	0.000142877553936277	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0	0.000428571428571429	0.0010008578781813	0.000715307582260372	0.00128589798542649	0.000571510215745106	0.000714898484415213	0.000857632933104631	0.000428571428571429
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales"	0.0021573421544657	0.000428571428571429	0	0	0	0.000142877553936277	0	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales"	0	0.000285714285714286	0	0	0	0	0.000142979696883043	0	0.000142857142857143
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0	0	0	0	0.000142877553936277	0.000142877553936277	0	0	0
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales"	0.000143822810297713	0	0	0	0	0	0	0	0
