"Taxa"	"korra21"	"korra29"	"korra44"	"korra48"	"korra58"
"k__Bacteria|p__Firmicutes|c__Negativicutes"	0.486142857142857	0.447349621374482	0.18541815582559	0.478068295470782	0.170881554507787
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.159	0.0448635519359909	0.58084345961401	0.217745392198886	0.310330047149593
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0.222	0.460065723674811	0.00843459614010007	0.155450778682669	0.422631804543506
"k__Bacteria|p__Firmicutes|c__Clostridia"	0.112857142857143	0.0394342048864123	0.0877769835596855	0.116873839119874	0.0181454493499071
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0.0112857142857143	0.00728675525075011	0.0537526804860615	0.0210030004286327	0.0490070010001429
"k__Bacteria|p__Actinobacteria|c__Actinomycetia"	0	0	0.0777698355968549	0	0.0278611230175739
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	0.008	0.000714387769681383	0.00543245175125089	0.0105729389912845	0.00114302043149021
"k__Bacteria|p__Firmicutes|c__Bacilli"	0.000571428571428571	0.000285755107872553	0	0.000285755107872553	0
"k__Bacteria|p__Tenericutes|c__Mollicutes"	0	0	0.000571837026447462	0	0
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia"	0.000142857142857143	0	0	0	0
