"Taxa"	"ophelia19"	"ophelia37"	"ophelia43"	"ophelia45"	"ophelia48"	"ophelia49"	"ophelia55"	"ophelia57"	"ophelia59"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.263045032165833	0.1154176201373	0.131590227175311	0.167263353859373	0.414902745995423	0.426998426998427	0.15494568324757	0.471967963386728	0.295389461626575
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0.00114367405289492	0.637728832951945	0.127446778111159	0.12272662179579	0.046195652173913	0.0587730587730588	0.277587192681532	0.022454233409611	0.336626575028637
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0.306790564689064	0.0942505720823799	0.190741534504929	0.143204926249463	0.231550343249428	0.238953238953239	0.172955974842767	0.108838672768879	0.128579610538373
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.193995711222302	0.0546338672768879	0.251893127589656	0.310181870256337	0.085383295194508	0.0554840554840555	0.181532304173814	0.156893592677346	0.0518327605956472
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.102215868477484	0.0662185354691076	0.217316759537077	0.167263353859373	0.133581235697941	0.143715143715144	0.14379645511721	0.132151029748284	0.0864833906071019
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.0846318799142244	0.0165903890160183	0.0384340620088584	0.040526994128598	0.0403318077803204	0.04004004004004	0.0232990280160091	0.0530606407322654	0.0690148911798396
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.0241601143674053	0.0040045766590389	0.0172881840262895	0.0224831734211657	0.0137299771167048	0.0188760188760189	0.0124356775300172	0.022883295194508	0.0150343642611684
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.0087205146533238	0.00357551487414188	0.0135733676239463	0.0131748532149506	0.00929633867276888	0.011011011011011	0.0110062893081761	0.00943935926773455	0.00529782359679267
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0.0100071479628306	0.00243135011441648	0.00114302043149021	0.00343691822998711	0.0154462242562929	0.00429000429000429	0.0157232704402516	0.0161613272311213	0.00973654066437572
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0	0.0034324942791762	0.00685812258894128	0.0050121724187312	0.00657894736842105	0.000715000715000715	0.00586049170954831	0.00185926773455378	0.000143184421534937
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales"	0.00243030736240172	0.00143020594965675	0.00342906129447064	0.00300730345123872	0.00185926773455378	0.000429000429000429	0.00028587764436821	0.0028604118993135	0.00143184421534937
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0.00157255182273052	0	0.000142877553936277	0.000859229557496778	0.00028604118993135	0.000143000143000143	0.00028587764436821	0.000429061784897025	0.000286368843069874
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales"	0	0	0	0.000286409852498926	0.000429061784897025	0.000143000143000143	0	0.00028604118993135	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales"	0.000285918513223731	0	0	0.000143204926249463	0.000143020594965675	0	0	0.00028604118993135	0.000143184421534937
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales"	0.000428877769835597	0	0	0.000143204926249463	0.000143020594965675	0.000143000143000143	0	0.000143020594965675	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales"	0.000428877769835597	0	0.000142877553936277	0	0.000143020594965675	0.000286000286000286	0	0	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales"	0	0.000143020594965675	0	0.000143204926249463	0	0	0.00028587764436821	0	0
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales"	0.000142959256611866	0	0	0.000143204926249463	0	0	0	0.000143020594965675	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0	0.000143020594965675	0	0	0	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales"	0	0	0	0	0	0	0	0.000143020594965675	0
