"Taxa"	"ophelia19"	"ophelia37"	"ophelia43"	"ophelia45"	"ophelia48"	"ophelia49"	"ophelia55"	"ophelia57"	"ophelia59"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium wakonense"	0.306790564689064	0.0942505720823799	0.190741534504929	0.143204926249463	0.231550343249428	0.238953238953239	0.172955974842767	0.108838672768879	0.128579610538373
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis"	0.167405289492495	0.0357551487414188	0.224460637233891	0.204783044536732	0.056779176201373	0.0366080366080366	0.125214408233276	0.137156750572082	0.0345074455899198
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola plebeius"	0.0663330950679056	0.0371853546910755	0.0382911844549221	0.0495489044823142	0.126573226544622	0.128843128843129	0.0485991995425958	0.0812356979405034	0.0203321878579611
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella flexneri"	0.000285918513223731	0.339101830663616	0.0151450207172453	0.00630101675497637	0.00257437070938215	0.0238810238810239	0.082904516866781	0.00772311212814645	0.0764604810996564
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia|s__Prevotellamassilia timonensis"	0.055325232308792	0.00772311212814645	0.01343049007001	0.017327796076185	0.0358981693363844	0.0459030459030459	0.0151515151515152	0.0899599542334096	0.0763172966781214
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola sartorii"	0.0566118656182988	0.0125858123569794	0.0211458779825689	0.0236288128311614	0.0446224256292906	0.0471900471900472	0.0164379645511721	0.0846681922196796	0.0383734249713631
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas hypermegale"	0.0243030736240172	0.016304347826087	0.024289184169167	0.0923671774309036	0.0251716247139588	0.0165880165880166	0.0493138936535163	0.0174485125858124	0.0150343642611684
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia fergusonii"	0.000714796283059328	0.134010297482838	0.00642948992713245	0.00243448374624087	0.00028604118993135	0.00729300729300729	0.0305889079473985	0.0040045766590389	0.0330756013745704
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola vulgatus"	0.0157255182273052	0.0112986270022883	0.0145735105015002	0.0153229271086925	0.0386155606407323	0.0337480337480337	0.0140080045740423	0.033466819221968	0.0207617411225659
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter quasiroggenkampii"	0	0.00028604118993135	0.0670095727961137	0.0674495202634971	0.0261727688787185	0.00986700986700987	0.000857632933104631	0	0.0124570446735395
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia glucerasea"	0.0161543959971408	0.0108695652173913	0.0481497356765252	0.0360876414148647	0.0111556064073227	0.00657800657800658	0.0228702115494568	0.0261727688787185	0.00472508591065292
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera elsdenii"	0.0428877769835597	0.00657894736842105	0.0214316330904415	0.0147501074036947	0.0127288329519451	0.0167310167310167	0.00900514579759863	0.027745995423341	0.0270618556701031
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium parvum"	0.0164403145103645	0.0068649885583524	0.0232890412916131	0.0156093369611915	0.0168764302059497	0.0191620191620192	0.0187249857061178	0.0190217391304348	0.0194730813287514
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides merdae"	0.0235882773409578	0.00643592677345538	0.00642948992713245	0.0107403694687097	0.0137299771167048	0.0171600171600172	0.0100057175528874	0.0440503432494279	0.022766323024055
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides uniformis"	0.00243030736240172	0.0101544622425629	0.00757251035862266	0.00615781182872691	0.0410469107551487	0.0446160446160446	0.00700400228702115	0.0157322654462243	0.00572737686139748
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia marmotae"	0	0.0842391304347826	0.0042863266180883	0.00128884433624517	0.0005720823798627	0.005005005005005	0.0191538021726701	0.00157322654462243	0.0118843069873998
