"Taxa"	"wolverine14"	"wolverine17"	"wolverine37"	"wolverine44"	"wolverine49"	"wolverine57"	"wolverine58"	"wolverine60"	"wolverine70"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis"	0.260477757116292	0.471067295327904	0.358479782826118	0.266246779272831	0.20960823563054	0.242428571428571	0.441428571428571	0.308539550851094	0.223115577889447
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium wakonense"	0.145758832785009	0.0781540220031433	0.206886698099729	0.0803034640709991	0.179868458678868	0.0575714285714286	0.0955714285714286	0.112144185381204	0.0580043072505384
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella dysenteriae"	0	0	0.00314330618659809	0.0908960778700258	0.0539033457249071	0.371	0.178142857142857	0.0350450579316264	0.00229720028715004
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera elsdenii"	0.0301816621370333	0.0695813687669667	0.060437205315045	0.0456627540795877	0.0520446096654275	0.0464285714285714	0.0527142857142857	0.0755256758689744	0.047954055994257
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas hypermegale"	0.0592189958518095	0.0365766538076868	0.0144306329475639	0.0284855425135986	0.050471832999714	0.00885714285714286	0.0101428571428571	0.0635102274352739	0.0232591529073941
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola sartorii"	0.00715205263910742	0.0952993284754965	0.0130018574082012	0.0241912396221013	0.0311695739205033	0.0138571428571429	0.00942857142857143	0.0256043484480046	0.0255563531945441
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium sinus"	0.01931054212559	0.0165737962566081	0.0315759394199171	0.0181792155740052	0.0313125536173863	0.0174285714285714	0.0188571428571429	0.0113002431697897	0.0203876525484566
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium parvum"	0.0170218852810757	0.015002143163309	0.0315759394199171	0.0123103349556255	0.0300257363454389	0.0225714285714286	0.0202857142857143	0.0150193105421256	0.015218951902369
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola vulgatus"	0.00743813474467172	0.0287183883411916	0.0114302043149021	0.0200400801603206	0.0264512439233629	0.0135714285714286	0.00985714285714286	0.0233156916034902	0.0370423546302943
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia glucerasea"	0.0464883421541983	0.0207172453207601	0.020145735105015	0.00887489264242771	0.00271661424077781	0.014	0.0117142857142857	0.0047203547418109	0.0325915290739411
