"Taxa"	"buddy11"	"buddy16"	"buddy44"	"buddy46"	"buddy48"	"buddy50"	"buddy56"	"buddy57"
"Metabolism|Global and overview maps"	0.382102441355287	0.36211602078369	0.387754039613789	0.387435587330332	0.386457382919831	0.37564651267737	0.371235026412999	0.388844764488515
"Metabolism|Carbohydrate metabolism"	0.111866674894729	0.116426874369308	0.108718628681803	0.104567183411612	0.1039836069392	0.112751399285823	0.116631144479494	0.106084965686545
"Environmental Information Processing|Membrane transport"	0.071523516264901	0.062351934908288	0.069062795512484	0.055510032021718	0.064669642722404	0.077638767826089	0.0792310168777284	0.0685411547578139
"Metabolism|Amino acid metabolism"	0.0621471470264153	0.0563771546670443	0.0647646834739616	0.0621606226319936	0.0636870518547539	0.0625735331668183	0.0605649867643394	0.0650115021323884
"Environmental Information Processing|Signal transduction"	0.0408657777363023	0.0571500996802551	0.0430815234046161	0.0430328522463377	0.0441072750280797	0.0439789519880138	0.0456637002881479	0.0418955204568693
"Cellular Processes|Cellular community - prokaryotes"	0.04056876268427	0.047557339864837	0.039830859352377	0.0395281091891939	0.0439272856969661	0.0422712626814554	0.04387850822248	0.0414083055531932
"Metabolism|Energy metabolism"	0.037958959920367	0.0381574999896462	0.0373704466542607	0.0387828377598052	0.0381164235710942	0.0376902203312179	0.0374862235030973	0.0376640025202129
"Metabolism|Metabolism of cofactors and vitamins"	0.0366423429224461	0.0344429155132369	0.0351365600861205	0.0371967205991186	0.0365434768392898	0.034384034193825	0.0352190549754534	0.0360002687179007
"Metabolism|Nucleotide metabolism"	0.0278142587888118	0.025190908047297	0.0278518295251348	0.0293776108931471	0.0276998733117475	0.0266540621437129	0.0259026171751406	0.0279479709705717
"Metabolism|Lipid metabolism"	0.0200932722436007	0.023848350251644	0.0196858828429903	0.0210685248023566	0.0192608981992517	0.0200832862728919	0.0205726815345007	0.0188684469757091
"Genetic Information Processing|Translation"	0.0195587353430666	0.0171210535696601	0.0210861552907897	0.0228632244413381	0.0214271322712569	0.0177160219668946	0.0159513351483869	0.0214550122643424
"Genetic Information Processing|Replication and repair"	0.0189785362495455	0.0180297904212597	0.0196420625456427	0.0219266545069193	0.0201773594769819	0.0177246675994281	0.0165373968637982	0.0199034794629913
"Metabolism|Glycan biosynthesis and metabolism"	0.0138107273837457	0.016853565053738	0.0154511982479227	0.0178519827149748	0.0142591669459929	0.0122891354529301	0.0118048985353501	0.014236103851456
"Metabolism|Metabolism of other amino acids"	0.0134895080943188	0.0139733986354068	0.012724955267356	0.0125657093881086	0.0128110436591712	0.0140192495355151	0.0142208872262316	0.0128140672045886
"Metabolism|Xenobiotics biodegradation and metabolism"	0.0133719844726018	0.0132156900777432	0.012227656631497	0.010643850413613	0.0124348305926685	0.0155032961615883	0.0156774062687838	0.0124546932392741
"Metabolism|Biosynthesis of other secondary metabolites"	0.0117187965117183	0.013326382410373	0.0127741416052889	0.0133261512356152	0.0125093101201414	0.0113592927171301	0.0109796976016385	0.0125019869366299
"Human Diseases|Drug resistance: Antimicrobial"	0.0127921933136642	0.0127644478723096	0.0109863355860953	0.0117586394838868	0.0108943709210967	0.013375103437943	0.0143653856229969	0.0107176103229186
"Genetic Information Processing|Folding, sorting and degradation"	0.0112693683160482	0.010775562367037	0.0113083774895684	0.0126815327443686	0.0123984176974896	0.0104976379014278	0.0101606527329035	0.011840581901443
"Metabolism|Metabolism of terpenoids and polyketides"	0.0102497932508967	0.00917806732041174	0.00975393747770213	0.00969416146447502	0.00969097079555383	0.00987041794105616	0.00959484498619657	0.0100052562439178
"Cellular Processes|Cell growth and death"	0.00683331284326086	0.00849787147046135	0.00769079841866893	0.00927535724007316	0.00855974926897651	0.00608228671263531	0.00576577598014124	0.0078577162753655
"Cellular Processes|Cell motility"	0.00726964631919485	0.00883958318680906	0.00462688971011262	0.00578405971073148	0.00695940696173381	0.00864105591480364	0.0094706598901989	0.005675706451165
"Human Diseases|Infectious diseases: Bacterial"	0.00546121165697219	0.00653472433012495	0.00502579231844255	0.00516446153962479	0.00496190603614064	0.00624857801095036	0.00623222827960449	0.00496497256622878
"Organismal Systems|Endocrine system"	0.00401727290759389	0.00427271042099355	0.00412485486494654	0.00468891553925672	0.00412484797656289	0.00355974427820156	0.00347682218947893	0.00404138386894784
"Human Diseases|Cancers: Overview"	0.0029061101124212	0.00320492890339094	0.00254852446001071	0.0028038011580049	0.00260300468931677	0.0031083205192512	0.0032709460518693	0.00252874186627525
