"Taxa"	"goose20"	"goose22"	"goose37"	"goose42"	"goose44"
"Metabolism|Global and overview maps|Metabolic pathways"	0.146176045367196	0.145442311965589	0.148368317333365	0.148406389762281	0.14722130679942
"Metabolism|Global and overview maps|Biosynthesis of secondary metabolites"	0.0616002209294656	0.0605032654512443	0.0626980021418975	0.0630432428680735	0.0621699214271575
"Environmental Information Processing|Membrane transport|ABC transporters"	0.0576561924572701	0.0584310979389224	0.0542066677050015	0.0527966819096802	0.058749941068465
"Metabolism|Global and overview maps|Microbial metabolism in diverse environments"	0.0508004382585764	0.0515603112244776	0.0498217606856876	0.0501923374370852	0.0529122844659222
"Metabolism|Global and overview maps|Biosynthesis of antibiotics"	0.0493608419143258	0.047813060415554	0.0497046725140947	0.0502208860947262	0.0499320207679012
"Environmental Information Processing|Signal transduction|Two-component system"	0.0417106334299916	0.0415103012023374	0.0400392793945342	0.0401225969701722	0.0378004015531985
"Metabolism|Global and overview maps|Biosynthesis of amino acids"	0.0303958233251911	0.0286380750365033	0.0308765184786004	0.0309688804759056	0.0309912981848328
"Metabolism|Global and overview maps|Carbon metabolism"	0.0252461780599441	0.0251406572918194	0.0255060450368779	0.025609044876607	0.025990692660378
"Cellular Processes|Cellular community - prokaryotes|Quorum sensing"	0.0258559032090077	0.025142003887711	0.0246019300629296	0.0246608602603603	0.0251766694151211
"Environmental Information Processing|Membrane transport|Phosphotransferase system (PTS)"	0.0157271656270255	0.0179129430006774	0.0135274752345481	0.013371651819186	0.0177207978564513
"Metabolism|Nucleotide metabolism|Purine metabolism"	0.0153182745036531	0.0152885303862682	0.0157852632250363	0.0156708238500664	0.0151728448681237
"Metabolism|Carbohydrate metabolism|Amino sugar and nucleotide sugar metabolism"	0.0152309742773683	0.0156088763240776	0.0146143683646675	0.0145209920626954	0.0151844130244734
"Metabolism|Carbohydrate metabolism|Glycolysis / Gluconeogenesis"	0.0122546728788672	0.012489391986559	0.0116254655564452	0.0116138097753827	0.0124742656775171
"Genetic Information Processing|Translation|Ribosome"	0.0117894897043568	0.0111209880093537	0.0126686538370175	0.0126514768990777	0.0116243372692137
"Metabolism|Carbohydrate metabolism|Starch and sucrose metabolism"	0.0121255525326588	0.0120424406384068	0.0112001589906901	0.0111415251126145	0.0121994473596368
"Metabolism|Nucleotide metabolism|Pyrimidine metabolism"	0.011175240200379	0.0113303114702376	0.0118346085805437	0.0116415326046292	0.0111340753626563
