"Taxa"	"grogu22"	"grogu36"	"grogu37"	"grogu41"	"grogu45"	"grogu50"	"grogu56"	"grogu70"
"Metabolism|Global and overview maps"	0.388010846717033	0.372869514424027	0.37013679142663	0.37332922476641	0.392704194465662	0.388021704019486	0.378232758869432	0.378100319704357
"Metabolism|Carbohydrate metabolism"	0.10608172456864	0.10646269270177	0.110286867079555	0.100168529212842	0.114187740745255	0.110178638222775	0.112077799608934	0.100461419456829
"Environmental Information Processing|Membrane transport"	0.0659559156386354	0.0450740765905322	0.083139587777503	0.0487984763414946	0.0726876004086248	0.0809091660301332	0.0744934421595819	0.0546405523087946
"Metabolism|Amino acid metabolism"	0.0658892081708631	0.0592251185150784	0.061109077594456	0.0593103616947228	0.0660644525740145	0.0668422009589961	0.0624752048100448	0.0619259645599022
"Environmental Information Processing|Signal transduction"	0.0479716199465361	0.063938914884504	0.0524935621013023	0.0607252323613785	0.0384738469011056	0.0412860633347839	0.0505595074940903	0.0561327103786579
"Cellular Processes|Cellular community - prokaryotes"	0.040237762456246	0.048025561517246	0.046086070052525	0.0511331203568479	0.0384864690997654	0.0398774020380798	0.0426737156243625	0.0485588418022043
"Metabolism|Energy metabolism"	0.0372248431137177	0.0363971283437817	0.036825074162963	0.0374754407793725	0.0361774296395517	0.0368492673184312	0.0362872311852461	0.0377112355492114
"Metabolism|Metabolism of cofactors and vitamins"	0.0332235399949577	0.0335310962337112	0.0307598019949436	0.034401160299312	0.0373841235547941	0.0336649993287771	0.0325386750011377	0.0342118080705643
"Metabolism|Nucleotide metabolism"	0.0268955071815753	0.024467427717475	0.0251604180496106	0.0250334306904266	0.0274451206531953	0.0269723463267816	0.0258169355860943	0.0255264807726704
"Metabolism|Lipid metabolism"	0.0203382100459235	0.0251430564412973	0.0204373836817191	0.0230168402570884	0.0187855544633031	0.0182418772789791	0.0209711202369077	0.0216300628193977
"Genetic Information Processing|Translation"	0.0203889075915688	0.0181991488667538	0.0177022047594643	0.0192108519264337	0.0210458890482921	0.0199179304786665	0.0186005191722357	0.0193210457911803
"Genetic Information Processing|Replication and repair"	0.0191652823702519	0.0185241054552827	0.0176406555728511	0.0194392171538634	0.0187241286258477	0.0183955134968389	0.0178699080646257	0.0191156340846244
"Metabolism|Glycan biosynthesis and metabolism"	0.0173051881753435	0.0224241279194121	0.0143992584301012	0.0184685278285263	0.0135293554376603	0.0129914004644159	0.0163376379486395	0.0171532311975309
"Metabolism|Biosynthesis of other secondary metabolites"	0.0136124670968986	0.0162320454857711	0.0132132002840021	0.015117653335219	0.0120215040216035	0.0122339409297167	0.0134788230526483	0.014269978900756
"Metabolism|Metabolism of other amino acids"	0.0127142354298385	0.0128979337298362	0.0123481916767314	0.0128184028314926	0.0130307494612518	0.0128331134322318	0.0124766598589251	0.013099825762387
"Metabolism|Xenobiotics biodegradation and metabolism"	0.0125876318096294	0.0108498632084183	0.013039419030132	0.0117018544808823	0.0126699785533191	0.0137462615446962	0.0120911198521868	0.0129136750472565
"Genetic Information Processing|Folding, sorting and degradation"	0.0108346391482855	0.0112687456532721	0.0102230982803112	0.0124024774866645	0.0113289254700262	0.0105371540534866	0.0102571015099003	0.012043611948588
"Human Diseases|Drug resistance: Antimicrobial"	0.0107830557697923	0.0114715738501184	0.0108622386708765	0.0109692539981012	0.0109760232297678	0.0105205281627989	0.0109221607705558	0.0110337432487391
"Metabolism|Metabolism of terpenoids and polyketides"	0.00965148090471082	0.00864590609760503	0.010045689084064	0.00934915180344003	0.00924421230581658	0.0100910966661413	0.0100194075901126	0.00957340657628241
"Cellular Processes|Cell growth and death"	0.00766373949503523	0.0104681664316193	0.00818727148655244	0.0108655129959396	0.00673702169140109	0.0066336379841963	0.00780973742942417	0.00956436839836775
