"Taxa"	"hamlet11"	"hamlet17"	"hamlet22"	"hamlet25"	"hamlet31"	"hamlet41"	"hamlet59"	"hamlet67"
"Metabolism|Global and overview maps"	0.370028855081571	0.380055467578398	0.363669264099312	0.383371330383368	0.383889860239399	0.371539018631718	0.374833038787936	0.369853152575486
"Metabolism|Carbohydrate metabolism"	0.124942889372901	0.108118314650933	0.119707753244471	0.109932272811975	0.111315354996836	0.113251222545945	0.114227253161682	0.104188694557497
"Environmental Information Processing|Membrane transport"	0.0795394559232731	0.0639196523285447	0.082144622371261	0.0632263637101686	0.0681659503513697	0.0829596133462646	0.0732809233263591	0.039344824126179
"Metabolism|Amino acid metabolism"	0.0585107736020344	0.0632820527168094	0.0589552817777026	0.0639113939915062	0.0631739447234025	0.0604562017664226	0.0608999284574166	0.0574161362549283
"Environmental Information Processing|Signal transduction"	0.0480390781072915	0.0516807476146089	0.0473161849394783	0.0512043979341318	0.0474897001457601	0.0509886784418017	0.0526912523288913	0.0671305298336416
"Cellular Processes|Cellular community - prokaryotes"	0.0433368668830926	0.0448935702924627	0.0443874320589987	0.0426898378058572	0.0437253181723192	0.0469387396387877	0.0445130641124401	0.0507674725706414
"Metabolism|Energy metabolism"	0.0357408422670916	0.0362410699688501	0.0374677525753229	0.0363206401599329	0.0361866274600855	0.036390662154441	0.0361992970188363	0.0366045603196526
"Metabolism|Metabolism of cofactors and vitamins"	0.0347818444895356	0.0340588623249906	0.0344281928664357	0.0339536730919714	0.0362090904081497	0.0329855754839437	0.0336693448332191	0.0345716590236175
"Metabolism|Nucleotide metabolism"	0.0255245399175335	0.0256174450255225	0.0253741233979437	0.0258677364960796	0.026166130297464	0.0252668008511718	0.0253024512840687	0.0240455516895042
"Metabolism|Lipid metabolism"	0.0213535850167337	0.0214703017073882	0.0216133275177593	0.0215035302395566	0.0201643989799058	0.0200824632568421	0.0215395112964175	0.0257762412287807
"Genetic Information Processing|Translation"	0.0188999032315666	0.0190897842584949	0.0140506631931848	0.0191717011885532	0.0194761797731161	0.0176008054710543	0.0178205415872257	0.018093966743314
"Genetic Information Processing|Replication and repair"	0.0177937156600018	0.018514016694528	0.0155053748598954	0.0181771594070292	0.0180798041468886	0.0170219613737722	0.0172143469415447	0.0185856954622229
"Metabolism|Glycan biosynthesis and metabolism"	0.0157976154227364	0.0167294105216919	0.0113924401383929	0.0182429604106204	0.0148354760912315	0.0135444098402576	0.0156857434183358	0.0221203134515495
"Metabolism|Biosynthesis of other secondary metabolites"	0.0124774446840386	0.0142077258088919	0.0105661816983017	0.0140727668881319	0.0127301546726004	0.0123796948566267	0.013061176751103	0.0162489005999292
"Metabolism|Metabolism of other amino acids"	0.0123491861908202	0.0129094760420594	0.0148477646777311	0.0128335784840626	0.012776360997867	0.0123894772792619	0.0126104767921213	0.0128128178751995
"Metabolism|Xenobiotics biodegradation and metabolism"	0.0118238271994013	0.0125509702029837	0.0169929359190422	0.01201782176936	0.0120044278645379	0.0125608959399818	0.0124470844720809	0.0108776474861063
"Human Diseases|Drug resistance: Antimicrobial"	0.0112637305718509	0.0110172140170417	0.0158123252717528	0.0110685329923829	0.0114109242215671	0.0115074413876403	0.0119313579248378	0.0116824959446932
"Genetic Information Processing|Folding, sorting and degradation"	0.0101660210849823	0.0110660093535083	0.009459039587484	0.0106467026644283	0.0112085308332842	0.0103206525973891	0.0102398841019404	0.0120297002061976
"Metabolism|Metabolism of terpenoids and polyketides"	0.0082802742622275	0.00905014576105491	0.00972024815462928	0.0089354346538037	0.00900858722471378	0.00931195843012839	0.00913101818656378	0.00852949936208304
"Cellular Processes|Cell growth and death"	0.00721402946632485	0.0085421450910111	0.00501996105339635	0.00809236955737261	0.00783753996942436	0.0077483957707361	0.00773254128746572	0.0113695527721209
"Cellular Processes|Cell motility"	0.00454496598711101	0.00650123468794224	0.0112504641401897	0.0051675035373966	0.0061429878695153	0.0077199109712903	0.00643144999094842	0.00937531978087808
"Human Diseases|Infectious diseases: Bacterial"	0.00463662077534745	0.00519964969717791	0.00702441672562253	0.00549416013889914	0.0048448337916394	0.00482299862277424	0.00517782783712426	0.00630896804717453
"Organismal Systems|Endocrine system"	0.00411469385710655	0.00420704134915308	0.0033086830046261	0.00394553404869784	0.00403263761433101	0.00378242211104855	0.00395425924944845	0.0047173519695221
"Human Diseases|Cancers: Overview"	0.00263907068775161	0.00260165435212315	0.00359560272610967	0.00247891041769064	0.00256389639537894	0.00243005597264896	0.00261562738199117	0.00303580778184762
"Cellular Processes|Transport and catabolism"	0.00254045388422469	0.00276323561524448	0.00161447041384065	0.00317383355298765	0.00195169641766319	0.00195781468055244	0.00257183520608503	0.00449197082483946
"Human Diseases|Drug resistance: Antineoplastic"	0.00195968128866845	0.00212295486458038	0.00178065977712194	0.00204291391325564	0.00216855500975168	0.00201602954401433	0.00191443839424931	0.00225287476965577
"Organismal Systems|Aging"	0.00145568189229308	0.00172433303491545	0.00232574019214533	0.00161196242176205	0.00163549605182435	0.00160978764620695	0.0016769761069333	0.0022540207482469
"Organismal Systems|Immune system"	0.00196267016566267	0.00175660330862162	0.00114330042241733	0.0018020328487695	0.00166826905792279	0.00160367827547957	0.00175882375870549	0.00236060387495726
"Human Diseases|Endocrine and metabolic diseases"	0.00136387681068243	0.00163965315991469	0.00150832765413772	0.00152361890780703	0.00158761672449341	0.00141816583668187	0.00146013615848313	0.00185200785984667
"Organismal Systems|Environmental adaptation"	0.00116270662681953	0.0013637711007783	0.00112197535428719	0.00123337421473407	0.00119566688802766	0.00123552881601909	0.00124980706427735	0.00188407530696445
"Human Diseases|Cardiovascular diseases"	0.0012437965422724	0.00131736561324057	0.00110636827942319	0.00132277141002554	0.00114891703030026	0.00107814815611413	0.00122661231697584	0.0019328604062047
"Organismal Systems|Nervous system"	0.000941753784321549	0.00107360216230248	0.00123192076612872	0.00108136748031469	0.000907672968765997	0.00089018572841788	0.00103512903545053	0.00145329722223165
"Genetic Information Processing|Transcription"	0.00112678239942259	0.00112191883842264	0.000845136402962385	0.00115944511119873	0.00125111824052923	0.00114821884173261	0.00110701335965636	0.000844604681110105
"Human Diseases|Neurodegenerative diseases"	0.000486097226276871	0.0008252399314807	0.00114172089260297	0.00058262202260887	0.000772757534031198	0.000763328050419608	0.000645446563175414	0.00140111400481534
"Human Diseases|Cancers: Specific types"	0.000591211680432365	0.000671559795824225	0.00105888703892211	0.000570646137130739	0.000602958415364477	0.000593091927644748	0.000589700561699687	0.000800970007612349
"Organismal Systems|Digestive system"	0.000405999136041793	0.000637723530538541	0.000401649349268987	0.000477088084556398	0.000474410300190788	0.000488154306423992	0.000503018106196852	0.000823846751134307
"Human Diseases|Infectious diseases: Viral"	0.000292143296385697	0.000452602771627313	0.000302174696056579	0.000330243761068137	0.000425828236469013	0.000387114913573174	0.000323987731803051	0.000664563832961774
"Human Diseases|Immune diseases"	0.000231728920669146	0.000213693163532777	0.000261999571967555	0.000194809766133631	0.000213945737835448	0.000197634925266207	0.000215016147752645	0.000298523389143126
"Human Diseases|Infectious diseases: Parasitic"	0.000162515475564012	0.000213703826892603	0.000244029742372112	0.000160633216992234	0.000153384630970697	0.000162213640530249	0.000157943197812674	0.000386663757562578
"Organismal Systems|Excretory system"	0.000165862806750887	0.000211335064837896	0.000247650518074131	0.00024478671165878	0.000135440211449928	0.000180772971264288	0.000199750830878171	0.000172869438937149
"Human Diseases|Substance dependence"	4.07293504988408e-05	0.000147460811790989	2.02627309086443e-05	6.25620162280831e-05	0.000100282882948087	0.000116116785960176	5.74558657577056e-05	0.000227430923800382
"Organismal Systems|Circulatory system"	2.62655506484899e-05	0.000119814938679702	1.40863904712501e-05	4.2540448749722e-05	8.32183124849066e-05	7.1455808901518e-05	3.58392968464736e-05	0.000211810852958767
"Environmental Information Processing|Signaling molecules and interaction"	2.34919490645664e-05	5.29910224536813e-05	1.08103914954115e-05	3.18458767100773e-05	4.50641783143504e-05	5.05607137620946e-05	3.46165617601686e-05	9.6990312522134e-05
"Metabolism|Chemical structure transformation maps"	8.73152089125475e-06	3.19872909686177e-05	4.65212075050515e-06	1.37782829958614e-05	2.75785629408652e-05	2.36565651209501e-05	1.17193309087126e-05	6.88526872470089e-05
"Organismal Systems|Development"	7.98995008385289e-06	1.44881071820918e-05	4.14129560154773e-06	1.08110313363955e-05	1.14053669343153e-05	8.28512396505357e-06	1.53338745937434e-05	3.31886844815487e-05
