"Taxa"	"henry29"	"henry36"	"henry42"	"henry48"	"henry59"	"henry66"
"Metabolism|Global and overview maps|Metabolic pathways"	0.148173258080498	0.147758397065791	0.149096198392433	0.147401463923723	0.152983859960194	0.148393509182089
"Metabolism|Global and overview maps|Biosynthesis of secondary metabolites"	0.0631301325192024	0.062044371980078	0.064011749334646	0.0622014601347005	0.0661452216114398	0.0612989687753423
"Metabolism|Global and overview maps|Biosynthesis of antibiotics"	0.0493444767930537	0.0494068732038686	0.0504523841812518	0.0503145195590006	0.0521305771585426	0.0490853680436978
"Metabolism|Global and overview maps|Microbial metabolism in diverse environments"	0.0493531813016438	0.0499660627372707	0.0490880247050576	0.052010560080294	0.0496811983563348	0.0468442704206744
"Environmental Information Processing|Membrane transport|ABC transporters"	0.048498565332013	0.0546396579131557	0.0452969888905403	0.0572489320382298	0.0399210969453969	0.0449763170892077
"Environmental Information Processing|Signal transduction|Two-component system"	0.0434269826824334	0.0439896056064626	0.0438467206664617	0.0437603985336532	0.0374009827814274	0.0490030404972734
"Metabolism|Global and overview maps|Biosynthesis of amino acids"	0.0300103324316336	0.0312548653947641	0.0306112089630605	0.0317244570770273	0.0318586347066021	0.0293275260872646
"Metabolism|Global and overview maps|Carbon metabolism"	0.0249689117564092	0.0254936252881958	0.0255393789429777	0.0265225320041097	0.0261515839827341	0.025174012520343
"Cellular Processes|Cellular community - prokaryotes|Quorum sensing"	0.0238416113893878	0.024385551401844	0.0241481236242083	0.0257254953572126	0.021621695092731	0.0224579456575631
"Metabolism|Carbohydrate metabolism|Amino sugar and nucleotide sugar metabolism"	0.0159049679133498	0.0155316988325485	0.0153352434100526	0.0148538757436163	0.0147806636572809	0.01652333665769
"Metabolism|Nucleotide metabolism|Purine metabolism"	0.0152156296476074	0.0150326211683436	0.0152341732388004	0.0150330214365817	0.0156831494825894	0.0150784970420962
