"Taxa"	"ivy24"	"ivy29"	"ivy36"	"ivy44"	"ivy46"	"ivy47"	"ivy70"
"Metabolism|Global and overview maps"	0.37642180622405	0.390456804644199	0.374960781444853	0.380663558246676	0.389671612357364	0.380750321161676	0.380493655570998
"Metabolism|Carbohydrate metabolism"	0.113156917875931	0.111058114212126	0.0906413923199607	0.109879709683533	0.11478658945222	0.103188717617871	0.112797847037863
"Environmental Information Processing|Membrane transport"	0.0784105440084936	0.0694441406596326	0.0438997782706781	0.0788223566897477	0.075416063446391	0.054986278208173	0.0763977746344952
"Metabolism|Amino acid metabolism"	0.0625463980313462	0.0651817073385327	0.0582278170780162	0.0633216276088501	0.0661327167049078	0.0609130795793793	0.0629241190155283
"Environmental Information Processing|Signal transduction"	0.0497564112832229	0.0418104794570525	0.0534643077037493	0.0434936597143723	0.0397143907838301	0.052837230068682	0.0456019532540954
"Cellular Processes|Cellular community - prokaryotes"	0.0440263256954725	0.0418414045733169	0.0530000807930322	0.0429374408552128	0.0400175246046824	0.049159523849362	0.0430226904252191
"Metabolism|Energy metabolism"	0.0366083149868616	0.036524375659641	0.0397093813112245	0.0372510042889829	0.0359517586592079	0.0374554335597751	0.0368027213309181
"Metabolism|Metabolism of cofactors and vitamins"	0.0329904993230685	0.037376169097489	0.0374062612404196	0.0344386796926774	0.0365777302659277	0.0375994504562363	0.0350981086746542
"Metabolism|Nucleotide metabolism"	0.0255084533193927	0.0270427360901026	0.0278193672269433	0.0268676277644099	0.0265221264200983	0.025799955513859	0.026147805838657
"Genetic Information Processing|Translation"	0.0183723782015482	0.0206419093034103	0.0226695009823143	0.0196657533006679	0.0197363204254643	0.0198699715392367	0.0184607230648228
"Metabolism|Lipid metabolism"	0.0204402368314482	0.0187065724691777	0.0215567407527437	0.019179768129689	0.01892363904706	0.0207752536892812	0.0197029587895534
"Genetic Information Processing|Replication and repair"	0.0175211091905401	0.0185528925484528	0.0229108487097335	0.0187185617299223	0.0179015090657234	0.0189191924155499	0.0176794967393614
"Metabolism|Glycan biosynthesis and metabolism"	0.0136431934088665	0.0136258035832087	0.0162395246174026	0.0132035629573805	0.0128462890224993	0.015100725653378	0.0126617139654778
"Metabolism|Metabolism of other amino acids"	0.012720664567188	0.0129662898435348	0.0127919869903419	0.0127588015671634	0.0131635285737019	0.0128809228650198	0.0131387933973141
"Metabolism|Xenobiotics biodegradation and metabolism"	0.0136558362502626	0.0123184339799142	0.0110891926373942	0.0132055475621031	0.0136450675534707	0.0121545974772019	0.0139018945127633
