"Taxa"	"korra21"	"korra29"	"korra44"	"korra48"	"korra58"
"Metabolism|Global and overview maps|Metabolic pathways"	0.146339701175967	0.145625992190005	0.149933035073235	0.14706165643315	0.147407416882076
"Metabolism|Global and overview maps|Biosynthesis of secondary metabolites"	0.0609279202808658	0.0612130444995985	0.0634638400269444	0.061809669017409	0.0616794939431193
"Metabolism|Global and overview maps|Microbial metabolism in diverse environments"	0.0522350579979202	0.0537743363431687	0.0453659204266616	0.0515006787010063	0.0500737807816422
"Environmental Information Processing|Membrane transport|ABC transporters"	0.0558151012784568	0.0527237428691774	0.0431944936402358	0.0517741015835266	0.0431278955803262
"Metabolism|Global and overview maps|Biosynthesis of antibiotics"	0.0481863745481373	0.0470959207879873	0.0501020459719145	0.0489933295872456	0.0475793382407686
"Environmental Information Processing|Signal transduction|Two-component system"	0.0404434098206807	0.0390065210670224	0.0434417959967693	0.0428182671649364	0.04133942431453
"Metabolism|Global and overview maps|Biosynthesis of amino acids"	0.0288492723593772	0.0271238675398276	0.029800662347802	0.0292390595887056	0.0262108310908297
"Metabolism|Global and overview maps|Carbon metabolism"	0.0253674174797019	0.024766177542849	0.0251266433634545	0.0257484737879744	0.0246549185928449
"Cellular Processes|Cellular community - prokaryotes|Quorum sensing"	0.0239031983832736	0.0228299817043402	0.0241388019414598	0.0240713876155106	0.0222614021107462
"Metabolism|Nucleotide metabolism|Purine metabolism"	0.0152802684277752	0.0150119947420229	0.0165155133067752	0.0153034756784727	0.0158369992291002
"Metabolism|Carbohydrate metabolism|Amino sugar and nucleotide sugar metabolism"	0.0153239230856524	0.0160032905027612	0.0143363895106427	0.0149533602928096	0.0149656008153946
"Environmental Information Processing|Membrane transport|Phosphotransferase system (PTS)"	0.0176010687570352	0.0218170782842727	0.00679314156666605	0.0146357310353257	0.014631502098961
"Genetic Information Processing|Translation|Ribosome"	0.0111413360941082	0.0101638756684342	0.0143577621870376	0.0116910658185645	0.0119525970094736
"Metabolism|Carbohydrate metabolism|Glycolysis / Gluconeogenesis"	0.0121837367082198	0.0123159163079245	0.0108227706157536	0.0117530010865724	0.0114891410411275
"Metabolism|Nucleotide metabolism|Pyrimidine metabolism"	0.0113796406404364	0.0112900785763226	0.0123862985317199	0.01139496827799	0.0119355905038787
"Metabolism|Carbohydrate metabolism|Pyruvate metabolism"	0.0110733641904985	0.0107366030967533	0.0101281172194299	0.0111931086614117	0.0102532137651244
"Metabolism|Carbohydrate metabolism|Starch and sucrose metabolism"	0.0111655237542102	0.011222207470238	0.0103675176097885	0.0108801154465958	0.00952933231913189
"Metabolism|Carbohydrate metabolism|Fructose and mannose metabolism"	0.0111989478399412	0.0132552110345015	0.00743264916040671	0.0100968998840983	0.0109398171189845
"Metabolism|Carbohydrate metabolism|Glyoxylate and dicarboxylate metabolism"	0.00882235104422837	0.00920807008762593	0.00835486821273957	0.00886627017152344	0.00885118075870968
"Metabolism|Amino acid metabolism|Cysteine and methionine metabolism"	0.00827031462757516	0.0076464644352183	0.00904913448173073	0.00837801900894647	0.00774938761919718
