"Taxa"	"kubo14"	"kubo15"	"kubo21"	"kubo30"	"kubo48"	"kubo58"
"Metabolism|Global and overview maps"	0.367024164097435	0.379710478993686	0.384867171640206	0.385801949843689	0.386753429718214	0.376919667074241
"Metabolism|Carbohydrate metabolism"	0.119883083507017	0.116907513288226	0.112695700882003	0.112483930328234	0.109019976348333	0.101662235689715
"Environmental Information Processing|Membrane transport"	0.0820259633929859	0.0805681427558432	0.0762117882297812	0.0793796294186184	0.0645088496805569	0.0559428511033005
"Metabolism|Amino acid metabolism"	0.0577780907226629	0.0615047688915536	0.0640770662574891	0.0651611263758296	0.0633754414227103	0.0599545511025581
"Environmental Information Processing|Signal transduction"	0.046305478947615	0.0461025893099275	0.0449700636837067	0.0419922619977147	0.0440051982509182	0.0506515844284155
"Cellular Processes|Cellular community - prokaryotes"	0.0432745374531025	0.0429683825770301	0.0408844752408404	0.040628655837957	0.0399268765110012	0.0474061081842852
"Metabolism|Energy metabolism"	0.0377126701456755	0.0365787897352545	0.0366640004753995	0.0365030399375431	0.0374815822280196	0.0384763235986111
"Metabolism|Metabolism of cofactors and vitamins"	0.034670505192441	0.0354870331351867	0.0347467808124088	0.0346509400351309	0.0360148966211045	0.0363918185980707
"Metabolism|Nucleotide metabolism"	0.0256129432859125	0.0261259817937681	0.026641230396622	0.0268918984617385	0.0279829348058082	0.0272210494820467
"Metabolism|Lipid metabolism"	0.0212674785314691	0.0194719277884536	0.0194802865275228	0.018832991185413	0.0206570075257669	0.0215283706816191
"Genetic Information Processing|Translation"	0.0150603203431447	0.0183109309390068	0.0192539818365298	0.0198600517340135	0.0212070110275081	0.020562975429703
"Genetic Information Processing|Replication and repair"	0.0159701457480835	0.0171963048423825	0.0179695839091634	0.0181396567989363	0.0199288723268506	0.0205523271805709
"Metabolism|Glycan biosynthesis and metabolism"	0.0119279996518597	0.0129235119048066	0.013663677868445	0.012683451192537	0.0168469180279253	0.0159408711661737
"Metabolism|Xenobiotics biodegradation and metabolism"	0.0156106486651468	0.0125585074842426	0.0129724641031378	0.0134595669912148	0.0115022861462284	0.0120297155843951
"Metabolism|Metabolism of other amino acids"	0.0142717227271206	0.0126267443261035	0.0126981987476223	0.0129131189678689	0.0125791090555173	0.0129398868349369
"Human Diseases|Drug resistance: Antimicrobial"	0.0148329182954702	0.0121360623069325	0.0116143903140616	0.0112151537083522	0.011427187684673	0.0118398012064493
"Metabolism|Biosynthesis of other secondary metabolites"	0.0110067489727645	0.0116059176267734	0.0121354242618643	0.0118649066650625	0.0126887490991227	0.0133737916970768
"Genetic Information Processing|Folding, sorting and degradation"	0.0097420835512733	0.0103861037264386	0.0105292670142456	0.0106536968821363	0.011668342258011	0.0128496539712208
"Metabolism|Metabolism of terpenoids and polyketides"	0.0105097667497812	0.00923620559761202	0.00974509743310447	0.00969877954191474	0.00944293130989367	0.00972465984645141
"Cellular Processes|Cell growth and death"	0.00528066894952097	0.0065752342067334	0.00682293043185283	0.00653575290892715	0.00813775325843188	0.00998985757344562
"Cellular Processes|Cell motility"	0.0104288993281879	0.00540345691666408	0.00490951660458891	0.00511822360151009	0.00485514049625416	0.00954028197632994
"Human Diseases|Infectious diseases: Bacterial"	0.0067470775274218	0.00472869367567265	0.0049483689329224	0.00484003690141463	0.00501156286929783	0.00552311793393459
"Organismal Systems|Endocrine system"	0.0034531334936527	0.00370829462540588	0.00379309972386634	0.00374326467544793	0.00435535751343389	0.00459336043089407
"Human Diseases|Cancers: Overview"	0.00340749082257059	0.00265874930066393	0.00262141871890133	0.00250256958891402	0.00264275945570763	0.00300659683428375
"Human Diseases|Drug resistance: Antineoplastic"	0.0018204853389225	0.0019728569807562	0.00202778840182807	0.00210130131475595	0.00228914593292981	0.00260936439265523
"Cellular Processes|Transport and catabolism"	0.00167678427726076	0.00154255697898253	0.00175681216561299	0.00140956836111946	0.00241285833862423	0.00221064459838881
"Organismal Systems|Aging"	0.00216728673695705	0.00152758815225589	0.00151967786305722	0.0015246362736625	0.00170068296354514	0.00213220721111076
"Human Diseases|Endocrine and metabolic diseases"	0.00145764067626991	0.00144023868543552	0.00149245505850703	0.00149816897123392	0.00166653200454608	0.00195307439166092
"Organismal Systems|Immune system"	0.00121845600889597	0.00144867625272718	0.0014740120870926	0.00139153191787269	0.00179356062880895	0.00183335837016601
"Organismal Systems|Environmental adaptation"	0.00120977765931507	0.00101403952097807	0.00109019293710386	0.00102420495150564	0.00130382047761309	0.00164438342723765
"Genetic Information Processing|Transcription"	0.00091363185123189	0.00125056110229461	0.00126437682717388	0.00131520796864064	0.00127479480741856	0.00110693231298804
"Human Diseases|Cardiovascular diseases"	0.00108841899366517	0.000962558737468798	0.00103567332503861	0.000947081641399097	0.0013049574963708	0.00147163022823463
"Organismal Systems|Nervous system"	0.00110285322780842	0.000897896077541905	0.00096498188311624	0.000854533837128795	0.0011312777621743	0.001167141110303
"Human Diseases|Neurodegenerative diseases"	0.00102274991876498	0.000598516635007221	0.000514112571134452	0.000535168780926092	0.000619283270856784	0.00142350806757388
"Human Diseases|Cancers: Specific types"	0.000939759284825082	0.000580330964685211	0.000584795227724129	0.000581773779762476	0.000596653206064033	0.000883524467462982
"Organismal Systems|Digestive system"	0.000423901443091042	0.000375573876376485	0.000445092320306153	0.000367124387952124	0.000642978137737556	0.000792187821934698
"Human Diseases|Infectious diseases: Viral"	0.00032282159478109	0.000302874873536222	0.000302806462539474	0.000320549650885807	0.000402809318659089	0.000719053443687549
"Organismal Systems|Excretory system"	0.000255643904347561	0.000173494231972675	0.000230998777099579	0.000202244540855387	0.00025355259051846	0.000186903633317134
"Human Diseases|Immune diseases"	0.000245992478096198	0.000216128064010974	0.000181678901605231	0.000161140332194187	0.000210004494804791	0.00024910111903682
"Human Diseases|Infectious diseases: Parasitic"	0.000239216019537702	0.000108414601289642	9.59849853773499e-05	9.39610378019268e-05	0.000143615848193199	0.000343368854350377
"Human Diseases|Substance dependence"	3.16092098143244e-05	4.01101275894579e-05	3.43141563608472e-05	4.96985178139364e-05	7.54324007556508e-05	0.000238669337627605
"Organismal Systems|Circulatory system"	2.43144625424686e-05	2.58106878629282e-05	1.77056838340245e-05	2.72192660390803e-05	5.81122137254538e-05	0.000224482883507914
"Environmental Information Processing|Signaling molecules and interaction"	1.84338694181563e-05	2.45967813202861e-05	3.05011860294792e-05	2.53703955445053e-05	5.36772219923029e-05	9.63083590507916e-05
"Metabolism|Chemical structure transformation maps"	7.90557052650348e-06	8.53983252748737e-06	5.66341398018713e-06	8.9986002300563e-06	1.90283158200715e-05	7.24186530693245e-05
"Organismal Systems|Development"	7.77737161235658e-06	8.31108701335825e-06	1.43917191930552e-05	5.86189255753681e-06	2.70489275529467e-05	2.02797079074366e-05
