"Taxa"	"marshmallow24"	"marshmallow37"	"marshmallow41"	"marshmallow44"	"marshmallow49"	"marshmallow53"	"marshmallow60"	"marshmallow70"
"Metabolism|Global and overview maps|Metabolic pathways"	0.146159521275339	0.146726801570423	0.147198548068714	0.15001107487065	0.146520888258254	0.147271113741328	0.144254508707685	0.149719289633719
"Metabolism|Global and overview maps|Biosynthesis of secondary metabolites"	0.0603770173596663	0.0631681607245945	0.0632331643366262	0.0639690055949465	0.0620517630366447	0.0614468444988363	0.0591901741579246	0.0612905451209535
"Environmental Information Processing|Membrane transport|ABC transporters"	0.0638869051009313	0.0498106315762109	0.0395641286861503	0.0508060489243964	0.0583037005570591	0.0586221663650869	0.0554048727758616	0.0246235382420054
"Metabolism|Global and overview maps|Microbial metabolism in diverse environments"	0.0506102634324257	0.0471278902871559	0.046404371513531	0.0508298161294955	0.0518895228555303	0.0509088870780039	0.0540136459423689	0.0433622280002044
"Metabolism|Global and overview maps|Biosynthesis of antibiotics"	0.0490226829010445	0.0503408408099451	0.0499274935265273	0.0508790049822549	0.0491924180043747	0.0497556463501287	0.0463667202554078	0.0488319537944342
"Environmental Information Processing|Signal transduction|Two-component system"	0.0446322782370682	0.0438854116968929	0.0486173227098277	0.0380368699242683	0.0413721102062661	0.0431576486748552	0.0408800133755141	0.0649430875952083
"Metabolism|Global and overview maps|Biosynthesis of amino acids"	0.0324729818209097	0.0309539909441005	0.0290853056987145	0.0316363221790383	0.0305661277086976	0.0322197767991644	0.0262413324667659	0.0284340768300931
"Metabolism|Global and overview maps|Carbon metabolism"	0.0254942784488134	0.0244425492709653	0.024467814720045	0.0260712199352868	0.025590020168677	0.0256602731865849	0.0249294364173153	0.0245800787781119
"Cellular Processes|Cellular community - prokaryotes|Quorum sensing"	0.0248766604466878	0.026604161883672	0.0249551284441925	0.0234052916297268	0.0258546104258256	0.024158421027662	0.0235433312066541	0.0186284139875721
"Metabolism|Nucleotide metabolism|Purine metabolism"	0.015001752015928	0.0158564590021434	0.0156961797679581	0.0154609572670991	0.0150712764984628	0.0151259019484234	0.0150966194796361	0.0138708290139028
"Metabolism|Carbohydrate metabolism|Amino sugar and nucleotide sugar metabolism"	0.0147527197451013	0.0141039989513449	0.0138391882733838	0.015027256988814	0.0153950520230338	0.0148835515194112	0.0149173256386509	0.0165871101233233
"Environmental Information Processing|Membrane transport|Phosphotransferase system (PTS)"	0.0138370184478613	0.00934508252267498	0.00681246223156227	0.0144660442500426	0.0171613681522408	0.0140480546575968	0.0189251487137601	0.00200428722041289
"Genetic Information Processing|Translation|Ribosome"	0.0115911506470384	0.0134716660937274	0.0133770772381358	0.0125338223469734	0.0113837413713675	0.0117376374875367	0.0102474831279679	0.0117328831492397
"Metabolism|Carbohydrate metabolism|Glycolysis / Gluconeogenesis"	0.0116489577435615	0.0109511245836792	0.0104542342444539	0.0117228586080991	0.0122240571787549	0.0115980820045088	0.0121266989053243	0.00931955637384932
