"Taxa"	"wolverine14"	"wolverine17"	"wolverine37"	"wolverine44"	"wolverine49"	"wolverine57"	"wolverine58"	"wolverine60"	"wolverine70"
"Metabolism|Global and overview maps|Metabolic pathways"	0.146277437548875	0.151852804050671	0.148709453463344	0.147601055295794	0.147283457977796	0.144492333028644	0.147975659942039	0.149181120201206	0.147017731129059
"Metabolism|Global and overview maps|Biosynthesis of secondary metabolites"	0.0618395429772334	0.0658963609098363	0.0639532645437847	0.0636315395745706	0.0628084655426943	0.0601184764904708	0.0636126107350294	0.0649592755130122	0.0629588170737839
"Environmental Information Processing|Membrane transport|ABC transporters"	0.0599381085349183	0.0483891888388158	0.056007518057809	0.045793221063799	0.0497813337274911	0.0544294731340378	0.0537673643768125	0.0445364184216767	0.0466748863503596
"Metabolism|Global and overview maps|Microbial metabolism in diverse environments"	0.0495346077181543	0.0492020970002245	0.0499111398691766	0.0484519428607461	0.0495211410716749	0.0536046062099715	0.0516291642642989	0.0489798717922741	0.0469985109837599
"Metabolism|Global and overview maps|Biosynthesis of antibiotics"	0.0486696165093283	0.0508953343435642	0.0501007118895828	0.0497598709909497	0.0494747895583565	0.0463441509918445	0.0486168899201184	0.0504054043657726	0.0498529897166771
"Environmental Information Processing|Signal transduction|Two-component system"	0.0472488527787804	0.0389152480386573	0.0401151382235174	0.0446779802159308	0.0451967084337199	0.0424581858456339	0.0385556850584735	0.0419169604649788	0.049235195585086
"Metabolism|Global and overview maps|Biosynthesis of amino acids"	0.0310326814452251	0.0319341647592039	0.0318874723906654	0.0299777298020564	0.0300530252826956	0.0267990101354048	0.0298279482928956	0.0306314138412578	0.030311183132189
"Cellular Processes|Cellular community - prokaryotes|Quorum sensing"	0.0266238101218374	0.0236611899857607	0.0256244092460117	0.0249371539636174	0.0251467533508902	0.0244380256015178	0.024844885112076	0.0243456380031937	0.0256138989754934
"Metabolism|Global and overview maps|Carbon metabolism"	0.0254564899013026	0.0254757403283921	0.025414126597209	0.0244333683094789	0.0250239263833979	0.0244925165984539	0.0248375098696072	0.0247495785913584	0.0244845437346966
"Environmental Information Processing|Membrane transport|Phosphotransferase system (PTS)"	0.0154635731241909	0.0175280444964469	0.0174856249455849	0.013532157394638	0.013781187298809	0.0203008868402646	0.0205165497952847	0.0150781248877204	0.0112983571377608
"Metabolism|Carbohydrate metabolism|Amino sugar and nucleotide sugar metabolism"	0.016015916865347	0.0171255933592472	0.0163180653407303	0.0157614691398725	0.0153442986166818	0.0156991690551456	0.016377161609591	0.0160132482495251	0.0161266243515057
"Metabolism|Nucleotide metabolism|Purine metabolism"	0.0147292907849221	0.0152792179212716	0.0153354992313533	0.0152801634565731	0.0150909838578022	0.0148265520328741	0.0151761953909526	0.0152224095227944	0.015067321769435
"Metabolism|Carbohydrate metabolism|Starch and sucrose metabolism"	0.0136397712920013	0.0144416271944844	0.0136263574443656	0.0118009615992067	0.0114880603494733	0.0113985554174735	0.0134583029856843	0.0122289786314457	0.0122343300735956
"Metabolism|Carbohydrate metabolism|Glycolysis / Gluconeogenesis"	0.0120063979766564	0.0118360394702211	0.0122137045550072	0.0113728711488327	0.0115274137657432	0.0123908013784151	0.012290723903453	0.0115814892143948	0.0112956660654704
"Genetic Information Processing|Translation|Ribosome"	0.0113184144468756	0.012208303232713	0.0122527056670641	0.0123787942403604	0.0119140150966267	0.010028583321525	0.0112658545198559	0.0124753197122281	0.012489612019993
"Metabolism|Nucleotide metabolism|Pyrimidine metabolism"	0.0109626626469544	0.0116543765527864	0.0116460070913664	0.011259157193944	0.0111676828284039	0.0110715668264979	0.0115247581472812	0.0113775438148119	0.0110182200641845
"Metabolism|Carbohydrate metabolism|Pyruvate metabolism"	0.010932382122297	0.010789802631282	0.0109455561023269	0.0103484754499211	0.0107861190893301	0.0110064089700803	0.0108219297054647	0.0106383660924883	0.0102580181468804
"Metabolism|Carbohydrate metabolism|Fructose and mannose metabolism"	0.0102753459277892	0.0111126126749322	0.0104948487046926	0.00939371097807592	0.00952569031701231	0.0127225611685766	0.0122411562935389	0.00955793561254989	0.00855148462845608
"Metabolism|Carbohydrate metabolism|Glyoxylate and dicarboxylate metabolism"	0.00875436945489501	0.0095186394706596	0.008818370973093	0.00885567896678847	0.00880987216778789	0.00896564080883156	0.00917405330370122	0.00890171540074011	0.0086193088881692
"Metabolism|Amino acid metabolism|Cysteine and methionine metabolism"	0.00887070899509904	0.00913532738224329	0.00910793776364896	0.00860248140737765	0.00850225299529475	0.00762564419618457	0.00858991735623429	0.00881880138981357	0.00861997106472039
"Metabolism|Energy metabolism|Carbon fixation pathways in prokaryotes"	0.00850066500637957	0.00893999092563031	0.00867442322148385	0.00799292670263353	0.0081755912895074	0.00779756803719333	0.0084331644599502	0.00832334214210466	0.00795388213542168
"Metabolism|Carbohydrate metabolism|Propanoate metabolism"	0.00804715072904883	0.00820921394899044	0.00794891467713484	0.0076181499927633	0.00779119720282175	0.00855745781206605	0.00830176330688796	0.00771351981590553	0.00743590140923575
"Metabolism|Amino acid metabolism|Glycine, serine and threonine metabolism"	0.00791687240253229	0.0081565663921907	0.00804761041768896	0.00786517972175041	0.00785320727937152	0.00728379690176493	0.00784027640590482	0.00793216581939932	0.00784439127595249
"Metabolism|Metabolism of cofactors and vitamins|Porphyrin and chlorophyll metabolism"	0.00736702182081992	0.00914370292156347	0.00782278984366523	0.00690430903112332	0.00694919207428364	0.00624751452227763	0.00787267435510053	0.00783557049950651	0.00683434385834986
"Metabolism|Carbohydrate metabolism|Galactose metabolism"	0.00796075087063534	0.00782531284283692	0.00724826152209275	0.00697849794215327	0.00656877248589033	0.00742335729780242	0.00738600601079183	0.00632024941065225	0.00751662531016687
"Metabolism|Energy metabolism|Methane metabolism"	0.0077281919962941	0.00728134029138569	0.00754034705418887	0.00671779100664302	0.00701213302644863	0.00729946580290438	0.00733174541917696	0.00687035286343253	0.00673995792162144
"Cellular Processes|Cellular community - prokaryotes|Biofilm formation - Escherichia coli"	0.0062479384756598	0.00603284999493789	0.00598983648966521	0.0074119742454344	0.00716410040188825	0.00795588645355158	0.00688482311551108	0.00710276674614933	0.00717923647660312
"Metabolism|Amino acid metabolism|Alanine, aspartate and glutamate metabolism"	0.00648396227500072	0.00659769284104497	0.00648817536020496	0.00680237502832671	0.00659024805491518	0.00671134760277308	0.00648858972705184	0.00659107923050162	0.0068566749009469
"Metabolism|Energy metabolism|Oxidative phosphorylation"	0.00606747423814661	0.00553598790718491	0.00594444841399276	0.00730897571528962	0.00715608346372008	0.00636112769394739	0.0058254374825917	0.00706918272094024	0.00737848600851981
"Metabolism|Global and overview maps|2-Oxocarboxylic acid metabolism"	0.00642803128584336	0.006643294999834	0.0065780682678895	0.00637564499460948	0.006384438593345	0.005854044376664	0.00635868614715498	0.00653211982734396	0.0062941261983723
"Metabolism|Carbohydrate metabolism|Butanoate metabolism"	0.00613630114467286	0.00595374385991767	0.00637381155703182	0.00599367838464783	0.00648365369748364	0.00778796409367895	0.00688970582976864	0.00623630005434349	0.00543394706340818
"Genetic Information Processing|Translation|Aminoacyl-tRNA biosynthesis"	0.00610977681493934	0.00660061765103182	0.00675741965241078	0.00639781992596269	0.00639480566178238	0.00509760376807476	0.00598118112606945	0.00668956825619047	0.00646008661082762
"Metabolism|Global and overview maps|Fatty acid metabolism"	0.00607997924055648	0.00631354396592995	0.00619862116420903	0.00640924920726201	0.00657592383574502	0.00588838188405745	0.00591678512723637	0.00657434982402468	0.0064977783986364
"Metabolism|Carbohydrate metabolism|Pentose phosphate pathway"	0.00655126246106666	0.00628923207147458	0.00637098703391326	0.00606934974928885	0.00616345960926348	0.0064288797244289	0.0063245060285897	0.00592145107805139	0.00618577530413835
"Cellular Processes|Cellular community - prokaryotes|Biofilm formation - Vibrio cholerae"	0.00554534056761669	0.00577630580314158	0.00549959598264946	0.00675203761942905	0.00647623451882669	0.00625268514555929	0.00581680771983626	0.00657723537696763	0.00680798129071951
"Metabolism|Carbohydrate metabolism|Citrate cycle (TCA cycle)"	0.00596404065376304	0.00650244055833969	0.00611638452692506	0.00614052075039946	0.00613056470505666	0.00567609047363507	0.00611263190795946	0.00632298128658511	0.00605697691711469
"Metabolism|Amino acid metabolism|Phenylalanine, tyrosine and tryptophan biosynthesis"	0.00575528841215045	0.00639194909822821	0.00613557171242564	0.00592185076327289	0.00578353596997228	0.00510342048390179	0.0058868740391211	0.00618684666234796	0.00587808728053836
"Cellular Processes|Cellular community - prokaryotes|Biofilm formation - Pseudomonas aeruginosa"	0.0051161796708378	0.00426381207967053	0.00430993671281945	0.00753340575463837	0.00687704179707803	0.00494951048398744	0.00414420290991462	0.00694981567555028	0.0081886296258794
"Human Diseases|Drug resistance: Antimicrobial|beta-Lactam resistance"	0.00544163337303429	0.00532542487069693	0.00530627321377068	0.0055622356039524	0.00557943272518318	0.00713108880249406	0.00619778443089835	0.0053352949751105	0.00527713087961072
"Environmental Information Processing|Membrane transport|Bacterial secretion system"	0.00461715054456604	0.00490302619761028	0.00498118452201908	0.00611550624784619	0.00582392593350182	0.00628306666625716	0.00563081202573203	0.00612739399291633	0.00564474524223914
"Metabolism|Glycan biosynthesis and metabolism|Peptidoglycan biosynthesis"	0.00574506028723285	0.00573921001298431	0.00590597325768217	0.00550770638273968	0.00561915360854981	0.00477237493715537	0.00532511387229254	0.00569619779162795	0.00567112119677308
"Cellular Processes|Cell growth and death|Cell cycle - Caulobacter"	0.00523239691363093	0.00484952709135393	0.00481315777907398	0.00591179529668113	0.00576537073487562	0.0038649715882517	0.00409712406302769	0.00578371288528787	0.00656576532917335
"Genetic Information Processing|Replication and repair|Homologous recombination"	0.00495035879114541	0.00519789424137313	0.00522863244149714	0.00550469095190986	0.00526851635111415	0.00470586247906828	0.00494495259881833	0.00544100215656699	0.00554377665211337
"Metabolism|Amino acid metabolism|Valine, leucine and isoleucine degradation"	0.00520980688854387	0.00585148153959878	0.00544788730671542	0.00491193082447807	0.00525191360356653	0.00468354037634135	0.00520115615833685	0.00536001686308751	0.00481429015634813
"Metabolism|Lipid metabolism|Fatty acid biosynthesis"	0.00486104991818446	0.00514440407395907	0.00476748221702597	0.00503324682037092	0.00495465517809157	0.0042306324135359	0.00446617906898434	0.00497644714994611	0.00534378098901469
"Metabolism|Energy metabolism|Sulfur metabolism"	0.00416809228596974	0.00404736789819874	0.00428486209569151	0.00475648583684345	0.00471274396559142	0.00573575621421175	0.00486573514849824	0.00467553936242297	0.00442744674412159
"Metabolism|Amino acid metabolism|Lysine biosynthesis"	0.00488448058039844	0.00462057087971404	0.00495260071175724	0.00455639525768453	0.0046812059757816	0.00381593512400525	0.00426100087084713	0.00464561644737619	0.00470808458106914
"Genetic Information Processing|Replication and repair|Mismatch repair"	0.00440359493392133	0.00434679683033246	0.00450384256670975	0.00460954495332894	0.00456497708853509	0.00403716003755066	0.00421188884828126	0.0046037575701575	0.00464817101949516
"Metabolism|Amino acid metabolism|Arginine and proline metabolism"	0.00416659894266761	0.00446602460559675	0.00432762653950004	0.00425360295205956	0.00426486369705045	0.00481070736973934	0.00473289927919384	0.00436566382055773	0.00391964970595595
"Metabolism|Metabolism of cofactors and vitamins|Folate biosynthesis"	0.00380995778076875	0.00452928676737748	0.00413149782598289	0.00446752215701374	0.00424238495828562	0.00429649912605601	0.00438680301957517	0.00467693380464938	0.00425065800849727
"Metabolism|Glycan biosynthesis and metabolism|Lipopolysaccharide biosynthesis"	0.00337082365116388	0.00425547285699567	0.0040143937972575	0.00437173322747526	0.00438149601706126	0.00464713150270059	0.00449158919052624	0.0046946303172825	0.00378692392542302
"Metabolism|Energy metabolism|Carbon fixation in photosynthetic organisms"	0.00416507384675412	0.00402367854213918	0.0042183953040738	0.00417188774940637	0.00421132610084128	0.00413496392129192	0.00407239700440577	0.00414330222907941	0.0042107896030842
"Genetic Information Processing|Folding, sorting and degradation|RNA degradation"	0.00366220009174552	0.00383580432461991	0.00386544093013613	0.00443019376312002	0.0043125557839546	0.00355075042675703	0.00357095510466144	0.00435122486400328	0.00452388053782882
"Human Diseases|Drug resistance: Antimicrobial|Cationic antimicrobial peptide (CAMP) resistance"	0.00358584167517172	0.00377262654135284	0.00341981525447562	0.00401651542169728	0.00385044258755503	0.00517545533383924	0.00430019365652008	0.00386547346515517	0.00379707709949487
"Metabolism|Metabolism of cofactors and vitamins|Pantothenate and CoA biosynthesis"	0.00386626098873126	0.0041992582447842	0.00413513045031755	0.00382920625574867	0.00390298980653752	0.003850599568271	0.00409810466455744	0.0040221789104277	0.00371533094200867
"Metabolism|Amino acid metabolism|Arginine biosynthesis"	0.00394923514466773	0.00404405366650791	0.00396953719622539	0.00393954859639106	0.00380936466957206	0.00374170912753903	0.00389822836257829	0.00388312444771448	0.00398035519777814
"Genetic Information Processing|Folding, sorting and degradation|Protein export"	0.00374890192291199	0.00411853087401578	0.00398445301966623	0.00397291702903213	0.00388348743745614	0.00346637005474656	0.003811249051534	0.00411430086604977	0.00398640590256557
"Metabolism|Energy metabolism|Nitrogen metabolism"	0.00380781831613665	0.00367661337607623	0.00385822048942183	0.00395351750576879	0.00398818045886857	0.00400857063841742	0.00390285169201221	0.00396785321034786	0.00387427580161992
"Metabolism|Carbohydrate metabolism|Pentose and glucuronate interconversions"	0.00448113112037516	0.00372865576285861	0.00382236728285936	0.00346632487210701	0.003739779866485	0.00495387146521401	0.00417437949655594	0.00312978151261655	0.00347422642917398
"Metabolism|Metabolism of cofactors and vitamins|Nicotinate and nicotinamide metabolism"	0.0035926672895782	0.00366742061869026	0.00375101780793892	0.00399110448534723	0.00382542522522748	0.00429397149349736	0.00399190933750253	0.00385655501615221	0.00381346962463228
"Metabolism|Metabolism of cofactors and vitamins|Biotin metabolism"	0.0034503551497156	0.00377945863364078	0.00353413811530111	0.00406515932751677	0.00402338851518843	0.00380071153479569	0.00359432108521015	0.0040398557958453	0.00407286169987381
"Cellular Processes|Cell motility|Bacterial chemotaxis"	0.00333607268443059	0.00208511676121347	0.00276504997533029	0.00451619555956961	0.00447394037426872	0.00441490678066095	0.00314748007806218	0.00412510539259219	0.00455846758582954
"Metabolism|Amino acid metabolism|Histidine metabolism"	0.00367872762579133	0.00397372017367981	0.00392497243977795	0.00372938450264321	0.00372059036477101	0.00307448252396069	0.00356876801660119	0.0038937908293401	0.0038161295970096
"Metabolism|Metabolism of terpenoids and polyketides|Terpenoid backbone biosynthesis"	0.00358149368533547	0.00388241257089723	0.00397104413383	0.00370623153845284	0.00376766495208656	0.00317200074434945	0.00367776778221062	0.00394821896722651	0.00364142971214624
"Metabolism|Metabolism of other amino acids|Selenocompound metabolism"	0.00351254239583144	0.00349165093446447	0.00364120855641048	0.00378289894741335	0.00369975034863279	0.00372740808185085	0.00363249678377221	0.00377019952620925	0.00370162353976488
"Genetic Information Processing|Replication and repair|DNA replication"	0.00349985364977976	0.00339781467871272	0.00356928332032549	0.00389303618168484	0.00376444861529738	0.0031992792021411	0.00327213059772052	0.00379646214207192	0.0039856829933045
"Metabolism|Lipid metabolism|Fatty acid degradation"	0.00336867132534343	0.00302768173873779	0.0035017053320341	0.00341258763446649	0.00374038615766619	0.00400563103610433	0.00350893826318015	0.0035517149072411	0.00322448667796513
"Metabolism|Lipid metabolism|Glycerolipid metabolism"	0.00351118447803489	0.00375777935296925	0.00346915185257131	0.0030654186107168	0.00304241096273635	0.00345493077242716	0.00369964392004144	0.00319322043486368	0.00301708843593902
"Metabolism|Metabolism of cofactors and vitamins|One carbon pool by folate"	0.00318062869701224	0.0033873086494836	0.00330132397030887	0.00323578241251797	0.00324692452242589	0.00274106287999912	0.0030080569710705	0.00323052590972471	0.00329201557286655
